同性・異性を問わない,友達
P,恋に恋する、ってやつか
美穂,多分それだと思います。だから、ずっと一番近くに居た君の事が好きなんだって勘違いしてた
P,勘違いか
美穂,はい。勘違いです
P,……良かったな、早目に気付けて
美穂,はい、良かったです
P,実を言うと、僕も昔は小日向の事が好きだった
美穂,…………そっか
P,……正直、僕も今日はつまらなかったぞ。暑いし、小日向が全部僕のせいにしてくるし、自分からは全然喋らないし
美穂,そうだと思います。それに、君だってもうわたしの事好きじゃないですよね？
P,何がこんなもんかだよ、自分から楽しもうとしない奴がよく言えたなって思ったし
美穂,君だって……わたしと楽しむつもりなんて無かったでしょ……？
P,人を試すとか普通に僕の嫌いなタイプの人間だし、どうせ小日向は良い所を探すつもりなんて最初から無かったんだろ
美穂,…………君だって……わたしの事なんて……
P,……何があった？
美穂,……何もありません
P,何を焦ってるんだ？
美穂,……焦ってなんてません……
P,…………いなくなったり……しないよな？
美穂,…………教えてあげません……
P,…………そっか。…………
美穂,…………
P,…………よしっ！考えても仕方ない！！
美穂,…………えっ、ここで何時ものテンションに戻すんですか？！
P,リベンジだ
美穂,…………えっ？
P,……だから、もう一回デートするって事だよ
美穂,……君、さっきのわたしのお話聞いてました？
P,……今日はちょっと調子悪かったから
美穂,……ダサい……
P,……明後日、神社の夏祭りあるだろ。あれ一緒に行こうぜ
美穂,…………
P,毎年一緒に行ってたけど……今年は、デートとして
美穂,…………
P,……そして、今度こそ……勘違いじゃなくしてみせる
美穂,……君がそんな事する必要なんて無いのに……
P,まぁ見とけって、ダメ出しする場所なんて無いくらい最高の彼氏になってやるよ
美穂,…………無理だと思う
P,そんなの自分が一番分かってる。でも……もし小日向が一瞬でもそう思ったのなら……全部、聞かせてくれ
美穂,…………
P,…………ダメか？
美穂,…………
P,…………
美穂,……もう少し現実的に可能な条件にしませんか？
P,お前何がしたいの？
加蓮,ばっっっか！なんでポテトに勝手にケチャップつけちゃったの？！
鷺沢,え、だって加蓮いつもつけて食べてるじゃん
新田,浴衣の真の良さは浴衣自体ではなく、それを着こなしきれず慣れないながらそれでも可愛らしく振る舞おうとする女子にこそあると思う
智絵里,あっ……金魚さん、全然掬えませんでした……
卯月,あ、五十嵐くーん！こっちですこっち！
響子,お兄ちゃーん！たこ焼き一緒に食べたせんかーっ？！
美穂,やっぱり大勢で楽しんだ方が楽しいですからっ！。だって君、前にわたしとのデートの時に響子ちゃんと卯月ちゃん呼んだじゃないですか
P,…………あれはデートでは無かったので
加蓮,美穂ーっ！射的やるよ！！
美穂,はーいっ！
新田,なぁ五十嵐、あっちで浴衣コンテストが
P,黙れゴミ、こっちは頭使ってるんだ
新田,明日殺す
鷺沢,ん、俺？悪いけど俺彼女いるから……
P,……マジでどうしよう
卯月,聞きましたよ、五十嵐君
P,島村さん……浴衣、めっちゃ似合ってて可愛いよ
卯月,…………五十嵐君、一回きちんと振られた方が良いと思います
智絵里,……五十嵐くん……えっと、お願いがあるんですけど……
P,緒方さん……
智絵里,……鷺沢くんの事呼んで貰えますか……？
加蓮,げ、来た
美穂,か、加蓮ちゃん。型抜きしに行きませんか？
加蓮,おっけー。そんな訳で五十嵐、アンタは他所の女の尻でも追っかけてれば？
P,随分なご挨拶だな、さっき鷺沢がナンパされ……してたぞ
加蓮,何処
P,鳥居付近。……さて、小日向
美穂,わ、わたし門限が
P,無い
美穂,今日はお祭りなので……
P,だったら尚更遅い筈だ
美穂,……珍しいですね、君が強引なの
P,うるさいな、必死なんだよ
美穂,……どうだと思いますか？
P,そうだとしたら凄く辛い
美穂,積年の怨みです
P,勘違いだったんだろ？
美穂,勘違いだったとしても、です
P,……さ、デートだ。まずは親御さんに挨拶からだな
美穂,そんなデートある？
P,射的やりに行こうぜ。僕この日の為に家のエアガンで練習したんだ
美穂,さっき加蓮ちゃんとやって来たから……
P,……じゃあ金魚掬い。お望みとあらば全匹掬ってやる
美穂,わたし、多分ちゃんとお世話出来ないから……
P,……御神籤引く？
美穂,お祭りである必要性が……
P,…………型抜き、苦手なんだよな……
美穂,なんで次わたしがやりに行こうとしたのはピンポイントで苦手なんですか……
P,うるさい！やってやるよ！ほら腕組むぞ！！
美穂,あ、浴衣崩れちゃうのでちょっと……。……だから……手くらいなら、握ってあげます
P,汗凄そう
美穂,ふんっ！。きゃっ！
P,っと、セーフ
美穂,…………なんだか今の動き、すっごく洗礼されてませんでした？
P,気のせいだろ
美穂,……あ、あと…………ありがとうございました
P,今の割とカッコよくなかった？
美穂,今ので大幅減点です。あのっ！やっぱりあのクマのぬいぐるみ取って下さいっ！
P,任せとけ、一発で射止めてやる
美穂,あの金魚、怒ってる時の加蓮ちゃんに似てませんかっ？！
P,でも胸が無い
美穂,さようなら。…………
P,…………
美穂,あっふ、あっっふいれふっ！
P,ちゃんと冷ましてから食べぁっっっつ！！
美穂,あっっっっふいっ！
P,っふぁっふいっ！！
美穂,熱くないって良いですね……
P,あぁ、このアイス熱くない。……さて、休憩がてら神社裏でも向かうか
美穂,ふぁーい
P,っふぅ……疲れた
美穂,年寄り臭いですよー
P,まだ十六なんだがな
美穂,じゃあわたしもおばあさんです
P,……小ひにゃ
美穂,…………
P,…………
美穂,…………
P,…………
美穂,…………
P,…………
美穂,…………ふふっ……
P・美穂,っふふふふふふっっっ、っあっはっははははっっ！！
美穂,こひにゃ！こひにゃって誰ですかっ？！っふふふふっっっ！！
P,うるせぇぇぇぇぇぇっっっ！！今のはほんと無かった事にしてくれないかなぁぁぁぁ！！！！
美穂,カッコつけといてっ！ちょっと良い雰囲気作っておいて！こひにゃ！こひにゃですかっ！！
P,…………こひにゃ
美穂,っっっ！キメ顔っ！！ズルイっっっ！！！！
P,……帰る
美穂,待ってくださいっ！こひにゃた美穂さんは優しいのでもう一回チャンスをあげますからっ！！
P,お前ほんと……。……で、何があった？
美穂,うーん……別に今更隠す必要は無いので話しますけど……。…………わたし、アイドル始めるんです
P,…………アイドル、か……。小日向が？アイドル？
美穂,むっ、バカにしてますか？
P,……頑張れよ、小日向
美穂,……はい、頑張ります！
P,あだ名にこひにゃって使って良いぞ
美穂,絶対イヤです
P,……アイドルか、ヤバイな……テレビで小日向が全国放送されるのか……
美穂,嬉しいですか？
P,…………あぁ、勿論
美穂,…………今日、君とデートして……やっぱり思ったんです。わたしは本当に、君の事が好きじゃなかったんだって
P,……デートの点数は？
美穂,減点式なら0点です
P,……手厳しいな
美穂,どんどん減ってって、こひにゃで0点になりました
P,……無かった事にしてくれると嬉しい
美穂,それでも赤点です
P,……ま、そうだよな
美穂,……はい。……でも……。……加点式なら、花丸です
P,……加点式とか減点式とか、よく知ってたな
美穂,こひにゃ
P,僕の負けだ
美穂,……だから今は、君の事が好き
P,お、やったね
美穂,必死になって空回りしたり、カッコつかなかったり……でも、そんないつも通りのキミも……わたしは、好きかな。…………何か、言わないんですか？
P,動物に纏わる豆知識で良ければ
美穂,……遠くに行っちゃうかもしれないんですよ？
P,……応援してるよ
美穂,……学校にも、全然行けなくなっちゃうかもしれないんですよ？
P,ちゃんと席掃除しといてやるよ
美穂,…………今までみたいには会えなくなっちゃうかもしれないんだよ？
P,……でも、テレビとかラジオで
美穂,…………わたしは……？わたしの気持ちは……？
P,……アイドル、やるんだろ
美穂,…………止めてよ……引き留めてよ……
P,……僕は、小日向の事が大切だから。邪魔したくないんだ
美穂,……分かってよ…………分かってよ！！！。今更好きとかずるいよ！わたしずっと片思いだったんだよ？！この数年間ずっと！そのくせわたしが諦めようとしたら突然好きだったなんて言うとかあり得ないよ！！。どうせ君は分かってるんでしょ？！わたしが君を諦めた筈が無いって！諦められる筈が無いって！だからそんな事言ったんじゃないの？！。ふざけないでよっ！大好きだったんだもん！ずっと！君の事が！！。好きじゃないなんて言葉もウソですよ！それも分かってたんですよね？分かってくれてたよね？！だったらその時言ってよ！。君の事が好きじゃないって勘違いしたかったの！でも出来なくてっ、そのくせ君はわたしの恋心だけを勘違いにしようとするんだもん！そこは普通に怒ってるよ！！。勘違いだったかもしれないよ？最初はっ、きっかけはそうだったかもしれないですけど！。でもっ！それからずっと一緒にいてどんどん好きになって！ずっと好きだったって気持ちまで……勘違いな訳無いじゃないですか！！。……だからっ、今も分かってよ！引き留めてようとしてよ！そしたら！わたしは……っ！！
P,……小日向、僕は……
美穂,……そうやって君は……自分だけ涼しい顔して……結局わたし一人だけがまたこうやって空回りしちゃってるんだもん……
P,……違う、小日向……っ
美穂,もういいですっ！！
卯月,あ、五十嵐君！ゴミはちゃんと捨てなきゃダメですよ！
P,……これ小日向の……あ、はい。……新田！
新田,ん、なんだ？浴衣の女子大生ナンパなら付き合うぞ
P,……喉自慢、まだエントリー出来るかな！
美穂,…………もうっっ！君の事なんてっ！大っっ。えっ…………っ？！。はっ、はいっっ！！。言ってるーー！！言っちゃってる！言っちゃってますよー！！！！。それ今叫ぶ必要ありますかっっっっ？！。……だったら……言ってよ！叫んでよ！愚痴とかじゃなくて！失言とかじゃなくて！！。言い訳とかいらないから！聞かせてよっ！。君の気持ちを……っ！素直な気持ちを！！わたしへの想いを叫んでよっっっ！！。他の人に迷惑です！！。……会えなくなっても良いの？！。止めてくれないの？！。そうだけど！！。……わたしもっ！。誰よりも側に居たいです！もっと見てたい！素直になりたい！Pくんの笑顔を、想いを！わたしだけに向けて欲しいから！！。ーーPくんの事が大好きですっっ！！この夏だけなんて言わないで！わたしと！ずーっと！付き合って下さいっっ！！！！。…………えっ？。二回も言える訳無いでしょっっ！！ばかぁぁぁぁぁぁぁっっっ！！！！
P,…………ふぅ
響子,お兄ちゃん、朝ご飯出来てますよー
P,はーい、すぐ行くから。……ん？辛子なんて僕使わないぞ
響子,……あ、そっか……。それで、最近学校で話題のラブ師匠なんですけど……
P,そんな奴居るのか、そう呼ばれて恥ずかしくないのかな
響子,……お兄ちゃん、元気無いですよね
P,そうでも無いさ
響子,ほんとですかー？素直になれば私が慰めてあげるんですよー？
P,いやほんと、まだ眠いだけだ。……ところでラブ師匠って女の子？可愛いのかな
響子,噂によると醜さと汚さの塊らしいです
P,可哀想過ぎるだろ噂もあだ名も
新田,あーあ、何が衣替えだよ。おっぱいが遠ざかっちまうじゃねぇか
鷺沢,じゃあお前ブレザー着るなよ？
加蓮,はー……ほんと、男子って馬鹿ばっかだよね
智絵里,え……加蓮ちゃんって男の子だったんですか……？
卯月,二十五分までは換気しなきゃいけないって決まりがあるんですっ
P,あ、おはよう島村さん
新田,よう五十嵐。元気か？
P,元気だよ昨日も会っただろ、今僕はたちはだかるって言葉の響きに心を打たれてるんだ
新田,心配して損したわ
P,誰も頼んで無いだろ
鷺沢,……五十嵐、これやるよ。寂しくなったら使え
P,なんだこれ
鷺沢,テンガ
P,滅びろ
加蓮,捨てられてないと良いけどね
智絵里,か、加蓮ちゃん……
新田,そうだぞ五十嵐、お前使わないなら俺が貰ってやる
鷺沢,絶対加蓮が言ったのは意味違ってるから
卯月,…………美穂ちゃん、今日も来れないんですね……
加蓮,…………
智絵里,…………
新田,…………
鷺沢,…………
新田,ほんと、からかい辛いからお前さっさと元気出せよ
P,いや単に眠いだけなんだって
鷺沢,元気出せよ、ソープでも行くか？
P,行きた……あぁいや、高校生って行けるのか？
鷺沢,まぁ俺は行かないが
P,なんで誘った、僕も行かないが
新田,はーっ、これだから妻帯者はよぉ！。にしても凄いよな。デビューしたてでもう新曲出すんだろ？
P,随分凄い大手の事務所なんだとさ、専属のマネージャーとかプロデューサーとかがつくとか
鷺沢,取られないと良いな、小日向の事
P,女性だってよ、担当さんは
新田,今や恋愛に性別なんて関係の無い時代だぞお前
P,んでレッスンとオーディオ受けつつ撮影やったり収録したりと大忙しらしい
鷺沢,二学期入ってから一回も来てないからな……寂しいんだろお前
P,…………別に
鷺沢,連絡は？
P,殆ど来ない
新田,…………
鷺沢,…………
P,……なんだよ
新田・鷺沢,…………ソープ、行くか？
新田,なぁほんとにソープ行かないのか？行こうぜ！元気とか色々出るぞ！！。……はっ、恋人いるのにますかくしか能のないチキンが
P,お前一人で行くのが不安なだけだろ
新田,…………怖くない？
P,分かるけれども
新田,不安は仲間と分かち合うもんだろ
P,喜びを分かち合えよ
新田,悦びなら
P,……お一人でどうぞ
新田,……お前、本当に元気無さそうだな……悪い。……良い店探しとくから、必ず行こうな
P,行かないって言ってんだろ。……ただいまー
美穂,おかえりなさいっ、Pくんっ！！
P,痛いっ！！
美穂,もうっ、Pくん。ただいまの挨拶はただいまですよ？
P,凄い、何も言ってないのと同義だ
美穂,寒いので早く部屋に戻りませんか？
P,凄い、何も言ってない事にされた
美穂,はい、Pくんっ！
P,はい、なんでしょうか
美穂,わたしはずーっとPくんの帰りを待ってました
P,僕はずーっと学校に居たけど
美穂,帰って来てよ！！
P,帰って来たよ！！
美穂,……おかえりなさいっ！！
P,勢いで誤魔化せると思うな
美穂,……ぎゅ、ぎゅぅぅぅぅっっ！！
P,だから苦しい
美穂,幸せ過ぎてですか？
P,いや物理的に
美穂,……つ、つまりそれって……わたしの胸がPくんに密着しちゃってるからって事……だよね……？
P,いや、別に…………まぁそれで良いか
美穂,学校も行きたいんですけど、最初の三ヶ月は本当に色々と大変なので……
P,ふーん
美穂,……もうちょっと興味持ってくれませんか？
P,……なぁ、小日向
美穂,もー、Pくんっ。せっかく恋人になったんですから美穂って呼んでくれても良いんですよっ？！
P,あぁいや、それは今は
美穂,…………呼んでくれないんですか？
P,……いや、だからさ……
美穂,……Pくん……ほんとはわたしの事好きじゃないんですよね……
P,…………美穂
美穂,……えへへ……ふふふ……はいっ！Pくんの恋人の小日向美穂ですっ！
P,……なぁ、一つ聞いて良いか？
美穂,82です！
P,聞いてないから
美穂,…………そうだよね……卯月ちゃん達くらいないと、Pくんは満足してくれませんよね……
P,…………してるよ……
美穂,……えっち
P,言わせた奴が何を。…………このダンボールの山、何？
美穂,わたしの私物ですっ！
P,…………そう。…………響子ー！お客様がお帰りになるってよ！！
美穂,やだっ！住むーっ！住むのーっ！わたしPくんのお部屋で暮らすんだもんっっ！！
同性・異性を問わない,友達
美穂,だって幼馴染ですよっ？！
P,そこ恋人ですよじゃないのかよ！
美穂,じゃあ恋人だから同棲しても良いんですよねっ？
P,……一部屋貸すから
美穂,この部屋で良いのに……
P,僕のプライベートとは
美穂,わたしとの恋人生活って意味ですっ！。……ところで、これってテンg
P,ごめんなさい
