私は千歌ちゃんから,押し入れの整理してたら、すんごーいモノ見つけたから来て！
あの件に関しては将来,だけ
鞠莉ママ,そして忘却の書も手元にありマース☆皆さんもページ片を渡してくだサーイ。ありがとうございマース☆
曜,それで、ルビィちゃんや月ちゃんら事件に関わった娘達はどうなるんですか？
鞠莉ママ,脅されていたことや、その後の協力も踏まえ、1人を除いて全員不問となるはずデース。今、黒澤ファザーがポリスメンと交渉していマース
ルビィ,ううっ、良かったぁー。お父さんが話してくれるなら大丈夫だよ
月,本当に、ありがとうございます
梨子,それで、その1人というのは？
鞠莉ママ,副会長、冬木・スタンダ・みのり嬢デース
スタンダということは、つまり彼女は最初から,マフィアの一員として
月,そんな……みのりちゃんがスタンダ家の一員だなんて。嘘ですよね？悪い冗談ですよね？
鞠莉ママ,うーん、正確には彼女のグランドマザーが戦後ジャパンへ亡命したスタンダファミリーの幹部で、こっそり家族へ二重国籍を取得させていたみたいです
千歌,最初からわかっていたんですか？鞠莉ちゃんのお母さんは
鞠莉ママ,イエス。ジャパン国内へ潜伏しているスタンダファミリーのエージェントについて調査しているうちにわかりました
ルビィ,マフィアの孫娘ってことは、しつけも厳しかったのかな？
鞠莉ママ,グランドマザーとマザーから虐待を受けていたみたいです
曜,虐待って……月ちゃんは知ってたの？
月,ううん、僕も初耳。みのりちゃんは、あまり自分のことは話したがらないから
鞠莉ママ,テストでクラスの上位に入れなかったり、習っていたピアノのコンクールで入賞できなかったら結果を出せない者に用はないって殴られたり、食事を与えられなかったりしたそうです
千歌,ううっ……酷過ぎるよ、あんまりだよ
曜,うん、そうだね。お父さんはどうしたんですか？
鞠莉ママ,気が弱くて力になれなかったみたいです。それに今は単身赴任中だとか
ルビィ,助けてくれる人が近くにいなかったんだね。ウチだってこんなに厳しくはないのに……
善子,私は会ったことないけど、産まれながら悪鬼の心を持ってた訳ではなかったみたいね
梨子,だから数字とか結果へ強くこだわっていたのね。勝てなければ意味がないって
月,みのりちゃんは梨子ちゃんと千歌ちゃんへそんなことを？
月ちゃんは,私が千歌ちゃんと付き合えないのが可哀想だから
千歌,うん。PVでわたしと曜ちゃんが仲良くしてるシーンが人気だから、2人が付き合った方が予選とかで有利になるって
曜,いやいや、何その理屈
他人からどう評価されるのかを気にして,より高い評価を得られる組み合わせで付き合え
善子,憎しみの連鎖ってヤツね……だからってアイツがずら丸へしたことや、リリーと千歌を襲ったことを許すつもりは毛頭ないけど
ルビィ,善子ちゃんは厳しいね
善子,ヨハネよっ！当然でしょ、失われたものは二度と戻ったりしないんだから
曜,恵まれていたんだね……私達
鞠莉ママ,忘却の書を用いてイタリアンマフィアの権威を取り戻す。みのり嬢のグランドマザーはそのプランのために孫娘を利用したのです。オゥ、ソーリー
ルビィ,誰からだろう？
鞠莉ママ,フム、フーム……ご苦労デース
月,どういう件でした？
鞠莉ママ,黒澤ファザーがポリスメンとの交渉を済ませました。副会長以外は全員叙情酌量の余地ありとして無罪放免デース！
曜,ふぅ……これにて一件落着、ってとこかな？
つきルビ,ありがとうございました！
また,この事件に関することは、部外者に話してはならない
そりゃ,忘却の書
こうして私達の絆を引き裂こうとした、忌まわしき,忘却の書事件
曜,やっほー！花丸ちゃんはいる？
花丸,曜さんっ!?図書室ではお静かに、ずら
曜,あっ、ごめんごめん
善子,ルビィは一緒じゃないの？
曜,善子ちゃんもいたんだ
善子,ヨハネよっ！。ずら丸とこれからについて色々話してたのよ
曜,そっか。ルビィちゃんは東京のイベントへの参加申請の手続きがあって生徒会室
善子,ご苦労さまね、次期部長は
曜,ほんとにね。……っとそうだ、花丸ちゃんに用事があったのを忘れてた
花丸,あの件ですよね？
曜,うん、先日話した自主練の付き添い
私達が歌って踊る様を目にした彼女はえらく感動し,マルも以前はあの中にいたんだよね……
そこで私が,もう一度始めてみない？スクールアイドル
曜,どうする？
花丸,決まっています。お願いします。マルをもう一度、スクールアイドル部へ入れてください
曜,みんなと体力差がある分、多少厳しめのメニューになるよ。朝練だってある。それでもいい？
花丸,もちろんです
曜,わかったよ、これからよろしくね！そして1年間……ごめんね
花丸,ちょっ//曜さんっ//
善子,良かったわね、ずら丸。ずーっと願ってきた夢、それを叶えるための第一歩が踏み出せて
花丸,記憶を失う前のマルと皆さんの関係は、善子ちゃんからだいたい教えてもらったずら
善子,ヨハネよっ！でないと色々困るからね
花丸,他にも……マルと善子ちゃんが、その……お付き合いしていた、とか//
善子,ヨハネだっての！そうよ、私達は恋仲だったのよ
花丸,それと忘却の書事件についても
曜,話したんだね
善子,駄目とは言われなかったからね
花丸,マルは、記憶を取り戻したいです
曜,花丸ちゃん……
花丸,これからaqoursの一員として色々やっていく中で、きっと今のマルが知らない話が出ることもあると思うんです
曜,まあ、あるだろうね。もしそれで寂しさを感じるようなら、いつでも辞めていいからね
花丸,はい。でも寂しさを覚えるのはマルだけじゃなくて、皆さんも同じなんだと思います
善子,ずら丸……ほんと、アンタって奴は他人想いなのね
花丸,だからマルはマル自身のためにも、皆さんのためにも……
曜,とは言っても相手は呪いだしねぇ
善子,そうでもないみたいよ
曜,どういうこと？
花丸,解呪の書を作り出すことが出来れば
曜,解呪の書？つまり呪いを解くための書ってこと？。なるほどね。でもそんなご都合アイテムを作り出す方法のアテはあるの？
アレの元ネタって確か,魔術師達が無自覚下で抱くどんなに世界が歪んでも大丈夫なように基準点がほしいという願いが集約し、自然発生したもの
花丸,はい。忘却の書やその他の呪いの書と、同じ方法を取るんです
曜,えーっと、つまり？
花丸,誰もが共感できるような呪いのせいで酷い目に遭って可哀想な人の物語を書くところから始めるんです
曜,ああ、なるほど。目には目を、呪いには呪いをって感じ？
呪いを消すため,だけ
花丸,はい
善子,ゴーストタイプにはゴースト技が効果抜群ってのと同じよ
曜,いや、ポケ○ンは関係ないと思うけど。……っていうか、その相性すっかり忘れてた
善子,そうね。みんなが忘れちゃってることって、世の中にはいっぱいあるのよね
花丸,まあ、駄目元ですけどね。でも何事もやってみる価値はあると思います
曜,そうだね。またaqoursへ入ろうと決めたのも？
花丸,もちろんずら！
善子,変われるわよ、ずら丸！また一緒に頑張りましょう！
花丸,うん、善子ちゃん！
善子,ほんと、アンタは記憶を無くしてもヨハネって呼んでくれないのね
曜,にしても、忘れられてしまったことかぁ。なんだか悲しくなるよね、そういうのって
善子,ほんとにね。一時期流行っていたものがオワコンだなんだって馬鹿にされてるうちはまだマシで、いずれ悪口すら言われなくなる。そういうの、嫌っていうほど見てきたから
曜,おっ、アニオタの善子ちゃんらしい意見ですねぇ～
善子,ヨハネよっ！話を作る側は何か月も何年もウンウン頭を悩ませて頑張ってきた結果を、受け取る側は一瞬だけ楽しんでハイおしまい！なんかそれって……すっごい残酷な気がするのよね
曜,……わからなくはないよ、私達のライブだって同じだしね。いっぱい練習して、衣装やら振り付けやら色々考えても、見ている人達にはわからない
花丸,でも、その一瞬の輝きのために全身全霊を尽くすのがスクールアイドルであり、クリエイターですよね？
曜,花丸ちゃん……いいこと言うじゃん！このこのっ！
花丸,ちょっ//曜さんっ//
善子,って曜!?私の彼女を堕とそうとしないでよっ！
曜,いいじゃん！1年間構ってあげなかった分もあるんだし！
花丸,じゅらぁ～♡
善子,ずら丸もその気にならないでぇーっ！
花丸,だってマルと善子ちゃんが恋仲だったなんて……信じられないもん//
曜,おっ？顔赤くしちゃってぇ～、そんなにこの堕天使が好きなのかぁ～
花丸,ううっ//おちょくらないでくださいよぅー//
善子,いい加減にしなさいよっ！
曜,おっ、善子ちゃんも顔真っ赤じゃんか～
善子,うっ、うるさいっ//
曜,なんだか悲しいね、存在が忘れられるって
花丸,忘れられた、ならまだ幸せなんだと思いますよ。作り手としても、作品そのものとしても
善子,何それ？最初から見向きもされなかった、とか？
曜,禁書に対する絶チ○みたいな？
善子,は？絶○ルファンのヨハネ様へ喧嘩売ってるの！
花丸,ヨハネ少佐、マルも助太刀するずらよ！
曜,いや、ごめんごめん。私もアレはアレで好きだから。っていうか○チルだって一時期は流行ったし、スピンオフだって作られたし！
花丸,闇でしか裁けぬ罪がある、ずらね
善子,やっぱりアンタは記憶を失っても、このヨハネの黄昏の理解者なのね……ずら丸ぅ～♡
花丸,ヨハネ少佐ぁ～♡
曜,……やっぱり善子ちゃんの堕天使設定って、兵○少佐ベースにしてたんだね
善子,ヨハネだっての！それと設定言うな！
花丸,絶○ルはともかく、中には見向きもされない以上に、悲惨な末路を辿ったものもあると思うんです
曜,……なんかピンとこないんだけど、どういうこと？
善子,なんとなくわかったわ。内容があんまりにも酷くてボロックソに叩かれた作品ね！
曜,なるほど、0よりマイナスの方が辛いよね
花丸,正解……と言いたいところだけど、あと一歩ってところかなぁ？
善子,あと一歩？どういうことよ？
花丸,内容を問わず、語ること自体がタブー視されてしまったもの
曜,えーっと、なんかよくわからないなぁ
善子,具体的には？
花丸,そうだなぁ……漫画やアニメとは違うけど、天動説が信じられていた時代の地動説とか
曜,確か地球の周りを太陽や他の星が回っているって説だっけ？天動説は
花丸,うん。今を生きるマル達からすれば滑稽な話だけど、当時は地球が太陽の周りを回っているだなんて口に出すことも、誰かと真剣に議論することすらも許されなかったんだよ
善子,みんな天動説の方を信じてたものね。下手なこと言って村八分にされたくもないでしょうし
花丸,教会の権威の問題なんかもあったからね
曜,そうだね。でも今は逆になったよね？
花丸,うん、科学が進んで地動説が証明されちゃったからね。他にも人間はサルみたいな動物から進化したとか
曜,以前は神様が自分の姿に似せて人間を作ったって信じられてたんだよね？
善子,そうね。そういうこと言ってた連中がもし現代へタイムスリップしたら……逆にそいつらが馬鹿にされるんでしょうね
曜,まあ……そうなっちゃうよね
ただでさえ自分が本来生きていた場所と様変わりした土地へ放り出されて混乱しているのに、周囲の人達からは,コイツは何を言ってるんだ
花丸,そういうことなんだよ。多数派になるか少数派になるかなんて、色々な条件に左右されちゃうってこと
善子,まあ、確かにね
中学の頃はドン引きされた,堕天使
花丸,だからマルは、将来世界を廻ってみたいんだ
曜,なんだかいきなりスケールのデカい話になったね!?
善子,しかも唐突な自分語り。でもどうしてよ？
花丸,たくさんの人の語られない物語を聴いてみたいから
曜,語られない物語？
花丸,はい。いっぱいいっぱいあると思うんです、蕾のまま花開かれないでいる物語って
善子,その蕾に水をあげたいのね？
花丸,うん。みんなが望んでいないからって、蕾が花開くことなく枯れてしまうなんて……もったいないから
善子,もったいないって……寺生まれのずら丸らしいわね
花丸,そりゃあ、じいちゃんから米粒1つ残すなよ、目が潰れるぞって口酸っぱく言われてきたからね
曜,それで、どんなお仕事がしたいの？世界を廻る仕事といってもたくさんあるけど
花丸,うーん、そこまではまだ考えていないなぁ。というより仕事にするのかすらも
曜,それもそっか。観光でってのもアリだよね
善子,なんだか面白そうね。私も興味が湧いてきたわ
花丸,善子ちゃん……マルと一緒に来ない？
善子,ヨハネよっ！……ってまさか、これって……プロポーズぅ//
花丸,ふふっ、どうかな？
善子,どうなのよーっ!?
花丸,さあ、ね♡
曜,あはは、からかい上手の国木田さんってヤツかな？ごちそうさまです！
善子,まあ何にせよ、誰かの意見を否定しない限りは、自分の意見なんていくら語ろうが勝手だと思うけどね
曜,結局そこへ行き着くんだね、善子ちゃんは
善子,ヨハネよっ！天動説じゃないけど世界は自分を中心に回っているって考えていいのよ！誰かの迷惑にならない分にはね！
曜,そうだね。自分の好きを貫くのが大切だよね
花丸,ふふっ、幼稚園の頃から変わっていないずらね。善子ちゃんは♡
善子,だからヨハネだっての！っていうか今のずら丸、ほとんどあの頃の私しか憶えてないでしょ！
花丸,……まあね。だから改めてよろしくずら
善子,え、ええ。こちらこそよろしくね
曜,じゃあ私はこの辺で。ちょっ!?千歌ちゃんに梨子ちゃん、何やってるのさ……
梨子,……んっ？
千歌,どうしたの？誰かに見られてた？
梨子,ううん、何でもない
千歌,そっか。もし曜ちゃんがいたら──
梨子,もう気にしないでって言ってたでしょ
千歌,……それもそっか、うん
梨子,ルビィちゃんにも失礼だしね、そういうのって
千歌,ルビィちゃんにも……だね。いやー、まさか本当にわたし達の記憶がなくなっちゃうかも、って羽目になるとはね
梨子,ほんとにね。やっぱり神様が私達を何がなんでも引き裂いてやる！って意地悪したのかな？
千歌,スタンダファミリーが神様の送り込んだ刺客？ないない、マフィアなんだよ！
梨子,ふふっ、それもそっか。神をも恐れぬ大悪党だもんね
どうやらあの2人は,忘却の書事件はタチの悪い神が与えた試練だった
千歌,にしても、次の日の晩にみのりちゃんの取り巻きの娘達が、みんなでウチまで謝りに来てくれたのには驚いたなぁ
梨子,しかもご丁寧に菓子折まで持ってね
千歌,梨子ちゃんがもう同じようなこと、他の誰かにしないでねってお願いしたけど……大丈夫だよね？
梨子,大丈夫だよ。みんな悪鬼じゃない、他人の痛みを想像できる娘達だから
千歌,だね、信じるよ。わたし達、抗えたんだよね？悪い運命に
梨子,うん、私達の力でね♡
千歌,だよね。でも、これはまだチュートリアルみたいなものだと思うんだ
梨子,チュートリアル？これからまたとんでもない事件が起こると？
あの出来事をTVゲームでいうところの,基本的な操作を覚えるための最初のボス
千歌,うん、多分ね
梨子,嫌だ
千歌,嫌だって何が？
梨子,千歌ちゃんと引き離されることに決まってるでしょ♡
千歌,おうっふ//梨子ちゃぁ～んっ♡わたしもだよぅ～♡
梨子,だから勝ち続けましょ、あらゆる災いに。私と千歌ちゃんの力で、ねっ♡
千歌,今回は昔の梨子ちゃんがわたしを守ってくれたけど……次はそんな奇跡みたいなこと、起こらないと思うから
梨子,やっぱり思い出せないの？昔会ってたこと
千歌,……うん、ぽっかり穴が空いたみたいに
梨子,……そっか
千歌,ごめんね、梨子ちゃん
梨子,ううん、いいよ。それよりaqoursの……1年間の記憶が無事で、本当に良かった
千歌,梨子ちゃん……
梨子,失ったものを惜しむより、今残っているものを大切にしていきましょ。ねっ
千歌,そう、だよね。ありがと、梨子ちゃん。こういうのってさ、いわゆる平行世界からの圧力なのかな？
梨子,平行世界からの圧力？どういうこと？
千歌,隣接する世界から変なエネルギーがこっちの世界へ流れ込んできて、その世界の運命へ干渉する……みたいな？
梨子,うーん、わかるような、わかんないような
千歌,えっ!?わかんない？
梨子,千歌ちゃんの好きなゲームに例えられない？
千歌,ゲームねぇ……あっ、アレかな？
梨子,なになに？
千歌,オセロみたいな。ある世界が白だとしても、隣接する世界が黒だと同じように黒へ反転しちゃうって感じで……うーん、なんか違うかも
梨子,ううん、エネルギーがどうこうよりよっぽどイメージできるよ
千歌,そう？なら良かったぁ～
なるほど、千歌ちゃんの中では,私と千歌ちゃんが付き合っている2つの平行世界
梨子,むしろアタック25の方が合ってるかも
千歌,なるほど……もしかしたらわたしと曜ちゃんをくっつけるためじゃなくて、わたしと善子ちゃんとかわたしとルビィちゃんって可能性もあったかもしれないもんね
梨子,うん。色が4色どころじゃなくて、マス目も無限に広がってるの
というか梨子ちゃんも,誰と誰が付き合うか
千歌,うへぇ～、気が遠くなるねぇ～
梨子,ふふっ、ほんとにね
千歌,まっ、どんな運命が相手だろうと、わたしがはね除けてやるよっ！
梨子,千歌ちゃん……私も戦うよ。これからもずっと千歌ちゃんの隣にいたいから
千歌,うん。これからもよろしくね、梨子ちゃん♡
梨子,こちらこそよろしくね、千歌ちゃん♡。そういえば、昨日鞠莉ちゃんのお母さんからこんなメールが届いたんだけど
千歌,えーっと小原グループはIPS細胞を用いて、メスのマウス同士で子どもを作るのに成功したって？
梨子,うん。ゆくゆくは人間でもこの技術が使えるか実験する日が来るだろう、って
千歌,うん、そうなるだろうね。それで？
梨子,それで？って……わからないの？何が言いたいのか
千歌,うん、わからな……あっ//
梨子,気付いたみたいね♡
千歌,えっと……つまり、そのぉ……やっぱり、梨子ちゃんは欲しいの？
梨子,うんっ♡欲しいよ、もちろん♡
千歌,うがあぁぁぁーーーっ!!?梨子ちゃんのヘンターーーイっ!!
梨子,変態言うなっ！好きな人との間に欲しいって思うのはごく自然でしょうが!!
千歌,いや、ヘンタイでしょうがぁ！欲しいってことはさ──
曜,さてと、これ以上2人の変態トークは聞かなくていっか
結局,あの夢
曜,失礼します
月,おっ、彼女がお迎えだよ。ルビィちゃん
生徒会役員A,もう上がっていいですよ
生徒会役員D,後は自分達でどうにかなるんで
ルビィ,では、失礼します
月,うん、また明日
生徒会役員AD,お疲れさまでした
月,みのりちゃんが欠けた穴を埋めてくれて、ほんと助かってるよ
ルビィ,東京のイベント、申請は通りましたよ
曜,了解。特に心配はしてなかったけどね、月ちゃんだし
ルビィ,それはそれとして……曜さん
曜,どうしたの？かしこまって
ルビィ,ルビィ……じゃなくてわたし、生徒会の副会長へ立候補しようと思ってるんです
曜,そっか。やっぱりダイヤちゃんへ少しでも近付きたいから？
たとえ当人から,もう1人で何でも出来るのですわ
ルビィ,うんっ。それに事務仕事を覚えておけば、将来のためにもなるし
曜,将来のため、ねぇ……具体的には？
ルビィ,うーん、まだそこまでは。ただ、やれるようになって損はないんで
曜,だね。ルビィちゃんはまだ2年生だし、ゆっくり考えればいいよ
ルビィ,うん、そうします
曜,それから、ルビィちゃんは無理してダイヤちゃんのようになろうとしなくてもいいんじゃないかな？
ルビィ,どうしてです？
曜,ルビィちゃんはルビィちゃんなんだから。何でも1人でこなせるのが一番だろうけど、誰かへ頼ることができるのも時には大切だから
ルビィ,でも、できる限りは挑戦していきたいです。何事にも
曜,変わったね、ルビィちゃんは
ルビィ,そう、ですか？
曜,うん。ここまでアクティブな娘へ変わる日が来るなんて、夢にも思ってなかったよ
ルビィ,曜さん……ありがとうございます
曜,どういたしまして。でもルビィちゃんが生徒会へ入るなら、次期部長は善子ちゃんに任せることになるかな？
ルビィ,……そう、なりますよね？兼任できないので
曜,やっぱりルビィちゃんから見ても不安？
ルビィ,不安しかないです。この前も書類の提出、忘れてましたし
曜,あらら……かといって、花丸ちゃんに任せる訳にもいかないもんね
ルビィ,ですね。まあ、何とかなりますよ
曜,その根拠は？
ルビィ,今までだって千歌ちゃんが部長でしたけど、実質的な指揮を執っていたのはお姉ちゃんでしたから
曜,確かに。……って、ごく自然にルビィちゃんがリードしていくビジョンが浮かんだし！
ルビィ,自然に浮かびました？
曜,っていうか、ルビィちゃんもごく普通に自分が指揮執ってくつもりでいるし！
ルビィ,えっ？駄目でした？
曜,いや、駄目じゃないよ。全然
ルビィ,入部希望者も3人ほどいるんで、1週間の体験入部をしてもらってから、続けていけそうか本人確認していこう。そう考えているんです
曜,ルビィちゃんや花丸ちゃんの時と同じだね？
ルビィ,うん。会長からも許可が下りたので、週明けから来てもらいます
曜,了解。ところでどんな娘達？会ったことあるの？
ルビィ,わたしもまだです。でも大丈夫ですよ
曜,これまた根拠ゼロな
ルビィ,わたしや花丸ちゃんや善子ちゃんみたいな娘だって、なんだかんだで1年やってこれたんで
曜,な、なるほど
一見人前で歌って踊るなんて出来なそうな3人でも続けられたなら……いや、自分はともかく親友2人を,みたいな
ルビィ,曜さんは体育大学へ行くつもりなんですよね？スポーツ推薦で
曜,うん。高飛び込みでも一番になりたいからね
ルビィ,ずっと続けてきたからですか？
曜,まあね。せっかくならどこまでやれるか確かめてみたいし
ルビィ,自分のため、ですか？
曜,もちろん。自分のため、だよ
ルビィ,ふふっ、曜さんもずいぶん変わりましたよね
曜,そうかな？
ルビィ,そうですよ。自分と他人の境界線を引けるようになった、そんな風に見えます
曜,……やっぱり千歌ちゃん絡み？
ルビィ,他に何があります？
曜,……ありません
ルビィ,とにかく、1人で立っていられないと感じたら、いつでも頼ってくださいね。わたしが支えてあげますから♡
曜,やだこのイケメンルビィちゃん//惚れ直しちゃいそう♡。……って、何この口いっぱいに広がるみかん風味はっ!?
ルビィ,……さっき会長からみかんジュース貰ったんで//
曜,月ちゃんめぇーっ！ムードぶち壊しじゃないの!!
ルビィ,ふふっ、わたし達らしくていいじゃないですか♡
曜,ルビィちゃん……かもね
ようルビ,ふふっ、あははっ！
曜,じゃあ先に上がりますね
合宿仲間A,お疲れさま～
合宿仲間B,彼女さんと飲みに行くんでしょ？行ってらっしゃい
ルビィ,お疲れさま、曜ちゃん
曜,うん。行こっか、ルビィちゃん
ルビィ,ところで曜ちゃん、いい知らせと悪い知らせがあるんですけど
曜,なんかアクション映画でよくあるヤツだね。じゃあ、悪い知らせから
ルビィ,わかりました。はいっ
曜,善子ちゃんと花丸ちゃんからだね
ちなみに,※現地の方に撮ってもらいました
曜,えーっと、ロカムリ人だったっけ？
ルビィ,はい。イシャロム人とイショロキ人の紛争に巻き込まれて、故郷を追われた少数民族です
曜,これでも中東よりはマシ、なんだよね？
ルビィ,ユチハコ人によるチャキロキ人への弾圧と比べれば、ですか？
曜,うん。一方的な虐殺だって話だし
ルビィ,5倍以上も人口差がありますからね
曜,はぁ、嫌になるね。世界はこうも悪意や憎しみで満ちている
ルビィ,ですね。でも、悪いことばかりじゃないですよ。はい、いい知らせ
曜,来月には2人目が産まれるって？
ルビィ,みたいですよ。千歌ちゃんも梨子さんも幸せそうですよね
曜,だね。いや～、また梨歌ちゃんと会いたいなぁ
ルビィ,ですよね。こういうの見てると、わたし達も子ども欲しくなりません？
曜,うん、わかるわかる
2人は小原グループが研究を進めていた,IPS細胞を用いて女性同士で子どもを作る実験
あの,忘却の書事件
そう考えると、梨歌ちゃんは私を含め多くの人達が,2人の絆を守りたい！
なお、一応鞠莉ちゃんから私達にもメールは送られていたが,オリンピックで自分が納得する結果を遺してから考える
曜,千歌ちゃんも梨子ちゃんも、マイノリティが受け入れられるよう行動してるんだね
ルビィ,女性同士じゃ子どもが作れないから、結婚するメリットはない。完全に女性を子どもを産む機械扱いですよね
曜,結局、そんな風に人付き合いでも何でも損得で考える人が少なからずいる、ってことなんだよね
ルビィ,ですね。でも突き詰めていけば一緒にいて楽しいとか君の笑顔が見たいってのも、自分がそれで得した気持ちになりたいから……になっちゃいますよね
曜,いいんじゃないかな？自分以外の誰かの幸せを喜べるなら
ルビィ,ですね。難しく考える必要はありませんよね
悪鬼と呼ばれる人達のように,自分が気持ち良くなるためなら周囲の犠牲を厭わず、そこに良心の呵責を感じない
受付,いらっしゃいませ。ルビィ・クロサワ様とヨウ・ワタナベ様ですね？
ルビィ,はい
受付,こちらへどうぞ
曜,ふぅ、見た目によらずボリュームあるもんだね
ルビィ,でしたね、わたしももうお腹いっぱいです
栗と松茸の炊き込みご飯に伊勢エビ・大トロ・松阪牛と国内に居ても滅多に口にしない料理ばかりで、とても,地元の味
ルビィ,後はデザートのモンブランケーキだけなんで、美味しくいただきましょうか
曜,あっ、その前にひとつ……いい、かな？
大学の時も、プロになってマネージャーを募った時も、いつだって彼女の方から,やりたい
ルビィ,いいですよ、ひとつでも何個でも
曜,渡したいものがあるんだ。ルビィちゃん
ルビィ,はい
曜,次のオリンピックが終わったら……
ルビィ,終わったら？
曜,結婚しよう
ルビィ,うっ……うっ、ううっ……
曜,ごめん、いきなりこんなこと言って
ルビィ,曜ちゃん……嬉しいです。わたし、すっごくすっごく嬉しいです
曜,じゃ、じゃあ？
ルビィ,はい、喜んで♡
曜,ありがとう、ルビィちゃん♡
ルビィ,でも、こういうのっていわゆる死亡フラグってヤツですからね
曜,へっ!?そうなの？
ルビィ,そうですよ。しかもこの○○が終わったら、結婚しようだなんて、これ以上ないくらいにはベタなタイプの
曜,……言われてみれば、映画とかでよく見るなぁ
ルビィ,まあ、仮に曜ちゃんが本番で足を滑らせた結果、打ち所が悪くて半身不随になったとしても
曜,……なんかえらく具体的なシチュエーションだね
ルビィ,わたしは曜ちゃんを見捨てたりなんてしませんからねっ♡
曜,ありがとね、ルビィちゃん♡でも何か実際に起こりそうで怖くなってきたんだけど
ルビィ,なりませんよ
曜,どうして？
ルビィ,こういうのって、誰かが気付くと逆に生存フラグになるそうなので♪
ようルビ,ふふっ、あははっ♪
