ジャイアン＆スネ夫,のーびー太ーくん
ドラえもん,う～ん･･･････あっ！あれなら使えるかも、正体スコープー！
古泉,何ですその道具は？
ドラえもん,これを覗くと色んな奇怪現象などの正体を見破ることが出来るんです！
キョン,またとんでもなくタイムリーな道具を出してくれたなおい！これならこっちから奴を特定する事も可能なんじゃないか？
古泉,えぇ。いけますね
ジャイアン,よっしゃー！！じゃあ明日早速やろうぜ！！
スネ夫,だね！もうループは懲り懲りだよ
のび太,でも明日僕達には超人選手権もあるんだよ？敵を探す暇なんてあるかな～
キョン,確かにそうだな。それぞれ空いてる時間があるとはいえちょっと短すぎる
古泉,こういうのはどうでしょうか。今回のループでは敵の殲滅に全てをかけ超人選手権の方は諦める。そうすれば敵を探す時間は十分に取れます
スネ夫,えぇ！？それじゃまたループ確定じゃない！！
古泉,しかし、ここできちんと敵を潰しておけば、次回のループでは何の妨害も受けずに競技を進める事が出来ます。前回同様、ドラえもんさんの道具を使えばあの大会で優勝する事は簡単です。最低でも後1回だけのループで全てに片をつけることができます
ジャアイン,ここで倒しても、次のループで生き返っちゃうんじゃないんですか？
古泉,それはありません。相手は時間も空間も超越した存在です。涼宮さんによる能力の干渉は受けませんから、ここで倒す事さえ出来れば以降何度ループを重ねようと再び姿を現す事はないでしょう
キョン,後1回ループ覚悟で選手権を捨て宇宙人を叩くか、ここで終わらす為選手権と宇宙人退治を両立するか････。前者なら確かに後1回のループで済むかもしれないが、後者の場合失敗したらそれ以上のループを重ねることになるかもしれない。勿論成功する可能性もあるだろうが、個人的には前者の方が無難だと思うな
ドラえもん,僕もそう思います！
のび太,僕も！
ジャイアン,俺も！
みくる,私もですぅ
古泉,では決まりですね。このシークエンスでは敵の殲滅にのみ全てかけましょう！
スネ夫,超人選手権を捨てると言っても、ハルヒさんには何て説明するんですか？
キョン,････そういえばその辺を全く考えてなかったな。それどころか、ハルヒの目をかいくぐりながら宇宙人捜索など出来るのか？
ドラえもん,問題ありません！いい物があります、クローン培養気！！
古泉,なるほど、これで僕ら8人分のクローンを作り、涼宮さんと一緒に明日の大会に出場してもらい、その間に僕らが敵の捜索と殲滅に終始するという事ですね
ドラえもん,そうです！
キョン,ちょっと待て！大きな船とは言っても、万が一ハルヒの目の前でもう一人の自分とバッタリなんて事になったらどんでもない事になるんじゃないか？
みくる,確かにそんな所見られたら大変な事になりますぅ～
ドラえもん,だったら僕らはこれをかぶって行動しましょう！透明マント！！
キョン,クローンの次は透明人間か･･･お前は長門以上に何でもありだな
古泉,しかし、これでは僕らも互いに視認できなくなるのでは？
ドラえもん,大丈夫です！マントをかぶっている者同士なら見えます！
古泉,なら問題ありませんね。早速我々8人分のクローンを作成しましょう
キョン,もう作るのか？
古泉,こういう事は早い方がいいですよ。今のうちに8人分のクローンを作り部屋には彼らに戻ってもらい、僕らはここで明日を待つ
キョン,まぁ、明日の朝になってからドタバタするよりはいいか
ドラえもん,ではみなさん、髪の毛1本でいいのでこの機械に入れてください！
キョン,なんだか凄い音だな････大丈夫かこれ？
のび太,な、何だか気味が悪いよ～
ジャイアン,すげーや、こいつ俺そっくり
スネ夫,もう、当たり前だろ！クローンなんだから
キョン,何でこいつら何も喋らないんだ？目線もずっと同じ所ばかり見てるし正直かなり不気味だ･･･。こんな状態でハルヒの所へ行かせて大丈夫なのか？
ドラえもん,このクローン達は僕達オリジナルが一定の距離入ると待機モードつまり今みたいに何も喋らず何も考えない状態になるんです
古泉,なるほど、最悪鉢合わせた時の為の予防策のようなものですね
キョン,しかしこんな状態じゃこれから自分の部屋にすら帰れないぞ？俺達が少し離れるしかないのか？
ドラえもん,待機モードの中はこのリモコンで操作する事ができます。さ、みんな部屋に戻って！明日は超人選手権の方よろしく頼むよ！
みくる,うぅ～、気味が悪かったですぅ
キョン,出来る事ならもう二度と顔をあわせたくはありませんね
古泉,これで準備は完了しましたね。では僕たちも休みましょう明日は忙しくなるでしょうからね
みくる,えぇ！？こ、ここでみんなと一緒に寝るんですか～！？そ、そんなの無理です～///
古泉,そう言われましても･･･部屋に戻るわけにもいきませんからね
キョン,ドラえもん、何とかならんか？
ドラえもん,壁かけアパート！。中には全部で12部屋あります！今日はこの中で休みましょう！
ジャイアン,やっほー俺一番！
スネ夫,僕二番！
のび太,あぁ、待ってよー！
みくる,ありがとうございますドラえもんさん！助かりましたぁ～
ドラえもん,いえいえ
キョン,壁かけアパートか、家賃いらずの土地いらず。便利すぎるだろ･･･
古泉,未来の世界というのは、我々の想像を遥かに超えているようですね
キョン,それにしても何で朝比奈さんはドラえもんの道具に関して何も知らないんだろうな？ドラえもんのいた世界よりも先の未来から来たって言ってたのに
古泉,禁則事項だと言っていましたからね。我々に知るすべはありません
キョン,まぁどうでもいいんだけどな
古泉,僕たちも中に入りましょう。今日は少々疲れました
キョン,だな。長門、お前も早く入れよ
長門,････
古泉,ではそろそろ僕達も行動を起こしましょうか
スネ夫,あのクローン達はちゃんと上手くやってるんだろうね？
ドラえもん,それはきっと大丈夫だと思う！
キョン,宇宙人捜索はみんな一緒に動くよりもある程度散った方がいいだろうな
古泉,えぇ。ですから二人一組で捜索にあたりましょう
ジャイアン,よしスネ夫！俺達が一番最初に見つけてやろうぜ！
スネ夫,オッケー
のび太,ドラえもん、一緒に行こう！
ドラえもん,いいよ
キョン,じゃあ俺は朝比奈さ
古泉,朝比奈さん、僕と一緒に行きませんか？
キョン,なっ！
みくる,あ、はい･･･分かりました
キョン,(あの野郎！！)
古泉,ではあなたは長門さんとお願いします
キョン,(まぁ古泉と二人になるよりは全然マシだな)よろしくな、長門
長門,････
古泉,捜索するにあたって気をつけてほしい事は、我々のクローンと一定以上の距離に近づかないという事と、敵を発見した際の対処法です。
キョン,ハルヒの目の前で待機モードなんかになられた日には大変だしな
古泉,敵を発見した際はまず長門さんに連絡を取り、彼女と合流するまでは絶対に敵に手出しをしないでください
ドラえもん,分かりました
古泉,では行きましょう！みなさん決して無理をなさらずに
キョン,ふぅ、敵を探し出すのにこれ程便利な道具は無いがこうも人が多いとちょっと大変だな。長門、そっちはどうだ？
長門,いない
キョン,根気強くやるしかないか
のび太,ドラえもんいた？
ドラえもん,いないよ
のび太,人がこんなに多いんじゃ見つけたとしてもすぐ見失っちゃうよ！
ドラえもん,簡単に見つけられると思ったけど、結構時間がかかりそうだね
みくる,人が多すぎて全部見切れませ～ん
古泉,ここは特に人の集まる所ですからね。しかたありませんところで朝比奈さん、一つ聞きたいことがあるのですが？
みくる,何ですか？
古泉,ドラえもんさんの事です。彼の出す秘密道具に対してのあなたのリアクションがどうも僕には不自然に見えたので･･･。あなたはドラえもんさんの道具に対して本当に心の底から驚いていませんでしたか？
みくる,･････
古泉,あなたはドラえもんさんが生まれたとされる22世紀よりも先の未来から来たと言っていましたが、その場合彼の出す秘密道具を知らないはずが無いところがさっきも言ったように、あなたは次々と出される彼の道具に本気で驚いていた。それどころか、ドラえもんさんが現れた時点で相当驚いていたようにも見えました
みくる,き、禁則事項です
古泉,あくまで推察ですが、彼等は全く別の次元の地球から来たのではないですか？だからあなたはドラえもんさんの存在や道具に驚いた。こっちの世界の未来とドラえもんさん達のいる世界の未来とでは科学力に大きな差がある。･･･違いますか？
みくる,･･･その通りです
古泉,やはりそうでしたか。涼宮さんは遂に異世界人まで呼び寄せてしまったという事ですね。これは永久的なものなのでしょうか？
みくる,このループから脱出する事さえ出来れば、たぶんあの子達は元の世界の地球へと帰れると思います
古泉,そうですか。恐らく彼らは8月27日の早朝辺りにこちらの世界へと移動したのでしょうね。しかし彼らが次元移動に気づいていないのはどういうわけでしょうか？
みくる,たぶんですけど、周りの人々や地域なんかも丸ごと巻き込んで移動してきたんだと思います
古泉,だから環境の変化に気づけないわけですか。元々あちらの地球とこちらの地球とでは大した変化もないのでしょうし、周りの人間がそのままならば気づかずにそのまま進んでしまうのも仕方ないのかもしれませんね
スネ夫,ジャイアン、見つかった？
ジャイアン,全然
スネ夫,もう、人が多すぎてこれじゃ見つかりっこないよ！
ハルヒ,あれ？あんた達こんな所でなにやってるのよ？
スネ夫,うわっ！！！
ジャイアン,す、涼宮さん！！
ハルヒ,何驚いてんのよ？というかアンタ達さっきまでカラオケ大会の会場にいたのに、いつの間にこんな所まで移動したのよ？
スネ夫,そ、それはその････
ジャイアン,スネ夫、逃げるぞ！！
ハルヒ,ちょっと待ちなさいよ！私から逃げれるとでも思ってるの！！
ジャイアン,なんて速さだ、このままじゃ追いつかれるぞ！！
スネ夫,ジャイアン、透明マントをかぶろう！！
ジャイアン,そうか、その手があったか！！
ハルヒ,き、消えた！！？
スネ夫,よし、このままゆっくり離れよう！声出しちゃ駄目だよジャイアン
ジャイアン,分かった！
ハルヒ,さっきまで目の前を走っていたのにいきなり消えた･･･何処かに隠れたのかしら？不思議だわ･･･
スネ夫,は～、ここまで来ればもう大丈夫だろう
ジャイアン,いきなり目の前に出てくるんだもん、ビックリだよな～
スネ夫,やっぱりこのマントはかぶっておいた方がいいね！
ジャイアン,そんな事より俺腹減ったよ。宇宙人なんて何処にもいないじゃねーか
スネ夫,あれだけ探してもいないんじゃ、僕らの捜索範囲にはいないのかもね
ジャイアン,だろ？もう諦めてなんか食おうぜ～
スネ夫,じゃあ最後にもう一回だけこの辺りの人達を調べてみるか･･･
ジャイアン,いるわけないってのにもう！
スネ夫,わー！！わー！！いたよジャイアン、宇宙人！！
ジャイアン,えぇ！？どいつだ！？
スネ夫,ジャイアンも見てみなよ！あそこに立ってる制服着たおじさん！！地球外生命体って文字が浮き出てる！
ジャイアン,本当だ･･･
スネ夫,船の関係者に乗り移ってるんだ！早く長門さん達に報告しよう！
キョン,ん？スネ夫達から電話だ！あいつら見つけたのか？。もしもし俺だ、見つけたのか？･･････あぁ、分かった、直ぐに行く！古泉やドラえもん達にも連絡しといてくれ！。長門、11階だ！！行こう！
長門,･･･
キョン,待たせて悪い！で、奴はどれだ！？
古泉,あそこで腕を組んでる制服を着た男性のようです
ドラえもん,スネ夫くん、よく見つけたね！
スネ夫,はは、まぁ僕にかかればこんなもんだよｗ
ジャイアン,よく言うぜ、諦めかけてたくせに
スネ夫,それはジャイアンでしょ！
みくる,あのぉ～、それでこれからどうするんですか？
古泉,ゆっくり背後に回り、僕らで彼を羽交い絞めにて自由を奪い長門さんが例のプログラムを注入する････というのはどうでしょうか？
キョン,随分荒っぽい作戦だが、まぁそれが一番手っ取り早いな
ジャイアン,力仕事なら俺に任せてくれ！
古泉,長門さん、朝比奈さん、ドラえもんさん以外の5名で取り押さえましょう
のび太,あの･･･僕もあまりそういうのは･･･
古泉,ではのび太さんを除いた4名でいきましょう！準備はよろしいですか？
ジャイアン,いつでもいいぜ！
スネ夫,僕も！！
キョン,さっさと終わらせちまおうぜ
古泉,では行きましょう。取り押さえたら長門さん、よろしくお願いします
長門,･･･
船員,な、何だ！！？
ジャイアン,ようやく捕まえたぞ宇宙人！！
船員,！！？
スネ夫,観念しろ！！
古泉,逃げ場はありませんよ
キョン,前回は世話になったな！悪いがお前のハルヒ観測はこれで終わりだ！長門！！
インターフェイス,ぐあっ････
長門,注入完了
キョン,これでもう人体移動は出来なくなったな、宇宙人さんよ
インターフェイス,そうか････姿を隠してるんだな！！小賢しい真似を！
キョン,賢しくて結構だ。これでお前も終わりだな
インターフェイス,どうせあのロボットの道具だろ？やっぱりあれは危険だったな次のループでは初日に始末してやる！
ジャイアン,お前に次なんかないっつーの！
古泉,大人しく降参してもらえますか？そうすれば、危害を加えるつもりはありません
ヒューマノイド,偉そうな奴････これで勝ったつもりかい？
古泉,！？危険です、みなさん離れてください！！
スネ夫,め、目が光ってる！？
ジャイアン,こんにゃろう！この期に及んで何するつもりだ！
ヒューマノイド,おかしなプログラムを入れられたせいで僕はもう人体移動が出来なくなった。この時点で僕はもう用無し、恐らく彼に消されるだろう。でもただでは消えない！最後に君達を道連れにしてあげるよ！！
ドラえもん,わっ！透明マントが！？
ヒューマノイド,やっと姿を現したね。ここからが本当の戦いだよ
のび太,な、何ここ！？あたり一面暗くなってるよ！？
キョン,俺が朝倉涼子に殺されそうなった時教室にできた空間に似てる！
みくる,ふえ～ん
ドラえもん,いったいどうやってこんな事を･･･
ヒューマノイド,簡単な事だよ、この惑星の建造物や乗り物なんて、ちょっと分子の結合情報をいじくれば直ぐに改変できる。ちなみに11階のこの空間は密室。逃げ場はないよ。さて、どいつからいこうかな･･･やっぱりここは同じヒューマノイドからかな？
スネ夫,まずいよ、あいつ本気で僕らを殺す気だ！！ママー！！
ジャイアン,こんにゃろう！来るならこい！！
キョン,ちっ、どうする古泉！？
古泉,この空間は彼の情報制御下、ここで彼と勝負するのは自殺行為かもしれませんね･･･長門さん、彼の組んだ情報結合を解除し、元の空間か或いは長門さんの情報制御下に塗り替える事は可能ですか？
長門,不可能ではない。･･･ただ時間がかかる
古泉,どれくらいです？
長門,････最低でも5分
古泉,分かりました、ではお願いします。その間は僕が何とか食い止めます！
キョン,食い止めるったってお前一人でどうするつもりだ？
古泉,不幸中の幸いというべきか、どうやらこの空間では超能力が使えるようです。これなら時間稼ぎくらいは出来ます
キョン,お前･･･
古泉,では長門さん、お願いします
ヒューマノイド,最初は君か、喋り方とかいろいろ気に食わないからじっくり殺してあげるよ♪
スネ夫,わっ！古泉さんの身体が！？
ジャイアン,すげー、本当に超能力者だったのか
長門,パーソナルネーム不明、対象の当該対情報連結解除開始
キョン,5分か････あいつ一人に任せてられるか！俺も
長門,あなたは駄目
キョン,何でだ！？
長門,私の役割は涼宮ハルヒの観測とあなたの保護
キョン,ここで仮にあいつに殺されたとしても、31日を過ぎればどうせまたループするんだろ？そしたら生き返るじゃないか！
長門,それは無理。敵は恐らく私達を殺した後涼宮ハルヒの記憶を消すつもりそうなったら二度と生き返れない
キョン,あいつにはんな事もできるのか･･･。でもこのまま古泉一人に押し付けるわけには･･･
長門,私が参戦する
キョン,でもお前にはやる事があるんじゃ？
長門,多少処理スピードは遅くなる。でも戦闘しながらでも可能
ドラえもん,いいえ、長門さんは敵の情報連結解除に専念してください！古泉さんの援護は僕達がやります！！
のび太,えぇ！？僕達で！？
スネ夫,あんな化物と戦ったって僕らじゃ時間稼ぎも出来ないよ！
キョン,古泉！！！。くそ、俺には何もできないのか！！
ドラえもん,このままじゃ古泉さんが危ない！みんなで力を合わせて僕らも戦おう！
ジャイアン,おう！！！仲間を見殺しには出来ないぜ！！そうだろスネ夫！！
スネ夫,う･･･うん
ドラえもん,空気砲！ショックガン！ひらりマント！タケコプター！みんな好きなのを取ってくれ！くれぐれも無理はしないようにね！
のび太,わ、分かった
ジャイアン,よっしゃー、いくぜー！！！
スネ夫,くそー、もうどうにでもなれー
のび太,神様！
ドラえもん,よし、じゃあ僕も！
キョン,そうだ！！ドラえもん、俺にあの道具を使わせてくれ！！
ドラえもん,あれって何です？
キョン,あれだよあれ！！あれさえ使えば俺は絶対に死なない！絶対に死なないんだから俺もみんなと戦っていいだろ長門！？
長門,･････あれってなに？
ヒューマノイド,段々と動きのキレが無くなってきたね。そろそろ限界かな？
古泉,ﾊｱﾊｱ････さぁ、それはどうでしょうかね
ヒューマノイド,････やっぱり君は気に食わない。もっと遊びたいけどこれで終わりにしてあげる
古泉,ぐあっ････
ヒューマノイド,死ね！！！。くっ･････何だこの攻撃は！？
ジャイアン,見たか宇宙人！！俺様の強さを！！
スネ夫,流石ジャイアン！！よーし、僕たちもいくよのび太！
のび太,うん！
ヒューマノイド,そんな攻撃当たるか！！
スネ夫,わっ、簡単に交わされた！！
ヒューマノイド,死ね！！
のび太,うわー、こっちにくるー！！
ドラえもん,ひらりマントー！！
ヒューマノド,馬鹿な！？あの攻撃を弾き飛ばすなんて！？
古泉,みなさん････ありがとうございます
ドラえもん,古泉さんはそこで休んでてください！ここからは僕達で何とかします
古泉,分かりました･･･
ジャイアン,さあ、来るならきやがれ！！
ヒューマノイド,あのロボットの道具か････。目障りな奴だな、でもこれは防げるかな？
のび太,うわっ！
ジャイアン,ド、ドラえもん！！
ドラえもん,駄目だ、流石にこの大きさのは防ぎきれない！逃げろー！！
のび太,うぅ･････
スネ夫,僕、もう駄目････
ジャイアン,ぬ～
ドラえもん,く･･････くそぅ････
ヒューマノイド,フフ、僕の勝ちだね。ゆっくり切り刻んであげるよ♪
キョン,まだ勝負は終わってねーぜ
ヒューマノイド,ん？･･･何だ君いたの？
キョン,そいつらを殺す前に俺と一対一で勝負しろ！
ヒューマノイド,一対一で？別に構わないけど、止めた方がいいんじゃない？君は普通の人間だ。宇宙人でも無ければ超能力者でもない。それとも君も未来のロボットくんの道具を使って戦うつもりかい？
キョン,いいや、お前なんて素手で十分だ
ヒューマノイド,ハハ、笑えない冗談は止めてよｗ
キョン,冗談かどうか試してみろよ？
みくる,キョ、キョンく～ん･･･
キョン,大丈夫ですよ朝比奈さん。俺は絶対に死ぬわけありませんから
ヒューマノイド,いちいち癇に障る奴だな････じゃあ試させてもらうよ！！
古泉,まずい、このままでは！！長門さん、彼を！！
長門,････
キョン,大丈夫だ長門、俺を信じろ！！
ヒューマノイド,ぐあああああああああああ！！！
ドラえもん,何だ？何もしてないのに急に苦しみだしたぞ？
キョン,ふぅ
ヒューマノイド,くそっ、さっきのプログラムの影響か！！！！ぐあっ！！
キョン,こんな時に持病が再発するなんて気の毒な奴だな
ヒューマノイド,ぐぎぎぎ、黙れ！！この症状が消えたらお前なんて直ぐにでも殺してやる！！
キョン,それは無理だな、今の俺は宇宙一ついてる男だ。お前になんて負けるか
ヒューマノイド,な････何わけの分からない事を･･･言ってやがる！！！ぐおおおおおおおおおお！！！
みくる,きゃあ！
キョン,朝比奈さん、下がっててください
ヒューマノイド,ﾊｱ、ﾊｱ････フフ･･･フフフフフ。修復完了･･･さあ、お望み通り一対一といこうか！！！
長門,終わった
ヒューマノイド,ﾊｱ、ﾊｱ･･･フフ、そうだ･･･お前らはもう終わりだ！！
長門,違う
ヒューマノイド,死ねー！！！！！！！
長門,情報連結解除
ヒューマノイド,そんな！？
長門,あなたは優秀。だからこの空間プログラムを割り込ませるのに時間がかかったでも、もう終わり。
ヒューマノイド,ふざけるな！！統合思念体の犬が！！最後にお前だけでも！！
キョン,そうは行くかよ！！
ヒューマノイド,ぐあああぁぁぁぁぁぁぁぁ
キョン,ふぅ、何とかなったか
古泉,やりましたね
キョン,お前大丈夫か？ボロボロじゃないか･･･
古泉,正直大丈夫とは言えませんね、今も意識が飛びそうです
キョン,早く医務室に行こう！俺が連れてってやる
長門,必要ない
キョン,必要ないって、どうするつもりだ？
長門,元の身体の状態を再構成する
スネ夫,わっ！傷が治った！！
のび太,本当だ！！もう全然痛くない！
ジャイアン,んん････あれ？宇宙人はどうしたんだ？
古泉,もう倒しましたよ
ジャイアン,えぇ！？誰が！？
ドラえもん,キョンくんが黄金バットでやっつけたのさ！
ジャイアン,キョンさんが！？すげーや！
キョン,勝てたのはドラえもんの道具のお陰さ
ドラえもん,あそこでツキの月を飲むなんて発想は僕には出てきませんでしたよ
古泉,ツキの月を？･･･なるほど、だからあなたはあんなに強気だったのですか
キョン,あれを飲めば7連続でロイヤルストレートフラッシュが出るほどつきまくるんだまさかその間に殺されるなんて不運が起こるわけがないと思って飲んだらこれだドラえもんの道具は本当に凄いぜ
みくる,そうか～、だからキョンくんはあんなに自信があったんですね！
古泉,いや～、確かにドラえもんさんの道具も素晴らしいですがあなたの冷静な判断力があってのものですよ。御見それしました。
スネ夫,それより僕達いつになったら元いた場所に戻れるの？
キョン,長門、頼む
長門,元いた場所を再構築する
のび太,はぁ～、やっと戻ってこられた
スネ夫,疲れた～
ジャイアン,俺もうくたくた
ドラえもん,忘れてたけど、後一回ループしなきゃいけないんだよね･･･
キョン,まぁいいじゃないか。15000回以上も繰り返してた事が後1回で済むんだからよ
古泉,今は午後7時。丁度超人選手権が終わった頃でしょうか。ではドラえもんさん、大会に参加してる僕らのクローン達を消してくれませんか？
キョン,どうせループが確定してるんだから、残り1日のハルヒの相手もあのクローン達に任せて、俺達は例のアパートか何処かで休んでればいいんじゃないか？
のび太,でもそれだと涼宮さんが可哀想じゃないですか？
スネ夫,何でさ？向こうにいるのは完璧なクローンなんだよ？偽者だって気づけるはずないんだから別に可哀想じゃないじゃない
キョン,･････いや、のび太の言うとおりだな。どうせループは確定しているが、やっぱり戻ろう
古泉,そうですね
みくる,はい♪
長門,･･･
ドラえもん,ではこの入れ替えスイッチを押します！このスイッチを押すと向こうにいるクローンと僕達の場所が入れ替わります
キョン,そりゃ便利だな。でもこっちに移動したクローン達はどうなるんだ？
ドラえもん,入れ替え完了後すぐに消去されるから問題ありません
古泉,移動の手間が省けましたね。ではドラえもんさん、お願いします
キョン,みんな気合入れとけよ。向こうへ行ったら選手権に優勝出来なかった事に腹を立てたハルヒが俺達に八つ当たりしてくるだろうからな
古泉,そういえばそうでしたね
ドラえもん,では押します！
司会,第3回超人選手権総合優勝は･･････SOS団チームです！！！！！
キョン,･･･････････････････････は？
ハルヒ,やったわねキョン！！！！総合優勝よ！！！
キョン,･･･････総合･････優勝？････誰がだ？
ハルヒ,何寝ぼけてんのよ！！私達SOS団がに決まってるでしょ！！
キョン,･････何だと！！！！？
ハルヒ,しかも2位のチームに大差をつけての圧勝劇！！素晴らしいわ！！
スネ夫,嘘！？優勝したの！？じゃ、じゃあもうループしなくて済むんだ！！やったー！
ジャイアン,やったなスネ夫！！
ドラえもん,よかったねーみんな
みくる,うぅ～、よかったですー
キョン,古泉、これはどういう事だ？俺達が15000回以上も優勝出来なかったこの大会をあのクローン達が1回で優勝しちまったぞ。それもドラえもんの道具無しでだ！あいつらは俺達と知能も体力も同じはずだよな？
古泉,えぇ。恐らくこれは、あなたが飲んだツキの月の影響ではないですかね。まだあれから3時間は経過していません。つまり、今現在もあなたは宇宙一ついてる人間という状態なんですよ。だからこんな事が起こったんだと思います。
キョン,だが飲んだのは少なくとも殆どの競技が終わった時間帯だぞ？そこから一気に逆転したってのか？
古泉,その辺りに関しては確かな事は言えません。推察ですが、あなたがあの時間あの場所でツキの月を飲むという行為は既定事項だったのかもしれません。そう考えれば、それを飲む前からあなたの幸運の為の下準備が始まっていたとしても何ら不思議ではありませんよ
キョン,いや、不思議だらけだ
古泉,ドラえもんさんの道具は我々の想像を絶します。考えても分からないでしょう今はこの目の前にある幸運を喜びましょう
キョン,だな。もう1度すると覚悟していたループが無くなったんだ。喜ばずにはいられん
ハルヒ,キョンに古泉くん、いつまでぶつぶつ話してるのよ！！ステージの壇上で記念の集合写真を撮ってくれるらしいわ！早く行くわよ！
キョン,へいへい
ハルヒ,何か足りないわ！！うん、絶対に何か足りない！！
ドラえもん,えぇ！？
ジャイアン,何かって、何がですか？
ハルヒ,それが分からないのよ･･･でも何かが物足りないのよね！このままこの旅が終わっちゃったら何だか消化不良な感じがするわ
のび太,そ、そんな～
キョン,超人選手権で優勝してSOS団の名を轟かせる事に成功した上に賞金1000万も手に入れたんだぞ？これ以上に何が物足りないってんだお前は！？
ハルヒ,うるさいわね～。何かよ、何か
キョン,だからその何かが何なのかを教えてくれ･･･じゃないと俺達はまた･･･
古泉,これは参りましたね･･･
みくる,ふぇ～ん
スネ夫,ドラえもん、何とかしろよ！またループする事になるぞ！！
ドラえもん,そんな事言われても僕にもハルヒさんが何をしたがってるのかなんて分からないよ！
のび太,長門さんは？
長門,分からない
ハルヒ,みんなしてさっきら何ヒソヒソ話してるの？いいわ、ちょっと物足りないけどまぁこんなもんでしょ
キョン,おいちょっと待て！！何処へ行く？
ハルヒ,何処って、自分の部屋だけど？今日はみんなまだ疲れが抜けてないだろうから自由行動って事でいいわ。また夜にね
キョン,(ま、まずい･･･このままじゃ････)
ドラえもん,うわっ！これは！！
みくる,凄い既視感です～
キョン,(そうか、前回は俺とドラえもんが監禁されたから無かったがそれ以外の殆どのループで俺達はこの場面を経験しているんだ！)。(以前までのループなら、あいつが感じてる物足りなさの正体は超人選手権で優勝出来なかった事だろうが、今回は違う！！俺達は優勝している！！他にあるはずだ････何か･･･何かが！！)。(このままあいつを行かせちゃ駄目なんだ！！････ええい、もう何でもいい！！何でもいいから言っちまえ俺！！)。ハルヒ！！！！
ハルヒ,何よ？大きな声だして、みっともないわね
キョン,いや･････その･･･
ハルヒ,用が無いなら行くわよ
ドラえもん,そうだ！！のび太くん、宿題やらなきゃ！！
のび太,もう、今そんな事言ってる場合じゃないだろう！！
キョン,宿題･･････そうだ！！！宿題だ！！！
ジャイアン,えぇ！？
キョン,いいかハルヒ！俺は夏休みに出された宿題を何一つやってない！それをしないと俺の旅行を終わないんだ！！
ハルヒ,はぁ？なに言ってんのよアンタ？
キョン,おい古泉！！！
古泉,は、何でしょう？
キョン,お前は終わっているのか？
古泉,いいえ、バタバタしていましたからね。まだ半ばと言ったところでしょうか
キョン,じゃあ一緒にやろう！！長門も来い、お前もまだだよな！。ついでだ、朝比奈さんも来てください！この夏の宿題を全部終わらせるんです！
みくる,え････でも、その、どこへ？
キョン,俺の部屋でやりましょう！！確かみんなノートも問題集も持ってきてましたよね？長門と古泉、出来てるところまで俺に写させろ！！
古泉,分かりました。長門さんもそれでよろしいですか？
長門,いい
キョン,おいジャイアン！！どうせお前も終わってないだろ！！のび太達と一緒にまとめて終わらせちまえ！！
ジャイアン,えぇ！？は、はい･･･
キョン,スネ夫は！？
スネ夫,ぼ、僕はもう終わってるけど一応問題集とノートは持ってきてる
キョン,よし、じゃあのび太とジャイアンに写させてやれ！！よし、神戸港到着まで時間が無い！！今すぐやるぞ！！後数時間でどうにかしてやるぜ！！
ハルヒ,待ちなさいよ！！勝手に決めるんじゃないわよ。団長は私なのよ！まず私に意見をうかがいなさい！団員の独断専行は重大な規律違反よ！！。私も行くからね！！！
キョン,お前達ともこれでお別れか。何だか寂しいな
ドラえもん,きっとまた会えますよ
ハルヒ,そうよキョン！いい、遠くに行ってもあんた達はずっとSOS団の団員だって事を忘れちゃ駄目よ！！
のび太,あれ？仮団員じゃなかったんですか？
ハルヒ,いいえ、もうあんた達は立派なSOS団の団員よ！！
ジャイアン,ハルヒさん、次会う時は腕相撲、負けないからな～！！
ハルヒ,いつでも相手になってあげるわ！その時まで一生懸命鍛えるのよ！
ジャイアン,はい！
ドラえもん,それじゃあみんなそろそろ行こうか
キョン,ドラえもん、お前には死ぬほど世話になった。ありがとうな
ドラえもん,いえいえこちらこそ
古泉,僕も大変お世話になりました。あなたがいなければ、今回のループから脱出する事は不可能だったでしょう。本当にありがとうございました
みくる,ドラえもんさん、ありがとうございました。さようなら
長門,･････ありがとう
キョン,長門･･･
ドラえもん,いやいや、僕もみんなにはお世話になりっぱなしで
のび太,じゃあ行こうドラえもん
キョン,のび太、あまりドラえもんに甘えすぎるなよ
のび太,はい
ハルヒ,みんな、私たちの事忘れちゃ駄目よ！！その内絶対に会いに行くからね！！
ドラえもん,はーい！
ジャイアン,待ってまーす
のび太,じゃーねー！
スネ夫,さようなら～
ドラえもん,コラ！！起きろのび太くん！！今日から学校でしょ！
のび太,う～～ん、後5分････････んん！？学校！？･････って事は！？
ドラえもん,うん、今日は9月1日！！僕たちはループを脱出したんだよ！
のび太,やったー！！！
のび母,何を大きな声出してるの！早くご飯食べて学校に行きなさい！！
のび太,はーーい！
ジャイアン,やったよ母ちゃーーーん！！！
ジャイ母,何だよ～この子ったら朝っぱらから抱きついてきて
スネ夫,ループが終わったよママー！！
スネ母,あらまスネちゃま急にどうしたザマス？
キョン,別の地球からきただと？
古泉,えぇ。彼らはこことは別の次元に存在する地球からこちらの地球へと飛んできたんですよ
キョン,それもハルヒの仕業か？
古泉,だと思います
キョン,まぁドラえもんの道具に対する朝比奈さんの反応は確かに不自然だったがまさかそういう事だったとはな
古泉,彼らのいる地球の未来は、こちらの地球の未来よりも遥かに科学文明が発達しているようです
