魔族兵B,い、今“魔王”様って言ったのか？
魔王,魔ショウジョさん……みんナをマモッテ
魔少女,う、、うん
女側近,自我があるの……？
先代魔王,なんと……。面白い。これこそ弱肉強食っフハハハハハッ
魔王,ガアあああアあっ！！！
少年勇者,な、なんて戦いだ……
先代魔王,フハハハハハッ楽しいぞ。これほど充実した戦いは久しぶりじゃ
魔王,ガアああっ！
先代魔王,ほれっ
魔王,うっとうシイッ！
女側近,魔王様……
魔少女,まおー様……頑張って
少年勇者,アイツなんなんだよ……
先代魔王,結局のところ戦うしかない。それでも弱肉強食を否定するのか？
魔王,ボクらは魔物ジャナイ……知セイがあるンダヨ。タタカワナイ選択肢もアル
先代魔王,甘ったれだ。その様な考えでは誰もついてはこまい
魔王,魔ゾクだっテ……ニンゲンダッテ……戦いをモトメていないっ！
先代魔王,何もわかっていない。全ては戦いじゃ。学問だろうと仕事だろうと、全ての理は争いで満ちている。生まれた時から皆不平等なのだ。魔力、金、地位、チカラ。ならば戦って競い合うことが、この不平等な世界を生きるすべではないのか
魔王,違うっ！みンナ不平等だからこソ、手を取り合ウベキナンダっ
先代魔王,燃えろっ
魔少女,きゃああああっ
先代魔王,フハハハッ……足手まといをかばってどうする
魔王,オマエノ考え方でハ悲しむ者が増エル……ガアああアアアっ
先代魔王,ぐっ……
魔王,ガアアアアアああああっ！
魔少女,やったぁ！
少年勇者,やったか……
女側近,魔王様……
魔王,ハァはぁ……ガァハァ……ボクハ負けナい
先代魔王,まさか傷を負うとは思っておらんかった。魔剣のチカラとは素晴らしい
魔王,ガアアアアアっ！！。があ……アアアアアああ……
先代魔王,これで動けまい
魔王,クソォぉ……
先代魔王,弱ければ、何も変えられない。何も動かせない
魔王,ガアアアアア……
先代魔王,余が正しい。証明しよう
魔王,あ、……あ、……。ぎゃあああああああああああっ！！！
先代魔王,ククク……フハハハハハッ
女側近,魔王様ぁぁぁっ！！！
先代魔王,なんじゃ余に勝てないというのは、おぬしが一番わかっとるじゃろうが
女側近,ぐぐぐ……きゃあああああああっ
先代魔王,フハハハッ氷魔法で上回れてしまう気分はどうじゃ？
少年勇者,つああああぁっ！。く……はぁ……
先代魔王,おぬしは奇襲してくると思っておったわ
魔少女,あ……あ……
先代魔王,回復せんでいいのか？ほっといたら皆死んでしまうぞ？
魔少女,う、う……
先代魔王,もう魔力が残っておらんのか。つまらん
魔王,うあぁ……うぁ……
先代魔王,この魔剣の魔力は素晴らしいの。貴様のようなクズが支配できたのじゃ……余に扱えん訳はあるまい。魔剣よ……あとは貴様だけじゃ。余にチカラを示せ。来るのじゃ……魔剣よ。貴様も支配してやる。ガアアアアアアアアアアッッッ！！
魔王,ボクは間違っていたのかな？。何も変えられないのか？。みんなを死なせたくない。ボクはどうなってもいい。負けないチカラが欲しい。これが弱肉強食？。あいつの言った通りだ。弱いから結局何も出来ないんだ。ボクは戦えないんだ。そりゃ何も出来ないよ……。…………。……。出来ない？。違う！。出来る出来ないじゃないっ。“やる”っていう意志だ！。忘れちゃダメだ……戦えなくたってここまできたじゃないか。やる……。戦うんだ
先代魔王,ガアアアアアアアアアアアッッッ！！！。ふ……ふ、フハハハハッ！。勝ったぞ、やはり余は最強じゃっ！。これが魔剣のチカラ！素晴らしいっ！。フハハハハッ……はは……は？。あの剣は……
女側近,聖剣……
先代魔王,バカな？！聖剣を持てるじゃと？！
魔王,戦う……
先代魔王,おおおおおぉぉっっ！
魔王,はあぁぁぁぁっっ！！！！！。先代魔王は倒してないんだ
女側近,おそらく人間界に……
魔王,うん、ハッキリ覚えてないけど、多分魔剣も聖剣も向こうの世界に行ってしまったと思う
女側近,つまり再びゲートを開けて攻めてくる可能性がある……ということですね
魔王,必ず……ピエロとエルフさんを助けに行く……
女側近,はい……
魔王,必ずだ
女側近,かしこまりました
魔王,……
女側近,？
魔王,女側近さんは……いや、側近一族みんなだけど
女側近,はい
魔王,一度解散してもらおうと思うんだ。自由になってほしい
女側近,はい
魔王,女側近さんも……普通の魔族として生きてほしい
女側近,魔王様、私は自由を知りません。どうしていいのか分かりませんが……
魔王,うん
女側近,魔王様の側近を続けさせて頂きたいです
魔王,……
女側近,いかがでしょうか？
魔王,それが……キミの意志なの？
女側近,え……？
魔王,側近としてではなく、女側近さん自身の意志なの？
女側近,…………。。はい。私が決めました、私の意志で。魔王様の元で……生きていかせてください
魔王,うん！。……ありがとう
女側近,魔王様一つだけお伝えしておきたいことがあります
魔王,……うん？
女側近,本当のお父様のことです
魔王,知ってるの？！
女側近,はい、以前調べましたので
魔王,確か母さんは魔王軍の騎士だったって……
女側近,そうですね。正確には魔王軍の兵士です。人間との戦争開戦時、異世界からの未知なる敵に魔王軍は大変苦戦し、多くの兵を失いました
魔王,うん……人間から攻めてきたんだよね
女側近,人間の強さは凄まじく、その軍隊は冥都にも迫る勢いでした。そんな中、志願兵として前線へ出たのが貴方のお父様です
魔王,志願……
女側近,記録では……その後、前線にて戦死。となっております
魔王,……
女側近,どのような形で亡くなられたかは分かりませんが、お父様の部隊は大変戦果を上げ、人間部隊を魔界から追い出すことに成功致しました。お父様は冥都を守るために戦った。愛する妻と息子の為に戦ったのだと……思います
魔王,女側近さん……
女側近,それだけは覚えておいてください
魔王,うん
母親の,父親は勇敢な騎士だった
先代魔王は,弱肉強食
女側近,魔王様、お座りください
魔王,うん
[魔王,ボクに魔王なんて出来るわけねぇ
女騎士,こんな勇者についてけねぇ
兵士,勇者の為に死にたくねぇ
勇者,魔王倒したらやることねぇ。魔王を捕まえたが殺さねぇ
どれも単体で読んでも大丈夫なように書いているつもりです。,つもりです
魔王,ボクに魔王なんて出来るわけねぇ
