シャーリー,何の為に？
キョン,どうせ寄り道でもしてるんだろ。この分だと夕食も済ませてる可能性が高いな俺達だけで適当に食べようぜ
古泉,取り敢えずもう少しだけ待ってみましょう
キョン,ったく、いつもは異常なまでに時間厳守なくせに、何やってんだか。電話は！？
古泉,駄目です、繋がりません
ルルーシュ,あの時間に厳しい女が予定の時間を大幅に過ぎても全く姿を現さずおまけに携帯も通じないか････
キョン,長門、何か分からないか？
長門,分からない
古泉,何らかのトラブルに巻き込まれた可能性が高いですね･･･事故という可能性もあります
ルルーシュ,くそっ、俺がついて行っていれば！！
キョン,そんな事言ってても仕方ない、取り敢えず警察に連絡しようぜ！
ルルーシュ,警察は駄目だ、ナナリーがいる･･･見つかってもその後身元がバレる恐れがある
キョン,そうか････でも、じゃあどうするんだ？
ルルーシュ,黒の騎士団を使う。長崎にも数多くの団員や協力者がいる
キョン,電話？
ルルーシュ,俺の携帯だ
キョン,ハルヒからか？
ルルーシュ,いや、非通知だ･･･。もしもし
？,もしもし、ルル～♪僕だよ僕
ルルーシュ,その声･･･マオか！？
古泉＆キョン,！？
マオ,久しぶりだねルル～、元気にしてたかい？
ルルーシュ,お陰さまでな。お前も元気そうでなによりだあの時死んだと思っていたが･･･よく生き延びたものだ。悪いが今お前と喋っている暇はないんだ復讐するつもりなら後で相手になってやるま、その前の黒の騎士団に拘束されるのがオチだろうがな
マオ,随分強気だねぇルル～
ルルーシュ,お前は相手の思考が読めるとは言っても特別力が強いわけでも、頭が良いわけでもない、捕らえるだけなら簡単だ。なに？
マオ,自分が今どういう状況か、考えてみなよ
ルルーシュ,俺の状況？
マオ,ナナリー、何で帰ってこないんだろうねぇ
ルルーシュ,！？･･･まさかお前が！？
マオ,やっと気付いてくれたの？遅いよルル～
ルルーシュ,ナナリーを何処へやった！？
マオ,そう興奮しないでよ。今は眠ってるよぉ、涼宮ハルヒと一緒にね
ルルーシュ,涼宮まで誘拐したのか･･･
キョン,誘拐って･･･何の事だルルーシュ！？
ルルーシュ,お前･･･
マオ,あははは、怒っちゃった？
ルルーシュ,非力なお前が女とは言え二人を誘拐するなど不可能だ他に協力者がいるな？
マオ,まーね、通りかかった奴数人に手伝ってもらったんだ
ルルーシュ,よくそんな事だできたな。わざわざ二人を誘拐したんだ、何か要求があるんだろう？。･･･ゲームだと？。･･･いいだろう、受けてやる
マオ,ゲーム開始は明日の午後15時。場所はアッシュフォード学園
ルルーシュ,アッシュフォードだと？。二人に手を出してみろ、絶対にお前を殺してやる！。････。･･･分かった
マオ,じゃあねールル、また明日♪
キョン,おいルルーシュ、ハルヒ達はマオに誘拐されたのか！？
ルルーシュ,あぁ、だが朝比奈みくるは無事だ眠らせたまま放置したと言っていた
古泉,やられましたね、まさかこのような暴挙に出るとは･･･で、彼は何と？
ルルーシュ,二人を取り戻したければ明日の15時までにアッシュフォード学園に来いとのことだ
キョン,学校に！？
ルルーシュ,人質をとられてる以上向こうの指示通りにするしかない今すぐ東京租界に戻ろう
キョン,戻るったって･･･この時間じゃ電車も飛行機もないぞ？明日一番まで待つしか
ルルーシュ,時間がない、俺のガウェインを使う
キョン,ガウェイン？何だそれ？
古泉,先日九州で起こった旧日本軍による福岡基地襲撃事件その際ランスロットと共に日本軍を殲滅したナイトメアですね
ルルーシュ,あぁ、あの機体ならば公共機関を使うよりも圧倒的に早い行政特区に備えて黒の騎士団の潜水艇で東京へ輸送する予定だったがブリタニアの海上警備が厳しくまだこの辺りに潜伏している
古泉,ではすぐに準備が出来そうですね
ルルーシュ,あぁ
キョン,ちょっと待て、その前に朝比奈さんを回収しないと！何処に置いて来たのか言ってなかったか？
ルルーシュ,いや、何も言っていなかった
キョン,確かハルヒ達はハウステンボスに行くと言ってなかったか？
古泉,しかし攫われた場所もそことは限りません探すとなると少々時間がかかるかもしれませんね
ルルーシュ,時間がない、朝比奈みるくは黒の騎士団に探させる
キョン,おいおい、大丈夫なのかそんな事して？
ルルーシュ,大事な情報提供者との連絡が途絶えたから探して保護しろと伝える恐らく俺達が探すよりも早く見つかるだろうし効率がいい俺たちはすぐに東京へと向かうべきだ
古泉,しかし、何も策を練らずにただ闇雲に向かっていっても勝ち目がありません向こうへ行く前にある程度策を考えなければ
ルルーシュ,違う、逆だ。東京へ行くまでは何も考えてはいけない
キョン,何でだ？
ルルーシュ,マオは半径500m以内にいる人間の思考を読むことができる仮にここでマオ打倒の策が固まったとしても、東京で奴の半径500m以内に入ってしまえばせっかく考えた策は全て読まれ意味がなくなる
古泉,確かにそれでは意味がありませんね。しかし、半径500mですか･･･広いですね
キョン,だがそれじゃ向こうへ行ってからも策を考える事なんて不可能じゃないか
ルルーシュ,そういった事を考えるのも今は駄目だ。あいつは集中すれば相手の深層心理を読む事だってできる。とにかく今は何も考えてはいけない
古泉,想像以上に厄介な能力ですね
ルルーシュ,マオの事だ、恐らく汚い手を使ってくるだろう奴の言っていたゲームとやらの全容が明らかになるまでは何も考えてはいけない
キョン,はぁ･･･頭が痛くなってきたぜ･･･。･･････(思考が読まれちまうんじゃ勝ち目なんてないじゃないか･･･いったいどうするつもりなんだルルーシュは？)
古泉,････(半径500m内に入ったら策がバレる、ではその外から物理的な攻撃をするしかないという事になる。でもそれだけ離れた位置から攻撃など････)
長門,･････
ルルーシュ,おい、黙るな！！沈黙は思考を誘発する、何も考えるなと言っただろ！
キョン,んな事言ったってなぁ･･･この状況で何も考えるなってのは無理な話だぞ
古泉,では歌でも唄いましょうか？
キョン,･･･歌？
古泉,えぇ、歌を唄っている時は他の事など考えられませんからね
ルルーシュ,良い案だ！よし、みんなで唄おう！
キョン,おいおいマジかよ･･･
ルルーシュ,大マジだ。みんなで一緒に歌うぞ！長門有希、お前も歌うんだぞ
長門,･･･
キョン,はぁ･･･
ルルーシュ,ふぅ、何とか間に合ったな
古泉,えぇ･･･しかし、問題はこの後ですね
キョン,う･･･唄い疲れた
古泉,我々は既に彼の範囲内に入っていると思いますか？
ルルーシュ,マオは俺達が到着した事を確認し次第自分から連絡すると言っていたつまり、あいつは俺達が到着した事を確認できる位置で既に待機しているはず
キョン,電話･･･
ルルーシュ,噂をすればだ。黙れ。時間通りに来たぞ。俺たちは何をすればいい？。救い出すと言っても、そう簡単じゃないんだろう？
マオ,勿論、キョンって奴の携帯にメールを送るから添付されてる画像を見てよ
ルルーシュ,画像？キョン、お前にメールが送られてくる添付されてる画像を開いてくれ
キョン,あ、あぁ･･･(あいついつの間に俺のアドレスを)。んなっ！？
ルルーシュ,どうした？
古泉,これは･･･
ルルーシュ,マオ、お前････！！
マオ,あははは、どう？なかなか面白いでしょｗｗ
ルルーシュ,どういうつもりだ！？。貴様･･･
古泉,こんな事までしてただで済むとお思いですか？この勝負、万が一あなたが勝ったとしても、その後あなたを待っているのは死よりも厳しい地獄ですよ？。･･･
ルルーシュ,それでも俺たちの半径500m以内にはいるんだろ？
マオ,勿論、あれ？これって結構なヒントだよねぇｗｗ
ルルーシュ,何処に隠れてるか知らんが、覚悟しておけよ二人を救出したらお前を殺してやる！。何だと！？。くっ････
マオ,じゃーねルル、健等を祈るよ
ルルーシュ,くそ････
キョン,おい、あいつは何て言ってたんだ？
ルルーシュ,もう爆弾の起爆装置が作動している！猶予は110分しかないそれまでに二人を探し出して救出するぞ！
キョン,110分だと･･･
ルルーシュ,マオの言う事が本当ならば二人は学園の半径1km圏内のどこかに監禁されてるはずだ！
古泉,半径1kmですか･･･結構広いですね。三人バラバラになって探しましょう
ルルーシュ,そうだな、見つけ次第他の二人に連絡･･･いいな
キョン,あぁ
ルルーシュ,俺は本館を探す
古泉,では僕は別館を
キョン,じゃあ俺はクラブハウスに行くか。･･･長門はどうする？
長門,･･･グランド
ルルーシュ,よし、じゃあ行動開始だ！時間がない、みんな頼むぞ
キョン,おう！
ルルーシュ,古泉、そっちはどうだ？
古泉,隅々まで探しているのですが･･･そちらはどうです？
ルルーシュ,こっちも駄目だ･･･また連絡する。くそっ、いったい何処にいるんだ！。････マオか
マオ,ルル～、いつまでダラダラやってるのさ。急がないと爆発しちゃうよぉ
ルルーシュ,そう思うならいちいち電話をかけてくるな！
マオ,嫌だなぁ、せっかくヒントをあげようと思ったのにｗｗ
ルルーシュ,ヒント！？
マオ,そうだよ、君達があまりにも不甲斐無いんでね
ルルーシュ,ちっ･･･
マオ,二度は言わないからよく聞きなよ。二人はこの学園内で最も広い所にいる
ルルーシュ,･････
マオ,これがヒントだよ、分かったかな？じゃあ頑張ってねルル～♪
ルルーシュ,学園内で最も広い場所･･･体育館や講堂は古泉が調べてるはずとなると･･･そうか、地下の循環システム！！取り敢えずみんなを呼ぶか
キョン,ルルーシュ！
ルルーシュ,ようやく全員そったか
古泉,何処にいるのか分かったのですか？
ルルーシュ,あぁ、地下の循環システムだ
キョン,循環システム？この学園には地下にそんなもんがあったのか
ルルーシュ,地下へはここのエレベーターから行ける、急ごう。どうだ？
古泉,あなたの言うとおりです。監視カメラにマシンガンが連動してます。あのタイプだと、タイムラグは殆どありませんねエレベーターから出た瞬間蜂の巣です
キョン,マジかよ･･･
ルルーシュ,そうか･･･では一旦上に戻ってシステムの電源を落とそう
長門,問題ない
ルルーシュ,ん？何か言ったか？
キョン,な、長門！？
長門,これで通れる
キョン,相変わらず何でもありだなあいつは･･･
ルルーシュ,何て奴だ･･･
古泉,長門さんがいて助かりましたね。さぁ行きましょう
ルルーシュ,ナナリー！
キョン,ハルヒ！
ルルーシュ,待ってろ、今助けてやる
古泉,待ってください、上を
ルルーシュ,上？･････あれは。振り子爆弾か････
古泉,お二人の周りに設置してある爆弾はダミーのようですねどうやら本丸はあれのようです
ルルーシュ,マオめ、どこまでの人をおちょくれば気が済むんだ
キョン,ていうか二人とも大丈夫なのか？何かぐったりしてるが
古泉,恐らく眠らされているのでしょう。しかし、これはこちらとしては好都合ですナナリーさんはともかく、涼宮さんに見られている状況ではあまり派手な行動は取れませんからね
キョン,なぁ、あの爆弾はそんなにやばいのか？
長門,振り子爆弾、いつまでも運動が止まらないようにソレノイドがエネルギーを与え続けている爆弾。外部からそれ以外の力が加わった場合爆発する
ルルーシュ,この場合、恐らくナナリーと涼宮ハルヒを動かしても爆発するだろうな
キョン,爆発の規模は？
長門,半径500m以上
キョン,俺達だけじゃなく、上にいる他の生徒も吹っ飛ぶな･･･
古泉,解体の方法は分かりますか？
ルルーシュ,理屈はな、起爆装置から出ている導線を切断するだけだあいつは本職じゃないからダミーを割り出す事は簡単だしかし、他の方法を考えるしかない･･･
キョン,どうしてだ？区別さえつけば後は切るだけだろ？
ルルーシュ,ごく僅かな揺れ幅の中で一本の導線を切断する･･･人間業じゃない
長門,私がやる
ルルーシュ,簡単に言うな、情報が少なすぎる！
古泉,しかし、慎重になっている時間はありません。起爆まで30分を切っていますここは長門さんに任せるしかないでしょう
ルルーシュ,しかし･･･
古泉,それに情報ならあなたの目の前にあります。長門さんは先程見せたような並外れた運動能力を持った宇宙人です。これらの情報は生かせませんか？
ルルーシュ,･･･いいだろう、ここは長門有希に任せる
長門,切る線は？
ルルーシュ,赤だ、青と黄色はトラップだ
長門,分かった
ルルーシュ,さっきお前は爆発の規模は半径500m以上と言っていたな？それは間違いないか？
長門,間違いない
古泉,では今我々は彼のギアスの効果範囲外にいる可能性が高いという事ですね
ルルーシュ,あぁ、あいつは臆病だからな。早々に安全地帯へと退散しているはずだつまり、今は俺達の思考は一切読まれていない。これは千載一遇のチャンスだ
古泉,あそこに監視カメラがあります。あのカメラの配信先を調べれば彼の居場所は簡単に割り出せますね
キョン,でもどうするんだ？いくらここで作戦を立てても、またあいつの半径500mに入ったら全部バレちまうんだぞ？
ルルーシュ,･･･････。カメラの配信先はここだ
キョン,まさかこんな近くにいたとはな
ルルーシュ,恐らく一度は学園の外に出て、俺達が地下へ行ったのを確認した後で移動したのだろう。ふざけた奴だ
キュン,作戦を考えようにも、ここでの思考は全部読まれてるんだよな･･･
ルルーシュ,あぁ
キョン,勢いでここまで来ちまったが、どうするんだ？
ルルーシュ,爆弾の事はどうにもならない、長門と古泉には動くなと伝えた後は俺達がやるしかない
キョン,････負けを認めるのか？
ルルーシュ,それ以外に二人を助け出す方法が見つからない･･･それに負けを認める事で二人が助かるなら、俺はそれで構わない
キョン,ルルーシュ･･･
ルルーシュ,時間がない、入ろう
キョン,あぁ
マオ,いらっしゃーい泥棒ネコくん！
ルルーシュ,マオ････
マオ,爆弾を放置した上に、無策のままここへ来るなんて君らしくないじゃない
ルルーシュ,マオ、俺は･･･
マオ,負けを認めて降参するとか考えてたみたいだけど、そんなの上辺だけだね現に君は今でもいろいろと策を練ってる。全部筒抜けだけど僕はその気になれば深層心理まで読むことが出来るんだ、この状況で僕を出し抜こうなんて不可能だよルル
ルルーシュ,くっ･･･
キョン,ルルーシュ･･･
マオ,はは、横の君は心から負けを認めてるようだね。ルル、彼を見習いなよそして心から僕に負けを認めるんだ。そうすれば二人は助けてあげるよ
ルルーシュ,お前･･･
マオ,爆発まで後15分くらいは時間があるけど、このスイッチを押せば遠隔操作でいつでも爆弾を爆発させる事ができる。ルル、愛しのナナリーの命は今僕が握っているんだよ？
キョン,ルルーシュ！！
ルルーシュ,････分かった
マオ,お、考えがまとまったようだね
ルルーシュ,マオ･･･俺の負けだ、頼む二人を助けてくれ
マオ,駄目駄目、全然駄目だよルル！僕は心の底からって言っただろ？まだ心のどこかで僕を倒す策を考えてる君がいるよ！
ルルーシュ,くっ･･･
マオ,出来ないのなら押しちゃうよスイッチ？
ルルーシュ,わ、分かった！！言うから待ってくれ！！
マオ,これが最後のチャンスだ、次はないよ
ルルーシュ,･･･あぁ
マオ,じゃあどうぞ
ルルーシュ,マオ、俺の負けだ。お前の･･･お前の勝ちだ俺はどんな罰でも受ける、だから二人は助けてくれ！！
キョン,ルルーシュ･･･
マオ,ふっ、ふはははは！！やっと君の心からの敗北宣言が聞こえたよｗｗこれほど愉快な事はないｗｗｗ最高の気分だｗｗｗ
ルルーシュ,さあ約束だ、二人を助けてくれ！
マオ,約束？何の事だろうねぇ。残念だけど二人には死んでもらうよ
キョン,何だと！？おいふざけんな！！
マオ,雑魚は引っ込んでなよ。ルル、君を地獄の底に突き落としてあげるよ
キョン,おい止めろ！
ルルーシュ,止めろぉぉぉ！！
マオ,ぐあっ！！
キョン,な、長門･･･？
ルルーシュ,どうしてここに･･･
長門,全部あなたの指示
ルルーシュ,お、俺の指示だと？
マオ,馬鹿な、この女いつの間にここへ来たんだ！？500m以内に入ればここへ突入する事は思考で読めたはずなのに！
古泉,僕が説明しましょうか
キョン,古泉？お前まで何でここにいるんだ？
古泉,おや、お気づきになりませんか？でもあなたはもう分かったのでは？
ルルーシュ,･･･････ふ、ふはははは！！そうか、なるほどな確かに指示を出したのは俺のようだな
マオ,あ、ありえない！！お前の思考は深層心理まで読んでた！こいつが突入してくるなんて内容は何処にもなかったぞ！？
古泉,無くて当然ですよ。彼は自分の出した指示を全て忘れたのですから
マオ,忘れた？どういう事だ！？
ルルーシュ,ん？得意の思考読みはどうした？俺の思考を読めばこのカラクリもすぐに理解できるだろう
マオ,な、何だ･･･そういえばさっきから声が聞こえない！！どういう事だこれは！？
長門,矯正プログラムを注入した。もうあなたはギアスを使えない
マオ,な、何だと！？
ルルーシュ,良かったじゃないか、日頃から抱えていたストレスからようやく解放されるんだぞ能力のONとOFFがつかず終始他人の声が聞こえていたお前だこの静寂はかえってストレスになったりするのかな？
マオ,く、くそぉぉぉ･･･ルルーシュゥゥゥ！！
ルルーシュ,答えは簡単だ、俺はキョンと自分自身にギアスをかけたんだ長門と古泉に作戦内容を伝えた後でな
古泉,正確には、今出した作戦を忘れマオの元へ向かえとギアスをかけていましたよ
キョン,そうか、それで･･･
古泉,長門さんの接近に気付かなかったのは、あなたがルルーシュさんの思考読みにギアスを集中させていたからです。ルルーシュさんが敗北を宣言する際と爆弾を爆発させる瞬間は必ずあなたはルルーシュさんの深層心理を読もうとするだから我々はその際に近づけと指示されていたのです
ルルーシュ,悪趣味なお前の事だからな、爆弾を爆発させる際の俺の思考など絶対に読みたいに決まってる。ふっ、まさかこうまで思い通りに行くとは
マオ,く･･･････くそぉ･･･
キョン,二人は？
古泉,取り敢えずクラブハウスに運んでおきました。爆弾は長門さんが解除してくれましたのでもう安心です
キョン,そうか
ルルーシュ,さて、後はこいつの処遇をどうするかだな
マオ,くっ･････
古泉,ギアスが使えない以上、二度と似たようなマネは出来ないでしょうがだからと言って無罪放免というわけにもいきませんね
ルルーシュ,当然だ、お前には相応の罰を受けてもらうぞマオ
マオ,くぅぅ････
C,待て！！
キョン,あ、あなたは
ルルーシュ,CC！？
C,ルルーシュ、マオの最後は私が決める。だから私に引き渡せ
ルルーシュ,どういう事だCC？
C,ギアスを与えた者として、きちんと責任を果たしたい
キョン,ギアスを与えた！？CCさんが！？
ルルーシュ,･････いいだろう。長門有希、放してやれ
長門,････
マオ,CC！！僕を助けに来てくれたんだね！！ありがとう、やっぱり君は僕のことが大好きだったんだね、ありがとうCC、ありがとう！
C,マオ･････
マオ,え？
C,好きだったよ････マオ
キョン,なっ･････
ルルーシュ,･･･良かったのか？これで
C,あぁ
ルルーシュ,遺体はどうする？
C,私が供養しておく
ルルーシュ,そうか
古泉,ルルーシュさん、CCさんについての説明はしていただけるのでしょうか？何やら先程気になる事を言っていましたが･･･
ルルーシュ,今更お前達に隠し事などしないさ、後で説明するそれよりも今は他にやる事があるだろ？
古泉,･･･そうですね
キョン,早くハルヒやナナリーの所へ行こうぜ！
古泉,そろそろ目を覚ましているかもしれませんねさて、今回の事をどう誤魔化したものか･･･妙案は？
ルルーシュ,ない、お前に任せる
古泉,ふぅ･･･
ハルヒ,？何処ここ？
ナナリー,････この匂い、クラブハウスの中ですか？
ハルヒ,クラブハウス？言われてみればそうだわ、私達何でこんな所にいるのかしら？
ナナリー,ハウステンボスに･･･いたはずですよね？
ハルヒ,そう･･･あれ？そこで何かあったような気がするんだけど全然思い出せないわ
ナナリー,私もです
ハルヒ,まぁいいわ、取り敢えずキョン達に連絡してみましょう
キョン,ハルヒ！！」ルルーシュ「ナナリー！！！
ハルヒ,うわっ！！何よアンタ達急に･･･ビックリするじゃないの
キョン,はぁ･･･本当に無事だったんだな･･･良かった
ハルヒ,無事？何言ってんのアンタ？
ルルーシュ,ナナリー、怪我はないか？
ナナリー,へ？ありませんけど、いったい何があったのですかお兄様？
ハルヒ,ねぇ、何で私達こんなところにいるの？長崎にいたはずなのに･･･
キョン,お前、何も覚えてないのか？
ハルヒ,はぁ？
キョン,はぁ･･･何てお気楽な奴だ･･･
ハルヒ,ちょっとキョン！！何があったのかきちんと説明しなさい！
古泉,僕が説明しましょう！
ハルヒ,あ、ありえないわ･･･この私が誘拐されるなんて･･･
キョン,確かに、お前を誘拐しようだなんて奇特な奴はそういないだろうな
ハルヒ,そういう意味じゃないわよ馬鹿キョン！！ごねんねナナリー私がついていながら･･･
ナナリー,そんな、謝らないでください涼宮さん。私涼宮さんには感謝してるんですいつも家で一人だった私を、外に連れ出してくれて、SOS団に入れてくれて本当にありがとうございます
ルルーシュ,ナナリー･･･
ナナリー,SOS団に入ってから、毎日が楽しいです！本当にありがとうございます
ハルヒ,ナナリー･･･私の方こそお礼を言いたいくらいだわ！SOS団に入ってくれてありがとうナナリー！
ルルーシュ,！！？
キョン,ナナリー、目が！！
古泉,これは･･･
ハルヒ,ナナリー････目、見えるの？
ナナリー,はい
ハルヒ,やったわ、ナナリーの目が治った！！
ルルーシュ,まさか････あんなに苦労したのに、こんな簡単に･･･
古泉,涼宮さんのお陰ですね。彼女がそう望んだから、ナナリーさんの目が治ったのかもしれません
キョン,やったなルルーシュ！
ルルーシュ,･･･あぁ、良かった･･･本当に良かった
ナナリー,お兄様････
ルルーシュ,ナナリー、良かったな
ナナリー,はい
ハルヒ,よーし、じゃあ旅行の続きをするわよー！！
キョン,おい、空気を読めアホ！というか、続きってどういう事だ？
ハルヒ,続きは続きよ、長崎観光はもう終わったようなものだけどまだ沖縄に行ってないじゃない！アホな誘拐犯のせいで予定が狂ったわ！文化祭まではまだ時間があるんだし、今すぐ出発するわよ！
キョン,い、今すぐって正気かお前？
ハルヒ,当然！
キョン,orz
ルルーシュ,諦めろ、一度こう言い出したらもう何を言っても無駄だ
キョン,はぁ･････だな
ハルヒ,そういえばさ、みくるちゃんは何処にいるの？
キョン,！！！」ルルーシュ「！！！
ハルヒ,ねぇ、何処よ？みくるちゃんも私達と一緒に誘拐されてたんでしょ？
キョン,(か････)
ルルーシュ,(完全に忘れていた･･･)
古泉,朝比奈さんは誘拐されませんでしたよ、現在は買い物に出ています
ハルヒ,こんな感動的な場面を見逃すなんて、いかにもみるくちゃんって感じねでもまぁ、無事なら良かったわ
キョン,おいルルーシュ、朝比奈さんは大丈夫なんだろうな？
ルルーシュ,(ディートハルトに確認しておくか･･･)
キョン,ん？ハルヒはまだ来てないのか？
古泉,えぇ
キョン,一目散に教室を出てっ行ったのに何やってんだかあいつは
ルルーシュ,どうせまた良からぬ事を考えてるんだろう
キョン,この間文化祭で超巨大ピザを作って大はしゃぎしたばかりだぞ？その前には全国を巡る旅行までしてるんだ。いくらあいつでも、少しくらい大人しくしてくれるはずさ
ルルーシュ,あまり期待しない方がよさそうだがな
古泉,しかし良かったじゃありませんか、ナナリーさんに超巨大ピザを見せる事ができて
ルルーシュ,あぁ、目が見えるようになってからこれまでとは比べ物にならないくらい日常生活が楽になっただろうしな、本当に良かった
古泉,ところで、行政特区の件上手くいっているようですね
ルルーシュ,まだまだ課題は山積みだ。これからの交渉次第だな
古泉,特区の式典でユーフェミア殿下にギアスをかけ、トラブルを作り東京へ進軍すると言っていたのに随分と変わりましたねその変化には涼宮さんに受けた影響が多少なりと関係してるのでは？
ルルーシュ,うるさい黙れ
古泉,また余計なことを言ってしまいましたね、すいません
ルルーシュ,長門有希
長門,････なに？
ルルーシュ,そういえばこの間マオに打っていた矯正プログラムとかいうやつ俺は何の話も聞いていなかったのだが、いつからそんなもの持っていた？
長門,私が教会に突入したと同時に情報統合思念体が開発した
ルルーシュ,突入した瞬間？随分とタイミングが良いなで、何故そのプログラムを俺には打たない？
長門,･･･
ルルーシュ,統合思念体からしたらギアスという存在は無力化しておきたいところだろう何故俺には使わない？これまでにチャンスは何度もあったはずだ
長門,･･･あなたには使わない
ルルーシュ,何故？
長門,確かに情報統合思念体はあなたへのプログラム注入を推奨しているでも私がそれをしたくない、あなたは涼宮ハルヒに害を与えるような存在ではない寧ろ今後涼宮ハルヒを外敵から守るにはあなたの力は必要
ルルーシュ,外敵？あぁ、お前達とは別の勢力の連中の事か
長門,そう
古泉,頼りにしていますよ
ルルーシュ,ふん
キョン,それにしても遅いなあいつ
ハルヒ,サッカーの大会に出るわよぉ！！！
ルルーシュ,･･･やはり期待するだけ無駄だったなこいつは常に何かしていないと気がすまないようだ
キョン,おいルルーシュ、こいつに大人しくしろとギアスをだな
ルルーシュ,お前がそれでいいならやってみてもいいが？
キョン,はぁ････冗談だ
ルルーシュ,SOS団！？
