戦士♂,そうだ。お前はひのきのぼうだ
戦士,何が言いたいのだ？
賢者,はい。前に申しましたように、あの柱は上へ向かっての魔力の脈動を感じます。もしあれが屋上まで貫いているとすれば、その先には……
勇者,……。みんな、行こう。決戦の舞台は、屋上だ――！
僧侶,ハァ……ハァ……。毒沼を歩くのはきついなぁ。体力が容赦なく減っていっちゃう。ここの魔物はすごく強いし、なかなか逃げ切れないし。歩くたびに体力が回復するアイテムでもあったら良かったんだけど。でも、無いものねだりしてもしょうがないよね。ハァ……ハァ……。……！。５……６体も……完全に行く手を塞がれちゃってる。逃げ道も……。でも、僕は前に進むんだ！。ぐっ！。わあああっ！。お、落ち着くんだ。ダメージはまだ耐えられる。素早く振り回せば、ひのきのぼうも簡単には焼かれない。まずは一体ずつ、確実に減らしていくんだ。ぐっ……。ま、まだまだ……！。やっと一体……。うぐぐっ……。ま。まだまだっ！。ハァ……ハァ……。これで残り半分……。いける。もう攻撃パターンも分かってきたぞ。いける。行けるよ。勇者、僕もいま、魔王の城へ……。ハァ……ハァ……げほっ、げほっ……ハァ……。何とか……乗り切ったぞ。……。休んじゃいられない。急ごう、勇者のもとに……。！。あ。あれは――。虹だ！。それも、魔王城にかかってる！。そうか、あれが。あれがきっと、村長さんの言ってた魔の城へ続く道なんだ！。すごい……！。あれなら魔王城の中まであっという間だ。これが北の城の国宝、オーブの力なんだ……きれいだなぁ……。！い、いけない、見とれてる場合じゃない！。急がなくちゃ！。……。魔物が見当たらないな……。なんだか、城に近付くにつれて魔物の数が減っていってるみたいだし……。……ちょっと気になるけど、今は先を急ごう――。あれから魔物が出てこなかったおかげで、思ったよりスイスイ進めて。……ついに山のふもとまで着いたけど……。思ったより険しい。ずっと急斜面だ。こんなの登れるのかな。……いや。登れるかどうかじゃない。登るんだ。この山を越えた先の魔王の城に、勇者たちはいるんだから。魔物もいないみたいだし、ひのきのぼうで一歩ずつ斜面を突いていけば……。……ん？。あれは？。……洞窟？洞窟だ！。もしかしたら、山を登らずに向こう側に越えられるかも。でも、行き止まりだったら……ううん、そのときはそのときだ。行こう！。……静かな場所だ。本当に魔王の本拠地に入ってるのかな。魔物の気配がまるでない。どうなっているんだろ。歩いても歩いても、何もない普通の洞窟だ。……でも、なんだか先に進めば進むほど、胸騒ぎを感じる。やっぱりこの先には、何かあるんだ。……どのくらい経ったかな。どこまで続くんだろう。結構長いなぁ。山地をひとつ越えるぐらいだから、相応にかかるんだろうけど。……何にもないや。いったい何のために作られた洞窟なんだろ……――。――ん？あれは……。明かりだ！奥から光が零れてる。やっと出口かな？急がなきゃ……。こ、これは……。この青白い光を放つ、地面に張り付いた不思議な渦巻きは……確か……。旅のとびらだ！。別の場所にある旅のとびらに繋がっている、ワープゾーンだ！。良かった、これでやっと洞窟から出られそうだ。……でも、どこに繋がっているんだろう。飛び込んでみないと分からないけど……。迷ってるヒマがもったいない。正解にしろハズレにしろ、もうここまできたら！。いくぞ！
商人,ふぅ……少々長い階段でしたな……。おわっ外が暗い！今は昼間のはずじゃあ……
賢者,！商人さん、階段から離れてください！
商人,へっ？のわっち！！。か、階段が塞がれた……出口が……
戦士,商人よ。覚悟を確かめ、武器を構えろ。そして。この屋上の中央を、目を凝らしてよく見ろ
商人,ん……あ、あれは……あの影は！！
勇者,魔王……！
商人,で、でかい……我々の背丈の４、５倍はありますぞ……！
戦士,ふっ。先の側近とは比べ物にならん威圧感だ
賢者,……頭部に被り物、全身が長い外套で覆われています。正体不明の外見……。攻撃手段、耐性が分からない。皆さん、気をつけてください！
勇者,うん……！。魔王！お前を倒しにきたぞ！。さぁ、最後の戦いだ！。くっ
商人,うおっ
戦士,な、何という圧力……！
賢者,これが魔王……！。殺気！ここからです！
勇者,みんな、いこう！
戦士,うおおおおっ！
商人,アイテムはお任せくだされ！
戦士,ぐああぁっ！！
勇者,ブレス攻撃だ！みんな距離を取って！
賢者,魔王の正体はドラゴン……！？
商人,ぬわーっ！
勇者,じゅ、呪文までっ！？
商人,さ、さすがにアイテムは出し惜しみできませんな！
賢者,この遠距離では不利です！
戦士,言われずとも突撃だ！
勇者,固まっちゃだめだ！散開して三方向から攻めよう！
商人,ワ、ワシもですかな！？
戦士,効かん！！
勇者,よし、左右から同時攻撃だ！
賢者,まだ正体が分かりません、お二人とも気をつけて！
勇者,よし、魔王はこっちの動きについていけてない！いける！
戦士,うおおおっ！
勇者,やああっ！。えっ！？
戦士,何っ！？。うおおおっ！？
勇者,うわああっ！
商人,うわっとっと危ない！
戦士,ぐっ……あのマントの中身はどうなっているのだ……
勇者,固まっちゃ危ない！
商人,い、いったん退きますぞ！
賢者,皆さんご無事ですか！
戦士,ぬう……あれでは不用意に近づけん！
勇者,賢者さん、さっきの魔王の攻撃は……
賢者,ええ。私の見間違えでなければ。勇者様の剣を受け止めたのは、岩石型の魔物の腕。戦士殿の剣を受け止めたのは、トロル系のこんぼう。そして最後の剣山は、多腕のガイコツ系の攻撃によく似ていました。恐らく……まだ仮説ですが、魔王の正体は――
勇者,合成モンスター！？
賢者,まだ断言はできませんがとにかく、様々な魔物の特技・特徴が垣間見えます。恐らく攻撃手段だけでなく、あらゆる耐性をも備えているでしょう
戦士,で、では何も手がつけられないというのか？
商人,あっ、ちょっと魔王が！
戦士,くっ……こちらが守りに入ったところを見計らって……
賢者,いえ……これは攻略のヒントになりそうです！。守備力を上げたということは、先の攻撃を警戒したということ！
戦士,先の攻撃を？まんまと捌かれてしまったぞ
賢者,しかし勇者様の一振りには、反撃に向かない岩石の腕だけで対処しようとしていました。つまり、勇者様の伝説の剣は通用するのです！
勇者,そうか……！
戦士,そうと決まれば話は早い。体力のある俺が盾となって立ち回る。勇者は隙を見つけたら躊躇わず斬り込め
商人,し、しかしそれは危険では……
戦士,百も承知だ。だが無傷であれを倒せるとは思えん。いいな、勇者！
勇者,うん、分かった！。先陣は、全部戦士さんに任せるよ！
賢者,私も隙あらば呪文で援護します！
商人,ワ、ワシだって道具使用の合間に、このせいぎのそろばんで殴って――
勇者,よしみんな、行こう！
戦士,うおおおっ！
賢者,さすが戦士殿、足が止まらないのは流石
戦士,このデカブツめ……。俺を舐めるなァッ！！。うおおっ！？。な……何という数！だが一手打たせた！直後の時間差攻撃なら――！
勇者,やああっ！！。あ、当たった！
戦士,効いたようだぞ！――うおっ！
勇者,いったん離れて！
戦士,くっ……だが、これでダメージを与える目処は立った！
商人,うおおおっ！
勇者,！
商人,わったった！後ろからでもダメか！
戦士,いつの間に魔王の背後に回りこんでいたのだ。やはり商人めしたたかな奴
賢者,しかしどこから攻撃を仕掛けても、全方向に対応できるようですね……
勇者,えっ！？
商人,ちょっ、魔王のキズが治っていきますぞ！？
戦士,……馬鹿な……これではこちらの総力でも追いつかんぞ！
賢者,……。皆さん、聞いてください
勇者,賢者さんっ
賢者,まず魔王は、登場した場所……いや、元々いた場所から、一歩も動いていません。これは動かないのではなく、動けないのだと思われます！
戦士,どういうことだ？
賢者,最上階、屋上まで登っていく時に目にした、太い支柱。その柱の到達点が、ちょうど魔王の位置なのです。魔王が本当に動けないのだとすると、柱は、例えば根に当たる部分――。恐らく魔王の正体は、植物に近い存在です！。根にあたる柱から、膨大な魔力が供給されているとみて間違いないでしょう！
戦士,あの巨大な柱が根だと……？規模のケタが違うではないか！！
勇者,どうすればいいの！？
賢者,根と本体を切り離すしかありません！。あの目の前にいる魔王の、できるだけ下部を、真横に切断してください！
商人,真横にって……あの要塞みたいな魔王相手にそんなことが……！
勇者,やるよ！やるしかない！
戦士,おおう！
賢者,！皆さん、魔王が！
商人,うびゃあ！
勇者,固まってると危ない！
賢者,二手に分かれましょう！相手が動けないのならば、陣形は自由に組めます！
商人,じゃあ今の位置的にワシと賢者殿ですかな！
戦士,俺は勇者につく！
勇者,お願い！
賢者,また来ます！
商人,逃げろォ！
賢者,くっ。だが魔王も、こちらが２グループに分かれたことで的が絞りきれていない
勇者,いいぞ、少しずつ攻略の糸口がつかめてきた……！
戦士,ブレスが止んだ！行くぞ！。ぐっ！この豪腕はクマの魔物の……！
勇者,か、硬い！？部分的なメタル化まで！？
賢者,お二人とも離れて！。よし、命中した！。この魔王が炎を扱う攻撃を取るとき、常にマントが開いていた。つまりあの衣は、炎で燃やせる可能性がある！さぁ、正体を見せてみろ……！
戦士,マントが燃えていく！
勇者,魔王の正体が……！。！
戦士,なっ……！
賢者,あ、あれは……人型を為していない……！
商人,スライム状の太い触手が、幾重にも縦に連なって脈打ってて気持ち悪いですぞ！！。……そして素顔が……顔がない！？目も、鼻も、口もない！
賢者,こ、これは……花？魔王の頭部が、どす黒い花になっている！
戦士,これが魔王の正体！？
勇者,な、なんて禍々しい花なんだ……
商人,！？ゆ、床が！
賢者,根から魔力を送られています、阻止を！
戦士,おう！
勇者,そうだ、胴体を切り離さないと！。えっ！？
戦士,うおあっ！
勇者,ドラゴンだ！あのうねっている身体から、ドラゴンの頭が！
戦士,な……どんどん増えていくぞ！膨れ上がっていく！
商人,……物質系……悪魔系……ゾンビ系！キリがありませんぞ！
賢者,こ、これらはおそらく。魔王が今まで喰らってきた魔物たち！。魔王城内のすべての魔王軍を、この魔王は吸収し続けてきたのです！。そして喰らったものを自在に浮き上がらせ、その特技・特徴を使いこなす……。魔物のるつぼから成る巨大な怪奇植物。それが魔王の正体！
戦士,馬鹿な……それでは魔王軍すべてを、一度に相手にしなければならないというのか！？
勇者,こんなものを、世にのさばらせる訳にはいかない！
商人,い、勢いが止まりませんぞ！
賢者,やらせてはいけない！
勇者,穴が空いた！今のうちに――
戦士,何だと！？
商人,あ、あっという間に再生しましたぞ！
勇者,こ……こんなのどうやって倒せば……
商人,もう屋上の半分は埋まってしまいましたぞ！
勇者,斬り込もうにも、どこから突破口を開けばいいのか……！
戦士,も、もはや万事休すか……！？
賢者,……皆さん。策の整理がつきました。集まってください
勇者,えっ？
賢者,まず私が――
戦士,――そ、そんなことができるのか？
商人,し、しかもここであのアイテムを使うのですか！？
賢者,はい。確かに博打性は高いですが、試行錯誤しないと何も始まりません
商人,し、しかしアレを使うなんて不安定極まりないですぞ！？
勇者,いや、他に策は思いつけない、賢者さんを信じよう！
戦士,時間もない、急ぐぞ！
賢者,では配置に！
商人,だ、大丈夫ですかな！？ええい、もうヤケクソだ！
勇者,……あの魔王を倒せるかどうか、この作戦にかかっている。この世の人々の……平和と幸せのために……。今こそ勇気を！
衛兵,国王様、見張り台よりご報告します！虹のかかった魔王城の天辺から、怪しげな影が！。何やら地鳴りよう音もかすかに響いており、勇者様はただいま交戦中と思われます！。また城下の民も一斉に高台に押しかけ、事の趨勢を見守っている模様……
国王,うむ……。余はつい今しがた、勇者の声が聞こえたような気がした。おそらく魔王との戦いで、正念場を迎えているのであろう
大臣,ううむ……もし勇者たちが敗れるようなことがあれば……
国王,心配には及ばぬ。なぜなら余は、この目で確かめた勇者を信じているからだ。我らにできることは、勇者の勝利を祈り、更になお信じること……
衛兵,勇者様……
兵士Ａ,勇者様！
兵士Ｂ,勇者様……！
国王,勇者よ、無事に帰ってくるのだ――
村長,……！勇者様！。今まさに、魔王と戦っておられるのですな……！。虹の橋の先端には、もはや魔力の手ごたえを感じませぬ。恐らく魔王城から発せられている別の魔力により、橋の先端がかき消されているのでしょう。魔力の源が断ち切られれば……魔王を倒せば、恐らく妨害魔力は消え。リレミトやルーラでの脱出も可能になるでしょう。しかしこの老いぼれ、万が一にそなえ、命続く限りオーブに魔力を送り込み。虹の橋による帰路は残しておきますぞ！。勇者様、必ず無事に帰ってきてくだされ――！
＊,！いま、誰かの声が聞こえたような……。お前もか？俺もなんか……。いま何か地鳴りが……あっ！おい見ろ、魔王の城から影が伸びてるぞ！。いま勇者様が戦ってるんだ！そうに違いねえ！。こりゃ商売どころじゃねえや！俺らの声を天に届けてもらおうぜ！。うおおおおお勇者様、頑張れえぇッ！。勇者様、私はあなたを宿屋まで案内したものです！必ず無事に帰ってきてください！。俺は勇者に貴重なアイテムを格安で譲ったんだ！負けたら承知しねーぞ！！。俺の仲間は魔王軍にやられた！もし勇者が負けちまっても、俺らが続いてやる！。もしここに戻ってこれたら、この在庫のせいすい全部くれてやらあ！。負けんじゃねえぞ！絶対魔王の奴をぶっ倒せ！！。勇者様頑張れ！頑張れ――！
幼児,パパーッ！。いま、ママのこえがきこえた！
師範,ああ……！。我が妻が、今まさに決戦の地で戦っているのだ。勇者の手のうちにありながら、世界を守らんとするために戦っているのだ！
幼児,ねえパパ、もしかしてママはもどってくるの？
師範,……帰ってくる。必ず、帰ってくる。帰ってきて、また三人で幸せに暮らす日々が、始まるのだ
幼児,ほんと！？
師範,だからお前も……ママの無事を、勇者の勝利を信じるのだ
幼児,ゆうしゃさま？うん、分かった！しんじる！
師範,勇者よ！我が最愛の妻よ！必ず無事に帰ってくるのだぞ……！！
僧侶,あれ？。ここってお城の中？。ってことは魔王城の中だ！。やっぱりあの旅のとびらは、飛び込んで正解だったんだ！。おかげで、山麓から一気に魔王城にワープでき――。！。勇者！？。勇者の声が聞こえた気がした！。そうか、いま魔王と戦っているんだね。さっきから上の方から振動が伝わる。この上の階層で決戦が始まってるんだ！。今から向かって間に合うかな？いや、間に合わなくてもいい、行かなきゃ！。勇者！戦士さん、商人さん、賢者さん！みんな頑張って――！
戦士,！……おお……
商人,人々の声が聞こえてくる気がしますぞ！
賢者,四方各位から声援……激励……無事の祈願が……！
勇者,みんなの……みんなの声が、この剣に伝わってくる。みんな、ありがとう！。よしっ、もう何も怖くないぞっ！やろう！
賢者,はい！では参ります！。……術士というものは魔力あってこそ。魔力が枯れれば存在価値は皆無に等しい。ゆえに自身の意義を保つため、私の人生で数えるほどしか使わなかった呪文……。だが今は、共に戦う仲間がいる！為さなければならない目的がある！。邪悪なる狂気の温床よ！我が渾身の魔力を……くらえっ！！
勇者,うわあっ！す、すごい……！
戦士,いいぞ！魔物の大半が消し飛んだ！
賢者,ハァッ……ハァ……今です、商人殿！
商人,ええい、ままよ！。ワシは今だけ商人をやめるぞーっ！！
勇者,ボクたちも行こう！
戦士,おおう！
賢者,や……やはり再生が早い……マダンテで決着は無理か。だがすでに手は打ってある！頼みましたよ、商人殿！
商人,がってん！。このはんにゃのめんは、ワシの商人生命を懸けて知る限り――。間違いなく無敵の防御力を誇る！貧弱なワシでも前線に立てるほどに！。だがその見返りに――いや、ワシはもう腹ァくくったんじゃッ！。フ、フオオオオオオ！！。フオオオオオオオ！！
戦士,おお。再生して浮き上がった魔物が……全て反対方向に集中している！
勇者,裏側の陽動はうまくいってるみたい！
戦士,魔物の数が手薄な今こそ好機！うおおおっ！
賢者,お二人とも、お気をつけて！
勇者,見て戦士さん、根元の守りがガラガラだ！
戦士,あの幹の細さなら……今なら！真横に一閃すれば切断できる！。遅いっ！。今だっ、勇者！！
勇者,うあああぁーっ！！。うわあぁっ！
戦士,勇者！
勇者,早く魔王のアタマを！
戦士,！そ、そうかっ！。おおおおおおおおおおおっ！！。効かあぁぁんんッ！！。――この瞬間のために……俺は……！。な、なんという断末魔だ！鼓膜が持たぬ！
勇者,戦士さん！
戦士,勇者！無事だったか！
賢者,戦士殿、後ろのを取り押さえてください！
戦士,！？後ろに何か……？
商人,フオオオオオオオオ！！
戦士,こいつか！よし取り押さえたぞ！
勇者,……音が止んだ
戦士,切り離した部分が……萎れて動かなくなっていくぞ！
勇者,やったの……？ついに――
賢者,まだです！
勇者,賢者さん！？いま魔力が切れているんじゃ……
賢者,先ほどまで魔法の聖水を大量摂取していました！魔力は全快しています！。魔王城を突き抜ける、巨大な柱。外からの破壊は困難でも、内側からなら……！
戦士,！見ろ！魔王の断面から、また再生が始まっている！
賢者,離れてください！
勇者,何をするつもり！？
賢者,根を絶やすのです！。これが終止符だ！新たな未来のために……くらえええーっ！！。かはっ……ハァ……ハァ……
勇者,賢者さん！あんな呪文を連発するなんて……
戦士,城全体が揺れてるぞ！ゆ、床が崩れる！
商人,はれ？ワシはいったい……ああ魔王が城が！？。どんどん足場が無くなっていきますぞーっ！
賢者,ハァ……ハァ……勇者様……空をっ……
勇者,えっ？あっ！
戦士,暗雲が晴れている！光が見えるぞ！
賢者,今なら……城を覆う結界もないはず……！
勇者,そ、そっか！もうルーラが使えるんだ！
戦士,急ぎ脱出を！
商人,もうもちませんぞーっ！
勇者,みんな、こっちに集まって！じゃあいくよ……。……。……あれ？みんな集まってるよね！？
戦士,何を言ってる、全員いるぞ！早くっ！！
勇者,う、うん！
僧侶,！？なんだろ……城が揺れてる！。あっ柱が！主柱が崩れていくぞっ。城が崩れてる……それに邪悪な気配も消えていってる！。きっと勇者が魔王に勝ったんだ！。やった！世界の平和は守られたんだ！。やった！ばんざい！勇者ばんざい！！。うあっと！。こ、ここも崩れ始めた！。僕も急いで脱出しなきゃ！下まで引き返そう――！
衛兵Ａ,おい見ろ！魔王の城が崩れていくぞ！
衛兵Ｂ,きっと勇者様たちが魔王を倒したんだ！
衛兵Ａ,やった！やったぞ――！
衛兵Ｂ,お、おいちょっと、何か魔王城から飛んで来てないか？
衛兵Ａ,！？あれは……
商人,いででっ！
勇者,つ、着いた！
戦士,ここは……北の城！
賢者,脱出に成功したなら……この旅は終わりです！
＊,あ、あれは勇者様だ！。勇者様が帰ってきたぞーっ！！。勇者様方、おかえりなさい！。よくぞ……よくぞ誰一人欠けず、皆さんご無事で！。城が崩れていくのを見ました！魔王は倒されたんですよね！。勇者様、ずっとお祈りしていました！。勇者ありがとう！ありがとう！
勇者,わっ、ちょっ、ちょっと！
商人,わっぷ！人だかりがっ
賢者,うっ……ただでさえ疲労の最中にあるというのに……
戦士,ええいっ、静まれッッ！！
＊,！！
戦士,道を空けよ！これから我々は、王に報告しなければならんのだ！
＊,な、何をご報告されるのですか？
戦士,知れたこと。魔王討伐、完了の報よ！！
兵士,国王様！ただいま勇者一行が帰還したとの報が！
＊,おおっ……！
国王,それは一時撤退か？それとも……
兵士,はいっ！戦士殿の言によりますと。無事に魔王を討伐したとのことです！
＊,オオオオッ！！
国王,おお。成し遂げてくれたか……！
大臣,ま、まことなのか……今日から、魔物軍の脅威に怯えずともよいのか……
国王,これで我が妃も、自由に外を出歩くことができよう……！
兵士,見張り台からの報告では、魔王城の陥落まで確認されました！。そしてただいま勇者一行は、この王の間に向かっているとのことです！
国王,戦の後で疲れも溜まっておることだろう。くれぐれも丁重にもてなすがよい
兵士,ははっ！
兵士Ａ,勇者様、ありがとうございます！
兵士Ｂ,戦士様、良くぞご無事で！
戦士,国王様に御注進である！控えよ、控えよ！
勇者,すごい……あっという間に広まってる
賢者,城下町の民は、高台から魔王城の様子を窺っていたようですね
商人,早く国王への報告を済ませましょうぞ！商魂がうずいて仕方ありませんわ！
戦士,不謹慎な奴め、そこまで商売が大事か
商人,商人から商いを取ってしまえばただの人ですぞっ！
勇者,はは、何ソレ。……本当に、終わったんだなぁ。本当に、魔王との決戦に勝って……これからボクたちの平和が始まるんだな……
賢者,勇者様、いかがされました？
勇者,えっ？わっ、ちょっと顔近いよっ、もう！
賢者,ふふっ、これは失礼しました
勇者,王様、ただいま戻りました！
国王,うむ。勇者よ、よくぞ帰ってきた。伝令にてすでに顛末は知り得ておるが、改めてそちの口から報を聞かせてもらおう
勇者,はいっ！ええっと……正しい口上を知りませんが、とにかく。この伝説の剣にて、魔王は討ち果たされました！
国王,静粛に！……勇者よ、よくやってくれた。そちの働きは、我が国の歴史に、永劫刻まれることであろう
勇者,ありがとうございます。でも――。魔王にとどめの一撃を与えたのは、戦士さんです
戦士,！
勇者,魔王城を落としたのも、賢者さんの大呪文によるものなんです
賢者,勇者様……
勇者,商人さんだって、持ち前のアイテムでボク達を助けてくれました
商人,おおっ、忘れられてると思いましたぞっ
勇者,この旅で無事に魔王を倒せたのも、全ては仲間がいてくれたからです。だから……。どうかボクだけでなく、ボクの仲間も、等分に労ってください
国王,おう。何という謙虚さよ。良かろう。連れの三名にも、存分に慰労を、そして褒章を賜ろうぞ！
勇者,ありがとうございます
国王,して、他に望みはあるか？余にできることならば、何事でも聞き届けよう！
勇者,えっ……と、それじゃあ。パーティーを休ませてあげてくれませんか？。魔王との戦いを終えたばかりで、ボク達クタクタで……
国王,おう、それは済まなかった。ただちに休息を与えよう。……しかし申し訳ないが、その前に一つだけやって欲しいことがある。お主たちを待ち侘びていた者は、余だけではないのでな――
勇者,えっ？……ああ！。わぁ……すごい群集！
商人,うひょー大迫力ですな！
戦士,おお……全ての視線が、こちらに向けられている……
賢者,歓びの声で溢れ返っている……凄まじいカリスマですね、勇者様
勇者,ええっ、ちょっと緊張するなぁ。戦士さんに代わって欲しいよ
戦士,馬鹿を言うな。主役はあくまで勇者、お前一人だ
賢者,何も緊張することはありませんよ。言葉を発したとて、聞こえはしません
商人,前に出て、構えを取るだけで良いのですぞ！
勇者,……分かったよ。それじゃあ
僧侶,いてて……。やっと揺れが収まった……。それにしてもよく助かったなぁ、僕。持ち物も全部無事だったし。途中で放り出されて、あちこち振り回されて、転がって……。あ、でも、まだ助かったわけじゃないか。あっちこっち瓦礫の山で道が塞がってる。もうこの城からは出られないかも……。勇者たちは、ちゃんと脱出できたかな。そうだ、勇者は魔王を倒したんだった！。良かったなぁ、ホントに良かった。勇者は、見事平和な世の中を取り戻したんだよ。それに比べて僕はダメだなあ。ここまで駆けつけときながら、結局何の役にも立てずに右往左往だよ。よっと。とにかく、出口を探さなきゃ。ふう。ダメだ。出れない。どこも通路が崩れちゃって先に進めないや。残ったのは……。この……地下へ続く、長い階段だけかぁ。偶然見つけたけど、これ、きっと隠し階段だよね。狭いし、暗いし。城壁が崩れた影響で、階段口が表に晒されちゃったんだ。気は進まないけど……僕がこの城から出るには、降りるしかないか。この先に、外に繋がる旅のとびらがあることを期待して……。外に……出て……。……。まあ後のことはいいや。今はとにかくここを降りてみよう。結構長いなぁ……先も暗くてよく見えないし……。大きならせん状になってる……いったいどこまで続くんだろう。――ちょ、ちょっと休憩。まさかこんなに長いなんて……もう、何階分ぐらい降りたんだろ……。行き止まりが待ってたら、心が折れそうだな。ううん、僕は簡単に折れないぞ。何たって僕はこの、ひのきのぼうなんだから。……よし、休憩終わり！行こう！。……階段を降り始めて、何時間くらい経ったかな。今ごろ勇者は、王様に会って、町の人たちから祝福されてるのかな。僕もその中に混じって、勇者たちみんなを労いたかったな。おめでとうおつかれさまありがとう。かけたい言葉は盛りだくさんだ。でも僕は追放されちゃったから、もう城下町には入れないんだ。……だから勇者に会うチャンスは、もうここ、魔王城しかなかったけど……。間に合わなかったなぁ。急いだんだけど、仕方ないよね。ううん、僕が出しゃばったら、かえって皆を危険な目に合わせたのかもしれない。魔王は倒されたんだ。ってことはつまり、僕が間に合わなくて良かったんだ。僕って肝心なところでドジ踏んじゃったり、運が悪かったりするけど。今回だけは運が良かった。最後に間違えなくて、よかったよかった。うーん……行けども行けども、同じ風景ばかり。そろそろ疲れてきたかも……ん？。あっ！。明かりだ！しかもこの青白い明かりは……！。やっぱり！。旅のとびらだ！。やっぱり抜け道はあったんだ。ここまで降りてきた甲斐があったよ。……でも。こんな地下深くにあるなんて……一体どこに繋がってるんだろ。ううん、ここまで来たら、どのみち僕に選択肢はないんだ。……行こう！。うわああっ！。いてて……。腰を打っちゃったよ……とびらの先が底抜けになってたなんて……。……あれ？ここは？。外じゃないな。まだ室内みたいだけど。……やけに広い……？。！？。広間の奥に、大きな扉――。その前に、何かが座っている！。あれは……魔導師系の魔物？。ローブに覆われてて、顔がみえないけど……。いま思念波で話しかけてきたのは、あの魔物？。！僕は。僕は僧侶。ここには、迷った果てに行き着いたよ。！。何をする気だ……？。！。お前はいったい――。！。僕の過去が見通されてる？しかも魔王軍ってことは、やっぱり敵？。とにかく、このままやらせたらまずい気がする。お前は！。お前は一体、何者なんだ。僕はちゃんと名乗ったよ。な……なんだって。だって魔王は、勇者が倒したはずだよ！。……魔王は、二人いたってこと？。じゃあ、勇者が倒した魔王は、偽物だっていうの？
＊＊幾多の同胞を糧とし、驚天動地の成長を遂げた我が軍の切り札――その名は,魔界樹
僧侶,まかいじゅ……？でも魔界樹って、じんめんじゅの上位亜種じゃ……。魔王が偽物の魔王を育てる？いったいどういう……
＊＊我は魔界にて生を与えられし時、伝説の宝具,ラーの鏡
僧侶,真実を見通す……眼？。僕がここに来るまでの経緯がバレたからには、本当にそんなものがあるんだ……
＊＊天の導きによって人の中から,勇者
僧侶,……。……そのニセの魔王っていうのが
＊＊そう。件の,魔界樹
＊＊,魔界樹
僧侶,……
＊＊――時は流れ、我はついに,魔界樹の花
＊＊我はこれを以て契機とし、この,魔界樹の花
僧侶,……でも、その魔界樹は勇者に倒された。！で、でも。苦労して育てた魔界樹は、もう勇者に倒されたんだから……。！！
＊＊柱の内側に伸びていた物は、魔界樹の,幹
＊＊本体である,根
僧侶,……そんな……
＊＊一度勇者と戦った記憶は、先刻、魔界樹の,根
＊＊我の知る限り,魔界樹
僧侶,！。五年……たったの五年……。そんなことはさせない。話は分かったよ。僕は、僕にできることをする。みんなに伝えるんだ。ここから地上に出て、勇者に、まだ戦いが終わってないことを伝えるんだ
＊＊貴様が最後に通った,旅のとびら
僧侶,まだ道は残されてる。お前の、後ろにある扉だ。それでも、ここから外へ出る方法を手当たり次第に調べて。それでも無理なら、上に穴を掘ってでも抜け出すんだ。えっ。……やっぱりあの陸路は……
＊＊知っての通り、あの毒沼の道の果てには、我が居城へと続く,旅のとびら
＊＊勇者たちには、この時機に,魔王を討伐する
僧侶,……！。悪い話だよ。それだと、みんなが幸せになれない。僕だって、絶対に幸せになれない――。！。……
＊＊貴様自身の,未来
僧侶,……。…………。……。うん。僕の答えは変わらないんだ。その申し出を断るっていう答えは。でも、その理由がはっきりしなくって。僕はなんのために、人間の側につくのかなって。それをずっと考えていたんだけど……。昔のことを思い出して、何となく分かったよ。僕がまだ小さかった頃、神父さんに連れられて散歩に行ったことがあるんだけど。お日様がぽかぽかしてて、風が気持ちよくて、とっても楽しかったんだ。他にも、美味しいものを食べたり、綺麗な風景を見たり。勉強も呪文の鍛錬も自由にできて、勇者と楽しくおしゃべりしたりして――。とにかく、僕は満ち足りてたんだ。そして、今だって満ち足りている。そりゃあこの旅で、すれ違いや残念なことも、悲しいこともたくさんあったよ。でも、そういうのも引っくるめて、僕はこの世界が好きなんだ。色んな事を教えてくれて、時に目一杯の幸せを感じさせてくれる、この世界が好き。だから僕は、この世界のために、僕にできることをしたい。だから僕は、戦うよ
＊＊いま貴様は、,戦う
僧侶,できれば僕も、無用な争いはしたくないよ。稽古は好きだけど、実際に傷つけ合うのは嫌い。この旅だって、無意味な殺生はしなかったつもりだし、これからもしないつもりだけど。……お前が、僕をすんなり外に出してくれるとは思えないから。……。えっ？勇者と戦ったって？。！眼が……浮かんでる……！？。来る……！。！ローブが千切れて……影が伸びていく……！。大きい……どんどん膨れ上がっていく！。どんどん……膨れて……。……あ……ああ……。大き――
＊,グオオオオオオオオオオォォォォォォォォッッ！！
竜王我こそは王の中の王、,竜王
僧侶,！。うわああッ！。フバーハで軽減したのに、なんて火力！。――今まで戦ってきたドラゴンの魔物とは、大きさも強さも、まるきり次元が違う！。自身の強化を捨ておいてこれだけの力を！これが真の魔王――！。でも僕は……戦うんだ！。やあああっ！。うわあっ！。ハァ……ハァ……。まだ……戦いは始まったばかりだ！。やああっ！。落ち着いて。攻撃なら、何とかかわせる。落ち着くんだ。この竜王は、他のドラゴンと違って二足歩行。大きいのに小回りが利くし、攻撃を急所にも当てづらい。だからまず……四つんばいに這わせなきゃ！。となると最初に狙うべき部位は……重心のかかっている、足！。そ、そこまで見破られた？。……。……！
竜王貴様は、我が唯一警戒に値する呪文、,メガンテ
僧侶,……。……。しないよ。僕は最後の最後まで、自分ができることをやるんだ
