デクシオ,“こちらデクシオ。この場所にあると思われるジガルデ・セル、回収できましたか？”
ヨウ,？……どうした、ほしぐも？……。！！…レッドさん、サトシ…、ちょっと不味いです…
レッド,………？
サトシ,！？。……い、良い知らせじゃないの？それ？。でも、奴らも残り少ない…！もうちょっと頑張れば…いけるぜ…！…！！
アクジキング,…………。……！！！！
ｻﾄｼｹﾞｯｺｳｶﾞ,！？………こ、…ガッ…！？
サトシ,……ど…、ドラゴンテール…？……ぐ、…あっ！？
ヨウ,しまった！サトシゲッコウガはトレーナーにも感覚が共有されるんだ！
レッド,……！…………リザードン……、ゲッコウガを守、……！？
テッカグヤ,…………。……！！！！
リザードン,ガランガ…！
レッド,…………ち……！………不味い……、サトシが……！
アクジキング,……！！！！
ｻﾄｼｹﾞｯｺｳｶﾞ,…！？
サトシ,…やばい…！？
ピカチュウ,……ピッッカァ！！！
サトシ,ピ、ピカチュウ……！
レッド,……サトシ…、…無事か……
ヨウ,…今のは危なかった…。…サトシのピカチュウ、本当に良いところに…！
ピカチュウ,ぴかちゅうっ！ぴかぴーか！！ぴーぴか、ぴかちゅう！ぴーか！
ｻﾄｼｹﾞｯｺｳｶﾞ,…………コウガァ…？
サトシ,………ピカチュウ……
ムサシ,ちょっと、ニャース！いきなり走り出すんじゃないわよぉっ！
コジロウ,っていうか…、思わず俺達まで敵の前に来ちゃってないかぁー…、これ…
ヨウ,……え…？…あのニャースを見て、驚かないんですか…！
サトシ,…でも、ピカチュウ…？……ダメージは…、大丈夫なのか…？
ピカチュウ,…ピッカァチュ…！
サトシ,…んな、わけないよな……。……………
ピカチュウ,ピッカチュウ！！
ｻﾄｼｹﾞｯｺｳｶﾞ,こーが！
ピカチュウ,ぴーか！
アクジキング,…………
テッカグヤ,…………
レッド,………最後に残ったあの二体………。……今まで倒した奴らとはまるでレベルが違うな……
ヨウ,もうすぐ歪みが閉じる…。もうポケモンを入れ替える猶予もない…。…ほしぐも！
ほしぐもちゃん,ぐあ！
ヨウ,…レッドさん。サトシ。ほしぐもちゃんもこの最後の攻撃に参加させます
サトシ,…なら…、きっと楽勝だぜ……
ヨウ,………。…………いや、それがそうとも言い切れない……
サトシ,…え？
レッド,………………。……ヨウ……。……アクジキングは、俺のリザードンだけでやろう…。…それならどうだ……？
ヨウ,………！…
コジロウ,はぁ！？あのテッカナントカってポケモンは鋼タイプなんだろ？
ムサシ,あんたの強いリザードンなら確実に倒せるじゃない！？バカなの？
レッド,……ヨウ……。……俺のリザードンと…、…俺を…、信じてくれるか……？
ヨウ,…はい…！勿論です！…アクジキングはお願いします、レッドさん…！。………サトシ、やっぱり君の言う通りだ…。この勝負はもう楽勝だ…！
サトシ,……それじゃあ、行こうぜッ…！
ピカチュウ,ピッカァ！
レッド,…………ああ……
リザードン,ガワンガッ！！
ヨウ,ラストターンだ…！
ほしぐもちゃん,グォアアァッ…！！
アクジキング,…………
テッカグヤ,…………
ピカチュウ,…！
リザードン,…！
ほしぐもちゃん,…！
サトシ,ああ！さんきゅ！ピカチュウ！ほしぐもちゃんの背中に乗っかるんだ！
ピカチュウ,ピッカ！
ほしぐもちゃん,がう！
レッド,………先行させてもらうぞ……。……まずは……俺達からだ……
リザードン,ガワンガ！
アクジキング,…！！！！！
ムサシ,げぇぇええ…！なんかアイツ、余裕あるわよ！やな感じぃー！
レッド,…………いや、これでいいんだ……
ムサシ＆コジロウ,…！
レッド,……………………………。…………………………………メガシンカ…………………………………！
メガリザードンX,・・・・・・！！！
アクジキング,・・・！？？
レッド,…………“げきりん”……
アクジキング,
メガリザードンX,・・・ガワァアアアアアアァァン・・・・・・！！！！
ヨウ,…特性補正込みかつタイプ一致技で弱点を突いた…。申し分なく確一で撃破。流石だ…
サトシ,こっちも負けてらんねーな！
ヨウ,うん！………！？
テッカグヤ,……。・・・・・・！
マッシブーン,…！！
ほしぐもちゃん,！？
ピカチュウ,！？
サトシ,！？
ヨウ,！？
レッド,！？
サトシ,…！う、打ち漏らしていた、いや、どっかに隠れてたUBが…、…もう一体…！？
ヨウ,…！ほしぐもちゃんの進路上に割り、込んできた…！？
レッド,…………！……まずい…、…このままでは……！
ヨウ,……………！…くっ…！。…ほしぐもっ！！迎撃だ！！
ほしぐもちゃん,グアッ！！
マッシブーン,…！？。
ヨウ,………………！
サトシ＆レッド,……！
ヨウ,……………それは違う。…まだだ……
ヨウ以外,！！？
ヨウ,……今、ほしぐもの背中に乗ってるのは、サトシのピカチュウ、だけじゃない……
ほしぐもちゃん,…
ピカチュウ,…
ニャース,………………………
ムサシ＆コジロウ,！？ニ、ニャースゥ！いつの間にィ！！！
ニャース,……。……ヨウ…、とかいったにゃ……。…おみゃー、滅茶苦茶にゃ…！
ヨウ,さらに僕は、ロケット団のニャースに指示を出す。…ニャース、本当に悪いけどよろしく…！
ピカチュウ,ぴかちゅう！
ヨウ,…！………そろそろ、テッカグヤに攻撃が届く距離だ…！
サトシ,ピカチュウ！ニャース！あとはお前たちが頼りだ！頼んだぜ！！
テッカグヤ,……！！
ピカチュウ,ピカー！！
ニャース,うにゃあー！！
テッカグヤ,………。・・・・・・・・・・・！！！！
ピカチュウ,…！？
ニャース,…！？
ｱﾆﾎﾟｹｸｸｲ,…………ま…！！
クラスメイト達,……！！？？
ムサシ,ちょ…、ちょっと、アンタぁ！！ズルいわよ！！！！
コジロウ,じゃあもう、手数を増やしたって…、何したって…、無駄だったって…事かよォ！！？
ニャース,もぉおおー、やけくそにゃああーー！！！…うにゃあああ！！！
ピカチュウ,ぴかーちゅ！！？
ヨウ,………………………………。………………ここで“まもる”を打ってくることは、理に適った判断だ…。だからこそ…。………………ここで“まもる”を打ってくることは、。………………………………完全に読み通りだ・・・。
テッカグヤ,・・・・・・？
ニャース,……。
テッカグヤ,・・・！？！？！？！？！？？
コジロウ,ニ、ニャース…、あのデカいのに攻撃する寸前で……、…止まっ、た…？
ニャース,………。…にゃーはっはーっ！！！なーんてにゃー！
ヨウ,………僕が、ニャースに指示したのは、テッカグヤに”フェイント”をかけること………
テッカグヤ,・・・・・・！！？
ヨウ,“フェイント”は、リザードンやほしぐもでは覚えない…。今、この局面で最重要だったのは…、。君に刺さっていたのは…、。君を縛っていたのは……、。……僕たちの切り札は…、ピカチュウとニャースだったんだよ
テッカグヤ,・・・・・・！！！
ヨウ,…………これで君は、がら空きだ…。……とどめは…
サトシ,俺達だ。決めるぜ…！
ピカチュウ,ピッカァ！
テッカグヤ,・・・！！！！？
サトシ,でもさ、その時が来たら、絶対…！。…………………………友達になろうぜ…！！
テッカグヤ,・・・・・・・・・。
サトシ,…これがっ！！
ロケット団,ジャリボォォォイィィィイッ！！！
サトシ,俺たちのっ！！！
クラスメイト達,行っけぇえええーーーーっ！！！
サトシ,・・・・・・ゼンリョクッ、だぁあああああああああぁぁーーーーーーーーッッ！！！！！！
ピカチュウ,ピィーーカァアアアア、チュウウウウウウウウウゥゥーーーーーーーーッッ！！！！！！
テッカグヤ,……………
レッド,……！
サトシ,…！
ヨウ,…！
テッカグヤ,……………。
ヨウ,…間に…合った……。時空の、歪みも…、UBも…
サトシ,……全部…、消えた…！
レッド,…ああ…。……、二人とも…、
ヨウ,…はい！
レッド,…俺達の勝ちだ…
サトシ,俺達の勝ちだ！
ヨウ,僕達の勝ちだ…！
メガリザードンX,ガワアアアン！！
ピカチュウ,ぴっぴかちゅうーー！！
ほしぐもちゃん,ぐああああああ！！
ニャース,うにゃああああああ！！
ｻﾄｼｹﾞｯｺｳｶﾞ,こうがぁあああああ！！
サトシ,いいぃやっったぜぇええ！！！
コジロウ,……一時は、ホント…どうなることかと思ったぜー…
ムサシ,んあん……
ｱﾆﾎﾟｹｶｷ,今日ばかりは…アンタたちと同意見だ…
ソーナンス,そーなんすううう！
ｱﾆﾎﾟｹｸｸｲ,！！…全壊した校舎や闘いで破壊された全てのものが元通りになっていくぜ…
ｱﾆﾎﾟｹｽｲﾚﾝ,さいしょにUBとたたかったときといっしょだ…
ｱﾆﾎﾟｹﾅﾘﾔ,摩訶不可思議現象だが、学校関係者として……、いやあー、正直凄く助ガルーラ！！
ｱﾆﾎﾟｹﾏｰﾏﾈ,い、いいのぉ！？そんな軽くてっ！
全員,！
ｱﾆﾎﾟｹﾏｵ,！ああ…リーリエだ！…おぉーーい！！
ほしぐもちゃん,！？…！！！
全員,…！？
ヨウ,………え？
ｱﾆﾎﾟｹﾘｰﾘｴ,？…え、何ですか、あの大きなポケモン…や！、きゃあああああ…！……！！
ほしぐもちゃん,ぐあ～～♪
サトシ以外のクラスメイト,リ、リーリエー！！
ピカチュウ,ぴかちゅう…
ニャース,…に、にゃつかれてる本人は驚きのあまり、顔が真っ青で固まっているようにゃけど…
ソーナンス,ソォォオナンスッッ！！
レッド,………大丈夫か……、……あの女の子……？
サトシ,あっはっはっは…！！
ほしぐもちゃん,ぐぁああ～♪
ｱﾆﾎﾟｹﾘｰﾘｴ,………！！
レッド,……すまん。……元の世界に繋がる歪みの穴は閉ざされてしまったのか……？。………………。………要するに…、もうこの世界に行き来することはできないということ…か………？
グリーン,ああ。まぁ、俺も話の全部を理解したわけじゃねーけど、そう思っていいと思うぜ
レッド,……………。……………
グリーン,……安全が確保されてる内にヨウを家に帰すのが…、俺達の義務だ…。…違うか？”
レッド,……その通りだ……
グリーン,“なら…！”。“………………。”
レッド,………………
グリーン,“………………”
レッド,知ってるさ。流石、俺のライバルだ。……ありがとう
グリーン,“…はっ！……貸しだぜ、レッド…。…ヨウに替わってくれ”
レッド,……
ヨウ,…あ、レッドさん。あっちの世界への歪みの穴の状況はどうでしたか？
レッド,…………
ヨウ,…。…通信に出ろって、事ですか？
レッド,…………
ヨウ,…ど、どうも。…あ…、はい！…本当にありがとうございますっ！…みんな、まだ大丈夫そうだって…！！
サトシ達,やったっ！
グリーン,“あはははは…っ！！“
ヨウ,？どうかしました、グリーンさん？何か…、嬉しいことでも…ありましたか？
グリーン,“…ん？…まぁな…。……あの野郎は……流石、俺様のライバルだ、と思ったのさ…”
ヨウ,…？？
ほしぐもちゃん,がーう！(にこにこっ)
ｱﾆﾎﾟｹﾘｰﾘｴ,…………きゅう…
ｱﾆﾎﾟｹｽｲﾚﾝ,リーリエ…、まだきぜつしてるねぇ……
ｱﾆﾎﾟｹﾏｰﾏﾈ,ほしぐもちゃんにじゃれつかれたの…、完全にキャパオーバーだったんだね…
ｱﾆﾎﾟｹｶｷ,アホみたいな話だが、こうなるとヨウが急に帰るなんてことにならなくて良かったな
ヨウ,…グリーンさんには、本当に感謝だ…。うん。それで暗いところが苦手みたいだった
ｱﾆﾎﾟｹﾏｰﾏﾈ,ふふ、そういうところは一緒っぽいや！すっごい…！
ｱﾆﾎﾟｹｽｲﾚﾝ,あっちのわたしは…、わたしとおなじつりずきで、…やたら…かいぱんやろう…おし…？
ヨウ,でも僕は、スイレンの楽しい冗談が大好きなんだ…。……………
ｱﾆﾎﾟｹｶｷ,おい…！なんかフォローくれよ！ヨウ！？
ｱﾆﾎﾟｹﾏｵ,私は大まかな性格は違わなそうな感じだねぇ…？でもウチの店がアーカラ島にあるのかぁー
ヨウ,もちろんみんな、雰囲気は全然違うんだけれど、でもやっぱり何かしら似た部分はあると思う
ｱﾆﾎﾟｹｽｲﾚﾝ,そういえばカキもとてもゆにーくなひとっぽいあたり、おんなじかもしれないね！
ｱﾆﾎﾟｹｶｷ,なるほどそうか！ぱぁっ
ヨウ,…でも、ほんとにごめん……。この事はみんなもっと早く打ち明けるべきだった……
クラスメイト達,………。
ｱﾆﾎﾟｹｽｲﾚﾝ,あたまをあげてよ、ヨウ
ｱﾆﾎﾟｹﾏｰﾏﾈ,そんな荒唐無稽な話、打ち明けられないと思って当然じゃん！
ｱﾆﾎﾟｹﾏｵ,そうだよぉ。気にしないで！
ｱﾆﾎﾟｹｶｷ,それよりもっと聞かせてくれ、ヨウの世界の俺たちの事……
ヨウ,………。……みんな…、すごく素敵な良い人達なんだ。…それだけは本当に、何も変わらない……
ロトム図鑑,…………………
サトシのロトム図鑑,…………………
ロトム図鑑,図鑑登録率対決…、………圧倒的にボクの勝利ロトーーーッ！！！。こっちはヨウと一緒にアローラ全土を廻ったんだロ！挑戦なんて百万光年はやいんだロ！
サトシのロトム図鑑,ぐぬぬううううー…！…ククイ博士、ククイ博士ェー！
ｱﾆﾎﾟｹｸｸｲ＆ｱﾆﾎﾟｹﾅﾘﾔ,！？
ｱﾆﾎﾟｹﾅﾘﾔ,なんだっテッシード！？
ｱﾆﾎﾟｹｸｸｲ,………そうです、ね…。仰る通りです…。…………？
コジロウ,へぇー、アンタもカントー出身なんだ。じゃあ俺達と同郷だなぁ
ムサシ,縁があるじゃない～。どこの街生まれよ？
サトシ,それがさ、マサラタウンなんだぜ！ね、レッドさん？。タケシ…！うんうん！おんなじおんなじ！俺、タケシとハナダジムのカスミと旅してたんだ！
レッド,……そう…なのか……。…サトシは凄いな……
ムサシ,懐かしいわねぇ
コジロウ,なんか、もう20年くらい前に感じるぜー
ニャース,コジロウ～、そんなわけにゃーす。おみゃーはアホにゃ！
ソーナンス,そーなん…すう？
レッド,…………。……………サカ…キ………
ニャース,まがりなにゃりにも、後輩に使う呼び名じゃ無いにゃ…！
ソーナンス,そぉおなんすっ
レッド,……サトシと俺が…、…兄弟か……。………成程……
サトシ,……早く大人になりたいなー…！…それで俺、レッドさんみたいなるんだ……！
レッド,……そうか…？…俺は…、…少しだけで構わないから…子供に戻ってみたいかもしれない……
サトシのピカチュウ,ぴかちゅー
レッドのピカチュウ,ぴかちゅー
ｱﾆﾎﾟｹｸｸｲ,おーい！ちょっと来てみろよー！
ヨウ達,！
ソーナンス,そ～なんすぅ！
サトシのロトム図鑑,はやく来るロト～！
ｱﾆﾎﾟｹﾏｰﾏﾈ,……。ロケット団…、さっきの闘い観てなかったのかなぁ…？
ｱﾆﾎﾟｹｶｷ,なんでそんな無謀な挑戦ができるんだろうな…？
ｱﾆﾎﾟｹﾏｵ,まぁー、いいじゃない！とりあえずサトシ達を応援しに行こうよぉ！
ｱﾆﾎﾟｹｽｲﾚﾝ,あ…ミミッキュがどっちのピカチュウ、こうげきしていいか、こんらんしてるよ
ヨウ,……………
ｱﾆﾎﾟｹﾏｵ,あ…！ごめん。悪いんだけど、ヨウはリーリエの事、みててもらっていいかな？
ヨウ,……え？あ、うん…、それは構わないけど…？
ｱﾆﾎﾟｹﾏｵ,ふふふ！…悪いねっ…！
ヨウ,……………
ほしぐもちゃん,がーう？
ヨウ,……
ほしぐもちゃん,～♪
ヨウ,………ふふ
ｱﾆﾎﾟｹﾘｰﾘｴ,…………う…、うう…？
ヨウ＆ほしぐもちゃん,！
ヨウ,……、リーリエ…、起きた？
ｱﾆﾎﾟｹﾘｰﾘｴ,…………。
ヨウ,……ゆっくりでいいよ？大丈夫？
ｱﾆﾎﾟｹﾘｰﾘｴ,………なんだか…最近…、…目覚めると…いつもヨウが目の前にいてくれる気がします…
ヨウ,………そうかも、知れないね…
ほしぐもちゃん,ぐーあ！
ｱﾆﾎﾟｹﾘｰﾘｴ,ふふふ…！…初めまして、ほしぐもちゃん。リーリエです
ほしぐもちゃん,ぐう？
ｱﾆﾎﾟｹﾘｰﾘｴ,…？
ヨウ,……。…リーリエに…話さなきゃいけないことがあるんだ…。闘いの前、言えなかったこと…
ｱﾆﾎﾟｹﾘｰﾘｴ,…はい。……。みんなは、あちらに集まってしまっているようですね…。それなら、ヨウ？
ヨウ,？
ｱﾆﾎﾟｹﾘｰﾘｴ,…こっそり、抜け出しませんか？。……別の世界の…わたくし……。…なるほど。…色々、腑に落ちた、感じです…
ヨウ,………………。……………君には、…最初から…全部…言うべきだった…。言わなきゃいけなかったんだ……
ｱﾆﾎﾟｹﾘｰﾘｴ,………ヨウ……
ヨウ,…。…………だけど…
ｱﾆﾎﾟｹﾘｰﾘｴ,…………もう！。じゃあ、わたくし、今からヨウを凄く困らせることを言います！…それで言いっこなしです！
ヨウ,……？
ｱﾆﾎﾟｹﾘｰﾘｴ,…、…ちなみに……、ヨウが何て答えるのか…、わたくしにはちゃんとわかっています
ヨウ,………………
ｱﾆﾎﾟｹﾘｰﾘｴ,……………………。……………………。……………………。・・・ヨウの事をお慕いしています。好きです。わたくしとお付き合いしてください
ヨウ,…！
ｱﾆﾎﾟｹﾘｰﾘｴ,…………………
ヨウ,……………………。……………………ごめんなさい…
ｱﾆﾎﾟｹﾘｰﾘｴ,…はい
ヨウ,…………………
ｱﾆﾎﾟｹﾘｰﾘｴ,…………………。…ヨウの世界のわたくしはどんな子なんですか？
ヨウ,…。………
ｱﾆﾎﾟｹﾘｰﾘｴ,はい…
ヨウ,少し方向音痴なところがあって。…カフェの飲み物ではモーモーミルクが好きで…
ｱﾆﾎﾟｹﾘｰﾘｴ,はい…。…他には？。…………それから？
ヨウ,……それ、から？。………………。………………。…今の髪形は……ポニーテールで…、
ｱﾆﾎﾟｹﾘｰﾘｴ,…はい
ヨウ,…………………………。……………………………リーリエは、。……綺麗で…、優しくて…、可愛くて……頑張り屋な…、…僕が世界で一番大好きな女の子だ……
ｱﾆﾎﾟｹﾘｰﾘｴ,……………………はい……
ヨウ,………………………………だから…、…ごめんなさい……。………………………
ｱﾆﾎﾟｹﾘｰﾘｴ,…あっちの世界のリーリエも…きっとヨウの事を、同じように想っているに違いありません
ヨウ,………………………どうか、な…。………………………そう…、なんだろうか？………
ｱﾆﾎﾟｹﾘｰﾘｴ,そうですとも。ふふっ！……………。こほんっ…！
ヨウ,？
ｱﾆﾎﾟｹﾘｰﾘｴ,……………。……………。……………“わたしもヨウさんのこと、世界で一番…、大好きです…！”
ヨウ,…なっ…！//////
ｱﾆﾎﾟｹﾘｰﾘｴ,…………こんな…感じ……ですか？ふふふふ…っ！！
ヨウ,…！、ちょっ…！やっ、やめてよ…っ！！//////。……！！！//////////
ｱﾆﾎﾟｹﾘｰﾘｴ,……………。……………わたくしは、。…わたくしは、ヨウの世界のわたくしが、とーっても誇らしいです…！ふふ！。ちょっとだけ……。…ちょ、っと、だけ……！
ヨウ,・・・・・・・・・あ・・・。………………。………………。……………………リーリエ…
ｱﾆﾎﾟｹﾘｰﾘｴ,……………………
ヨウ,…………………。…………………。………………………………ありがとう……
ｱﾆﾎﾟｹﾘｰﾘｴ,……………………。
ヨウ,………………
ｱﾆﾎﾟｹﾘｰﾘｴ,……………ぐ…………。………………………っ…
ヨウ,…………………
ｱﾆﾎﾟｹﾘｰﾘｴ,………………………。………………………。えへ！
レッド,……時間だ……
ヨウ,…はい
ニャース,ばいにゃら～！
ソーナンス,そーなんすっ！
ｱﾆﾎﾟｹﾏｰﾏﾈ,また遊びに来なよ、ヨウ
ｱﾆﾎﾟｹｽｲﾚﾝ,そうだよ！まってる！
ｱﾆﾎﾟｹｶｷ,俺達がヨウの世界に行くってのも悪くないかもな
ｱﾆﾎﾟｹﾏｵ,あっちの私達によろしく！
トゲデマル,まきゅー♪
アシマリ,あうあう！
バクガメス,がめーす
アママイコ,あっまーい
モクロー,ほろう
イワンコ,わう！
シロン,こぉーん
サトシのロトム図鑑,次会う時はゼーッタイ負けないロ！…ボクとは違うロトム図鑑！！
ｱﾆﾎﾟｹﾅﾘﾔ,元気でナットレイ！さよなラランテス！
ヨウ,…はい！絶対に忘れません…！みんな、本当にありがとう…！…アローラ…
ロトム図鑑,ありがロト…！アローラ探偵ラキ…。ボクもチェックしておくロトよ…！
レッド,………君と話せて……楽しかった……。……じゃあな…、兄弟………
サトシ,……うん…！！！！
ピカチュウ,ぴかちゅう！！！！
ヨウ,…サトシ。君には…感謝しても……しきれない…
ゲッコウガ,…コウガァ……！
ヨウ,ふふふ！…こちらこそ！君に恥じないように今後とも大切に預からせてもらう…
サトシ,ああ！…じゃあ最後に！ヨウ、約束しようぜ…！次に会う時はさ、必ず…、。…………バトルしようぜ！！
ヨウ,…うん！！絶対、負けない…！！
サトシ,へへへへ…！！
ピカチュウ,ぴーかちゅう～！
ほしぐもちゃん,ぐーあ～♪
ヨウ,…良かったね、ほしぐもちゃん。……ありがとう、リーリエ
ｱﾆﾎﾟｹﾘｰﾘｴ,………………。ヨウ…
ヨウ,……？
ｱﾆﾎﾟｹﾘｰﾘｴ,わたくし……、。……………あなたに会えて良かった…！
ヨウ,……………僕もだ…
サトシ,…ヨウ達…、行っちゃったな…
ｱﾆﾎﾟｹﾘｰﾘｴ,…ええ
全員,！！！？
ｱﾆﾎﾟｹｸｸｲ,じ、時空の歪み！？
ｱﾆﾎﾟｹｶｷ,な、何か出てくる！？
サトシ,まさかUB！？
アローラの伝説ポケモン,……………
ｱﾆﾎﾟｹﾅﾘﾔ,ヨウ君のとは別の…、もう一体のアローラ伝説のポケモン…！！！
全員,！！
ｱﾆﾎﾟｹｸｸｲ,…っ！！…伝説のポケモン……消えた？…何をした…！？……みんな、大丈夫か！？
サトシ,……だ、大丈夫！………でもさ…？。………………。………………なんで…、俺達…校庭にいるんだ？…
ｱﾆﾎﾟｹｸｸｲ,………な、に？
ｱﾆﾎﾟｹﾏｵ,え…？というか、夜明けだよね？何でこんな時間に、みんな集まってるの…？
ｱﾆﾎﾟｹﾏｰﾏﾈ,ねぇ！みんな！何か知らない間に日付が進んでる！！
ｱﾆﾎﾟｹｽｲﾚﾝ,えーと、さいごに、おぼえてるのは…？
ｱﾆﾎﾟｹｶｷ,確か、サトシと…、ケンタロスレースをしていて……、それから…どうなったっけな？
ｱﾆﾎﾟｹｸｸｲ,…みん、な、…どうしたんだ…！？
ｱﾆﾎﾟｹﾅﾘﾔ,なぜこんなところニンフィア？どうなっデルビル？
サトシのロトム図鑑,ラキの難事件並みに意味不明だロト～！
ロケット団,何、この感じぃ……
ソーナンス,そーなんすぅ…
ｱﾆﾎﾟｹﾘｰﾘｴ,……何も…。……何も……思い…出せません………
ｱﾆﾎﾟｹｸｸｲ,………………っ！？
…そして…、,痕を消す
ｱﾆﾎﾟｹｸｸｲ,“忘れないでくれ…！”
ほしぐもちゃんの入ったボール,……！！
ヨウ,……？…どうした、ほしぐもちゃん？
ほしぐもちゃんの入ったボール,…………。
ヨウ,………………。………………。……別に…疲れてるわけじゃ、ないんです…。………………。………………。…………な…んか…、漠、然と…、……………悲しいん…です………
レッド,……………………………
ヨウ,………………。……………………。……………………僕は…、何一つ…果たしてない……。だから…、僕は必ずこの世界にまた戻ってこなきゃいけない…。…怖いんです…。……レッドさん？。……………………僕は…また、本当にこの世界に……来られるのかな………？
レッド,来られるさ。この世界にも太陽と月が昇っていて、みんなを照らしている。何も心配することは無い
ヨウ,…………………………
レッド,…………………………
ヨウ,…………………。………なんで…、…そう…………言い切れるんですか……？
レッド,もう会えないかもしれないと思っていた大切な存在と、俺は再び巡り逢えたことがあるからだ
ヨウ,……………誰………ですか？……それは……いつのこと？
レッド,君だ。君に初めて会った時だ
ヨウ,……………………？。…………………。…………………。よく…、…わかりません……………けど…。………………、……レッドさんは逢えたん…ですね………？
レッド,……………ああ…。…その事に比べればヨウ達は、きっと訳無いくらい、大丈夫さ……
ヨウ,………………………………
レッド,………眠っても大丈夫だよ…？…ヨウ……
ヨウ,…………。……………
レッド,………そうか…
ヨウ,…………………。……………やっぱり…、少しだけ…眠らせてもらっても…いいですか……？
レッド,……………ああ……勿論だ……。…おやすみ、ヨウ………………
ヨウ,…………………。……………………。……………………“大事な人を見送る時は笑顔だぜ……”。
レッド,…………………？。…………ああ…、…そうだな……
ヨウ,…………………。………僕も信じます…。…また…この世界のみんなに、会って…、必ず約束を果たせるって…
レッド,うん
ヨウ,……だから、その時はまた、良かったらレッドさんも一緒にこの世界に来ませんか…？。…………え…？…あ、…ご、ごめんなさい……っ。………へへへっ！
レッド,ははは…
ヨウ,……いつかまた必ず逢える……。……その時まで……またね…、みんな……
あっけらかんと,おかえりー
例外的に,ザマァねぇなああ！
サトシ,行け！ニャビー！“ほのおのきば”！！
ニャビー,にゃああ！！
シロン,こぉーん
サトシ,え！マジで？何それ初耳！！リーリエの家でか！いいじゃん！すげー楽しそう！！
ピカチュウ,ぴかちゅう…
ｱﾆﾎﾟｹﾘｰﾘｴ,……そんなのよくあっては堪りません…
サトシ,…………
ｱﾆﾎﾟｹﾘｰﾘｴ,…？どうしました？…サトシ？
サトシ,リーリエの家で、お泊り会…？…あれ？…俺、なんか一つだけ…思い出したかも…
ｱﾆﾎﾟｹﾘｰﾘｴ,…？あの三日間の間のことですか？一体、何を？
サトシ,…別に…そんな大したことじゃないよ？…んーと、なんかさ…、。…なんていうか…リーリエが……、すごく楽しそうにしてた…気がする………。それは…、あん…、よくわかんないけど…、……まぁ…、俺の勘違いかも知れないし……
ｱﾆﾎﾟｹﾘｰﾘｴ,……。……………マオも、スイレンも、カキも、マーマネも…
サトシ,？。………
ｱﾆﾎﾟｹﾘｰﾘｴ,…どうでしょう？…サトシには…何か…、わかりますか…？
サトシ,………。………。……そりゃあ、不思議だフシギダネぇー…！
ｱﾆﾎﾟｹﾘｰﾘｴ,…………………
サトシ,…………
ｱﾆﾎﾟｹﾘｰﾘｴ,………………一瞬でも…サトシに期待したわたくしが…愚かでした……っ！
サトシ,…あっはっはっは！ごめんごめん！
―――てんてんてててーん♪,校内チャイムの音
ｱﾆﾎﾟｹﾘｰﾘｴ,…はぁ…いいですよ、別に怒ってません。もうそろそろ授業です。教室に戻りましょう。…いいえ、全然。さっぱりです
サトシ,今、思いついたんだけどさ。記憶の無い間、ひょっとして俺達と一緒に誰かいたんじゃないかな？
ｱﾆﾎﾟｹﾘｰﾘｴ,……………………。……………………。………………………………………はい？
サトシ,…………
ｱﾆﾎﾟｹﾘｰﾘｴ,……………………
サトシ,………へへっ！どうだ？そう考えると、筋が通る気がしない？
ｱﾆﾎﾟｹﾘｰﾘｴ,……………………。……………………わ。……………わかるわけ…ないじゃないですか……、…そんな…、こと……！
サトシ,……たはは…、そりゃあそうだ。…ごめんな。教室に戻ろうぜ？
ｱﾆﾎﾟｹﾘｰﾘｴ,……………………………………。……………………………
サトシ,どうした？リーリエ、早く行こうよ？
ｱﾆﾎﾟｹﾘｰﾘｴ,………………………
サトシ,…リーリエ？
ｱﾆﾎﾟｹﾘｰﾘｴ,………………………
サトシ,…？急に…どうした…？…えっと、ポケモンに触れる特訓を…、…今、やんの？
ｱﾆﾎﾟｹﾘｰﾘｴ,……………………。………。…そ、そうですよね……。ごめんなさい…やっぱり…いいです……
サトシ,……いや、別にいいよ？…やろうぜ、リーリエ…！…よぉーし、行けピカチュウ！
ピカチュウ,ぴかちゅー！
ｱﾆﾎﾟｹﾘｰﾘｴ,……………！。……………っ。……………ううう…！
ピカチュウ,ぴかー
ｱﾆﾎﾟｹﾘｰﾘｴ,…………ひっ…！
ピカチュウ,ちゅー
ｱﾆﾎﾟｹﾘｰﾘｴ,…！。………。…。…。………。………。………………が！。…………がんばリーリエ…………！
ピカチュウ,ぴかちゅ
ｱﾆﾎﾟｹﾘｰﾘｴ,！！
ピカチュウ,！！
シロン,！！
サトシ,！！
ｱﾆﾎﾟｹﾘｰﾘｴ,………………や……、……やりま……した………
サトシ,…ああ！頑張ったな！すごいじゃんリーリエ！！
ｱﾆﾎﾟｹﾘｰﾘｴ,はいっ！！これはわたくしにとってのおおきな前進なのですっ！！
サトシ,この調子だぜ、リーリエ！よーし、ピカチュウ！続けて、リーリエにまとわりつくだ！
ピカチュウ,ぴかちゅー！
ｱﾆﾎﾟｹﾘｰﾘｴ,へ？
ピカチュウ,ぴかー
ｱﾆﾎﾟｹﾘｰﾘｴ,ひぃ
サトシ,あー…、ここまでは、やっぱりまだダメだったかー…
ｱﾆﾎﾟｹﾘｰﾘｴ,…！ちょっと…もう、すこし…、だ、段階を考えてくだ、さい…っ！。……………？。………………。…そんなこと…言いましたか…？…？？サトシの聞き間違えでは？
