理事長,音ノ木坂を廃校にします
あんじゅ,くすくす…甘い。まるでシャルロトカみたいに甘いのね、絢瀬さん
絵里,……！優木あんじゅ…
あんじゅ,私のメール、読んでくれたのね。そしてあなたが四番に。嬉しいわぁ
絵里,……甘いとは、どういう事かしら？
あんじゅ,あらあら、浮かない顔。賢そうな生徒会長さんは気付いているのかしら？…私の悪意に
絵里,……その様子、私と和解する気なんてさらさらないようね
あんじゅ,ふふっ…当然。私ね、結構根に持つタイプなの。ツバサのようには忘れられないし、英玲奈のように合理的に割り切ることもできない。自分で言うのもなんだけれど、面倒な女なの
絵里,……
あんじゅ,ツバサを勝利から解き放ってあげて欲しいのは本当。だけど…絢瀬絵里のせいで負ける音ノ木坂、高坂穂乃果との悲しい別れ。そんな絵図を見てみたくもなっちゃったの
絵里,……
あんじゅ,決勝になっていきなり、それまで勝ってきた打線の中軸を弄る。良い作用は起こらない。そう思わない？。メールの内容に不審を抱いていてなお、私に許された、和解したという証が欲しかったのね。教えてあげるわ絢瀬さん、それは自己満足。わかる？あなたは利己に走ったのよ。これは私からのささやかな嫌がらせ。あなたが四番に座ったせいで打線が機能不全を起こし、音ノ木坂は無様に負ける。そんな滑稽なトラジェディを見せてちょうだい？
絵里,……馬鹿馬鹿しい
あんじゅ,…なんですって？
絵里,ペラペラとご高説ありがとう。いきなりのメール、不自然な要求。あなたの意図はなんとなく察していたわ。そうじゃなければいいのに、とは思っていたけど
あんじゅ,…なら、どうして
絵里,どうして？答えてあげる。私が四番に座ったのはあなたに許しを請うためじゃない。同じ四番ライト同士、正面から叩き潰してあげるため！今の私はカチンとキレてるエリーチカ！略してKKEよ！！
あんじゅ,この…ロシアかぶれが！シベリアに帰って木の本数でも数えてなさいよ！
絵里,陰湿女子力アピール女め！永久凍土の肥やしにしてあげるわ！。え、個室のドアが…入ってる人がいたの？
あんじゅ,誰？
ことり,あ、あはは…どうも～
あんじゅ,南、ことり…
ことり,ご、ごめんなさい！お話を邪魔するつもりも盗み聞きをするつもりもなかったんだけど、出るタイミングが掴めなくて…
絵里,いいのよ、ことり。大した話をしていたわけでもないから
希,絵里ち～、ことりちゃん～、いる？そろそろベンチに戻っとかんと…って、優木さん？
ことり,あのね、絵里ちゃん。ことりは事情を知らないけど…あんじゅさんを責めないであげてほしいなって…
絵里,ことり…？
あんじゅ,あなた、何のつもり？
ことり,あんじゅさん、すごく悲しい、追い詰められた目をしてる
希,あっ、これアカン。なんかシリアスな会話が始まってる
あんじゅ,意味がわからない。何が言いたいの？
ことり,ツバサさんと英玲奈さんの事が大好きで、自分の気持ちと板挟みになって、どうすればいいのかわからなくなってる
あんじゅ,…っ！
希,話の流れわからんし、だからって立ち去れんし…ウチ蚊帳の外やん…
ことり,考えてる事と気持ちが一致しなくて、心がぐちゃぐちゃになって、めちゃくちゃな事をしちゃってる。よくない事だってわかってるのに。わかるんだ、ことりもそういうタイプだから
あんじゅ,あなたに…あなたなんかに何がわかるって言うの！！！
希,うわあ、声張り上げてる…雰囲気ブレイクしてくれそうなにこっちが来ないやろか。にこっちの膀胱に尿意を催す念を送ってみようかな
あんじゅ,南ことり…あなたも気に食わない！絢瀬絵里も！東條希も！全員全員気に入らない！！
希,あっウチの存在拾ってくれた！？乗るしかないやん、このビッグウェーブに！。優木さん…女帝の逆位置が出てる。感情的、情緒不安定。混乱して、どうすればいいのかわからなくなってるんやね…
あんじゅ,…～っ！！大キライよ！音ノ木坂学院！
絵里,……優木あんじゅ、去って行ったわね
希,これでいいんよ。今、これ以上の会話に意味はない。あとは試合で、野球で語ればいい
ことり,勝とうね、絵里ちゃん希ちゃん。綺羅ツバサを倒せば、きっとあんじゅさんも救われる。うん、あんじゅさんも、助けてあげなきゃいけない人ですっ！
英玲奈,おや
花陽,あっ
英玲奈,また会ったな、小泉さん。君とは昨日から縁がある
花陽,そ、そんな！私ごときと英玲奈さんが縁があるなんて恐れ多すぎてもう…！
英玲奈,まあ、そう堅いことを言うな。今は試合前、最後の安らぎの一時さ
花陽,は、はい…
英玲奈,何か飲むんだろう？私が二学年上だ、奢ろう
花陽,あ、う…じ、じゃあ…お水で…
英玲奈,フフ、一番安い物を選ぶ、か。なんとも小市民的だな。私と似ていて好感が持てるよ
花陽,英玲奈さんみたいなすごい人が小市民…？
英玲奈,ああ、私は凡人だよ。ほら、受け取れ
花陽,ありがとうごさいます！！家宝にします！！
英玲奈,私はコーヒーにしておこう。お、MAXコーヒーがあるじゃないか。私は甘党なんだ。む…あまくてうまい。美味いは甘い、甘いイコール美味いだ。そう思わないか？
花陽,いえ、白米イコール美味いです！
英玲奈,ハハ、それはまた斜め上の答えだな。……フウ
花陽,き、緊張して水の味がわからないよぉ…！あ、水って味しないか…
英玲奈,小泉さん、野球は楽しいか？
花陽,あ、はい！野球は楽しいです！
英玲奈,私は楽しくない
花陽,えっ
英玲奈,ついでに言えば私は綺羅ツバサというプレイヤーが嫌いだ
花陽,ええっ。そ、そんな。ど、どうしよう…反応しづらいよぉ
英玲奈,しかし厄介なことに、私は綺羅ツバサという人間は大好きなんだ。同い年だが、まあなんというか…手のかかる妹みたいな感覚だろうか。えっ
花陽,あっ
英玲奈,なんでサーティワンに行った時の様子を知っているんだ…まさか…
花陽,ピャアアアア不審の目！？ストーカーじゃないですっ！！
英玲奈,あ、ちょっと近寄らないでもらえますか
花陽,距離を取らないでくださいお願いします！！
英玲奈,ははは、まあ冗談だ。敵情視察ってとこだろう？気付かなかったな
花陽,じ、冗談…良かったあ…。はい、海未ちゃんと二人で
英玲奈,園田海未か。ふむ、いかにも真面目な彼女らしいな。まあ見ていたならわかるだろうが、ツバサはあれで可愛いところがある
花陽,わかります。失礼かもしれないけど…子供みたいな人ですよね
英玲奈,それだ。アイツは子供なんだ。プレイヤーとしてのツバサは嫌い。人間としてのツバサは好き。なんともややこしくて、時々疲れる。だからかな？私が甘党なのは
花陽,あはは、なんだか英玲奈さんって完璧なイメージがあるから…ちょっと意外かも？
英玲奈,そうか。まあ、思春期なのさ
花陽,な、なるほどぉ…
凛,かよちん一緒にジュース飲むにゃ～…あ、統堂さんだ
英玲奈,やあ、星空さん。昨日はどうも
凛,えへへ、こんにちは
花陽,あ、凛ちゃん英玲奈さんにはもう人見知りしないんだ。英玲奈さんいい人だもんね
英玲奈,さて、私は戻ろう。そろそろ試合の準備をしておかなくてはな
海未,凛、あまり走ってはいけませんよ…っと、統堂さん…
英玲奈,おや、園田さんまで来たか。ふむ、音ノ木坂の守備の要たる三人が勢揃い、だな。今日はお手柔らかに…いや、手を緩めずに、頼む
凛,守備の要だって、えへへ
花陽,照れちゃうねっ
海未,……。統堂さん、一つだけお尋ねしたい事が
英玲奈,ああ、何だろうか？
海未,貴女は私たちに綺羅ツバサを倒して欲しいと頼んできた。では、貴女自身は…綺羅ツバサと真っ向から勝負した事はあるのですか？
英玲奈,……フフ、おかしな事を言う。私ごときにあの天才を止められるとでも？
海未,やはり、ないのですね。綺羅ツバサを救うため、自らの手を伸ばした事はない…と
英玲奈,…。……ふむ、小泉さん、その水を少し飲ませてもらってもいいだろうか？
花陽,あ、はいっ！買ってもらったものだし…いくらでも
英玲奈,量はこれでおおよそ半分。園田さん、君に一つ質問だ。このペットボトルを見てほしい
海未,富士山のバナジウム天然水…、これがどうかしたのですか？
英玲奈,“もう半分しか残っていない”。“まだ半分も残っている”。……君はこれを見て、どちらを感じた？
海未,……“半分しか残っていない”、ですね
英玲奈,…それだ。君も同じ、優れた捕手というのは総じてペシミストなんだよ
海未,悲観主義者…ですか
凛,かよちん、これ何の話してるの？
花陽,わかんない…きっと高度な話なんだよ
凛,なんかそれっぽいこと言っとけ的なのじゃなくて？
花陽,ち、違う…はずだよぉ！
英玲奈,常に事態を悲観し、最悪を想定し、先手に先手を重ねる。それが捕手の仕事だ。打者も必死、それくらいの意識がなければ通用しない。そんな悲観主義が、日常にも染み付いているんだ。全く、我ながら嫌になる…。ツバサを負かしてくれと頼み、手を緩めずに頼むと軽口を叩いてみても、本心ではツバサが負け、解放される日が来るとは微塵も思っていない…。ツバサは、高坂穂乃果の事を太陽だと評した。対してツバサは…さながら天狼星。孤独に輝くシリウスだ。強く、哀しい光で周囲を焼き焦がしていく。凡人…私の手など、届かないさ…
凛,かよちんかよちん、これ絶対雰囲気だけで喋ってるよ。凛も中二ぐらいの時にやった事あるからわかるよ
花陽,り、凛ちゃん！失礼だよぉ…！
海未,間違っています。たとえ遠くても、届かなくても、焼き焦がされようとも。友人であるならば、貴女は手を伸ばすべきだったのです
英玲奈,なら…お願いだ…。見せてくれ、ツバサが救われる姿を…
海未,ええ、言われずとも。ただし、救うのは貴女もです。同じ捕手、同じ悲観主義者。私は…今の貴女を他人事には思えません
英玲奈,……
海未,約束してください。綺羅ツバサが敗北したその時、彼女へと最初に手を差し伸べるのは貴女だと
英玲奈,………ああ、約束しよう。その時が来るのならば…
花陽,英玲奈さん、行っちゃったね。大丈夫かな…
凛,哀しい目をした人だったね…
花陽,ええ…
海未,これで良いのです。あとは試合で語るだけ…。凛、花陽。必ず勝ちましょう。統堂英玲奈を救うためにも…！
穂乃果,えっ、あれ？試合が始まってる？9回裏！？と、得点は…0-0！ツーアウト満塁で穂乃果の打順！？な、なんだかわかんないけど、よーし！。えっ穂乃果に代打！？き、聞いてないよ！？。だ、誰！？
一二三,ヒデコとフミコとミカだよ！三人でフュージョンして苗字を手に入れたの！
穂乃果,ええ…
ツバサ,そ、そんなぁ
一二三,穂乃果！ツバサさんからサヨナラ満塁ホームラン打っておいたよ！
穂乃果,こ、こんな決着イヤだー！！。はっ…！ゆ、夢…
フミコ,穂乃果、居眠りしてたと思ったら跳ね起きて…大丈夫？
穂乃果,フミコ…良かった、フュージョンしてなくて良かった…
フミコ,へ？ほ、穂乃果…いよいよおかしく…
真姫,ま、穂乃果がおかしいのは元々でしょ
フミコ,それもそっか
穂乃果,ひどっ！？。おわぁ、なんかスタンドが盛り上がってる？
ヒデコ,うん、両校とも応援団が気合い入ってるみたい。試合前なのにさっきからずっとあの調子だよ
穂乃果,はぇ～、うちの家族もあの中にいるんだろうなー
ミカ,ほら穂乃果、オペラグラスあるよ。探してみたら？
穂乃果,さっすがミカ！気が利くぅ！あ、前の方で海未ちゃんのお母さんが目立ってる
ヒデコ,あの着物の人？
穂乃果,そうそう
真姫,にこちゃん、さっきからなんだか静かね
にこ,……今日は、パパの命日。こころたちも、ママと一緒に観に来てるわよね…
真姫,……にこちゃん、大丈夫？
にこ,…大丈夫、大丈夫よ、真姫ちゃん
ツバサ,ご家族の悩み？色々複雑な環境なのかしら？
にこ,…そんな事ない。にこは家族に恵まれてる。…。……。………ってツバサさんっ！？！！
ツバサ,じ、時間差で来たわね矢澤さん…ちょっと驚いたわ…
真姫,…ねえ、一応教えてあげるけど、アナタのベンチは向こうよ。わかったらさっさと巣に帰りなさい
ツバサ,うるさいわね～。……西木野さん、貴女すっごく可愛いわ
真姫,ヴェヴェェェ…！
にこ,ウッソでしょ…今の雑な褒め方でもチョロるの…？
ツバサ,穂乃果さん
穂乃果,ツバサさん
ツバサ,…
穂乃果,…
ツバサ,フ、もう言葉はいらないわね。私たちの場合
穂乃果,色々考える事もあったけど、ここまで来たら…ただ楽しみなだけだよ！
ツバサ,上等。それじゃあ…勝負ね
穂乃果,うん。…勝負だよ
真姫,はっ！動揺してる場合じゃなかった！綺羅ツバサは？
にこ,自軍ベンチに戻って行ってるけど
真姫,聞きなさい綺羅ツバサ！穂乃果だけを見てたら大怪我するから！覚えておきなさい…この真姫ちゃんが！アナタからホームランを打ってみせるわ！！！
にこ,ひたすら空気を読まないスタイル、嫌いじゃないわよ真姫ちゃん…
絵里,さあ、みんな揃ったわね？
花陽,試合開始まで40分を切りました…！
凛,いよいよにゃいよいよにゃ！
海未,破釜沈船、不撓不屈！出陣の覚悟はよろしいですか？さあ、最後の作戦会議ですっ！
にこ,海未、アンタってほんっ…と仰々しいわね。……嫌いじゃないわ！
絵里,ハラショー！
真姫,戦いの直前に再確認しておくべきなのは…綺羅ツバサの情報よね
海未,その通りです、真姫。以前話したように、私と花陽は一度だけ、綺羅ツバサの球を直接見ています。それを踏まえた上での情報と思ってください
穂乃果,オッケー、海未ちゃん
海未,綺羅ツバサ、左投げのオーバースロー。ストレートのMAXは134キロ。女子野球の壁、130キロをコンスタントに超えてくる怪物です
花陽,幸い、球種はかなりシンプルだよ。ストレート、パワーカーブ、パームボールの三種類です
ことり,パワーカーブっていうのは？
にこ,メジャーでよく使われてる球種よ。ハードカーブとも呼ばれるみたい。って言っても、難しく考えなくて大丈夫。要は速いカーブね
希,パームボールっていうのは落ちる球やっけ？
花陽,うん、落ちる球が欲しかったけどツバサさんの手のサイズだとフォークが投げられないから、代わりにパームなんだって。雑誌で読んだよ
にこ,落差は大きいけど、落ち始めが速いから見極めはしやすいわ。緩急を付けるための見せ球として使ってくるケースが多くて、ストライクゾーンにはまず入ってこない。あくまでツバサの決め球はストレートだと忘れないで
海未,と、ここまでがカタログスペック。ここからは私が実際に間近で見ての感想ですが…まるで見えません
真姫,ひどい感想ね
海未,誇張ではありません。綺羅ツバサは男子のプロ級、それも一軍クラスの投手。そうイメージしてください
絵里,ぷ、プロの一軍…
凛,でも海未ちゃん、みんなで真姫ちゃんのお父さんが買ってくれたプロ仕様ピッチングマシンの150キロを打つ練習もしてきたにゃ。それより速いなんてことはないでしょ？
海未,いえ、断言します。マシンの150よりも体感速度は速い。リリースポイントが見えないというのは恐ろしいものでした
穂乃果,リリースポイントが見えないってそんなにすごいの？
海未,そうですね…抜刀の瞬間が見えない居合い。そうイメージしてもらえば脅威がわかっていただけるかと
希,うーん…その例えでわかるのは海未ちゃんだけやろなぁ…
にこ,例えが武闘派すぎでしょ…
真姫,……けど、納得いかない。球速130キロ台って、プロでは打ち頃のバッティングピッチャーみたいなものじゃないの？
にこ,そんな事はないわよ真姫ちゃん。球速って大事だけど、表示されるのはあくまで初速だけ。実際には終速、フォーム、スピン量もストレートには大切なの
希,初速と終速の差が小さいのが俗に言う、ノビのあるストレートってワケやね
穂乃果,パワプロのノビ5だね！
凛,あ、そう言われるとわかるにゃー
にこ,ま、あんな感じよ
花陽,それにね、真姫ちゃん。山本昌選手、成瀬選手、内海選手、病気から復帰後の大隣選手、少し昔では星野伸之選手。左投げには130キロ台やそれ以下のストレートで活躍してる一流投手が何人もいるんだよ
絵里,左の5キロ増し、だったかしら？数字よりも速く感じるのよね
海未,綺羅ツバサの場合、現在渡米している和田毅選手の日本時代をイメージしてもらえばわかりやすいかと思います。130キロ台半ばから後半の直球で空振りを奪える投手でした。フォームこそ違いますが、リリースポイントのわかりにくさも共通項です
穂乃果,うん、その人の映像をみんなで何度も見たよね。少しはツバサさんのボールにもイメージが出来てるはず！
真姫,そんな綺羅ツバサにも弱点はあるわ。聞き出してくれたうちの父親の人脈に感謝するのね
絵里,真姫…ありがと
希,真姫ちゃんってほんと、いい子やね…
花陽,真姫ちゃんのお父さんが調べてくれた弱点その1！クイックに癖あり！
希,牽制する時だけグローブの角度が違うんやったね。映像で見たけど、教えてもらわないと絶対気づけなかったぐらいの小さな癖やった
花陽,修正しようとしても直らない根深い癖なんだと思う。凛ちゃん、絵里ちゃん、海未ちゃん。この三人なら、出塁すれば盗塁のチャンスがあるかも…！
凛,積極的に狙ってくにゃ！
海未,弱点その2！手抜き癖！。綺羅ツバサは相手によってあからさまに球威が変化します。中軸へ投げる球と、それ以外への球。良く言えばギアチェンジ、悪く言えば手抜き癖です
ことり,中軸と、それ以外って言うと…
にこ,ホームランの可能性があるバッターには本気。それ以外には手抜き。わかりやすく言えばそんなとこね。うちで言えば穂乃果、絵里、希、海未。この四人かしら
真姫,つまり、試合を決めるのはこの真姫ちゃんのホームランってこと。綺羅ツバサが天才？真の才能を前にひれ伏す日が来たのよ
希,真姫ちゃん、練習は裏切らない。ウチは本気で期待してるよ。頑張ってね？
真姫,ヴぇ…と、当然よ！見てなさい！
ことり,花陽ちゃん、一緒にヒット打とうね♪
花陽,ことりちゃん、うんっ♪
穂乃果,ギアチェンジって聞くとかっこいいけどなー。弱点なんだねぇ
海未,年間を通して戦うプロ野球ならともかく、一戦必勝の高校野球においてギアチェンジは弱点になり得る。舞台が別だということです
にこ,そして弱点その3！ツバサの弱点ってよりはUTXってチームの欠陥になるけど…ズバリ！監督！
希,監督が弱点ってのもおかしな話やねぇ
凛,無能にゃ？無能にゃ？
にこ,無能とは言わないけど…目立ちたがりで余計な事をするのよ
絵里,統堂さんはこう言っていたわ
英玲奈,UTX一軍の新井総監督は自己顕示欲の強い方だ。自らの采配で勝利を掴むのを好まれている。故に、内心ではツバサの事をよく思っていない節がある
絵里,……どういうことかしら？
英玲奈,勝てたのはツバサのおかげ。最強エース綺羅ツバサありきのチーム。監督は置き物。そう思われたくないのさ。だから…
にこ,最低でも1試合に一度。余計なワンポイントリリーフを挟もうとしてくる。そのままツバサに投げさせとけば安泰な場面でもね
ことり,ん～、それってツバサさんが消耗しないように気遣ってるんじゃなくて？
にこ,先発は全試合ツバサだから。リリーフを出す時もわざわばツバサを他の守備位置に回して再登板させるのがお決まりのパターン。大差で勝ってる試合は下げてあげればいいのにね
凛,無能にゃ！無能にゃー！
花陽,ふふっ、バカにできる相手を見つけた時の凛ちゃんの笑顔、大好き♪
海未,……それもどうかと思いますが…
穂乃果,んー、なんでそんな人がUTXみたいに強いチームの監督なの？コネ？
にこ,監督にも得手不得手があるって話よ。UTXの新井監督は采配は微妙でも、選手育成は最高に上手いの。ほとんどの選手は新井監督が0から育てた、いわば新井チルドレン。だからUTX一軍はアライズなんて呼ばれ方もするのよ
真姫,響きはともかく新井ズって書くとダサいわね
ことり,高校野球なのに、ファン発祥でチーム名が付くなんてすごいよねえ…
海未,新井ズ…やはりその人気は圧倒的…
希,ん？みんな知らない？最近ウチらも、ネット上ではファンが付けてくれたチーム名で呼ばれたりしてるんよ
穂乃果,ええっ！すごい！なんてチーム名なの？
希,9人の音の女神、μ's
穂乃果,かっ…
にこ,かっ！
凛,かっこいいにゃー！！！
希,にこっちは知ってたやろ。何初聞き風に喜んでるの
にこ,別にいいでしょ！感動の共有よ！
絵里,ミューズ…音楽の女神、よね？私たちがやってるのって野球だけど…
希,音ノ木坂を救う女神、やからね。音でかかってて、素敵やん？それに、真姫ちゃんがたくさんの曲を作ってくれたのも、みんなの印象にとっても残ったみたいよ
ことり,本当にことりたちに、そこまでの人気が…？
理事長,……ねえみんな。今、そこの画面に応援スタンド全体の様子が映っています。見てみて？
花陽,スタンドの？…あっ！
ことり,すごい、すごい…！
凛,音ノ木坂学院の応援色がたくさんにゃ！
海未,こんなにもたくさん…私たちのファンが…！
真姫,UTXの応援と五分五分の数…！これなら…！
にこ,……っ…！
希,にこっち、頑張った甲斐があったね…。ネットを使って一生懸命に人気を広めようとしてくれてたこと、無駄にならんかったよ
絵里,こんなにたくさんの人たちが…音ノ木坂の勝利を願ってくれている…！
穂乃果,……みんな！これが音ノ木坂学院野球部の！私たちの最後の戦いだよ！。よくこういう時、泣いても笑ってもって言うけど…。穂乃果は今日、泣くつもりはありません！。だってそうだよね。家族、友達、顔も知らないたくさんの人たち……こんなに応援してくれてるんだもん！！負けることなんて考えてたら損だよねっ！！。打とう、走ろう、捕ろう、投げよう…楽しもう！！そして勝とう！！。後押ししてくれるたくさんの人たち。その想いも乗せて…。μ's！！！
UTX高校,東京
チェンジアップ,スマイルボール
シンカー,ことりボール
佐藤,さあ来いッ！！
海未,さて、一人目です。この佐藤さん、先日のUTX二軍戦で打ち込まれて三軍落ちになっていた投手の方ですね
(・8・),すごく気落ちしてたみたいだったけど…野手として這い上がって来たんだね
海未,層の厚いUTXでポジションを変え、再び昇格する努力、並大抵ではないでしょう。そのメンタリティには敬意を覚えます。しかし…
(・8・),やっ！
佐藤,っ…！
希,いいよことりちゃん！球がキレてる！
海未,今日のことりの調子は最高…！にこ、真姫、感謝しますよ。さあ、もう一球ストレートで押しましょう
(・8・),わかったよ、海未ちゃんっ
佐藤,UTXを…舐めるなよ！
海未,っ、まずい！？低い弾道で右中間を抜ける打球…！
佐藤,よし！長打コーs。…は？
花陽,と、取りました！
ことり,花陽ちゃん！！
海未,花陽っ！！
佐藤,なんで！なんでそんな場所を守っているんだ！！
海未,大丈夫…花陽、信頼していますよ
田中,摩訶般若波羅蜜多心経
希,ひえっ…
(・8・),ああ、寺生まれの…
海未,この方、言語能力を実家の寺に置き忘れてきたのでしょうか…
凛,薬でもキメてるにゃ？
穂乃果,ばっちこーい！
(・8・),この人は選球眼のいいローボールヒッターだったよね
海未,その通り。先日の試合でも粘られ、四球をもぎ取られました。早いカウントのうちに、高めの直球で押していきましょう
(・8・),チュンチュン！
田中,所得故菩提薩?依般若波羅蜜多…故心！
花陽,取ります！
希,ナイスプレー花陽ちゃん！
英玲奈,小泉花陽の守備、これは…ふむ
海未,よし、ことりボールを引っ掛けさせました！変化球のキレも完璧です！
(・8・),でも、ここからが勝負だよ…海未ちゃん
ツバサ,フフ、園田さん、南さん。打者として対峙するのは初めてね
(・8・),……海未ちゃん
海未,ええ、相談通りに
ツバサ,さてと、打者としても穂乃果さんにいいところを見せなきゃね……って、え？。いやいや…なによそれ
(・8・),初回から敬遠。このデコチビの性格ならイライラして、投球に影響が出てくれるかもしれない。やれる事は全部やっていかないとね！
ツバサ,勝負しなさい！！
(・8・),敬遠宣言イェイイェイェーイ。あーるこう(笑)。あーるこう(笑)。まともに勝負してもらえると思った？(笑)
ツバサ,…ふぅん？
海未,効いてます効いてます。さ、ことり。ラスト一球行きましょう
(・8・),オッケー海未ちゃん
海未,これは…あの時と同じプレッシャー…！
(・8・),え、体が重っ…指先のコントロールが…！
海未,いけない！ど真ん中に！。しまっ…！センター！！
にこ,……追うだけムダね
(・8・),やられた…！
ツバサ,恒星の引力からは逃れられない。勝負の選択権は私にあるのよ
英玲奈,敬遠、悪い選択ではない。普通の選手にならな。だがツバサ相手では…気持ちで逃げれば、あの威圧感に呑まれるだけ。さあ、まだこれからだぞ園田海未
あんじゅ,……私の出番ね？
真姫,う゛ぇえ…すごい歓声…
にこ,応援の圧が…
凛,押し潰されそうにゃ…
穂乃果,これが決勝戦…！
あんじゅ,さあ…ひねり潰してあげるわ…！
海未,気を取り直していきましょう、ことり。先程のは誤算でしたが…たかがソロ、まだ初回。挽回の機はいくらでもあります
(・8・),うん、大丈夫だよ。あんじゅさんに集中してこう
あんじゅ,思い知らせてあげるわ…音ノ木坂
(・8・),遠慮なしで行くよっ
海未,よし、最高のコースです！これなら振ってもファールにしか…
あんじゅ,完全にフルハウス…！
海未,なッ…どうして！ライト！！
あんじゅ,ふふ…悠々二塁打ね。そして次は英玲奈…初回でトドメを刺してあげるわ、音ノ木坂
絵里,させないわ！
あんじゅ,はぁ！？
絵里,希ぃぃッ！！！
希,絵里ち！
あんじゅ,ら、ライトゴロ…！
希,で、出たァ！絵里ちの鉄砲肩…いや、バズーカ肩！寒気すら感じさせる鋭利な軌道は大陸横断鉄道！スタンドに吹き荒れる戦慄と驚愕の嵐はさながら北のツンドラ！その肩に名前を付けようか！シベリアンバレットトレイン！！
穂乃果,ヒュゥ～！くぁ～っこいいー！
絵里,ふふ…悲しい悔しいエラーチカの汚名は返上よ！
花陽,えっ、悲しい悔しいって…自分で前置きまで考えたの？
にこ,案外気に入ってたのかしら…
凛,もっといじってあげるべきだったにゃー
真姫,シベリアンバレットトレイン…シベリア超特急…？ダサくない？
ことり,希ちゃん楽しんでるなぁ
海未,私も絵里の肩に名付けたいです！そうだ、神殺の槍…ロンギヌスと呼んではいかがでしょう！
希,却下や！
海未,何故ですっ！
花陽,ろ、ロンギヌス…？
凛,かなり寒くないかにゃー
にこ,ロンギヌスって…
真姫,ロンギヌスはないわね…
穂乃果,海未ちゃん…
ことり,海未ちゃぁん…
絵里,あら？個人的には悪くないんだけど…言ったら負けな流れかしら…
海未,むむ…納得がいきませんが…とにかくチェンジです！！
穂乃果,絵里ちゃんのファインプレーで音ノ木坂応援団が元気になった！この雰囲気…ありがとうみんな！穂乃果たちも頑張れるよ！
ツバサ,――Letmedo。始める準備はどう？
凛,えっ、見えな…！
穂乃果,…！
ツバサ,世界が回り出す
にこ,は、速…
ツバサ,誰かのためじゃない。自分次第だから。誰かのせいじゃない
英玲奈,ツバサ、過去最高の出来だな…！
あんじゅ,こんなツバサ…見たことない！
ツバサ,主役は自分でしょ？わかるでしょ！
穂乃果,勝負だよっ！！。っ！！
英玲奈,――ッ！！
穂乃果,バットに当たらなかった…！
ツバサ,第１ラウンドは私の勝ち。本日絶好調、ってところかしらね？
英玲奈,さて、今私が見極めるべきは…小泉花陽の守備だ
花陽,ことりちゃぁぁーん！！！打たせていこぉぉーっ！！！
ことり,うーんっ！！！花陽ちゃぁん！！！お願いねぇー！！！
英玲奈,内野手の声掛けだというのに、あれほど声を張り上げなければ聞こえない距離。尋常ではない。だが前の回、小泉花陽は外野へ長打コースの当たりと内野浅めのゴロ、両方を捌いてみせた。彼女の守備の正体、それは…
海未,カーブを低めに
(・8・),えいっ！
英玲奈,これでわかるはずだ。…スイング始動！
花陽,来る…ライト前コース、打球速度速め！斜め後方に6歩で処理！
英玲奈,なるほどな。スイング停止だ
海未,塁審！スイング！
英玲奈,球審、タイム願います。ハーフスイングを取られたか。まあそれはいい。小泉花陽の守備の正体…それは私の先読みと酷似した、超広域守備！
花陽,え、英玲奈さんがすごいこっちを見てる…！気付かれちゃったかな？
英玲奈,あの不可解な守備位置も、そう考えれば納得は行く。深い位置で構え、スイング始動の瞬間に打球位置まで走り、そしてボールを捌く。なるほど理に叶っている。人間は前へは走れるが背走が苦手だ。故に、深く守る。動き出しが極端に早いため、浅い打球への対応も間に合う。そして深く守っているため、短い背走距離で右中間へのヒットコースもカバーできる
海未,そう、あれが花陽の真骨頂。内野と外野の狭間で一人、両方の守備をカバーしている。さしずめ超広域単独守備陣形孤独なheavenとでも名付けておきましょうか…フフ！
穂乃果,まーた海未ちゃんがなんかよくわかんないネーミングする時の顔してる。マスク越しでもわかるもんね
海未,右に打たせて花陽に打球処理をしてもらうのが最善ですが、偏った配球で抑えられるほど甘い打者ではありません。アウトローへことりボールを一球です
(・8・),わかったよ海未ちゃん
英玲奈,流石だよ、小泉花陽。だが、私の先読み守備のように他者に指示を出せる域には君はまだ至っていない。ヒットコースはある！。二遊間中央、センター前へ抜ける打球だ！
凛,させないよっ！
英玲奈,星空凛…流石の打球反応！だが、そのコースは捕ったとしても体勢が崩れて投げられない！
凛,かよちん！
希,ナイス送球！！
英玲奈,何だと…！？
穂乃果,ナイスだよー！凛ちゃん花陽ちゃん！！
海未,素晴らしいです！！
ことり,二人ともありがとーっ！！
花陽,確かに、私一人の守備じゃ限界があるよ…。でも、凛ちゃんと二人なら
凛,凛はかよちんの動きになら、いくらでも合わせられるから
花陽・凛,二人で、ここは絶対に通しません通さないにゃ
(・8・),スマイルボール！。インローにストレート！
海未,よし…！先頭を切った事でことりが落ち着いて投げられました。花陽のおかげです！！
絵里,ことり！ナイスピッチング！
ことり,ありがとう絵里ちゃんっ♪
真姫,凛、花陽。かっこよかったわ
花陽,えへ、照れちゃうよぉー
凛,真姫ちゃんのくせに素直にゃ！
真姫,クセにってなによ！
海未,……むむむ
ミカ,海未ちゃんお疲れ！はいタオル。飲み物いる？
海未,…あ、ミカ。ありがとうございます
ヒデコ,ん？なんか浮かない顔。気になる事でもあるの？
海未,ええ…先ほどの回の優木あんじゅですが…、インコースのボール、打ってもファールになる最高のコース。それを容易にライト線へと運びました
ヒデコ,ああ、すごく上手い打撃だったよね
海未,はい、体勢は崩していたのに痛打されました。上手すぎる…女子野球のレベルを超えているほどに
ヒデコ,……まさか、フルハウス打法が発動してた、って事？
