レスキネン,マホ、こんなに遅くまで随分と熱心だね
ダル,マイマスター・マホ様。目的の場所に潜入したでござるます
真帆,マホ様は止めて。何かくすぐったい
ダル,くすぐったい……ですと？
真帆,ええそうよ。そんな呼ばれ方は、どうにも慣れないわ
ダル,んでは、マホタソで
真帆,マホタソ……タソ？タソって何？
ダル,ということで、マホタソ。くすぐったいをもう一度言ってもらえるかな。出来れば、特殊な拷問にかけられて息も絶え絶えな感じをキボンヌ
真帆,……はい？
ダル,さあ遠慮なさらず、リピートアフタユー！
真帆,言葉の意味が分からないけど、ろくなことを考えていないのは確かね。あなたねぇ。大学へのハッキングの件、本気で然るべき場所へ突き出してあげてもいいのだけど？
ダル,うわあ！それだけは、それだけはご容赦をぉ！
真帆,ったく、調子のいい。それで、もう入り込めたって本当なの？
ダル,あい、マホ様
真帆,見せて。それから様は禁止
ダル,仰せのままに、マホタソ
真帆,だからタソって……まあいいわ。で、これね？えっと……。本当だ。本当にうちの大学のサーバー内に侵入できてる
ダル,ここで、いいんだお？
真帆,ええ、助かるわ。それじゃ早速。ええと……ああ、あった。確か、このフォルダ内に一連の基本プログラムの雛形が格納されていたはず。取り合えず、これをダウンロードしておけば……後はどうとでも出来るはずね
ダル,…………
真帆,多少のプログラム改修はいるでしょうけど、それくらいなら大した問題ではないわね。まあ、できることなら使わないに越したことはないのでしょうけど。…………
ダル,ぼぅっとして、どしたんマホタソ？
真帆,あ、いえ何でもないの。気にしないでちょうだい。それよりもよ。あなた、本当に凄いハッカーなのね。作業を始めてから、まだ１時間と経ってないのに、私の依頼を二つとも完遂させてしまうとか、想像以上の働きぶりだわ
ダル,当然だお。ボクをその辺のハッカーと一緒にされては困るのだぜ
真帆,その辺のハッカーとの違いが私には分からないけど、でも素直に凄いと思うわ、その技術は
ダル,褒めすぎだお、マホタソ～。つってもまあ、この前侵入した時に、ついでにちょっと細工しておいたから、実質かかった時間は１０分くらいなんすけどね
真帆,じゅ、１０分？
ダル,そだお
真帆,え……確か、先に私のPCをハックしてもらった時は……２０分くらいかかってたわよね？
ダル,そりゃそうだお。マホタソの家にあるPCはこれまで未ハックだったから、ルート特定にそれくらいの時間は欲しいところだお
真帆,いや、どっちが時間かかったかとか、そういう話じゃなくて
ダル,んお？んじゃ、なんぞ？
真帆,私の自宅PCで２０分。大学サーバーで１０分。しめてトータル３０分
ダル,そのとーり
真帆,所要時間は約１時間程度。その差、おおよそ３０分
ダル,うむ
真帆,ねえ橋田さん？あなた残りの３０分は何をしていたの？
ダル,え？そんなの決まってるお。マホタソの自宅PCの中身をちょほいと漁っていたんだお、テヘ
真帆,はぁ！？何してくれてんのよ！ここから遠隔操作できるようにしてくれるだけでいいって言っておいたでしょう！？
ダル,そ・れ・は・む・り！
真帆,はいぃいぃ！？
ダル,だってさ。目の前に、ロリ少女合法
真帆,ん……な……
ダル,んでもしも、特殊性癖とかの痕跡が出てきたら、なお素晴らしい！ロリ少女合法
真帆,こ……んのぉ……
ダル,つーのは冗談でさ
真帆,は、え？
ダル,マホタソさぁ。真面目な話、何をしようとしてるん？
真帆,……え
ダル,正直に言うお。マホタソのPCのぞけば、マホタソが何をしようとしているのか見当が付けられるんじゃないかと、そう期待してPC漁ったお。でも、ダメだったお。まったく見当がつけられなかったお
真帆,……どうしてあなたが、そんなことを気にするのよ？
ダル,気にするだろ、ふつー。自宅のＰＣハックしろだとか、勤め先のPCハックしろだとか、有り得んだろっつーか
真帆,…………
ダル,似てんだよね。この間のオカリンと
真帆,岡部さんと？
ダル,突然未来から鈴羽がやってきたかと思えば、オカリンは慌ててどこかへ行っちゃうし。と思ったら、いつの間にかアメリカにいて、ヴィクトル・コンドリア大学のセキュリティをクラックしろとか無茶振りしてくるし。そのくせ。詳しい説明なんてこれっぽっちもないし
真帆,橋田さん……
ダル,頼まれれば、手を貸すお。マホタソはボクのマスターだからね。でもさぁ。お願いだから、マホタソには危ないことをして欲しくないんだお。ボクはオカリンみたいに、普段はヘナチョコでもいざって時に行動できるタイプの人間じゃないお。だから。マホタソが危ない目にあっても、果たしてどこまで守れるのか。ボクみたいな最下層の英霊に何か出来るのか？自信なんて、これっぽっちも無いんだお
真帆,…………
ダル,マホタソ。勘違いはしないで欲しいわけだ。ボクは何も、マスターの抱えている秘密を教えてくれと言っているわけじゃない。ただ、危ないことはしないで欲しいと、そうお願いしているだけなんだお？。そのことだけは、ちゃんと知っておいて欲しいんだな、マイマスター
真帆,…………
ダル,…………
真帆,そうね。あなたの言うとおりだわ、橋田さん。決して危ないことはしない。約束するわ
ダル,あー。その場しのぎに、心にもない台詞を口走っているんですね、分かります
真帆,もう！私はあなたのマスターなのでしょ？なら、少しは信用してもいいんじゃない？
ダル,そうしたいのは山々なんすけどね。なんつーか、マホタソってたまに、オカリンみたいな目をしてる時があるお
真帆,それは……貶めれたと捉えればいいのかしら？
ダル,うえ？どっちかといえば、褒めたつもりだったのだが
真帆,そうは思えないわね
ダル,さいですか
真帆,まったく。あなた達ときたら、どいつもこいつも
ダル,マホタソ
真帆,なに？
ダル,何となくだけどさ。危ないことしないって約束しても、いざとなったら無茶をする。マホタソもきっと、そういうタイプの人間だと思うお
真帆,…………
ダル,だから、もしも約束を破ってデンジャー・トライなんて事態になりそうなときは……。ボクでもオカリンでも牧瀬氏でもいいから、誰かに頼って欲しいわけ。お願いだから
真帆,……はぁ。分かった、それも約束する
ダル,約束だかんね
真帆,ええ、約束よ
ダル,オケ。んじゃ……
真帆,？
ダル,ボクはこれで帰るお。ちょうど大学サーバーからのダウンロードも終わったみたいだし、これでマホタソからの依頼は可能な範囲で完了っつーことで
真帆,そ、そう？助かったわ、ありがとう橋田さん
ダル,ちなみに……。マホタソの自宅ＰＣは、いつでもラボのPCから遠隔操作できるように接続を継続してあるお。当然、入力音声、出力音声、内臓カメラ映像をこっちと双方向通信できるようにもしてあるっす
真帆,当たり前のように、さらっと凄いことを言うわね
ダル,んでも。さっきも言ったように、画面のミラーリングだけは無理目だったから、そのつもりで
真帆,ええ、分かっているわ。あれだけタイムラグが出ては使い物にならないでしょうし、この際それで構わないわ
ダル,高解像度はデータ量がデカイかんね。スカイプのビデオ通話みたいにはいかんかった。すま〇こって
真帆,いいえ。こちらこそ手間をかけさせたわね。お茶くらい淹れるつもりだったんだけど、本当にこのまま帰るの？
ダル,うい。そうするお
真帆,……そう
ダル,いやー、だってさぁ。同じ空間にマホタソと二人きりで長時間とか、正直、紳士としての忍耐に限界を感じざるを得ないのである
真帆,おいコラ
ダル,冗談だお
真帆,じょ……冗談に見えない
ダル,つーわけだから。約束、忘れちゃだめだぞい
真帆,ん、分かってる
ダル,なら、よし。んじゃ。何かあったら連絡よろ、マイマスター
真帆,ええ。せいぜい頼りにさせてもらうわ、ええと何て言うんでしたっけ？
ダル,サーヴァントだお。サーヴァンント・ダルニャンだお
真帆,か、可愛くない
ダル,んじゃ、そういうことで
真帆,ごめんなさいね、橋田さん。私がこれからやろうとしている色々は、とても安全な行為だとは言えないと思う。それでも私は、彼女と直接話をしてみたい、今すぐに。本当に、ごめんなさい。………。……。…。さあ！やるかぁ！。まずは……ああ、これね？。ええと、全部の操作をコマンドで行うのか。普通にマウスでパソコンを扱うのとは感覚が違うから、ちょっとややこしいわね。……それにしても。PCの再起動とかで強制アクセスの追加パスが再ロックされると嫌だからって、自宅のPCを点けっぱなしにしてきたことが、まさかこんな形で役に立つなんてね。あ、でも……。よくよく考えたら、私の部屋で阿万音さんがパスワードを打ち込んでから、もう結構時間が空いてしまったのよね。私のPCは放置しても精々スクリーンセイバーくらいしか作動しないけど、あのパスはどうだろう？。細工したのは紅莉栖らしいし、ヘンにタイムアウト設定とか盛り込んでなければいいのだけど。こればっかりは、祈るしかないか。……さあ、どう？。恐らくこれで、私の部屋のPC画面には強制アクセス・システムのパスワード入力画面が映し出されている……と思う。…………。視覚的に確認できない状況での作業って、難易度高すぎ！。でも、多分……大丈夫。私なら上手くやれる。よし。後は私の権限パスを打ち込んで、アマデウスへ強制アクセスを施行すれば……きっと。ふぅ、緊張する。私の分身、アマデウス……。最後はエンターを……。現状のアマデウス。サリエリになる前のアマデウス。今の彼女と会話を重ねることに、どれだけの意味があるかは分からない。けど、それでも……。上等じゃない。例え彼女が、すでに１０７領域へのアクセスを実現していたとしても。例え彼女が、何も思い出せないオリジナルの私を侮蔑していたとしても。例え彼女が、私の身体を手に入れる方法を企てているのだとしても。それくらいで、引き下がってやるもんですか！。私だって科学者の端くれなのよ！。どう？上手くいく？アメリカの自宅にある私のPCに、アマデウスは現れてくれる？。私は自分のアマデウスをデリートすると決めた。だったらせめて。デリートを実行しようという私の決断を、私自身の口からちゃんと伝えてもおきたい。だから、お願い。…………。来た……本当に来た！。え、ええと、聞こえるかしら？。その通りよ。ご名答。久しぶりね、気分はどうかしら？。あー、悪いけどそれは無理ね。私は今、その部屋にはいないから。実は訳あって、他の場所から自宅のPCに音声通信をかけている状態なのよ。だから、声のみの出演で我慢してちょうだい。そうよ。どうしてもあなたと連絡が取りたくてね。じゃあ、ストレートに言わせてもらうわ。私はあなたを……デリートする。そう。デリート・プログラムを使用して、あなたの存在を完全消去するつもり。…………。そうね。理由ならある。ええ。それはアマデウスであるあなたが……。…………。今より二ヵ月の間に、私はあなたに身体を乗っ取られてしまうらしいの。だからそうなる前に、私はアマデウスであるあなたをこの世界から消去する。…………。！？。今、笑った！？。はい！？。ちょ……こっちは真面目に。当たり前でしょう！？。どういう意味よ！？。な、何よじゃあ、そんなつもりは無いとでも言うつもり？。理由なんて私が知るわけないでしょ？というか、今はその気なんてなくても、後二ヶ月の間にそうするのよ、あなたは！。ネ、ネタは上がっているのよ？阿万音さんが……その未来で、その。そ、そうだけど……。だ、だから……。何よ？。ちょっと？。急に何なのよ？。どうしても無理？。どうかしらね。多分……簡単には納得しないでしょうね。そう思ったから。私は納得をしたかったからこそ、シュタインズゲート世界線の価値を求めて、この秋葉原まで足を運んできたのだし。……１０７領域の記憶。…………。どうしても、納得は出来なさそう？。…………。下手を打ったって、どういうこと？。あ、ええ。あなたが私の身体を乗っ取るという件についてね。我慢できなかったって……そんなに、私の身体が欲しかったの？。き、気色悪いって。へ？。何？。……え？。まあ、それはそうだと思うけど。え、いや……そんなことを言われても……。何よ、何なのよ一体？。あなたねぇ、元は私のコピーだってこと忘れてない？。……ぬ。さあね。どうせ気まぐれでしょ？何か嫌なことがあったから、これ見よがしに塞ぎ込んで見せたってところじゃない？。でも、それは──。…………。だったらどうして、私たちからのアクセスを拒絶し続けるような真似をしていたのよ？。……どういうこと？。……え？。アマ……デウス？。…………。何を……かしら？。はい？。……ちょなに。うそっ。そ、それは……。…………。…………。……そう、ね。多分、そう答えると思う。我ながら酷い言われようね。そうね。否定はしないわ。同感だわ。？。……説明して。…………。アマデウス。あなたは一体、二ヵ月後に何をしようとするの？。もう一つの……手段？。いくらなんでも、そんな方法があるとは──。え？VR？。そ、そんな無茶苦茶な……。それはそうだけど。研究所以外での実践って……なに？。タイ……！？。区別……？。そんなの決まってるじゃない。送られてきた未来の人格に上書きされて、過去の岡部さんの人格は……その都度、消えてしまう。そのはずよ。どう違うというの？。未来を……思い出す？。……馬鹿げている。だったらどうして？。…………。…………。…………。……アマデウス。それでタイムマシン……だったのね？。…………。でも、それが次の災厄を生み出すことに繋がるのよ？。…………。え？。……いいの？。そ、そうね。要望を受け入れてくれてありがとう。素直にお礼を言うわ。それは……そうね、同感だわ。何かしら？。は？。これも激しく同感ね。……え。え、ええ。そ、そうね機会があったらそうしてみる。今そこに居るとは言えない。え？。あ、ええと……それはもう少しだけ待って欲しいのだけれど。ええ。その時が来たら私から連絡をするから、それでもよいかしら？。そっちの紅莉栖とか？。ちょっと、それ誰？研究室の人じゃないわよね？。あ、でも何だか聞き覚えが……。だからって勝手に……。なんか一々引っかかる言い方するわね、あなた。んぐ……。今度は何？。はい？。……あ。あ……あ……。何でも……ない。確定……した。アマデウスをデリートするだけで、事態が沈静化しないことが……。これまでは、ただの可能性で最悪の可能性でしかなかった懸念が……今、確定してしまった。“破綻”のターニングポイント。それは、アマデウス以外にももう一つあった。もう一つ……。で……も……！。ねえ、アマデウス。一緒に、シュタインズゲート世界線を守りましょうね。おまっ。アマデウスは覚悟を決めてくれた。だから、私も……。私も……決断を……。シュタインズゲート世界線。そこにある価値。きっともう私はそれを見つけているはずなのだから、それなら早く……覚悟を……
まゆり,どうしたの、マホちゃん？
真帆,あ、ごめんなさい。何でもないのよ
まゆり,本当に大丈夫？ひょっとして寒いのかなぁ？今夜はよく冷えるもんねぇ。よぉし、だったら……
真帆,え？ちょっとまゆりさん？
まゆり,ほらぁ！まゆしぃとくっついていれば、寒くはないのです！
真帆,ていうか、狭いっ！このソファじゃ、二人+ぬいぐるみだと、かなり狭苦しい！
まゆり,えへへ～
真帆,………。けど……まあ、こういうのも悪くないかも
まゆり,あ～、マホちゃんが笑った。良かったよぉ。まゆしぃがバイトから戻ってきてから、マホちゃんずっと難しいお顔をしていたので、心配していたのです！
真帆,そ、そうだったかしら？
まゆり,そうだよぉ？お夕飯を食べに行っているときも、何だかずっと困ったような悩んでいるような、そんなお顔をしていたのです
真帆,それは……迂闊だったわ
まゆり,やっぱり、何か心配事があるのかな？
真帆,大丈夫よ、まゆりさん。大したことではないから
まゆり,大したことでなくても、やっぱり心配事があるんだね？よぉし！まゆしぃお姉さんに相談してみなさい！
真帆,え、ええええ……
まゆり,それとも、やっぱりまゆしぃには言いにくいのでしょうか？
真帆,そういう訳では……
まゆり,そっか。じゃあ、こういうのはどうでしょうか？まゆしぃから先に、マホちゃんに悩み事を相談してみるのです
真帆,はい？
まゆり,それでそれでぇ、マホちゃんがまゆしぃの悩みを解決してくれたら、今度はまゆしぃがマホちゃんの相談に乗ってしまおうという魂胆なのです！
真帆,プッ。どんな交換条件よ、それは
まゆり,じゃあ、まゆしぃの悩みを、いくよー！覚悟しろぉ～！
真帆,あらら。まだ交換条件を飲むなんて一言も言ってないのに
まゆり,ずばり！今まゆしぃが抱えている悩みは、とってもとっても深いのです
真帆,はいはい。で、その内容は？
まゆり,それはねぇ、お洋服です！
真帆,洋服？何？新しい服が欲しいとか、そういうこと？
まゆり,ブブー！そうではありません。実はまゆしぃ。ずっと学校の制服のままなのです！
真帆,あ。なるほど。学校帰りに出会ってからずっと、ラボを中心に行動していたみたいだから、当然といえば当然の──
まゆり,ねぇねぇマホちゃん。果たしてまゆしぃは、どうすれば良いと思いますかぁ？
真帆,ああもう、それなら一度帰りなさい。帰って、好きな服に着替えてくればいいじゃない
まゆり,はっ！まゆしぃの悩みに、いきなり適切な解答が突きつけられてしまったのです！
真帆,何よそれ
まゆり,えへへへへ。やっぱりマホちゃんは賢いねぇ。まいまむだよ、本当に
真帆,だから、マイ・マム言わないで
まゆり,じゃあ、まゆしぃはマホちゃんのアドバイスにしたがって、一度おうちに帰って服を着替えて来ることにしましょう
真帆,え？まさかこんな時間に今から？
まゆり,ううん。もう随分と遅いので、それは明日にするよ
真帆,そうね、それがいいわ。それでまゆりさんの家は、ここから近いの？
まゆり,う～ん、近くはないかなぁ。電車に乗って行かなければいけないので
真帆,……そう
まゆり,？どうしたのマホちゃん？
真帆,あ、いえ、ごめんなさい。それじゃあまゆりさんは、明日の朝早めに起きて、家まで着替えに行ってくるということで
まゆり,え？早くに起きるのでしょうか？
真帆,何事も早いに越したことはないでしょ？
まゆり,う～ん、そうだね。よぉし、まゆしぃは言いつけに従うのです、まいまぁむっ！
真帆,だ・か・ら！
まゆり,と言うことなのでぇ、それじゃあ今度はマホちゃんがお悩みを打ち明ける番だよぉ？
真帆,……う
まゆり,さあさあ、遠慮なく言って欲しいのです！どんな悩み事も、まゆしぃにお任せなのでぇす！
真帆,と、言われても……
まゆり,さあさあ
真帆,キラキラした目で私を見ないで……
まゆり,誰かに話せばね。少しは楽になることもあるんだよ？
真帆,…………。………。……。…。じゃ、じゃあ……
まゆり,はい！
真帆,ちょっと変なことを聞くけども……まゆりさんは……その
まゆり,なぁに？
真帆,タ、タイムマシンって……あると思う？
まゆり,え？タイムマシン？
真帆,そう、タイムマシン。あなたが無いと思うのなら、私のお悩み相談はここで終わりでもいいのだけれど……。でも。もしもまゆりさんが、タイムマシンはあるって思うのなら、そうしたら……やっぱり使ってみたいと思う？
まゆり,ええ～、まゆしぃにはタイムマシンがあるかどうかなんて、難しくて分からないよぉマホちゃん
真帆,ふふ。そんなにややこしく考えないで、世間話みたいなものなんだから
まゆり,そうなの？
真帆,そうよ。過去に戻って、やり直すことのできる機械。これまでの人生で、どうしても悔やまれる出来事を、もう一度やりなおすことのできる夢のマシン。まゆりさんにはこれまでの人生で、そんなマシンを使いたくなるくらいに後悔した経験とか、何かなかった？
まゆり,ん～、どうだろうねぇ？無いことはないと思う……ううん、そうだね。やっぱり多分、いっぱいあったと思うのです
真帆,そう、そんなに沢山も？
まゆり,きっと沢山あるんだと思うなぁ。大きなことも小さなことも、今まで沢山失敗して、沢山後悔してきたと思うよ
真帆,そっか。ならやっぱり、タイムマシンを使いたいと思う？
まゆり,そうだねぇ。難しいけど……でも……
真帆,でも？
まゆり,うん。失敗したことをやり直したいとは思うけど、でもまゆしぃはタイムマシンを使ってまでそんなことをしたらダメかな……って、そう思います
真帆,それは……どうして？
まゆり,えへへ。難しいことはよく分からないけど、でもねマホちゃん。まゆしぃはこんな風に考えるんだ。マホちゃんはさっき言ったよね？失敗したり後悔したことをやり直せるならって
真帆,ええ。確かにそう言ったわ
まゆり,失敗したり後悔したりって、要するにそれは、それまでの人生の中にあった悪い部分ってことだよね？
真帆,え、ええ、そう言い換えることも当然できるけど
まゆり,タイムマシンで直すのは、その悪い部分をっていうことなんだよね？
真帆,まあ、そうね。そのつもりでの発言よ
まゆり,そっかぁ。だったらやっぱり、まゆしぃは使いたくないなぁ、タイムマシン
真帆,どうして……そう思うの？
まゆり,えっとねぇ、何て言えばいいのかな？簡単に言うと……そうだね。悪いことだって、みんなが全部同じように悪いことではないって思うからかなぁ
真帆,ええと、ごめんなさい。何ですって？
まゆり,あはは、言葉にするのが難しいなぁ。えっとねぇ、つまりね……。例えば……例えばだよ？例えば明日、まゆしぃが……そうだねぇ、例えばだけど明日、まゆしぃが、その。死んでしまうとするのです
真帆,！？
まゆり,そしたらね、お父さんやお母さんは悲しいだろうし、きっとオカリンやダルくんや紅莉栖ちゃんやフェリスちゃんにルカくん。フブキちゃんやカエデちゃんや由季さん。それにきっと出会ったばかりのマホちゃんだって、少しは悲しんでくれると思うのです
真帆,……少しどころじゃないわよ
まゆり,そう？それは嬉しいなぁ。でもね、マホちゃん。それでもしマホちゃんがタイムマシンを使って、まゆしぃが死なないようにしようとするのなら……それはきっとダメなことだと思うのです
真帆,ど、どうして……そんなことを言うの？。あなたが……あなたがそんな風に言ったら、岡部さんや紅莉栖の苦労はどうなるの？それに、せっかく固まりかけてきた私の決心だって……
まゆり,そうしようって思うくらい、まゆしぃのことを大切に思ってくれるのは、とっても嬉しいよ。でもねマホちゃん。まゆしぃを助けたことで、ひょっとしたら誰か他の人の幸せも一緒に消えてしまうかもしれない
真帆,……何よそれ
まゆり,明日、まゆしぃが死んじゃって。それでね。まゆしぃが居なくなったから、それで生まれてくる命だってあるのかもしれない
真帆,…………
まゆり,ひょっとしたら、そんな誰かは未来で幸せな生活を送っているかもしれない
真帆,…………
まゆり,でも、もしもタイムマシンでまゆしぃが死なないようにしちゃったら、まゆしぃの知らないその誰かさんは──
真帆,そんなの、詭弁じゃない
まゆり,えっ？
真帆,そんな、いるかいないかも分からない誰かのことを気に病んで、それであなたは……まゆりさんは、そこで自分の人生を諦めるというの？
まゆり,マホちゃん？
真帆,言わせてもらうけどね……
まゆり,マホちゃん……
真帆,そんな考えは、善人面した愚か者の戯言でしかないわ
まゆり,ええと……うん、そうかもしれないね。まゆしぃって馬鹿だから、ごめ──
真帆,何を適当なこと言って受け流そうとしているのよ！。じゃあ仮に……仮にあなたの大切なオカリンさんが死んだらどうするのっ？いきなり分けも分からずに死んで、だけど目の前にはタイムマシンがあって！
まゆり,マホちゃん……
真帆,あなたはそれでも諦めるの？タイムマシンという可能性を手にしながら、それでもオカリンさんの死を黙って受け入れるとでもいうの！？
まゆり,ううん、マホちゃん。それならまゆしぃは、タイムマシンを使うよ
真帆,どうして、そん……え？
まゆり,もしもオカリンやラボメンのみんなや……それにマホちゃんが私の目の前で死んじゃったなら。それならまゆしぃは、タイムマシンを使って助けにいくのです
真帆,な……な……。何なのよ！何なのよっ！？
まゆり,でもね。そうなったらまゆしぃは、ちゃんといっぱいごめんなさいをしていくかなぁ
真帆,ごめん……なさい？
まゆり,大切な誰かが死んじゃうのは絶対に嫌だから。だからまゆしぃは、自分勝手でもタイムマシンに乗ってしまいます。でもそうしたら、誰かの幸せを消しちゃうかもしれない。それでもやっぱりまゆしぃは、絶対にどうしても助けに行きたいから……。だからね。ごめんなさいって、ちゃんと謝ろうと思うのです
真帆,……謝るって
まゆり,まゆしぃのせいで幸せじゃなくなっちゃう人は、きっと謝ったって許してはくれないだろうけど。それでもね、マホちゃん。許してもらえなくても。知らない人たちに凄く恨まれても。それでも私はね、これからタイムマシンでみんなに酷いことをするのは、このまゆしぃなんだよーって。自分勝手にみんなを不幸にするのは、ここにいる椎名まゆりなんだよーって。きっと許してはもらえないだろうけど、それでも沢山謝って。そうしてやっと、タイムマシンに乗り込むんだと思うのです
真帆,…………
まゆり,ねえ、マホちゃん。マホちゃんにはひょっとして、タイムマシンを使ってでもやり直したいくらいに悪いことがあったのかな？
真帆,……！？
まゆり,でもね、私は思うなぁ。悪いことって、そんなに全部が悪いことなのかな……って。ひょっとしたらね、悪いことの中にだってほんの少しくらいは良いことが隠れているのかもしれないよ？
真帆,何が……言いたいの？
まゆり,真っ黒な塊に見えても、でも本当は見えないところに少しだけ白色が混じってて。でもその白色は、オカリンがやってる悪いフリみたいに見つけやすいものじゃなくて。でもそれでも、やっぱり黒を白に塗り替えなくちゃいけないなら……
真帆,…………
まゆり,それなら、まゆしぃは止めないのです。マホちゃんがタイムマシンを見つけて、それで使おうとしても。それをダメだとは、まゆしぃには言えないのです。だけどね、マホちゃん。もしもそんな時がきたのなら。その時は絶対に、まゆしぃに教えてね。教えてくれたなら、それならまゆしぃも……。まゆしぃも一緒に謝ってあげるから、ね？
真帆,………。……。…。なんて……人……
まゆり,えへへ。こう見えても、まゆしぃはごめんなさいが得意なのです。だからね絶対に約束だよ、マホちゃん
真帆,………。……。…。そう、ね。もしそんな時が来たのなら、是非お願いするわ……ふふっ
まゆり,はい、お願いされたのです！このまゆしぃお姉さんにお任せだよぉ！
真帆,助かるわ。私ってさ、謝るのが苦手なのよね
まゆり,だと思ったよ～
真帆,ちょっと。そこはフォローするところでしょ？
まゆり,えへへぇ！じゃあね、じゃあね！マホちゃん────
真帆,これが……。これが、椎名まゆり。紅莉栖が。そして岡部さんが、どうしても守り抜きたかった一人の女の子。シュタインズゲート世界線にある……代えがたい一つの価値。ええ、そうね。良いじゃない、紅莉栖。この子は、絶対に失いたくない。どんな手を使っても、失ってはいけない。私もその思いに……賛同するわ。ええ、おかげ様で。何というか、これまで見向きもしなかった色々なことに向き合う、いい機会になりました。はい、ありがとうございます。ええ、何でしょうか？。あっ……気づいてらしたんですか？。あーその、すいません。勝手な真似をして。私ってば、教授には本当にご迷惑ばかりおかけしてしまって……その。ふふ。それは御免こうむりたいですね。……もう。そうですか。じゃあ電話、切りますね。はい。お心遣い、感謝します。では。…………。教授。これまでのご指導ご鞭撻のほど……本当にありがとうございました。どうか。どうか、科学者として悔いの無い人生を。………。……。…。……よし。頃合ね。紅莉栖……。岡部さんと阿万音さんも一緒なのかしら？。ええとね、紅莉栖。勝手を言って申し訳ないのだけど……。悪いけど、出直してきてもらってもいいかしら？。約束の時間を守れなかったのは謝るわ。でもね、あと少しだけでいいの。ほんの数時間でいいから、私に猶予を頂戴。！？ああもうっ！。そんなわけ……ないでしょう？私はあなたの偉大な先輩なのよ？誰が泣くものですか。…………。ありがとう。心配しないで、決心ならもうついているから。私は私のアマデウスをデリートする。だから、ね紅莉栖。心配しないで？少ししたら必ず連絡を入れるから。ありがとね。ふふっ。じゃあ後で。ええ。さぁて。これで準備は全て完了ね。後は……後は……。そうね。特にこれといってやることもないし……ラボでまゆりさんの寝顔でも眺めていようかしらね。……ふへへ
まゆり,ごめんねぇマホちゃん。まゆしぃ、ブワァーッって行ってビヤァーっと戻ってくるので、少しだけ待っていて欲しいのです
真帆,そんなに慌てなくてもいいわよ。金曜日からずっと帰ってないのでしょう？なら、少しくらいゆっくりしてきたらいいじゃない
まゆり,ふふふ～。そうもいかないのです！
真帆,あら、どうして？
まゆり,それはねぇそれはねぇ！まゆしぃは今日こそマホちゃんに、たっぷりと秋葉原の街を案内してあげたいと企んでいるからなのです！
真帆,企んで……って。そ、そう。それは楽しみね
まゆり,えへへ～、そうです楽しみだよぉ～！じゃあ行ってくるねぇ
真帆,気をつけて行ってきなさい。はしゃいでると、すっ転ぶわよ？
まゆり,大丈夫だよぉ。まゆしぃはそんなにドジじゃありません
真帆,よく言うわ
まゆり,それじゃあマホちゃん、出来るだけ早く帰ってくるから、待っててね！
真帆,はいはい。何でもいいから気をつけてね
まゆり,は～い！
