このスレは,とある魔術の禁書目録
食蜂,あらぁ、ピンク色の紐パンねぇ、可愛いじゃなぁい
縦ロール,女王！いきなり何するんですか？
食蜂,S・Rさん式スカートめくりよぉ☆
？？？,クシュン。誰かが私の噂をしてるのかな？まぁいいや。さて、今日の初春はどんなパンツ穿いてるかな？
縦ロール,王子の前で小学生みたいな事はおやめ下さい！後、王子。お見苦しい所をお見せして申し訳ありませんでした///
上条,そ、そんなお見苦しいなんで...むしろラッキーだったりして
食蜂,当麻さん？
上条,いや、なんでもありません事よ！
禁書,いつまでたってもとうまはとうまなんだよ
上条,居たのか、インデックス
禁書,早くクリスマスパーティーやりたいんだよ！
食蜂,そうねぇ、準備は出来たし。やりましょうか。それでは今年も後少しですけどぉ、今日はクリスマスパーティーなので存分に楽しんで下さぁい☆
取り巻き達,イエーイ！！
食蜂,それでは乾杯！！
取り巻き達,乾杯！！
禁書,乾杯なんだよ！
上条,乾杯っと。さて、まずは何を食べようかな？おっ！このチキン美味そうだな。どれどれ。...うん！やっぱうめぇな
縦ロール,王子、それはわたくしが作りましたの
上条,縦ロールが作ったのか。やっぱ常盤台の子達はみんな料理が上手だな
食蜂,私から言わせれば当麻さんの方が美味いわよぉ
縦ロール,王子もお料理なさるんですの？
上条,まぁ、元々は一人暮らしだったから料理もそうだし、掃除・洗濯もしなきゃならないしな
食蜂,当麻さんの家事力はハイスペックだからねぇ。そうだ、当麻さん今度この子達のために料理してくるなぁい？
上条,愛しの操祈がそう言うならば喜んで引き受けますよ
縦ロール,本当ですか？是非とも食べてみたいですわ、王子のお料理
取り巻きB,王子のお料理...絶対に楽しみにしてますわ！
取り巻きC,我らが王子！
食蜂,それはもういいから
取り巻きC,はい...
上条,ケーキうまうま
食蜂,あらぁ、当麻さんったら、ほっぺにクリームついてるわよぉ
上条,え？マジで？
食蜂,私がとってあげるぅ
上条,え？
食蜂,ハムッ！
上条,お、おい！///
食蜂,えへへ
取り巻きA,ラブラブですわね
取り巻きB,わたくしもいつかは王子のような素敵な殿方とお付き合いしたいですわ
口囃子,わたくしも
禁書,(あれ？このショートケーキってこんなに甘かったかな？まぁいっか)
食蜂,さーて、そろそろプレゼントを渡さないとねぇ
上条,プレゼントか...上条さんは一応用意しましたけど
食蜂,じゃあ、まずは当麻さんからねぉ
上条,まず取り巻きの子達にはこちらを
縦ロール,ありがとうございます。開けて見ていいでしょうか？
上条,どうぞ
縦ロール,それでは失礼して、えっと、これはクッキー？
上条,一応人数分あるからな。ちなみにこれは上条さんの手作りですよ
縦ロール,え！？王子が作ったのですか？
食蜂,貴方達良かったじゃない！当麻さんの手料理がこんなにも早く頂けるなんてぇ
上条,悪いな、上条さんの経済状況じゃあこれが限界なんで
縦ロール,とんでもない！王子からプレゼントを貰えるならなんでも喜んで受けとりますわ！
取り巻き達,ありがとうございます、王子！
上条,いえいえ
食蜂,私にはないのぅ？
上条,ちゃんとありますよ。ホラ
食蜂,何かしらぁ......これはハートのペンダントねぇ
上条,是非操祈に着けてほしいなっと思って
食蜂,ありがとう当麻さん。コレ大事にするからねぇ。さて、私からのプレゼントなんだけどぉ、物ではないわぁ
上条,物ではない...としたらなんだ？
食蜂,コレよ！
上条,コレとは...ふむーー！！
食蜂,ん........ん...
縦ロール,じょ、じょじょじょじょ女王！？
取り巻きA,女王！なんて大胆な！
取り巻きB,なんて熱いベーゼなんですの！
禁書,みさき、凄すぎるんだよ...
上条,んーー！
食蜂,ん......ぷはぁ！
上条,操祈...///
食蜂,私からのプレゼントはファーストキスなんだゾ☆
縦ロール,凄いですわ！女王！
取り巻きB,ブラボーですわ！
取り巻きC,これが女王と王子の愛の結晶ですのね
食蜂,えへへ、キスしちゃったぁ。どうだったの私のキスは？
上条,いや、どうだったと言われても、突然だったから...
食蜂,じゃあ、もう一回するぅ？
上条,皆の前では勘弁してくれ
食蜂,二人っきりの時ならいいのねぇ？
上条,まぁ、それでしたら良いけど...。その後、取り巻きの子達からプレゼントで上条さんの手にはたくさんの荷物が...
食蜂,フフフ、当麻さんは幸せ者ねぇ
上条,一気に幸福力が上がった気がするよ。ただこれからが怖いんだよな...
食蜂,大丈夫よぉ。私がいる限り決して当麻さんを不幸にはさせないわぁ
上条,操祈...
食蜂,当麻さん...
縦ロール,女王に王子...これ以上甘くしないで下さいまし
食蜂,ごっめんー
上条,悪りぃ悪りぃ
縦ロール,仲良いのは結構なんですけど、その、時と場所を考えて下さいまし
食蜂,気をつけるわぁ。さて、クリスマスパーティーもこの辺にしましょう
上条,楽しい時間はあっという間だな、インデックス！帰るぞ
禁書,えーまだ食べ足りないんだよ！
上条,どんだけ食う気だテメェは、もう帰る時間だから行くぞ
禁書,...はーい
食蜂,当麻さん、明日のデートなんだけどぉ...
上条,おう、いつ待ち合わせにすっか？
食蜂,10時にいつもの公園ねぇ
上条,了解。インデックス、明日留守頼むわ
禁書,明日はこもえ達とクリスマスパーティーだから私も外出するんだよ
上条,そうか、なら戸締まりをしっかりしないとな
縦ロール,王子、プレゼントありがとうございます。クッキーは後で頂きますわ
上条,皆もプレゼントありがとうな
食蜂,あーさっぱりしたぁ
縦ロール,お飲み物をどうぞ
食蜂,ありがとねぇ。そういえばクッキーは食べたのぉ？
縦ロール,先程皆様と一緒にいただきましたわ。とても美味しかったそうですよ
食蜂,それは良かったわねぇ、私は何回か当麻さんの料理食べたことがあるから味は知ってるしぃ
縦ロール,王子は家庭的な殿方ですわね
食蜂,後は節約上手って所でもあるわぁ、まぁただ無能力者で奨学金が少ないからそうせざるを得ないけどねぇ
縦ロール,あんな能力があるのに無能力者扱いはあんまりですわ
食蜂,幻想殺しに関しては謎なのよぉ。さて、明日は大事な日になるから早く寝ないとねぇ
縦ロール,王子とデートでしたね、ではお休みなさいませ
食蜂,おやすみさきぃ
上条,じゃあ、行ってくるぜ
禁書,もう行くの？
上条,上条さんの不幸から考えたら今からでも行かないとヤバイ気がするんだ
禁書,まぁ、とうまの不幸は今に始まった訳じゃないからね
上条,そういう事、だからもう行くよ。鍵閉めてから行くんだぞ、インデックス
禁書,分かったんだよ
食蜂,さてと。制服よし、いつものバックよし、能力用のリモコンよし、手袋よし。ニーソよし、香水よし、当麻さんから貰ったハートのペンダントよし。お気に入りの下着よし
縦ロール,女王...それ工口いですわ
食蜂,そこは工口可愛いと言って欲しいんだゾ☆
縦ロール,やれやれですわ
食蜂,それじゃあ行ってくるわねぇ
縦ロール,いってらっしゃいませ、女王
上条,よし！なんとか1時間前に着いたぞ。にしても特にこれと言った不幸が無かったな。いやいや、これは前兆なのかもしれん。油断は出来んぞ上条当麻
美琴,何ブツブツ言ってるの？
上条,のあっ！なんだ御坂かよ...
美琴,こんな所で何してるのよ？
上条,待ち合わせだよ
美琴,待ち合わせ？ああ、食蜂とデートね
上条,よく分かったな
美琴,大体分かるわ、それでまだ食蜂はまだ来てないか。にしてもアンタが先に待ち合わせに来るなんて今日は雪でも降るんじゃない？
上条,悪かったなそりゃあ。でも、降って本当のホワイトクリスマスになって欲しいね
美琴,そう。(もしコイツと付き合ってるのが私だったら同じようにデートしてたんだろうな.....っといけないいけない、いい加減吹っ切れないと)。じゃあ、私はこれから黒子達とパーティーだから行くね。アンタもちゃんと食蜂とデートを楽しみなさいよ！
上条,またな
美琴,(アイツを頼んだわよ、食蜂)
食蜂,当麻さーん
上条,おはよう、操祈
食蜂,今回は私より早く来たねぇ
上条,前に言われましたからね、上条さんもしっかりと学習させてもらいましたよ
食蜂,うむ！それでよろしい
上条,それじゃあ行きますか
食蜂,はーい
上条,ちょ！？早速ですか...///
食蜂,フフフ、相変わらず可愛い反応するのねぇ
上条,男に可愛いって言うな！
食蜂,そうムキになる所が可愛いわよぉ。そんな当麻さんに大サービス！っと操祈は御坂さんの妹さんの真似しながらさらに胸を押し付けてみます
上条,(ぐはぁ！相変わらずの破壊力だぜ)
食蜂,ではレッツラゴー
上条,(幸せだぁ...)
食蜂,ルンルンルン♪
上条,まずはどこに行くんだ？
食蜂,前のデートは水族館だったじゃなぁい。今回も似たような所よぉ
上条,今度は陸の生物か
食蜂,さぁ、いろいろ見て周るわよぉ
上条,燃えてるな
食蜂,見て見て！あそこに触れ合いコーナーがあるわよ
上条,へぇー動物と触れ合うことが出来るのか
食蜂,早速行きましょう。うさぎちゃん可愛いー
上条,確かに可愛いな、モフモフしてるし。そういやさ、うさぎは寂しいと死ぬって噂を聞くって言うけど
食蜂,全くもって嘘ね。あれは飼い主が相手にしてやらなかったり、掃除の管理とかしてないとウサギに限らずどの動物だって死んじゃうわよぉ
上条,そうなのか
食蜂,そう、だからちゃんと動物の飼育するには徹底力がないと長生きはしないわねぇ
上条,(ちゃんとスフィンクスの面倒見ないとな)
食蜂,今度はアヒルちゃんに触ろうっと
上条,上条さんは...ヤギに触ってみるか
食蜂,この動物園はレッサーパンダも居るのねぇ
上条,本当だな、もしかしたら二足立ちしたりして？
食蜂,フフフ、風太じゃないんだからぁ
上条,だな
食蜂,次は麒麟ねぇ
上条,ほぇー高いな
食蜂,実はキリンってねぇ、鳴き声がモー
上条,マジで！？それは聞いてみたいな
食蜂,残念ながら滅多に鳴く事はないらしいわぁ。飼育員すらごく稀にしか聞かないみたいよぉ
上条,ああ、それは残念だな
食蜂,お次はダチョウね
上条,飛ばない鳥か
食蜂,飛ばないのではなく飛べないのよぉ。ちなみにダチョウの羽はほとんど静電気を帯びないため、OA機器のダスターや自動車のダスターにも使用されるらしいわよぉ
上条,なかなか物知りだな、操祈は
食蜂,いやーそれ程でも...あるわよぉ
上条,ハハハ、そういやTVで見るとよく飼育員がインタビュー中にダチョウが後ろから頭に突ついてくる映像があるんだよ
食蜂,何ソレ？かなりウケるんですけどぉ
上条,インタビューしてた飼育員に悪いけど、あれは爆笑したわ
食蜂,なんか楽しくなってきたわぁ。次は...あっ！象がいるわねぇ
上条,近くで見るとかなりデケーもんだ
食蜂,一日の食事量が凄いわよぉ、150kgの植物を食べ、100Lの水を飲むそうよぉ
上条,そりゃあ凄いな！、さすがのインデックスもこの量は絶対に食えないぜ
食蜂,もし食べれたらインデックスちゃんはもう人間じゃないわぁ
上条,とても養いきれませんわ
食蜂,さぁ次はどこに行きましょうか？
上条,なら上条さんがいい所連れて行って差し上げましょう
食蜂,ここは初めて来るわぁ
上条,ここなら遊べる所あるし、飯も食える所もあるからな
食蜂,...ねぇ、ここってゲームセンターあるのぉ？
上条,あるぞ
食蜂,本当？ならそこでやりたかった事があるんだぁ。一緒にプリクラ撮りましょう
上条,いいぜ。こういうのっていかにも恋人らしいな
食蜂,さーてどう撮りましょうかなぁ？
上条,普通でいいんじゃねー？
食蜂,それじゃあつまらないじゃない。いい？私達は恋人なのよぉ、いかにも恋人らしいプリクラを私は撮りたいのよぉ
上条,と言いますと？
食蜂,こういう事よ
上条,(ぐはっ！またかよ
食蜂,うーんもっと押し付けちゃえ
上条,ちょっ！？
食蜂,よし！まずは一枚目
上条,まさか二枚目も同じようなポーズで行くんでせうか？
食蜂,いや、次はね......当麻さんが抱きついて来てぇ！
上条,え？今度は上条さんがですか？
食蜂,もっちろん！後ろから抱いてねぇ
上条,......じゃあいくよ///
食蜂,いいわねぇ、もう少し強く抱いていいわぁ
上条,こ、こうか？///
食蜂,うん！その感じよぉ。さぁ、最後はどうしようかなぁ？
上条,(初めて操祈を抱いたけど、意外にもスリムな体だったな)
食蜂,決めた！じゃあ当麻さん行くよ
上条,おう(何する気なんだ？)
食蜂,チュ
上条,ふぇ？///
食蜂,えへへ、やっぱ恋人とプリクラするならこれよねぇ
上条,///
食蜂,ホラ、いつまで顔が茹でダコ状態になってんのよぉ？
上条,お前、よくこんな小っ恥ずかしい事出来るよな
食蜂,どうって事はないわねぇ。当麻さん携帯貸してぇ
上条,うん？携帯なんか貸してどうするんだ？
食蜂,それはね......はい
上条,何したんだ......っておい！
食蜂,裏にプリクラ貼らせていただきましたぁ
上条,しかもキスしてるのだし...
食蜂,ラブラブねぇ私達
上条,恥ずかし過ぎる...///
食蜂,大丈夫。その内慣れるって
上条,そろそろお昼にすっか
食蜂,そうねぇ、私お腹ペコペコだわぁ
上条,この地下街は結構飲食店あるからな、どうすっか？
食蜂,あれなんかどうかなぁ？
上条,あれって確か...。(まさかまたここに入ることになるとは)
食蜂,えーと......あったあった！当麻さんの学校のメニュー
上条,え？上条さんの高校のメニューあったの？
食蜂,あるよぉ、ホラここ。値段が400円！？メッチャ安いじゃなぁい！
上条,いや、庶民はこれが普通だからな
食蜂,私これにするぅ！
上条,それでいいのか？もっと良いの食べたらいいんじゃないか？
食蜂,私はこれが食べたいのぉ、好きな人が通ってる学校の学食メニューが気になるんだもん
上条,まぁ、操祈がそう言うならば
食蜂,なら当麻さんは私が通う常盤台の学食を頼むといいんだゾ☆
上条,いやいや！何を言ってるの？あれはウチの学校のメニューの100倍値段すんだぞ！しかも上条さんはそんな所持金持ってないぜ
食蜂,そんなもん私が奢るからいいわよぉ
上条,なおさら悪いって
食蜂,すいませーん
上条,おい！
店員,ご注文お決まりでしょうか？
食蜂,このとある高校の学食コースと常盤台中学給食セットをお願いします
店員,かしこまりした
上条,あーあ...
食蜂,やったねぇ☆これで当麻さんも常盤台のメニューが食べれるわよぉ
上条,しかしよ、彼女が安いモン食ってるのに、自分は高いモンを食うってかなり申し訳ないんだが
食蜂,私はそんな事全然気にしないわぁ。いい？私は庶民力を身につける事でどれだけ自分が恵まれてるか認識したいのよ。それに私はいつも不幸で苦労してる当麻さんには良い思いをして欲しいのよぉ
上条,操祈...
食蜂,だからさぁ、今回は当麻さんに贅沢させたいのぉ。ダメかなぁ？
上条,そんな事言われたら何も言い返せないよ
食蜂,どうだったぁ？ウチの学校のメニューは？
上条,美味すぎだったよ
食蜂,それは良かったぁ
上条,次どこ行こうか？
食蜂,そうねぇ、適当にどっか周って気になった店があったらそこに入って行こうよぉ
上条,了解。休憩して行こっか
食蜂,さんせーい。私疲れちゃったぁ
上条,かなり歩いたからな
食蜂,ねぇ、ちょっとだけ昼寝しよっか？
上条,昼寝っすか？
食蜂,こういういい天気だとなんか睡魔力が働くのよねぇ
上条,じゃあ少しだけな
食蜂,では当麻さんはここに頭置いてぇ
上条,それって...いわゆる膝枕と言う事ですか？
食蜂,もっちろん☆
上条,いいのか？
食蜂,遠慮しないでいいわぁ
上条,......それでは失礼します
食蜂,お客さん、どうですかぁ？私の膝枕は？
上条,最高っス
食蜂,そう
上条,痛くないか？
食蜂,大丈夫よぉ、ちょっとチクチクするだけで問題はないわぁ
上条,じゃあ、お休み
食蜂,起きてぇ当麻さん
上条,...うん操祈か......あれ？もう夕方じゃねーか
食蜂,ごめんねぇ、私はすぐに起きるつもりだったんだけど、携帯のアラーム設定し忘れたわぁ
上条,別にいいよ、すぐに起きなかった上条さんにも非があるし
食蜂,まぁ夕方になっちゃったけどさぁ、もう一つ行きたい所があるのぉ。いいかなぁ？
上条,どこに行くんだ？
食蜂,そ・れ・は。ここよぉ
上条,遊園地か、でも後1時間ぐらいで閉まるんだが
食蜂,いいのいいのぉ。私はある所に乗れれば充分よぉ
上条,ある所？
食蜂,あれよぉ！
上条,いいね。デートの最後に持ってこいの場所だな
食蜂,どうしてもここに行きたかったからねぇ
上条,今日は楽しかったな。ありがとな操祈
食蜂,お礼を言うのは私の方よぉ、ありがとう
上条,......
食蜂,......
上食,アハハハハ
上条,やっぱ操祈と一緒にいるとスゲー楽しいよ
食蜂,私だって同じよぉ、相思相愛なんだから当たり前じゃなぁい
上条,だな
食蜂,ねぇ
上条,ん？
食蜂,キスしてぇ
上条,え？ここでするの？
食蜂,誰にも見られないからいいじゃない。ちゃんと口にしてねぇ☆
上条,分かった...行くぞ
食蜂,ん......ん...チュ
上条,ん......これでいいかな？
食蜂,うん、ありがとう当麻さん。好き！大好き！
上条,楽しかったクリスマスデートももうお終いか...
食蜂,何言ってるのぉ？まだデートはこれからなのよぉ
上条,いやだって、もう門限近づいてるし...
食蜂,今日は帰らないわよぉ、まだ当麻さんと一緒に居たいしぃ
上条,じゃあ今日どうす......まさか、お前...
食蜂,当麻さんの部屋に泊めてぇ☆。お邪魔しまーす
上条,あれ？インデックスはまだ帰ってないのか
食蜂,みたいねぇ...まだパーティー中なんじゃない？
上条,その内帰ってくるだろう。うん？小萌先生から？。もしもし、どうしました小萌先生？。別にいいですよ、インデックスはどうしてるんですか？。そうですか、ではお願いします。インデックスはこのまま泊まるってさ
食蜂,今日も二人っきりねぇ☆。では、私も連絡しないとぉ。縦ロールちゃん。今日当麻さんの部屋に泊まるわぁ。そういう事。寮監には外泊届出してあるから伝えなくて結構よぉ。はーい
上条,最初から泊まる気だったのかよ...
食蜂,そうなんだゾ☆
上条,今回は先に操祈から風呂入りな
食蜂,なんでぇ？
上条,前みたいに突入されたくないからでーす
食蜂,えー別にいいじゃん
上条,よくない！あれはヤバすぎるんです！！とにかく先に入って来なさい
食蜂,...分かったわ
上条,ゆっくり浸かって来なさいな
食蜂,はーい、ち・な・みに覗きに来てもいいからねぇ☆
上条,いいから入って来なさい！！
食蜂,ちぇ、つまんないのぉ。お風呂ありがとねぇ
上条,また上条さんのワイシャツ着てるな......
食蜂,えへへ、やっぱ彼氏のワイシャツが一番心地いいんだゾ☆
上条,あーさっぱりしたー
食蜂,ジュース勝手に頂いてるねぇ
上条,どうぞ
食蜂,もう少しで今年も終りねぇ
上条,そうだな、あっという間だよ
食蜂,当麻さんは実家に帰省しないのぉ？
上条,今ん所親から連絡ないからな、多分学園都市で年越しになるんじゃないかな。操祈は？
食蜂,超能力者となると、外出するのにいろいろと手続きが必要だから面倒くさいのよぉ。まぁ私の両親は世界を飛び回ってるから会う機会はあまりないしぃ
上条,寂しくはないのか？
食蜂,たまに電話して来るからそうでもないわよぉ
上条,そっか
食蜂,うん。それでね先日かかってきたんだけど、そこで当麻さんと付き合ってる事を報告したのぉ
上条,マジで？それで、どうだったんだ？
食蜂,操祈が選んだ男なら文句はない。喜んで認めるよ
上条,認めてくれるんだ。マジで嬉しいよ
食蜂,(そろそろ私の計画達成まで後もう少し)
上条,そろそろ寝ますか？
食蜂,そうだねぇ、眠たくなってきたしぃ
上条,今布団しくから待ってて
食蜂,今回も一緒に寝てくれるよねぇ？
上条,...まぁ、恋人だからいっか
食蜂,当麻さーん
上条,(頼むぜ！俺の理性よ)
食蜂,ドキドキしてるのぉ？
上条,それは勿論、こんな可愛い子に抱きつかれるんだからドキドキしない訳がないよ
食蜂,もぉまた可愛いなんて...当麻さんは直球力がありすぎよぉ///
上条,そうかね...
食蜂,無自覚でやってるから恐ろしいわぁ
上条,そろそろ寝ようぜ。いつまでも喋ってると朝になっちゃうぜ
食蜂,そうねぇ、もう限界来てるし
上条,じゃあお休み
食蜂,おやすみさきぃ
五和,
神裂,
対馬,五和、いい加減現実を認めなさいよ
浦上,女教皇も元気出して下さい
建宮,あの男が常盤台中学の子と付き合ってると聞いた日はもの凄く荒れてたよな
香焼,五和さんはその日芋焼酎飲みまくってたっスからね
神裂,私は別にいいんですよ。せめて借りを返せればそれでいいので......
五和,どうせ私はおしぼりしか存在意義がない地味な女ですよ
牛深,教皇代理、なんか逆転の策はないんですか？
野母崎,やめといた方がいいぜ、牛深
諫早,あの男の性格からすると、何をやっても他の女に靡くことはないだろう
レッサー,あの馬鹿者め！！
ランシス,今度はどうしたの？
レッサー,よりにもよって今度は中学生と付き合ってるだと！？やはり教育だ！！教育しかない！！
ランシス,どれどれ...金髪に巨*と来たか...中学生とは思えないスタイルだね
レッサー,ほほう、金髪ね
フロリス,おい！何故私を見る？私はやらないからな！
レッサー,なーにちょっと胸を押し付けてパンツを見せるだけの簡単な仕事ですよ、フロリス
フロリス,ふざけんな！！
トール,上条ちゃんの奴どうやら常盤台の子と付き合ってるらしいぜ！マリアン
マリアン,うにゃー......どうでもいいし
トール,ミコっちゃんじゃないのが残念だけど、今度学園都市に行ったらみさきちに化けて驚かしてやろうっと
マリアン,一人で行ってきな、私はパス
御坂妹,ミサカは......ミサカは
10039,いい加減元気出しな！とミサカ10039号はあの方に恋人が出来てショックを受けてる10032号に叱咤激励します
13577,早くしないとミサカがケーキを食べちゃいますよとミサカ13577号は10032号の分のケーキに手をのばします
19090,ミ、ミサカはケーキはいりませんので10032号にあげますとミサカ19090号は好意をあげます
10039,オイ！また抜けがけする気かコラーとミサカ10039号は19090号に詰め寄ります
13577,まぁまぁ落ち着けよとミサカ13577号は仲裁に入ります。今はそんなことよりも10032号をなんとかしましょう
御坂妹,
10039,ちょっと待て！！ドラグノフ持ってどこ行くんだ？とミサカ10039号は何やら馬鹿な事をしだそうとする10032号を慌てて止めに入ります
御坂妹,こうなったら強引にでもあの方を奪ってやる！とミサカ10032号は手段を選ばず戦場へ向かいます。そう、ミサカは一発の銃弾とミサカ10032号は自身の決め台詞を言います
13577,それは違う無口系クーデレキャラの台詞だよボケェ！！とミサカ13577号は他人の台詞をパクった10032号をご指摘します
19090,ば、馬鹿な事はやめて下さい！とミサカ19090号は10032号を必死に説得します
10039,おい上位個体なんとかしろ！10032号がヤンデレディオノイズになりかねんぞ！とミサカはあー！！メンドクセーなこの口調！
冥土帰し,あの子達は前より個性が出てきたね
看護師,いや、先生？止めなくていいんですか？
冥土帰し,大丈夫だよ。小さな上司がなんとかしてくれるからね
打ち止め,もー10032号はいい加減に吹っ切れてほしいとミサカはミサカは文句言いながらもしっかりとお仕置きしてみる
番外個体,ちゃんとアイツらの教育しとけよ最終信号。ミサカにも流れてくるんだからさ
一方,何やってンだがァ
黄泉川,一方通行、チキンばっかり食べてないでサラダも食べるじゃん！
芳川,私はこのケーキのように甘いから何も言わないけど
番外個体,全く、ヒーローさんに恋人が出来たぐらいで騒ぎすぎなんだよアイツら
打ち止め,それは仕方ないかもとミサカはミサカは今更ながらヒーローさんを祝福してみる
黄泉川,確か、月詠先生の所のクソガキじゃん
芳川,それって例の不思議な能力を持つ無能力者よね？
番外個体,相手はおねーたまと同じ常盤台のもう一人の超能力者だってさ
黄泉川,相手が超能力者なんてやるじゃん!その少年。まぁ恋愛に能力は関係ないからね
芳川,この調子で一方通行も彼女が出来るといいわね
番外個体,第一位に女？無理だね。こんな口リコンモヤシ野郎に彼女が出来る訳ねーだろ
一方,殺すぞォ
打ち止め,大丈夫。あなたにはミサカがいるよとミサカはミサカはあなたの腕に抱きついてみたり！
一方,オイっ！離しやがれクソガキィ！。(まァ頑張れや三下ァ。応援してるぜェ)
麦野,浜面ァ！コンビニで飲み物買って来い！
浜面,えーまたかよ...
絹旗,五分で超戻って来て下さい。戻らなかったら窒素パンチを超おみまいしますよ
浜面,無理に決まってんだろう！こっからコンビニまで10分かかるんだぜ
絹旗,浜面、漫画である超名台詞がありました。諦めたらそこで超試合終了だよって
浜面,だから無理だって！！つかさりげなくその名台詞に自分の口癖入れるな！
麦野,いいからさっさと行け！ちゃんとテメェの分のケーキ残してやっからよ
浜面,分かったよ...
滝壺,いってらっしゃい、はまづら
フレメア,大体浜面はヘタレだにゃあ
滝壺,オイ！今のもう一度言ってみろこのガキ！
美琴,今日は寮監がいないから気をつかうことなく騒げるわ
黒子,ハァハァ、お姉様のサンタコス最高ですの！
初春,私達もサンタコスなんですけどね...
佐天,てゆーかスカート短くない？かなり恥ずかしいんだけど///
初春,そういえば佐天さんって制服以外のスカート姿見たことありませんね
佐天,スカートは苦手なんだよねー。スースーするし、風が吹いたらすぐパンツ見えちゃうし
初春,これで私のスカートめくるのをやめていただきたいものですね
佐天,それは絶対にイヤ！
初春,なんでやめないんですか？
黒子,お姉様...サンタコスでも短パン穿いてらっしゃるのですのね
美琴,ア・ン・タはどこ撮ってんじゃあコラー！！
黒子,アババババババ
美琴,全く...写真、全部削除ね
黒子,
美琴,さぁ、そこのヘン夕イはほっといてパーティー楽しもう
初佐,オーー！
禁書,クリスマス最高なんだよ！
結標,...このシスター何者なの？
姫神,ただの。穀潰しニート
禁書,あいさ！それはヒドすぎるかも
小萌,プハー、クリスマスに飲むビールは最高ですよー。上条ちゃんは今頃食蜂ちゃんとのデート楽しんでるのでしょうね
結標,生徒に先越されるなんて傑作ね、小萌
小萌,結標ちゃん！笑わないで下さいです！
姫神,実際。小萌と付き合ってくれそうな人は。口リコンぐらいじゃない？
禁書,大丈夫。私の知り合いにそういう人が居るから今度紹介してあげるんだよ。背が高くてヘビースモーカーだからこもえにピッタシかも
小萌,ちょっとシスターちゃん！先生は口リコンな人がタイプではないですよー！
上条,みーさき、起きろ
食蜂,ん......当麻さん？そうか、当麻さんの部屋に泊まってたのねぇ
上条,おはよう。朝食出来たから顔洗いに行きなさい
食蜂,私の分もあるのぉ？
上条,勿論。だから起きなって
食蜂,じゃあ、おはようのキスしてぇ
上条,あいよ...
食蜂,ん...うむ。今日は良い一日になりそうだわぁ
上条,そうかい。なら早く顔洗って来い、朝食がさめないうちに食べようぜ
食蜂,はーい。ご馳走様でしたぁ
上条,お粗末様です
食蜂,クリスマスも終わったしぃ、後は年越しを待つのみね
上条,上条さんにはこの部屋の大掃除が残ってますけどな
食蜂,私の寮は業者さんがやってくれるから面倒くさい事しなくて済むねぇ
上条,いいなー常盤台は
食蜂,それが省ける分当麻さんの部屋の大掃除手伝ってあげるんだゾ☆
上条,いいよ、女の子に手伝ってもらうなんてなんか悪いよ
食蜂,女心力がわからないのねぇ、私は少しでも長く当麻さんと一緒に居たいのぉ。だから一緒に大掃除しよ？
上条,それは悪かった。操祈がそこまで俺を想ってくれるとは思わなかったよ
食蜂,そうよ。私達はこれからもずーと一緒なんだからぁ
上条,そうだな
青ピ,明けおめ！カミやん
上条,明けおめ、青髪
姫神,明けましておめでとう。上条君
上条,おう姫神、明けおめ
青ピ,所でつっちーはまだかいな？
上条,あれ？まだ来てないのか、休みか？
吹寄,そう言えばアイツ、二学期の始業式も休んでたわね
上条,(やっかい事でも巻き込まれたのかね？)
青髪,さーてカミやん、根掘り葉堀り聞かせてもらうでー？
上条,何をだ？
青髪,愛しの心理掌握ちゃんの事に決まっとるやん！
上条,ああ、操祈の事か
青髪,新年初デートはやっぱり初詣かいな？
上条,まぁな
青髪,その時の心理掌握ちゃんって着物だったん？
上条,制服だよ。忘れたか？常盤台は休日も制服着用の義務があるんだぜ
青髪,そうやったな。でも見てみたいんやろう？心理掌握ちゃんの着物姿
上条,そうだな、操祈は何着ても可愛くて似合うからな
姫神,上条君は。間違いなく。学園都市のバカップルになれる
吹寄,ヤレヤレ、朝から惚気話全開ね
青ピ,確かにカミやんにはその素質はあるわ。2人だけの現実(バカップル・リアリティ)てか、やかましいわ！
上条,オメーがやかましいわ！青髪
吹寄,所で上条、貴様はちゃんと宿題やってきたんでしょうね？
上条,ご心配なく、ちゃんとやってきましたよっと
吹寄,そうよね、上条だもの。宿題やってく......え？
上条,だからやったって
青ピ,嘘やろー！？
姫神,上条君。エイプリルフールは。まだ三ヶ月先だよ？
上条,どんだけ信用してないんだよ俺は...
吹寄,本当だ...終わってるわ
青ピ,カミやん！何があったんや？
上条,操祈が教えてくれたんだよ
吹寄,貴様......プライドないの？
上条,だって操祈が通ってる常盤台は大学レベルの授業してんだぜ？
青ピ,だからと言って、中学生に教わるのはどうかと思うでー
上条,そりゃあ最初は自分でやってたさ。なかなか進まないから諦めようかと思った所、操祈がそれを許さないとばかりに教えてくれてたんだ。んで前日には終わったんだ
吹寄,はぁ、貴様はこれからちゃんと勉強しなさい。でないといつまでも彼女さんに迷惑かける事になるわよ
上条,はい...努力します
姫神,そんな上条君を。応援してる
上条,ありがとう、姫神
食蜂,当麻さーん！
青ピ,今日も待っとるな
上条,これからデートなんだよ
青ピ,学校終わって早速デートかいな、ええなカミやんは
上条,待たせちゃったな。さぁ、デートに行こうぜ
食蜂,うん！
上条,という事で上条さんは失礼しますよ。じゃあな
食蜂,では、当麻さんを貰って行きますねぇ
