ミリＰ(以下Ｐ),シアター組総勢37名大型ライヴ！皆お疲れ様！
Ｐ,今のは工口かったぞ....工口かったぞ―――ッ！！
風花,きゅ、急に当てないでくだ。ふぅんっ！
Ｐ,あぁ.....この背徳感...
育,ねぇ
環,なんで
桃子,桃子達の
ひなた,目を
星梨花,塞ぐんですか？
麗花,子供にまだ早いかな～
茜,見ちゃいけな～い聞いちゃいけな～い
年少組,？
風花,も、もう！プロデューサーさんはいつも工ッチな事ばかり！
Ｐ,それが風花の魅力だから
風花,え？
Ｐ,風花のスタイルは男性にとって魅力的だからだ
風花,...み、魅力...
Ｐ,あぁ、本来女性に求められるのは母性。それはスタイルから来ている。長い髪、優しい声、温厚な性格、色々な“女性らしさ”というものが存在するけど、それは男にだって出来る事。しかし唯一、出来ないのはスタイルだ。確かに今は人工的な物があるが、そういう話ではない。その完璧なスタイルを持つ風花は女性にとって憧れの対象になる。世界のトップモデルなんか見てみろ、誰も身長が高くて痩せていて足が長いだけ。そして何より胸が小さい。そんなの男性モデルと変わらないじゃないか。あれは女性としての美ではなく、人間としての美。芸術そのものだ。人間自身が芸術作品になる意味なんてどこにもない....それに...
風花,...それに？
Ｐ,風花のスタイルを、羨ましがる人だってたくさんいる。その人達のためにも、憧れの存在であって欲しい
風花,プロデューサーさん....
Ｐ,そういう仕事ばかりなのは謝る。でもグラビアや露出度の高い服が.....風花の魅力を引き出す一番の方法だから...
風花,私のためを思って....ですか？
Ｐ,当たり前だ
風花,.......やっぱりプロデューサーさんは私の信じた人でした
Ｐ,そ、そうか？
風花,はい、だから私、プロデューサーさんに一生ついていきますね！
Ｐ,その言い方は結婚とかの勘違いに
風花,えっ！？ち、違いますから！///
Ｐ,ですよねー
風花,...........ばかっ
小鳥,終了です～
Ｐ,とりあえず理性は保てて良かった....でも惜しかった気もするけど
瑞希,プロデューサー
Ｐ,おぉっ、どうした瑞希
瑞希,プロデューサーは大きいのが好きですか。やっぱり
Ｐ,大きいの？.......あぁ胸の話か。確かに大きいのは魅力的だが...
瑞希,ずーん......
Ｐ,瑞希ぃぃ！？ち、小さくても瑞希は魅力的だぞ！？
瑞希,慰めの言葉は胸に刺さります。ぐさっ...
Ｐ,俺は好きだから！瑞希の胸好きだから！！
瑞希,なっ....
百合子,プロデューサーさん、それセクハラですよ
Ｐ,えぇぇぇぇ！？！？。危ねぇ...あと少しで独房にブチ込まれるところだった。休む暇も与えず
エレナ,カン....ジ？
小鳥,漢字がまだ不得意のエレナちゃんにプロデューサーさんが読み方を教えてあげる内容です
エレナ,あっ待ってテ
Ｐ,？
エレナ,ジャジャーン！勉強する時はこれだヨ！
Ｐ,おぉ！似合ってて可愛いぞ～！
エレナ,えっへへ......♪。あっそうダ、キコクシジョって、ドウシテ男子もそう言うノ？
Ｐ,帰国子女の子は男って意味なんだ。昔は子供＝男という考えだったから、そういう勘違いが生じるんだな
エレナ,そうだったんだネ！
Ｐ,さて次は.....ん？。これは読めるかな？
エレナ,.......全然読めナイ
Ｐ,これは愛(あい)ね
エレナ,アイって？
Ｐ,う～ん、結構説明しにくいもんだな....よし、百合子ー！広辞苑貸してくれー！
百合子,はいどうぞ！
Ｐ,サンキュー。えーっと...
エレナ,恋？
Ｐ,うん、誰かを好きになったり、大切に思うことだね
エレナ,好きと同じ意味？
Ｐ,異性で見れば好きより上の表現になる。ほら、よくドラマや漫画で愛してるって言うでしょ？
エレナ,あぁ！言うネ！。じゃあワタシとプロデューサーは好きより愛ってことだネ！
Ｐ,そ、そうなるのかなぁ....まぁ親子みたいなもんだし、愛情が適切かな
エレナ,プロデューサーはワタシのこと、愛してる？
Ｐ,うん、愛してるよ
エレナ,もう一回！
Ｐ,愛してる
エレナ,もっかい！
Ｐ,愛し....て、わざとやってない？
エレナ,........えへへっ
Ｐ,結構言うの恥ずかしいもんだなぁ
エレナ,ワタシもね....プロデューサーのこと.....愛してるよっ...
Ｐ,エ、エレナ.....マジトーンで言うと誤解を生むぞ？
エレナ,むー....プロデューサーの方が日本語できてないヨっ
Ｐ,えぇっ...
エレナ,エレナのどういうところ、愛してる？
Ｐ,そうだな....いつも明るくて、周りを元気にさせてくれるとか....何に対しても猪突猛進、と思いきやしっかり現状を把握できて、よく周りを見ているところかな
エレナ,は、恥ずかしいヨー...///
Ｐ,エレナから聞いてきたんだろ～？
エレナ,うぅ～....///。ねぇ、プロデューサー。もう一回....愛してるって言っテ？
Ｐ,あぁ、愛してるよ
エレナ,.....ふふっ、ふふふふ！
Ｐ,エレナ？一体どうし
エレナ,じゃじゃーん！
Ｐ,あー！！
エレナ,さっきアリサから借りたんだヨ～！
Ｐ,それをよこせぇい！
エレナ,ダメだヨ～！バッチリ撮らせて貰ったからネ！
Ｐ,あぁぁぁぁ恥ずかしぃぃぃぃぃ！！！
エレナ,バイバーイ♪
Ｐ,....してやられた...
茜,プロちゃん困ってたけど、何を撮ってきたの？
エレナ,ふっふ～～～ん！
全員,！！！？？？？
亜利沙,エレナちゃん！それはとてもいい収穫です！
エレナ,後でいっぱい聞コ！
琴葉,エレナ！いくら！？
エレナ,ダメだヨ！これはあげナイ！
美也,100万～
莉緒,せり始めちゃダメよ！120万
このみ,莉緒ちゃん！あなた大人の女性として恥ずかし150万
志保,千鶴さんは参加しないんですか？
千鶴,わ、わたくしが参加しますと終わってしまゴホッ！ゴォホッ！！
ロコ,.....千鶴さん、無理しなくていいですよ
千鶴,無理なんか、し、してませんわよっ！？
静香,200万
小鳥,さぁ次は一体誰でしょうか～。絶対君主ゲーム続いての犠牲者は！。この人！
Ｐ,もうずっと犠牲者なんですが
全員,え！？！？
Ｐ,ん！？
そら,？皆さん、どうしたんで......。へ...？。え～～～～！？。あ、あの！これはどういう！
小鳥,このパーティに参加すいるということは...強制的に私の支配下に落ちるという事です！。ご安心ください、割と簡単なものですので
そら,で、でも！
翼,写真撮影？
可憐,志保ちゃんと琴葉さんとあまり変わらない気が...
小鳥,志保ちゃんはあくまでアルバムを見るというシチュエーションであり、写真撮影は予定にありませんでした。琴葉ちゃんは一緒に撮影されるもの
茜,ってことは、今度はプロちゃんが撮る番！
小鳥,ピンポン正解！さすが茜ちゃん！そうです、今度はプロデューサーさんがカメラマンこと、早坂さんの写真を撮ってもらいます！
そら,わ、私が写真....ですか？
小鳥,はい！衣装も用意したので好きなものをどうぞ！一緒に選んであげてくださいね
Ｐ,了解です！
そら,は、恥ずかしい....
Ｐ,これなんかどうです？
そら,メ、メイド服！？それは恥ずかしいですよぉ！
Ｐ,似合うと思うんですけどねぇ...ではチャイナドレス！
そら,これもダメです！
Ｐ,えー
ひなた,あの二人、もともと仲良かったべか？
千鶴,確か一緒に初詣に行く仲でしたわ
琴葉,二人で！？
千鶴,い、いえ、小鳥さんと社長も一緒に
琴葉,....
昴,焦った～...
翼,う～、プロデューサーさんの女ったらし～。私だけ見ててほしいよ～
Ｐ,それじゃあ.....これなんてどうです！？
そら,アイドルの衣装ですか....そ、それなら....期待しないでくださいね
Ｐ,期待しちゃいますよ～
そら,か、からかわないでっ....ください....っ
Ｐ,はいじゃ撮りますよ～！
そら,うぅ～....///
Ｐ,もっと笑顔で！
そら,こ、こうですか？
Ｐ,あっ、その表情いいですね！一枚、撮らせてください！。よぉ～し、もっと大胆に一枚脱いでみようか？
そら,こ、これ以上何を脱げばいいんですか！///
Ｐ,ムフフ♪
そら,もうっ.....亜利沙ちゃんみたい.....ｸｽｯ
亜利沙,お二人とも仲がイイですね～！
星梨花,どうして撮影を写真で撮るんですか？
亜利沙,これはですね、お二人のツーショットをダシに、カメラマンさんのアイドルデビューを計ろうかと！
麗花,そんな簡単なものじゃないと思うけどね～
昴,オレもそう思う...
琴葉,.......思った以上に仲がいいのね
奈緒,アカン、琴葉めっちゃ怖い顔しとる
静香,.....
奈緒,こっちもアカン
Ｐ,それじゃラストいきますよ！はい笑って！。お疲れ様でした
そら,お疲れ様でした！あ、ありがとうございました！
Ｐ,いえいえ、いつもお世話になってますから。これくらい。あのー、もう一回聞いてもいいですか？
そら,はい？
Ｐ,早坂さん、アイドルになりませんか？
そら,.....私は、アイドルを撮ってる自分が好きなので...アイドルを輝かせることが私の使命だと思うんです！。ですから.....お答えできません
Ｐ,そうですか....でも、もしアイドルになりたいと思った時はいつでも言ってくださいね！全力でプロデュースしますから！
そら,その時は....お願いしますね！
Ｐ,はい！あっ、そうだ。早坂さんが来ると思ってなくてプレゼント用意出来ませんでした....ごめんなさい
そら,そんなお気遣いなく！いいんですよ私は！
Ｐ,何かお礼できませんか？プレゼントとか
そら,そ、そうですね.....でしたら。私もその....名前で呼んでいただけませんか...？
Ｐ,そんな事なら、いくらでも.....。そらさん
そら,！...あ、ありがとうございます....///。実際に呼ばれると、は、恥ずかしいですね....えへへっ......
Ｐ,........。そらさんそらさんそらさんそらさんそらさん
そら,呼びすぎですよぉ！///
Ｐ,そらちゃんそらちゃんそらちゃん！
そら,も～～～！！///
全員,イチャイチャすんなや.....
朋花,今回を通して、プロデューサーさんが他に女性を作っている可能性が高くなりましたね～
まつり,恐らく本人にその自覚はないのです
昴,無自覚で彼女を....！？
朋花,そうなると一日中縄で繋いどかないといけませんね～
百合子,ここで37人いるのにそれでも....？
桃子,前にデート行った時、桃子がいるのに他の娘にスカウトしてたよ
美也,デート～？
桃子,あっ
杏奈,それ....どういうこと.....？
莉緒,詳しく聞かせてもらおうじゃない.....
桃子,も、桃子ちょっとトイレに！
瑞希,逃がしません
桃子,わぁぁぁぁぁぁぁぁぁ！！
小鳥,王様だーれだ！次はホイ！
育,えっ！わたしの出番！？やった！
このみ,おままごとですって、可愛いわね～
育,ぷーっ、わたしもう子供じゃないのに～....
莉緒,これは和むわ～。今のところ精神的に危機を感じるものが多かったから。癒しになるわね
茜,危機ってなんですかねぇ
Ｐ,俺が夫役かな？
育,うん！じゃあ仕事から帰ってくるところからやろ！
Ｐ,はいはい。まだ桃子の指導が残ってるから、演技に心配はないかもな。えーっと、ただいまー
育,お帰りなさーい！
美奈子,微笑ましいね
琴葉,微笑ましいわ
育,はーい、ただいまのチュー♪
Ｐ,わっ！？
美奈子,羨ましいね...
琴葉,羨ましいわ...
茜,即堕ち二コマやめーや....
Ｐ,い、育、そういうのは軽々しくやっちゃダメだぞ？
育,えっへへ...♪。ねぇプロデューサー！ご飯にする？お風呂にする？それとも～。...わたしにする？
Ｐ,おぉぉぉぉぉぉぉぉぉ！！！。い、いく、ご、ご、ご、いく...ご....いく...ご、ご飯に、しようかな...
のり子,理性を保ったね
海美,顔の筋肉を存分に使った理性
育,はい、ビールどうぞ！
Ｐ,疲れた体にはこうビールをググっとぉ...ｺﾞｸｺﾞｸ、プハー！
育,ねぇ、あなた？
Ｐ,ん？
育,子供が欲しいの
Ｐ,ﾌﾞﾌｫ！！！
琴葉,
エレナ,コトハー！コトハー！
朋花,嘘....ですよね...そんなの嘘...嘘...嘘
ひなた,朋花さんも危ないべさ
Ｐ,あー！育！それはダメだ！
育,どうして？両想いだったら出来るってお母さんが！
Ｐ,そーれーはーだなぁー.....
育,ねぇ、作ろ？
Ｐ,このみ姉さぁぁぁん後頼むわぁぁぁ！！！
このみ,えぇ！？。えっと....子供はね？キ、キスで出来るのよー！？
育,へぇ～！
小鳥,このみさんが育ちゃんに性教育している間に次にいきましょう
桃子,じゃあ桃子とお兄ちゃんがキスをすれば出来るわけ？
莉緒,桃子、それ爆弾発言
小鳥,次はデデドン！
歩,水泳ぃぃぃぃ！？
Ｐ,あー、歩カナヅチだもんな
小鳥,ついでに苦手も克服しよう！という企画でして
歩,これはさすがに...！
小鳥,泳ぎはプロデューサーさんが手取り足取り教えてくれますよ
歩,......ぐぬぬ。や、やります....！
Ｐ,泳げないのはもしもの時、危険になるからな...
小鳥,下の階にプールが完備されてあるので、そちらへ
Ｐ,このビル凄いな...
可憐,私達はどうしてれば...？
ジュリア,ま、モニターだろうな
Ｐ,いっちにっさんしっ。....一通り準備運動終わったけど、歩が来ないな。もしかして逃げたか...？
小鳥,呼んできますね
Ｐ,お願いします
小鳥,歩ちゃーん
歩,は、はい....
小鳥,プール怖い？
歩,そ、それもそうなんですけど....その...
小鳥,？
歩,ぷ、プロデューサーに...水着見られるの...は、恥ずかしくて...///
小鳥,プーローデーューサーさーん！！歩ちゃんが水着みられるの恥ずかしいですってぇぇー！
歩,ちょっと小鳥さんやめてぇぇぇ！！///
小鳥,ほらプロデューサーさん、歩ちゃんの水着姿ですよ！
Ｐ,おぉ！可愛いじゃないか歩～！
歩,やめてよばかぁ...///
Ｐ,準備運動は済んだな？
歩,う、うん
Ｐ,よしそれじゃあプールに...
歩,プロデューサー、これ使っていい...？
Ｐ,ビート板か。いいぞ
歩,これがないと泳げなくてさぁ～
Ｐ,しっかり指導してあげるからな
歩,へへっ、プロデューサーに教えてもらうの、なんかポイント高いかもっ♪
Ｐ,そ、そうか？
歩,うん！
全員,今度絶対Ｐと海に行ってやる....
Ｐ,はーい、水に顔付けてー
歩,ぷふぁ！
Ｐ,いい調子だぞ～
歩,はぁーはぁー....息継ぎ出来てた？
Ｐ,うん、もう少し練習すれば完璧！よーしっもう一回
歩,ぷはっ！
Ｐ,よし一旦休憩しよう。やりすぎは毒だ
歩,うんっ
Ｐ,よっ。まさか歩が泳げないとはなぁ～
歩,だ、ダンス以外は全部微妙で...
Ｐ,歩ポンコツかわいい
歩,ポンコツって言うなー！
Ｐ,でも長所だけじゃ人間らしくない。短所もあった方が人間臭くて俺は好き
歩,そ、そう....？
Ｐ,うん。だから歩も好きだよ
歩,そーゆー勘違いさせること言わないでよー！///
Ｐ,ゴメンゴメン。おっ！バタ足も出来てる！。急成長だ！
歩,ふわっは！
Ｐ,歩！バタ足も息継ぎも完璧だ！こりゃ克服が近いぞ！
歩,ほ、本当！？ハァハァ...
小鳥,良かったわね歩ちゃん♪
歩,はい！
小鳥,では着替えて会場に戻りましょうか
Ｐ,了解です。それじゃ着替えてまた集合な
歩,はーい。おっ。アッチって結構深いんだ。それにしても設備が整ってて凄いな。もしかして広いレッスン室とかあるかも！。わっ！結構時間経ってるな！皆待たせちゃう！早く着替えよ！。ぐっ！？。つ、つった....！？ふ、深くて....息がっ....。助けて...ｺﾞﾎﾞｯ......誰か....！。ぷ....プロデューサー！。.......うん...？
Ｐ,歩！
小鳥,歩ちゃん！
歩,あっ二人とも....へへっ...迷惑かけちゃった
Ｐ,何言ってんだ馬鹿野郎！
歩,プロデューサー...///
Ｐ,ごめん歩....俺の配慮が足らないばかりに...
小鳥,私の方こそごめんなさい！こんな企画しちゃって...
歩,い、いいですよ！今日でアタシ、結構泳げるようになったし...へへっ
Ｐ,心配して.....ｸﾞｽｯ...
歩,プロデューサー.....
Ｐ,足をくじいたんだな、更衣室まで俺が運ぶ
歩,わっ！？///は、恥ずかしいぃぃ....///
Ｐ,はぁ...心臓が張り裂けそうだった...
小鳥,私も頭が真っ白になって....人工呼吸も大変でしたし....
歩,人工呼吸....？ありがとう、小鳥さん
小鳥,？人工呼吸をしたのはプロデューサーさんよ？
歩,へ.........？
Ｐ,ごめん、咄嗟だったもんで。許して
歩,あっあっ.../////。きゅぅ/////
Ｐ,歩！？しっかり歩！ごめんて！ごめんてぇぇぇ！！
小鳥,歩ちゃんはしばらく休ませることにしました
Ｐ,でもあの事件で水を嫌いにならなくて良かった...また今度プールに行く約束も出来たし
エレナ,ワタシもプール行きたいヨ！
Ｐ,歩さえよければ一緒に連れてってあげるよ
エレナ,ヤッター！
奈緒,駄目やろなぁ....
茜,そうだね...
小鳥,さぁ、まだ当たってないアイドルもドッキドキの最終ブロック！次にあたるのは誰だ！
当たってない勢,ｺﾞｸﾘ
小鳥,次はこの人！
全員,は、歯磨きぃぃぃぃぃぃ！？！？
環,えっ！？たまき！？次たまきなの！？
Ｐ,環ー、歯磨きするぞー。環？どこいった？
まつり,あのー
Ｐ,どうしたまつり......あっ
環,///
Ｐ,まつりの後ろに隠れてたか....まぁ12歳は普通に自分で歯磨きするもんな。そりゃ恥ずかしいか
まつり,環ちゃん、歯磨きしたくないのです？
環,歯磨きぐらい自分で出来るし....恥ずかしいよぉ～....
まつり,でもプロデューサーの歯磨き、まつりはちょっとしてもらいたいのです
環,え？
まつり,歯磨きは誰かにやってもらうと、良い所と悪い所がすぐわかるのです。それに...。プロデューサーの膝、居心地がいいのです。....ね？
環,たまき、歯磨きしてくる！
まつり,はい♪
環,おやぶーん！歯磨きしてー！
Ｐ,おぉ、その気になってくれたか。環ー、家ではちゃんと歯磨きしてるか？
環,しえうよっ
Ｐ,こういう奥歯もしっかり....あっこれ虫歯か！？
環,え！？
Ｐ,違う、のりだ
環,もぉ～...
Ｐ,これは虫歯か！？
環,うぇ！？
Ｐ,のりだ
環,も～！！
Ｐ,可愛い。隅々まで磨こうな～
環,.......。おやぶんにずっと見られるの....恥ずかしいな...。...///
Ｐ,.....心なしか環の頬が赤くなってる感じがする。こ、恋も知らない環だ。そんなハズはない
環,たまき....なんだか胸がチクチクするよぅ....嫌だよぉ....
Ｐ,環すっごい色っぽいんですけど！？目もウルってるし顔も赤いし...！温泉を思い出す...！。よし終わり！口ゆすいで来なさい
恵美,.......
のり子,環、すっごく顔赤くなかった...？
恵美,恋を知った....？いやそんなまさか...
莉緒,恋を知らぬ女は、恋をすると乙女になる。環ちゃんはいずれ強敵になるわ
瑞希,脅威
Ｐ,環の姿が見当たらないのですが
小鳥,端っこで考え事してるみたいです
Ｐ,環も何かに悩む年か....
小鳥,....。はいでは次に参りましょう
このみ,そろそろ私ね
小鳥,横山奈緒ちゃんと混浴です！
このみ,私じゃなっ、混浴ゥ！？
全員,混浴ゥ！？
奈緒,こ、混浴～～～///
桃子,また別室？
小鳥,そうよ
エミリー,別室すごいです....
Ｐ,結構広いな....おぉ露天まであるじゃないか！。この施設貸切するとは....765も随分と儲かったな
奈緒,お、お待たせしました～
Ｐ,タオルを巻いてるとはいえ、17歳の女子高校生と温泉.....一生体験できないだろう
奈緒,先に体洗いましょ
Ｐ,あ、あぉ
奈緒,プロデューサーさん♪背中洗ってあげますね！
Ｐ,た、頼む.....
奈緒,わぁ....プロデューサーさんの背中...結構広いんやなぁ...逞しいわ...。結構筋肉あるしっ....
Ｐ,.........
奈緒,どう？気持ちええか？
Ｐ,う、うん！気持ちいいよ........！
奈緒,なんやプロデューサーさん、緊張してるんですかぁ？
Ｐ,そりゃそうさ。女の子と風呂だなんて....ましてや奈緒だし余計に緊張して.....
奈緒,.......。なっ！？何言うてるんですか～～～～！///
Ｐ,痛い痛い痛い痛い！。はぁ～....疲れた体に染み渡る....
奈緒,気持ちええなぁ～...
Ｐ,......やっぱ温泉っていいな
奈緒,はいっ。それにプロデューサーさんと一緒やと、もっといいです♪
Ｐ,....そ、そういうことを言わない...勘違いするから
奈緒,勘違いしても、いいんですよ？
Ｐ,....チョップ
奈緒,あたっ。自分かてそういうこと言って、皆を困らせるクセに...。あの....プロデューサーさん？
Ｐ,なんだ
奈緒,なんでさっきから、目、合わせてくれないんですか？
Ｐ,........そりゃ、お前....水着着てても見ちゃイカンし...
奈緒,へ？水着？
Ｐ,タオルの下は水着でも、緊張するもんでな
奈緒,プロデューサーさん...水着着てるんですか....？
Ｐ,ん？ほら、さっきの歩の時の。さすがに裸タオルはないだろ～
奈緒,.........嘘や...。嘘や嘘や嘘や嘘や～～！！じゃあ今裸タオルなの、わ、私だけ！？。やってもうた～～～～！/////
Ｐ,奈緒！？大丈夫か！？。水着....来てなかったんだな...
奈緒,はい......
Ｐ,てっきり肩の紐がないやつだと思ってた。胸だけ隠すやつ。奈緒....君にはもう少し、緊張感を持ってほしい。俺だって男なんだ。だからその....。.....100%、安全なわけじゃない
奈緒,！
Ｐ,......わかった？
奈緒,.....はいっ
Ｐ,わかったなら、今日は戻ろう。今度は温泉の仕事も考えてみるから。.........奈緒、もしかしてのぼせたか？顔が...
奈緒,そ、そーなんですよ！さっすがプロデューサーさんやなぁ！のぼせてしもうて！あっはは！。それじゃ！
Ｐ,大丈夫かな？。はぁー、サッパリした
翼,私も温泉行きたかったなー
Ｐ,今度仕事で連れてって.....うわぁ！？なんて恰好してるんだ翼！？
翼,だって、こういう恰好が好きなんじゃないんですか？
Ｐ,馬鹿野郎！早く着替えて来い！
翼,え～
琴葉,あの、プロデューサー
Ｐ,まったく翼は.....若いくせにワガママボディ....ん？どうした琴葉えええええええ！？
琴葉,バスタオル巻
Ｐ,何してますのぉぉぉぉぉ！？。....一体何を考えているのか....
朋花,皆プロデューサーさんの気を引きたいんでしょうね～
Ｐ,何でまた......まさか朋花も！？
朋花,なにをいってるんですか～
Ｐ,ひぃっ！？スイマセン！
朋花,そういう発言は好きじゃありませんよ～
ロコ,さっき、朋花さんもバスタオル着ようか迷ってましたよね？
莉緒,ロコちゃん、それは言わないであげて
Ｐ,さて次にいきましょうか
小鳥,はーい、お次はアイドル魅力語りです！
育,？
亜利沙,これはなんですか？
小鳥,プロデューサーさんにアイドル一人の魅力を存分に語ってもらいます！
Ｐ,これは面白いかも
当たってない勢,これは何としてでも！！
当たった勢,もうダメだぁ....おしまいだぁ....
小鳥,と・い・う・わ・け・で！
全員,ｺﾞｸﾘ
小鳥,野々原茜ちゃんです！
このみ,私じゃなかったぁぁぁぁ！！
莉緒,うわぁぁぁぁぁぁぁぁぁぁ！！
桃子,大人ならおとなしくしてよ！桃子みたいに冷静に....。桃子も語られたいぃぃぃ！！
紗代子,やっぱり子供なんだね
小鳥,考える時間は必要ですか？
Ｐ,アイドルの魅力に下書きなど必要ありません
小鳥,了解です♪
星梨花,でも茜さんの姿が見当たりませんが.....？
まつり,どこなのです？
茜,たっだいまー。何でみんな一か所に集まってるの？あっ、もう次の人始まっちゃった感じ？茜ちゃんも聞きたい見たーい！
小鳥,はいではプロデューサーさん、壇上にどうぞ
茜,何するの？
ジュリア,まぁ黙って見てなよ
茜,？
Ｐ,じゃあ野々原茜の魅力を存分に語りたいと思います！
茜,！？
Ｐ,はい、それではまず容姿から見てみましょう
茜,えっえっ、何これ
ジュリア,今からアカネの魅力を語るんだってよ
茜,茜ちゃんの魅力！？よっし！プロちゃん、任せたよー！
Ｐ,おうよ！まず茜は人形みたいで微笑ましい！
茜,イエイ！
Ｐ,落ち着きないのが愛くるしい！！
茜,イエス！
Ｐ,そして何より超可愛い！
茜,フゥゥゥゥゥ！
昴,楽しそうだな...
Ｐ,だがしかァし！それだけではないッ！
茜,お？
Ｐ,茜はいつもふざけているが、とても仲間想いだ
茜,おぉ......？
Ｐ,どこまでも真っ直ぐで振り返る事もせず、底知れず明るく...。そんな彼女は、自分だけの事を考えている。....そうではない
茜,！
Ｐ,この前、窮地に立たされた昴を救ってくれたことがあった。仲間のために嘘までついてくれた。嘘という方法が適切なのかはわからないけど、救ってくれたことに変わりはない
茜,.....っ
Ｐ,俺は野々原茜という存在が、本当に必要だったと再確認した。感謝してる、ありがとう茜
茜,......。や、やだなープロちゃん！茜ちゃんが優しい可愛い女の子だなんて皆知ってる事じゃないかぁ！
Ｐ,......そうだな
昴,あの時はありがとう茜ちゃん
茜,いいってことよー！。あの.....ありがとね、プロちゃん
Ｐ,何を言ってる。それはコッチの台詞だ。お前に出会えて本当に良かった
茜,茜ちゃんも、プロちゃんに会えて良かったと思ってるよ
Ｐ,そうか。....いつになくしおらしいな？
茜,....ちょこっと、ちょこーっとだけ恥ずかしかったかも
Ｐ,俺は茜の魅力を皆に伝えることが出来て良かった
茜,やっぱり茜ちゃんはダイアの原石だね！........あのプロちゃん、もしよかったら.....
Ｐ,わかってるよ
茜,えっへへ....これが欲しかったんだよねっ...///
Ｐ,お前の言いたいこと、全部わかるよ。だからこれからは、アイツらの言いたいことわかってあげてな
茜,うん！
未来,あー！ナデナデずるい！
翼,私も！
Ｐ,あぁお前ら！押すな押すな！
桃子,ナデナデなんて子供みたいっ
育,でも桃子ちゃん、してほしそうな顔してるね
桃子,なっ！？///
Ｐ,やめろお前ら！倒れる倒れる！
茜,....プロちゃん、ありがとねっ。いやダメだダメだー！ナデナデされるのは茜ちゃんだけだもんねー！
小鳥,まだ当たってない人はどのくらいいらっしゃいますかー？
Ｐ,け、結構おるやん...
小鳥,ドッキドキの絶対君主ゲーム！再開です！お次は～。有名メガネ店から、メガネフレームを用意させていただきました。この50種類の中からお好きなものを選んでください
Ｐ,有名店.....財布大丈夫かな
小鳥,こちらが負担しますのでご安心ください。それとプロデューサーさんも選んでいいですよ
Ｐ,太っ腹！
紗代子,好きに選んでいいんですか？
小鳥,はい。お二人で決めてくださいね
Ｐ,了解です。いやぁちょうどメガネを買い替えようと思ってたんだよな～
紗代子,私もです！
Ｐ,赤か...いや、フレームなしが無難か....
紗代子,.....。うーん....これは前のと変わらないかな
Ｐ,これは鼻に痕がつきそうだな。やめとこ
紗代子,レンズが大きすぎるかな。もっと小さいの...。う～ん....
小鳥,.......
全員,そうじゃないでしょ.......
恵美,あのさー
Ｐ,ん？どうした
恵美,お互い、似合うメガネを選んであげればいいんじゃないかな？
まつり,ナイスなのです恵美ちゃん
Ｐ,選んであげる....それもそうだな。他人の意見の方がいいし。どうする紗代子
紗代子,私も、それでいいと思います
Ｐ,よし！それじゃあ紗代子に似合うメガネ選んでやるからな～
紗代子,プロデューサーに合うメガネ....
Ｐ,これはどうだ。......違うな
紗代子,プロデューサー、これはどうですか？
Ｐ,....
紗代子,...派手なのは似合いませんね
Ｐ,そうだな。これなんかどうだ！
紗代子,ちょっと知的な感じのメガネですか
Ｐ,おぉ！似合ってる！可愛い！
紗代子,そ、そうですか？///
Ｐ,うんうん！
紗代子,あのプロデューサー、これはどうでしょうか
Ｐ,紗代子のと少し似てるな
紗代子,とってもイイですよ！
Ｐ,マジか！これも紗代子に似合うと思うんだよね。ほら。やっぱイイわ！グッド！
紗代子,自分でも結構似合うと思います！
Ｐ,あれも....
静香,完全に恋人ムードじゃない....
恵美,あちゃー、これはマズったか
可憐,二人とも顔が近い...
ジュリア,どうやら目が悪いおかげで、距離感が掴めてないみたいだな
そら,その表情いただき！
紗代子,これにします！
Ｐ,俺も紗代子が選んでくれたのにしようかな
紗代子,似合っててカッコイイです！
Ｐ,紗代子も似合ってて可愛いよ
紗代子,えへへ.....///
Ｐ,音無さん、決まりました
小鳥,はぁい、では後程手続きしますね～
紗代子,お金が浮いてよかったー
恵美,紗代子～？恋人みたいだったじゃ～ん。このこの！
紗代子,えぇ！？恋人！？
そら,ほら見てください。お二人とも目が悪いから顔が近くて
紗代子,わっ.....///は、恥ずかしいぃぃぃ～～～！///
小鳥,アテンションプリーズ、ネクストステージ
麗花,似顔絵？
Ｐ,もしかしてお互いの似顔絵を描くということですか.....？
麗花,似顔絵か～
Ｐ,うげぇっ......俺絵メッチャ下手なのに...どうするのよさ
麗花,まぁ一応やってみましょう♪
Ｐ,そ、そうだな...。麗花は絵が得意か？
麗花,下手ではないと思います
Ｐ,まぁ麗花は才能に溢れてるからな...問題ないだろう
麗花,向かい合って座るの緊張しますね～
Ｐ,あぁ、それに麗花だしな
麗花,ちょ、ちょっと～
Ｐ,う～ん....輪郭が上手く描けない....
麗花,～♪
Ｐ,麗花の髪型は特殊だからな....これもまた難しい...これじゃダメだな。目は垂れてて、眉毛は長い....しかし両脇のお団子？が難しいぞ。うわっ肩幅ムッズ！これじゃ筋肉質だなぁ。もうちょっと細く...。ごめん麗花、あんまり動かないで
麗花,は、はいっ。そ、そんな熱心に見つめられたら動かないわけには....///
小鳥,特徴を口に出した方が描きやすいと思いますよ
Ｐ,なるほど
麗花,！
Ｐ,えっと、小顔で...
小鳥,どんな顔ですか？
Ｐ,目が優しそうな感じで...口が小さくて...
小鳥,可愛いですか
Ｐ,可愛い
麗花,！？///
小鳥,肩はどうでしょう
Ｐ,幅は狭くて...
小鳥,抱きたくなるような？
