乃木若葉は勇者であるの内容も含むためそこまで把握されている方は多くないかもしれませんが、お付き合いいだけましたら幸いに思います,ゆゆゆいでもOKです
友奈,わっ、甘くて爽やかな味がした！？
千景,……慰めにもならないかもしれないけれど、これも一つの食の楽しみ方よ
友奈,ありがと！ぐんちゃん！おかげで私、どんどん食べることが出来そう！
千景,ふふっ、ほどほどにね。これから先の彼女たちの困難を、私は知っている。未来を知っていながら彼女たちを今の状況に陥らせた私は、その先を目にする義務があるに違いない。例え、訪れる結末にハッピーエンドが待ち受けているとしても、免罪符には一切ならないのだから。それに。訪れる困難は決して他人ごとではない。混濁した記憶に存在していた見知らぬ光景がそれを私に教えてくれていた。……同時に、私がこのゆゆゆの世界に飛ばされたのは、きっと偶然ではないことも。私と言う異分子は、もしかしたらこれからの結末に多大な影響を与えるかもしれないし、あるいは、何も変わらないのかもしれない。それでも。今の気持ちが意図的に与えられたものだとしても、私はもう暫く仲間たちと、友人たちとこの時間を共有したいと願う。似合わないことは自覚しているけれど、これが偽らざる私の本音。高嶋さんと同じあたたかな心を持つ、彼女たちと共に、私は歩んで行きたい。だから。だからね。もう少しだけ、私が帰るのを待っていて欲しいの。この私の我がままを、あともう少しだけ許して。ねぇ、高嶋さん？。ひだまりのようなあたたかな時間を、今こうして、友達と共に、私は過ごしている──
郡千景,結城友奈は勇者である
高嶋友奈の章第二話,心の平安
これにて郡千景,結城友奈は勇者である
友奈,やめろぉおぉぉぉーッ！！。身体が勝手に動いていた。敵うはずはないと分かっていたのに、それでも私はあいつらの前に飛び出して、拳を固く握り、思いっきり右手をぶつけていた。……良かった。あいつらの注意だけは私に向いてくれて。うん、あの子は無事だ。ホッとしながら、多分私はここで死んでしまうのだと思った。あんな化け物に私の攻撃が効くはずはないのだから。それなのに──
少女,……はぁ、はぁ……ま、まさか！……アタシたち……っ……以外にも……勇者、が……？
友奈,──私の右腕の先から桜色が広がり、私の服が一瞬で変わっていた。動きやすい、装束のような、どこか神聖な服──ううん、衣に。気付くと右拳にはあの手甲がはめられていて、不思議なことに私がどうなったのか、これからどうすれば良いのかが、全部分かった。手甲は言っている、あの子も言ったように私が──。勇者に、なったんだって！。……すぅ……はぁ……。だけど、ばーてっくすに私の攻撃は全く効いていない。一瞬だけ攻撃はやんだけど、また雨のような攻撃が再開されようとしていた。──これも分かる、今の私じゃ力が全く足りていない。だから、自分の中のとても深いところから"それ"を呼び出し、拳にまとわせた。その瞬間、私の身体が風のように軽くなり、世界がゆっくりに見えていく。速さはどんどん加速していき、私は"それ"を完全に捉える！。お願い！力を貸して──！。一目連《いちもくれん》っ！！。疾風になった私はばーてっくすたちに何度も何度も攻撃を繰り出していき──。これで！どぉーだっ！！。頭の中ではっきりと思い浮かべる。今の私なら出来るはずなんだ！。勇者ーっ！キィーーック！！。アニメで見た結城ちゃんの鋭く綺麗な蹴り技を私は再現し──
