・一日一ストーリー,全部で九つ
マキ,なるほど、確かに強いわ
ニコ,…まぁ顔出しなんてしたら叩かれるけど
マキ,？
ニコ,アイドルは顔どころか見てくださいと言わんばかりの衣装まで来てるからいいけどネットで顔出しなんてしたら叩かれるわよ
マキ,なんの話よ…。ところで……
ニコ,？
マキ,そのめちゃくちゃ重そうな武器は何…？
ニコ,サプファインダーストックLMG
マキ,え？
ニコ,かつての某FPSで最強だったカスタムよ
マキ,いやそれだけじゃ全然伝わらないわよ…
ニコ,使うと必ず荒れる武器よ、強すぎる故に嫌われ者。使うと必ずファンメ来るから気をつけなさいよ
マキ,いや使う気なんてないわよ…
ニコ,まぁ弱点もあったし格ゲーとかで騒がれたぶっ壊れキャラほどではないわ。マキちゃんのそれ…
マキ,ん？あぁことりがリフレックスはつけた方がいいって
ニコ,あぁそれは別の某FPSの話ね、戦場的なゲームでは必須じゃないかしら
マキ,戦場的なゲーム…？。わぁ！？地震…？！
ニコ,しゃがみなさい、この辺に危険なものはないから大丈夫だけど
マキ,揺れ強くない…？
ニコ,さぁ…？。でもFPSやめられないんだけど！
マキ,…？
ニコ,んん！ごめんなさい、なんでもないわ。あ、足音ね希がきてるわ
マキ,分かったわ
ニコ,いっせーので出るわよ？
マキ,………
ニコ,………
マキ,何…？この緊張感…。FPSってこんななの…？
ニコ,いっせーの！
マキ,はっ！
ノゾミ,おっ！やっぱりきたね！。奇襲をしたところで…
ニコ,二人には勝てないでしょ？
ノゾミ,えぇ！？手を組むってあり？！
マキ,…！？希が消えた…？。…あ、にこちゃん！。…！いない…。…連携って大事なのね。ん？。わぁ！？
ノゾミ,おめでとうマキちゃん！
ニコ,ナイスカバーだったわ
エリ,私何もしてないんだけど…
マキ,ありがとうにこちゃん、にこちゃんがいなければ希に勝てなかったわ
ニコ,いいのよ
ノゾミ,さて！これでマキちゃんは現実に戻れるけど…
マキ,？
ノゾミ,また…ウチらと一緒に遊んでほしいな！
ニコ,また一緒に戦いましょう？
エリ,今度は仲間として！
マキ,…！
ノゾミ,今度は戦場で会おうやマキちゃん！
ニコ,待ってるわよ！
エリ,今度はちゃんと活躍するからね！
マキ,ええ！
真姫,んー…？。はっ？！。…戻れたのね。……案外楽しかったわね
マキ,焦るな私…どれだどれだ…。まだハナヨは迷ってる…早く決めないと…
真姫,あの答えが分からない状況で正解した時の嬉しさ…。ワイワイ怒ったり楽しんだりして盛り上がるあの感じ…。作戦を考えて一緒にガチでやって楽しむあの緊張感と真剣さ…そして達成感…。…どれもチートじゃ得られないモノよね…。答えが分かったらあんな喜べない…無敵だったらあんなに盛り上がらない…敵の位置が分かったら緊張感がない…。………。…何よりああやって一緒にガチになれる仲間がいる。…なんで私チートなんて使ってたのかしら。こんなものなくたって…楽しめるものね…。…よしっ！。こんなツール、私には必要ないわ。…今度μ’sのみんな誘ってスマブラしましょう！。やっぱり私が最強ってこと見せてあげるわ！
真姫ママ,真姫ちゃーん！ご飯よー！
真姫,はーい！
理事長,いやーいいお話でしたね。みんなでワイワイやる楽しさ、ガチでやる楽しさ。それを気付かせてくれるいいバグでしたね。ん？。はい、もしもし。えぇ！？音ノ木坂が廃校？！。いや廃校はずっと前に阻止し…。いやいやいや！。なんなのこれ！。この世界バグってるんじゃないの？！？！。…いいバグなんて極稀です、とりあえずバグるようなことはやめましょう…。いやまぁ現実という世界はもうバグってますけどね。あぁ！このバグった世界で私はチートがしたいわああああああ！！！。あなたには夢がありますか？。…ありますよね？。パティシエ、サッカー選手、教師、イラストレーターなど色々な職業や未来を夢見てると思います。ですが残念ながら夢というのは叶わないから夢なんです
？？,奇跡だよ！！
理事長,そうです、人々は奇跡に巡り合ってそれを夢が叶ったと勘違いをしてるんです。…でもそんな叶わないはずの夢を叶えてくれる不思議な道具を開発してしまった人がいるらしいんです。それを見た時に、そして使うときにあなたはこう言います。“もしも”――――になれたら…
真姫,ホントに使うの？
にこ,ええ夢を叶えるためだもの！
真姫,…まぁ私は何も言わないけど他の子に知られたらぶっ飛ばされるわよ？。特に希と海未辺り、花陽、穂乃果辺りには幻滅されそうだけど
にこ,そんなの覚悟の上よ…。…それにしてもすごいもの作っちゃうのね。もしもテレフォン…か、夢をなんでも実現できる。今後技術が発達したとしても千年くらいそんなもの作れそうにないんだけど
真姫,まぁ私の技術力は世界一だからね
にこ,そう…
真姫,知ってると思うけど一応説明ね。やり方は簡単、その受話器を取って叶えたい夢を“もしも”の後に言って最後に“なったら”というだけよ。言い終わって電話の音が鳴らなくなったらその世界はにこちゃんの叶えたい夢が叶った世界になるわ
にこ,分かったわ。じゃあいくわね
真姫,ええ
にこ,すぅ…もしも……。私が超大人気アイドルに……。なったら…！。…これで叶ったの？
真姫,ええ
にこ,私はこれからどうすればいいの？
真姫,まだにこちゃんはアイドルを始めてないからアイドルを始めるところからね
にこ,分かったわ！。じゃあ行ってくるわね！
真姫,大丈夫かしら…。…μ’sが解散してもう三年か。早いわね、みんなどうしてるかしら…全然会ってないから分からないわ…。あ、そういえばこのトマトジュースってにこちゃんが間違えて買ってきた超高級の…。…まぁいいわ、テレビでもつけましょう。ぶー！！！！あれ…？なんでにこちゃんが…
にこ,真姫ちゃんなんかもうアイドルしてることになってるんだけど…
真姫,え？
にこ,事務所に行こうとしたら今日は休みだよにこちゃんってたまたまスタッフっぽい人に言われて…
真姫,そんなに効き目強かったかしら…まぁいいわそれで事務所の人はなんて言ってたの？
にこ,新しいプロジェクトの話し合いが明日あるから来てほしいって言われたわ
真姫,…新しいプロジェクト？
にこ,私にとっちゃプロアイドルなんて真新しすぎて新しいも古いもないんだけどね
真姫,ふーん…
にこ,とりあえず私はアイドルになったってことでいいのかしら？
真姫,ええ間違ってないと思うわ
にこ,そっか、じゃあ明日からね私のアイドル人生は
真姫,おめでとう、そして頑張ってね
にこ,もちろん！世界を笑顔にするわよ！
真姫,…大丈夫そうね
にこ,それで新しいプロジェクトっていうのは…。え……
絵里,えっと……ってにこ？！
にこ,絵里？！。え…どうしてここに？！
絵里,いや…モデルの仕事関係でって言われて来たんだけど話が急に変わってて…
にこ,あ、そういえば絵里はモデルしてたものね
絵里,ええそうよ。それでアイドルって…。ええ…
真姫,失礼します、今日はここで話し合いを…ってあれ？にこちゃんと絵里…？
絵里,ハラショー…白衣にメガネ…美人女医ね！
にこ,悔しいけど美人ね…
真姫,それはどうも…ってなんで二人ともいるのよ！
絵里,私はモデルの仕事の会場がここだからって…
にこ,真姫ちゃんは知ってると思うけど新しいプロジェクトの話し合いをここでするって…
真姫,え…？患者さんの難病の話し合いをここでするって聞いたんだけど…
にこ,…ん？ユニット…？まさか…！
絵里,ハラショー！面白そうね！
にこ,へぇ～やっぱりそういうこと、ユニットって聞いた時は驚いたけどこれなら構わないわ
真姫,えぇ？！ちょっと待ってよ！絵里とにこちゃんは良いかもしれないけど私は医者よ？！ダメに決まってるじゃない！。えぇ……
絵里,それならいいじゃない、やりましょう？
にこ,そうね、真姫ちゃんもぉ一緒にぃやって欲しいなぁ？
真姫,…気持ち悪い
にこ,ぬぁんでよ！
真姫,…まぁいいわ、仕方ない
にこ,とかいいつつもホントは楽しみなんでしょ？
真姫,違うわよ！
絵里,ふふっ素直じゃないわね
真姫,…は？
にこ,と、東京ドーム？！
絵里,ハラショー…
にこ,あ…いや東京ドームは流石に…
絵里,？
にこ,ユニット名と…
真姫,曲か…。あ、曲の少しは私が作っていいですか？昔はスクールアイドルで作曲担当してました。…ということで決めちゃいましょう
絵里,ここで決めるの？
真姫,ここじゃ話しにくいし家で話す？。とりあえず今日は話を決めるために帰らせてもらうという形でいいですか？。いいらしいから行きましょう
にこ,なんかすごいテキパキしてるわね…
真姫,医者は常に忙しいのよ、だからテキパキ行動するのが普通なのよ
絵里,真姫の家って確か…
真姫,あそこじゃないわよ？
絵里,え？。おじゃましまーす…
にこ,ただいまー
真姫,おかえり、なんてね
絵里,え？
真姫,私とにこちゃんは同棲してるのよ
絵里,あ、なるほど……
真姫,比較的安くて広いマンション借りてごく普通な生活してるのよ
絵里,部屋は綺麗ね
にこ,当たり前じゃない、片付けは二日に一回してるし
絵里,食べ物も綺麗にならんでるわね、おやつや飲み物も必要分は補充されてるし…
にこ,そうよ、安い時に買わないと損でしょ。というか勝手に冷蔵庫開けないでよ
絵里,うわっ…なんかにこらしい服ね、こっちのセレブっぽい服はどう考えても真姫ね
にこ,にこらしい服ってなによ！てかタンスも勝手にあけるな！
真姫,それ高いんだから丁寧に扱ってよね！
絵里,あ、ごめんごめん。にしても案外整ってるのね、生活は
にこ,当たり前じゃない
真姫,というか私たちの家の話よりグループ名と歌よ、早く決めるわよ
絵里,おっとそうだったわね、じゃあ決めましょう
にこ,それ真姫ちゃんと旅行行った時のアルバム！勝手漁るな！勝手に見るな！
真姫,はぁ……。まずチーム名だけど意見ある人はどんどん言って
絵里,………
にこ,………
真姫,………。ないんかい！！
絵里,ユニット名なんてそんなすぐには思いつかないわよ…。なに？３ハラショーとか？
真姫,１０ハラショーは欲しいところね…って違うわよ！何の捻りもないじゃない！
絵里,だから言ったじゃない！思いつかないって！
にこ,うーん……
真姫,にこちゃんは何かある？
にこ,にこにー…にこにこ…にっこにこ…らぶにこ…
真姫,ダメだこりゃ…
絵里,そういう真姫は何かあるのよ？
真姫,うぇ？！。え、えーっと…
絵里,………
真姫,…ミラクルスリーとか？
絵里,何それ…それならまだ３ハラショーのがマシね
真姫,はぁ？！というか３ハラショーとかいみわかんない名前で威張らないで！
絵里,そっちも意味わからないわよ！単純すぎるのよ！！
にこ,はぁ…これは決まらない流れね、先に曲の話しない？
真姫,分かったけどこのバカらしい名前提案してるポンコツになんとか言ってよ！
絵里,即興にしても１ミリもいいと思えない名前考えるやつに言われる言葉なんてないわよ！
にこ,うおっ…二人の間に電流が…。なんてくだらないことで論争してるんだか…。ほら！早く曲の方決めるわよ！
絵里,歌ってて恥ずかしくない曲ならどんな曲でもいいわよ
にこ,ラブソングなんてどう？一人ならニコニコ言ってる曲がいいんだけどユニットなら真面目に考えないとね
真姫,じゃあラブソングを視野にいれる…っと。ラブソングならどういう歌がいい？失恋とか純愛とか
にこ,盛り上がれるラブソングがいいわね、曲の方向性はさておき盛り上がれるのがいいわ
絵里,え？ラブソングなら切ない系がいいなって思ってたんだけど…
真姫,じゃあ二曲作りましょう、盛り上がれるラブソングと切ないラブソング
絵里,そんな簡単に言ってるけど作れるの？テーマしか決まってないわよ？
真姫,そこから先も話し合いで決めるに決まってるじゃない
絵里,じゃあ冬の歌にしましょう
真姫,了解、冬の歌
絵里,あ、でもそれで冬以外でライブするなら私たち完璧に狂い咲きよね？
真姫,そうなったら新しい歌作るからいいわよ
絵里,え、ええ…
にこ,なんかユニット名の時と違ってやけにすらすらと進むわねこっちは
真姫,誰かさんがいみわかんないネーミングセンスしてるせいよ
絵里,ブーメランって人殺せるらしいわよ？
にこ,なんの話よ…。！！！。ん…？今誰か私呼んだ？
真姫,なら安全なブーメランを使わないとね
絵里,そういうこと言ってるんじゃないわよ！
真姫,そんな分かりづらい言い回しして伝わるなんてごく一部だから
にこ,…気のせいか
真姫,とりあえず二人の提案した曲、頑張って作ってみるわ
にこ,歌詞ってどうするの？
真姫,……歌詞くらいは二人で考えなさい、私は曲作るんだから。というか歌詞がないと作れないから歌詞担当の二人はとっとと歌詞済ませてよね
にこ,仕方ないわねぇ…
絵里,歌詞か…海未みたいにいくかしら…
真姫,まぁこれから頑張っていきましょう！
にこ,ええ！
絵里,もちろん！。あああ…練習疲れたぁ……
にこ,なんで絵里が私たちの家にいるのよ…
絵里,いいじゃない帰りが同じなんだからぁ…
真姫,まぁ順調ね、ユニット名は決まり曲二つも作って振り付けも覚えてようやくダンスレッスンってとこ、ここまでうまくいってるのは意外だったわ
にこ,そりゃあ経験があるからでしょうね
絵里,スクールアイドル…ね
にこ,まぁね
絵里,それにしても誰かしら、ユニット名書いた人って
真姫,さぁね、でもそれを即採用する穂乃果みたいな思考してるにこちゃんの方が疑問だけど
にこ,なんかびびっと来たのよ、BiBiなだけに
絵里,BiBiねぇ…
真姫,ポストにBiBiって書かれた紙が一つ入っててそれにするなんて…
にこ,さて、そろそろ行くわよ
真姫,ええ
絵里,え？どこにいくの？
真姫,りんぱなと久々に会うのよ、絵里も来る？
絵里,面白そうね！いくわ！
にこ,じゃあほら、さっさと立つ！
絵里,はいはーい
にこ,あー！それ海外にいったときにお土産で買った私専用のコップじゃない！何勝手に使ってんのよ！
絵里,え？この花柄のコップにこのなの？真姫のかと思ってたわ
にこ,話をきけー！！！
真姫,というか私のなら使っていいなんて決まりはないわよ！
絵里,仕方ないじゃない…ここの家にこと真姫のものしかないんだから…。あらこのウサギさんのエプロンにこのでしょ？。ふふっ可愛いわね～
にこ,あ、それ真姫ちゃんのだよ
真姫,ちょ、にこちゃん！
絵里,え…これ真姫のなの？
真姫,………
絵里,ぷっ…
真姫,えりぃいい！！！！
絵里,わぁ！ごめんなさいって！にこ！早く凛と花陽のところいくわよ！！
真姫,メスで裁いてやるわよ！！！
絵里,それでも医者？！
真姫,医者！
にこ,あ！ちょっ！。はぁ……ウサギのエプロンくらいいいじゃない…。え？希？！。…気のせい？。…あ、早くいかないと
凛,あ、みんなー！
花陽,皆さんこっちです！
絵里,ハラショー…見ないうちにホントに変わったわね…
凛,逆に絵里ちゃんが変わらなすぎにゃ！
花陽,三人ともすごいですね！まだライブもしてないのに東京ドームでやるライブの倍率がスゴいらしいです！。μ'sの一部で組んだユニットだからって注目も集まってます！
にこ,へぇそうなのね、練習ばっかでそういうことまったく調べてなかったわ
絵里,そう…人が来なかったらどうしようってちょっぴり不安だったのよね…
凛,あはは！まぁ凛も気持ちは分かるよ
花陽,にこちゃんはいつも通り大人気アイドルとして名声が広がり絵里ちゃんは人気急上昇中のモデルとしてアイドル方面に人気が広まり真姫ちゃんは…。女医アイドルというアイドルとしてそして萌えポイントとして超個性的な感じでファン激増中です！
真姫,女医アイドル…あ、そういえば最近病院でも女医アイドルの真姫さんですか？って言われるのよ、何かと思ったわ
花陽,あ、それでですね来てもらった三人には重大な話があって…
三人,重大な話？
花陽,それは……
にこ,…ん？。…穂乃果？
真姫,え？
にこ,穂乃果がいたからちょっと待って呼んでくるわ。待ってて！すぐ戻るから！。穂乃果－！。ってあれ？どこいった。穂乃果…なんであんな深刻そうな顔してたのかしら…。ん？そういえばこの先って病院だったわね…まさか知り合いが…。そうだとしたら邪魔するのはダメね、帰りましょう。いたっ…。何…腕に針が刺さったような感じがしたんだけど…。………。まぁいいや、後で真姫ちゃんに聞いてみましょう。お待たせ！
絵里,遅いわよ！
にこ,ごめんなさいね。？！
真姫,どうしたの？
にこ,あ、いや…なんでもない…。………。何この奇妙な音…この辺には特にそんな音がなるようなものはないし…
真姫,…？
にこ,…気のせいか
真姫,………
にこ,………
真姫,ホントに何もないわね。批判が
にこ,…嘘
真姫,ホントよ、インターネットのどこを探しても私たち三人を批判するような掲示板や書き込みが何一つない。はぁ…むしろ批判したら潰されるような感じになってるわ…。私たちのファンが多すぎるのが問題なんだわ、こいつ潰せって誰かが言えば言葉無しでも通報やら何やらしてるみたいだし…
にこ,なにそれ…もはやそれって…
真姫,囲いね、それも全国…いやもしかしたら全世界規模の
にこ,わお…
真姫,…一応聞くけど原因はなんでか分かる？
にこ,真姫ちゃんのあの道具？
真姫,おそらく正解、でも正直私も確信はもてない。効き目が想像以上に強かったからね、知らないうちにアイドルになってた、なんて展開は想像してなかったわ
にこ,私たちを認知する人のほとんどは私たちの味方になってるわけね
真姫,ええ、その通り
にこ,それって色々大丈夫なの？
真姫,さぁね、でもNO問題じゃないのは確かだわ。どういう形で影響するかは分からないけど必ずこの問題は影響する。…まぁまだ重要視する問題ではないわ
にこ,ええ
真姫,……それよりも
にこ,ええ、言いたいことは分かるわ
真姫,過去が改変されてるってことよね。やっぱりただ今は変えるだけじゃ不自然なのよ、だから違和感のないように過去を変えられてるんだわ
にこ,私たち三人はμ'sの時にもユニットを組んでいた、なんてさっきの凛と花陽が言った重大発表とかいうので初耳だったわ
真姫,同じく
にこ,リリーホワイト、プランタン、そしてビビ。絵里はなぜ知らなかったの？
真姫,分からないわ、でも凛と花陽の話に心当たりがあるようにも見えたわ
にこ,順調なのは変わりないけど裏の見えないところで色々動いてるわね…
真姫,まぁ少しずつ探っていきましょう
にこ,ええ。んーっ！久々の休日！毎日練習や話し合いとかあって疲れたわ～…
真姫,お疲れ様、私たちで作った曲でシングル出すって聞いた時は驚いたけど順調そうでよかったわ。それで今日発売なわけだけど…
にこ,やっぱりアイドルっていいわね～…
真姫,…ええ、それでさ
にこ,何？
真姫,なんで今私たちはアキバにいるの？
にこ,いやぁなんか行きたくなって…
真姫,休みくらい家で寝てればいいじゃない…
にこ,私たちの人気っぷりを確認するにはいい場所でしょ？
真姫,いやまぁ…そうだけど…。あ、はいなんですか？
にこ,ええそうよ！
真姫,え、ええ分かったわ
にこ,もちろん！良いステージにするから絶対来なさいよね！
真姫,はい、どうぞ今後とも私たちをよろしくね
にこ,こんなものね！やっぱり人気ね私たち！
真姫,そうだけど…歩いてるだけで分かるって相当街に行きにくいじゃない…私的には不便だわ
にこ,まぁ確かにそうね…。人が集まらないうちに別のとこ行きましょ？
真姫,既に何人かいるけどね
にこ,真姫ちゃん早く早く！
真姫,はいはい分かったわ
にこ,ほら見て！私たちのCDがこんな大きく出てる！
真姫,…売り切れなんだけど
にこ,あ、ほんとだ…何もないわね。せっかく買おうと思ったのに…
真姫,完成品は貰う予定あったでしょ…
にこ,それとこれとは別なのよ
真姫,ん…絵里からメールだ。…ホントだ、載ってる
にこ,どうしたの？
真姫,トレンドよ、私たちBiBiがランキング一位になってるわ。日本だけじゃなくて海外の方でも上がってるみたいだし
にこ,わあ！すごいじゃない！
真姫,なんかうまく行き過ぎな気もするけどね…
にこ,よーし…スクショして…今度みんなに自慢よ！
真姫,ええ…
にこ,あーやることやったし帰りましょう？
真姫,ホント…穂乃果みたいな人になったわねにこちゃん
にこ,…それはなんか穂乃果に失礼な気がするわ
真姫,え？
にこ,なんでもない！早くいこ！
真姫,あ、ちょっ…速いわよ！
にこ,ん？うわあ…！
真姫,…すごいわね、こんなアキバの中心でこんなに大きく私たちが載ってるなんて
にこ,少し見ないうちにここもホント変わったわね、私たちで染まったっていうか…
真姫,良いことなんじゃない？それって
にこ,いや良いことなんだけど…その…。達成感を感じないっていうか…
真姫,…あぁ、それね私も思ったわ。まぁ、いいんじゃない？
にこ,そうね！。あ、そういえばスクールアイドルショップでまだあるの？
真姫,さぁ？寄ってみる？
にこ,ええ！行きましょう！。へぇ～…なんかあんまり変わってないわね、そりゃあ品揃えは変わってるけど
真姫,でもちゃんと私たちμ’sやA-RISEもあるじゃない。BiBi復活、なんて挙げられてるし
にこ,うわ～懐かしいわね、このバッチ。五個くらい持ってるわ、記念用と鑑賞用とつける用と予備用と妹たち用とか色々な理由で買った覚えあるわ
真姫,買いすぎでしょ…
にこ,人気急上昇中…へぇ今を翔るスクールアイドルなのね
真姫,九人なんてμ’sみたいね、よくよく考えればそんな大人数のスクールアイドルあんまりいないし
にこ,そうね。はーあ、思い出に浸ってたらなんか余計疲れたわ、帰りましょ
真姫,もういいの？
にこ,じゃあもうすぐ夏だし真姫ちゃんのうちわだけ買って帰るわ
真姫,ちょっ…やめてよ…
にこ,すいませ～んこれくださ～い！
真姫,！
にこ,ほら買ったよ～、この頃の真姫ちゃんってかわいいよね～今はどうしてそんなツンツンしてるんだか～
真姫,い、いいから早くいくわよ！
にこ,あ、ちょー！そんな引っ張らないでって
真姫,……人気か
にこ,ん？はーい？
真姫,ん？どうしたの？
にこ,え？今誰かにこちゃんって…。…あれ？
真姫,疲れてるんじゃないの？早く帰りましょう？
にこ,え、ええ…。何また…？あれは気のせいなの…？。最近聞き間違えが多いわね…大丈夫かしら…
真姫,ふぅ…
にこ,あー！なんで止めちゃうの！せっかく真姫ちゃんのCMだったのに
真姫,あんな恥ずかしいの見せたくないわよ！
にこ,恥ずかしいのにやるの？
真姫,内容なんてやるまで知らないわよ！
にこ,でも真姫ちゃんがキスミントのCMやってくれたおかげで売り上げ伸びてるらしいわよ、やったわね
真姫,…正直CMなんてやりたくなかったわ、恥ずかしいし。患者の人にはからかわれるし…
にこ,ふっ…いいじゃない、個性があって
真姫,…一番の理由は違うわよ
にこ,じゃあ何？
真姫,実感が無いのよ。上手く行き過ぎてなんか違うのよね…
にこ,ふーん…
真姫,オリコンはダントツ一位、街中を歩くだけで気付かれちゃう知名度、CM出演、全世界のトレンドで一位獲得、私たちだけのラジオまで受け持っちゃって…。私がμ’sとしてアイドルを経験してなかったからきっと今からいう言葉は違ったと思う。μ’sと比べると生温くて面白みがないのよね…
にこ,あー……
真姫,不思議よね、アイドルって有名になりたいから頑張るってのに私たちは今有名になってもなんか違うなんて不満訴えてさ
にこ,………
真姫,ごめんなさいね、モチベーションが下がるようなこといって
にこ,いやいいのよ、そう思うのは分からなくもないから。あー！！！また消した！
真姫,なんでこうもつけたタイミングで私のCMがあるのかしら…
にこ,…そういえばさ
真姫,何？
にこ,幻聴が起こる原因って何なの？
真姫,…何？にこちゃん幻聴が聞こえるの？
にこ,いや…聞こえるとかいう聞こえたような気がするって感じで…。でも！確実に聞こえたって時もあるのよ！。家で希の声でにこっちって聞こえたのよ！
真姫,…まぁ幻聴が聞こえるなら統合失調症かしら
にこ,なにそれ…
真姫,難しい説明は省くわ、簡単に言えば幻覚幻聴が見える聞こえる病気みたいなもの
にこ,…私そんなのにかかったの？
真姫,それはなんとも…
にこ,……いやいいわ、これ以上酷くなったら行くわ
真姫,了解よ
にこ,ん……？。ここ…は…？。病院…？。わぁ？！。この２５０室からね…開けてもいいのかしら…。…穂乃果？
穂乃果,ん…？あ、にこちゃん
にこ,どうしてここに…
穂乃果,私の大切な友達、ずっと眠ってるから見守ってるんだ
にこ,大切な友達…？。……？。穂乃果…あんた誰の手を握ってるの？
穂乃果,え？
にこ,誰もいないじゃない…
穂乃果,え？何言ってるの？ここにいるじゃん！眠ってる――が！
にこ,いやいないじゃない…
穂乃果,酷いよ…――の存在は否定するの…？
にこ,誰よそれ…なんて言ってるのか全然聞こえないのよ…。！
真姫,………
にこ,真姫ちゃん…？
真姫,
にこ,何…？声が聞こえない…
真姫,
にこ,め、を、さ、ま、せ？。どわはぁ？！
真姫,いつまで寝てるのよ！もう昼よ！
にこ,あれ…？夢…？
真姫,何？怖い夢でも見てた？
にこ,いや…なんだかよく分からない夢…
真姫,ふーん…まぁとりあえず昼ご飯出来てるわよ
にこ,え？真姫ちゃんって何か料理作れたの？
真姫,失礼ね！これでも家事はちゃんと出来る器用な女の子だって自負してるから
にこ,女の子ねぇ…
真姫,何よ…まだそういってもいい歳でしょ
にこ,いやそうだけど…。さっき夢…なんだか変だったわね…。…まぁいっか
絵里,はーい！始まりましたー！
にこ,にこ！
真姫,真姫！
二人,そして～…
絵里,エリーチカの？
三人,BiBiラジオ～！
絵里,っはーい！今回も決まりましたね！
にこ,っていう流れを今回もしてるわね
真姫,という流れを指摘する流れもいつも通りね
絵里,えぇ～早速ですが皆さんに言わなきゃならないことがあります！
にこ,おっ？なにかななにかな？
真姫,みんな知ってるアレよ
絵里,とうとう明日！私たちのライブが東京ドームで行われます！
真姫,やっとね
にこ,や～んにこもう緊張してきたぁ～
真姫,気持ち悪い…
にこ,ぬぁんでよ！
絵里,あはは…いやぁたくさん練習したからダンスはもう完璧！。…よね？
にこ,当たり前でしょ、一日何時間練習してると思ってるのよ
真姫,μ’sの時より動けてるんじゃないんかしら
絵里,とのことですので是非私たちのダンス、期待しててくださいね！
真姫,さて予定ですとここからちょっとの間私たちは何もしていい自由時間らしいので思い出でも語りますか
にこ,思い出つってもね～…
絵里,あ、そういえばこないだ穂乃果に会ったのよ！
にこ,へぇ～まさかこんなところでその名前を聞くとは思わなかったわ
絵里,穂乃果髪伸びててビックリしたわ
真姫,ちょっとそれ思い出というより身内トークじゃないの？分からない人いると思うんだけど…
にこ,まぁそうね
絵里,思い出ね～なんか昔を思い出すわね、この三人組
にこ,昔？
絵里,μ’sの時のユニットよ、あの時もユニット名BiBiだったじゃない
真姫,にこちゃんと私の知らない過去の話だから適当に流しときなさい
にこ,え、ええ…。え、あ！そうだったわね！
絵里,私毎回思ってたのよ、Printempsは片思いラブソング、Lliywhiteは純愛という王道ラブソング。そしてBiBiは大人っぽいというか…クールな感じのラブソングなのかなって
にこ,え、ええ…
真姫,なにそれ…
絵里,私たちが作った曲はそういうのとはちょっと違って新しいBiBiなのかなって思うのよ、今の私たち
真姫,な、なるほどね
にこ,そうね…
絵里,あ、お便りの時間みたいだわ
真姫,あ、はいこのコーナーは…
絵里,ラジオお疲れ様！そして明日のライブ頑張るわよ！
にこ,もちろん！
真姫,それでさ…
絵里,ん？
真姫,なんで私たちの家にいるのよ！
絵里,どうせ明日も会うんだしいいじゃない！今日くらい泊まらせて！
真姫,いやまぁいいけど…
にこ,………
真姫,あ、ちょっとベランダにいるにこちゃん見てくるからここでなんかしてて
絵里,じゃあテレビ見てるわね
真姫,ええ。にこちゃんどうしたの？
にこ,緊張してんのよ
真姫,ああさっきのラジオの…
にこ,そう、ラジオっていうと絵里の話…
真姫,あぁあれね、仕方ないことなのよ。私たちは違う世界線に知らず知らず飛び込んでてただ知ってるのは…。ここがどういう世界かってだけ。そりゃあ世界も違うならば過去も違うわ。型にハマった未来と過去じゃ望んだ世界は叶わないなんて皮肉にも夢ってすごいわよね
にこ,……そうね
真姫,こんな叶えたい夢をお願いするだけで叶えるなんて神様しか出来ないようなことしてるのにそれでもなんか不満感じてるって私たち贅沢よね
にこ,別に不満なんか…
真姫,…じゃあやめる？
にこ,え？
真姫,アイドル、やめてもいいわよ。あの電話に向かって元に戻れって言えばこの世界は無くなるなるわよ
にこ,…いや今は止めないでおくわ、明日ライブもあるしね
真姫,ええそうよね
絵里,ちょっとー飲み物切らしちゃったんだけどどれを飲めばいいの？
にこ,はぁ？！もうあそこのやつ飲んだの？！もう仕方ないわね、ちょっとこっちきなさい！
絵里,はーい
真姫,……大丈夫よね
絵里,とうとうよ…
にこ,ええ…
真姫,やっとね…
絵里,不安もあると思うけど心配することはないわ！μ’sの時のように！楽しんでいきましょう！
にこ,え、ええ！もちろんよ！
真姫,もう始まるわよ！
絵里,よし、配置につきましょう！
にこ,了解よ！
真姫,行くわよ…！。３、２、１。せーっの！
にこ,みんなお待たせ―！！！
絵里,今から盛り上がっていくわよー！！！
真姫,それじゃあいってみよー！！！
三人,PSYCHICFIRE!!
絵里,お疲れ様！
にこ,お疲れ様
真姫,おつかれ
絵里,大成功だったわね！
真姫,ええそうね、会場も盛り上がってたし特に気にするところは…
にこ,………
真姫,そんな気を落とさないで？いいじゃないちょっとくらいは
にこ,…ダメなのよ、あんなに練習したのにダンスを失敗するなんて最悪じゃない。もう今日は仕事も何もないし帰るわね…
真姫,にこちゃん…
絵里,真姫、にこを頼んだわよ？
真姫,ええもちろんよ
絵里,さて…私は希のところにでもいこうかしら。もしもーし希～？
真姫,今度から頑張りましょう？まだこれが最後じゃないし
にこ,ええそうだけど…
真姫,とりあえず近いうちやる打ち上げは元気にいきましょう？μ’sのみんな来てくれるみたいだし
にこ,ええ…
真姫,もう疲れたでしょ？寝ましょう？今日は一緒に寝てあげるわ
にこ,とかいいながら毎日一緒でしょ…
穂乃果,いやぁ！すごかった！うん！ホントにすごかったよ！
花陽,はい！にこちゃんたちがいい席取ってくれたおかげでよく見えました！
凛,ずっと練習してみたいだからね～
海未,ライブには行けませんでしたが映像の方で見ました、とても良かったです
ことり,うんうん♪
希,それにしてもまさかアイドルを始めるなんてなー…
穂乃果,そうそう！ホントに！にこちゃんは分かるけど他の二人が始めるなんて思ってなかったよ！
絵里,色々あったのよ
