このスレッドは,とある魔術の禁書目録
滝壺,ふれんだうるさい。今良い所
フレンダ,はい。ごめんなさい...。(え？なんで怒られる訳？)
絹旗,とまぁ、こんな展開が超無きにしもあらずですよ
滝壺,ブラボー
フレンダ,うん...もうツッコミ切れないや...ハハハ
浜面,どんまい、フレンダ
絹旗,実はこの話には続きが超ありまして
フレンダ,はぁー！？まだ有る訳！？
絹旗,こうしてめでたく恋人になった上条とフレ...ンダの2人は超結婚し
フレンダ,ねぇ、ちゃんと私の名前言おうね？フレとンダの間を開けないで？
絹旗,一年後にはフレンマと言う子供を出産。三人で超幸せな未来を築きましとさ。めでたしめでたし
滝壺,
フレンダ,フレンマってなんつーネーミングよ？
麦野,さっきから文句ばっか言ってんじゃねぇぞ。このクソビッチが！
フレンダ,いや、どう見てもツッコミ所があり過ぎな訳よ！
絹旗,はぁ、折角上フレのハッピーライフを超送れるように考えたのにフレンダは超喜んでもらえません
フレンダ,上フレって...
滝壺,いや、ここはカミンダにしよう
フレンダ,はいっ！？
麦野,おっ、それ良いね滝壺。カミンダかぁ...うん。ナイスカップリング！
絹旗,上条とフレンダが合わさって超カミンダ！やっべぇ！超かっけぇ！
フレンダ,いやいやちょっと待とうか！それだと私と上条が合体したみたいになるじゃないのよ！こんな愛は嫌よ！
浜面,フュージョン、もしくはポタラでも付けたら出来そうだなソレ...
フレンダ,私と上条はどごぞのラスボスと戦えって言う訳！？。コラァァァァアアアア！！やめんかいっ！
滝壺,かみんだ、ナイスカップリング
フレンダ,はぁ...人を弄るに弄りまくりやがって...。そんなに人の恋が気になる訳かね？私には分からないわ。はぁ...
？？？,
フレンダ,ひゃっ！？あつぅ！
上条,よっ
フレンダ,か、上条
上条,温かいお茶は如何ですか？綺麗なお嬢さん
フレンダ,あ、ありがとう///
上条,よいしっと
フレンダ,あっ...///
上条,どうした？
フレンダ,な、なんでもない訳よ！///
上条,顔が赤くなってるみたいだが...
フレンダ,赤くなってないっ！。(うーこんなすぐ近くに上条がいたら平常で居られる訳がない訳よ///)。と、とりあえずお茶は頂く訳よ///
上条,ああ
フレンダ,今学校帰りなの？
上条,まぁな
フレンダ,ふーん
上条,フレンダは？また麦野さん達とファミレスでダベってたとか？
フレンダ,そんな所
上条,楽しそうだな
フレンダ,.....私にとってはね、あーやってジュース飲みながら麦野や絹旗に滝壺に浜面とかと一緒にバカやって騒いだりするのが1番楽しい時間なのよ
上条,ふむふむ
フレンダ,勿論、上条とも一緒に居る時も楽しい訳よ
上条,そう？
フレンダ,(だって好きな人だもの)
上条,いやーフレンダにそう言われると大変光栄でありますな
フレンダ,それは大袈裟よ
上フレ,ハハハハ
フレンダ,ねぇ上条。この後暇？
上条,ああ暇ですよ。上条さんは夜までフリーなのです
フレンダ,オーケー。この後フレメアのお迎えがあるんだけどまだ時間は結構あるかな何処か遊びに行こ？
上条,オーケー。フレンダのお誘いを断る上条さんではありません事よ。行こうぜ
フレンダ,上条、見てみて！このぬいぐるみ超可愛くない？
上条,おー可愛いうさぎだな
フレンダ,結局、可愛い物は正義な訳よ。キャー！この猫もいい！
上条,(まぁぬいぐるみも可愛いけど、それに夢中になってるフレンダの方がもっと可愛い！モフモフしてぇ！)。そういやフレンダの部屋って結構な数のぬいぐるみが置いてあったけな
フレンダ,ざっと100体ぐらいは揃えたからね
上条,そんなにあるのか！？凄いな
フレンダ,(中には爆弾用に犠牲になる物もある訳だけどね)。ねぇねぇ上条。麦野達で動物に例えると何が合うと思う？
上条,麦野さん達でか？
フレンダ,絹旗はリスがピッタリだと思う訳よ。んで滝壺は意外と淋しがり屋な部分もあるからうさぎで
上条,なら浜面は猿だな(笑)
フレンダ,アハハハハ！猿だなんて浜面ざまー
上条,それで麦野さんは完全な肉食系だから...
フレンダ,デスザウラーでいいんじゃね？
上条,お前......それ恐竜だし、麦野さんに殺されるぞ
フレンダ,テヘッ
上条,(いちいち可愛い事するなーこの金髪は)
フレンダ,なら私は？
上条,フレンダはえっと...
フレンダ,
上条,......チワワかな
フレンダ,え？犬？私チワワ似合うっすか！？///
上条,フレンダって言ったら明るくて元気で活発で可愛いからチワワが似合うんじゃねーかなと思って
フレンダ,そ、そう？///
上条,なんつーか撫でてみたい
フレンダ,な、撫でてみたい！！？///
上条,うん
フレンダ,///
上条,あれ？なんかお気に召さなかったでせう？
フレンダ,ち、違うの。そのー上条が撫でてみたいって言うからそのー...///
上条,うんうん
フレンダ,撫でて良い訳よ。どうせお泊りの時に一回やってるんだし、どうぞな訳よ！
上条,え？良いのか？
フレンダ,そう言ってるじゃない。ホラ撫でるんなら早くして
上条,じ、じゃあ行くぞ？
フレンダ,かかって来いやぁ！
上条,ナーデナデ
フレンダ,......にゃあ///。(あー気持ちいい訳よ。これなら嫌な事も忘れそうだわ///)
上条,(サラサラしててええなぁ。いつまでも撫でていた気分だな)
フレンダ,(あー何だろう？上条に撫ででもらうと凄い安心する訳よ///)
上条,よし。そんな可愛い可愛いフレンダたんには上条さんから一つ、ぬいぐるみを買ってあげようじゃないか
フレンダ,言い方が変質者っぽいよ...
上条,そこんとこは気にしない気にしない。それではフレンダが喜びそうな物を買って来るぜ
フレンダ,え？てか本当に買ってくれるの？
上条,あたぼうよ！ちょっくら待ってなさい。はい。プレゼント
フレンダ,あ、ありがとう///。(上条からのプレゼントだなんてメッチャ嬉しい！)。開けてもいい？
上条,どうぞ
フレンダ,(何だろうな？)。こ、これは...猫？
上条,はい。猫のぬいぐるみでございますよ
フレンダ,うっひゃぁぁぁぁああああ！！超可愛いわコレ！！ありがとね上条！コレ大事にするから！！わふぅぅうううううう！！
上条,(やっば！この子お持ち帰りしてぇ！)
フレンダ,(上条からのプレゼント♪ウフフ。今日もまた良い一日を過ごせそうな訳よ♪)。抱き心地がいいわ
上条,あのーフレンダさん？嬉しいのは分かるのですが、ここは公共の場ですからそろそろやめた方が
フレンダ,えーだって上条からプレゼントだもん。もっと堪能しないと気が済まない訳よ
上条,続きは家に帰ってからにして？さっきから周りの人達の目線が痛いっす
フレンダ,むー、上条がそう言うならやめる...
上条,うむ。人の言う事聞く子は好きですぞ。上条さんは
フレンダ,す、すすすすすすすす好きぃーーー！！？///
上条,シィー、声がデケェよ
フレンダ,(お、お落ち着けフレンダ！今のは告白じゃないんだから取り乱すような事じゃない訳よ！別に嬉しかった訳じゃないんだから！)
上条,ホラ深呼吸して
フレンダ,ヒッヒッフー
上条,それはラマーズ法だっ！！出産でもすんの！？
フレンダ,しゅ、出産って、私と上条の子がホワァァァァアアアア！！///
上条,だから落ち着けって！！。どうだ？落ち着いたか？
フレンダ,うん...
上条,フレンダって結構テンパる所あるよな
フレンダ,(上条のせいよ！馬鹿！///)
上条,まぁそんなフレンダたん萌えー
フレンダ,///
上条,所で時間の方は大丈夫か？
フレンダ,ん？あーもうすぐ迎えの時間な訳だからそろそろ学校に行かないとね。上条も来る？
上条,俺も付いてっていいのか？
フレンダ,無理だったらいいのよ？ただ、も、もう少し上条と一緒に居たいなーと思って///
上条,後半何言ってるか聞こえなかったけど、まぁ大丈夫だ。ご一緒させてもらうよ
フレンダ,(よしっ！！)。学園都市の治安なんか信用ならないからちょくちょくと迎えに行ってあげないと心配な訳よ
上条,最近じゃあ少しは平和になった方だとは思うが、まだまだ気が抜けないからな
フレンダ,ウチの妹もそれなりにトラブルに遭ってるからね、姉を持つ私としてはしっかりと守らなきゃならない訳よ。まぁ今は私だけではなく麦野、絹旗、滝壺、浜面等の心強い仲間が居るからすごく助かる訳。特に浜面はよくやってくれてるわ。最初はまったく使えない下っ端だったのに今ではフレメアに懐かれてるぐらい信頼性がある訳よ
上条,筋はしっかりと通ってる男だからな。アイツは
フレンダ,浜面の癖にね
フレメア,あっ、お姉ちゃん！
フレンダ,授業お疲れ
アケミ,こんにちは、お姉さん
フレンダ,こんにちは、アケミちゃん。この愚妹が迷惑掛けてない？
フレメア,コラ！大体愚妹とはどう言う事だ！？にゃあ！
アケミ,いえ、そんな事ありませんよ。むしろよく私を笑わせてくれて毎日が楽しいぐらいですよ
上条,よっ、フレメア
フレメア,にゃあ？大体、なんで上条がここに？
上条,下校中にフレンダに会ってな
フレメア,あーそれでデートしてたと。大体、そう言う事だな？
フレンダ,///
アケミ,あのーこの人は？
フレメア,にゃあ。お姉ちゃんの恋人なのだ
フレンダ,は？
上条,へ？
アケミ,あら？
フレンダ,ち、ち違うわよ！！何言ってのよフレメア！！///
上条,(恋人...//)
フレメア,にゃあ。照れるな照れるな
フレンダ,照れてないっ！///
アケミ,(ハハハ...恋人ではなさそうだけど、見るからにお似合いな二人だね)
フレメア,にゃあ。お姉ちゃん、今日の夕食は何？
フレンダ,うーんサバの味噌煮込みにしよっかな？
フレメア,にゃあ！サバサバって大体お姉ちゃんはそればっかりなのだっ！肉食わせろ！肉ぅ！
フレンダ,じゃあ生姜焼きにする訳よ
フレメア,やたぁー！にっく♪にっく♪
上条,フレメアはお肉が好きなのか？
フレメア,勿論！特に浜面が作ってくれるお肉は最高なのだっ！
上条,へー浜面も料理やるんだ
フレメア,にゃあ。浜面はいろいろと器用だからな
フレンダ,器用って言ってもピッキングだけがでしょ？それ以外は全然ダメダメじゃん
フレメア,ソコ！私の浜面を馬鹿にするんじゃない！?脚だけしか個性がない馬鹿姉がっ！
フレンダ,オイコラ！妹の分際で生意気な事ばっかり言ってるんじゃない訳よ！！
上条,あーはいはい喧嘩しないの
フレンダ,上条はそう思ってないよね？
上条,何が？
フレンダ,私の個性が脚だけって所
上条,そんな事ねーよ
フレンダ,だよね。さすが上条、よく分かってる訳よ
フレメア,てか大体、上条はよくお姉ちゃんに可愛い可愛いって言ってるけど、具体的には何処が可愛いのだ？
フレンダ,ふぇ？
上条,何処が可愛いって？そんなの決まってるぜ。全部だよ。全部
フレンダ,ぜ、全部！？///
上条,ああ。フレンダのどの部分も可愛いと思ってる。脚とか顔とか髪とかドジな所とかもうどこを上げてもキリがないぐらいフレンダは可愛い！いや。フレンダは世界一可愛い！！
フレンダ,///。(か、上条ったら道のど真ん中に何叫んでるのよ！！？せ、世界一可愛いってもう上条のばかぁー)///
フレメア,(あーあれが浜面達が言ってたデレンダモードか...うんキモイ。最高にキモい。にゃあ)。うん。大体私が悪かったのだ。ごめんなさいお姉ちゃん
フレンダ,世界一可愛い///
フレメア,聞けよ。オイ
上条,夕食出来たぞ
禁書,ワァーお肉だ！お肉があるんだよ！
上条,久々の生姜焼きでございますよ
禁書,いっただきまーす！
上条,もう少しゆっくり食べろ。逃げやしないんだから
禁書,お肉を目の前にしてゆっくりなんかしてられないんだよ！
上条,そうですか...
禁書,にしても食卓にお肉が並ぶなんて珍しいかも。何か良い事でもあったの？
上条,いんや、フレンダ達の晩飯が生姜焼きだったから同じのにしただけ
禁書,またふれんだって子の話なんだよ......最近とうまはその女の子ばっかり話題に出してるんだよ...
上条,だってフレンダって可愛い・脚綺麗・金髪の三拍子揃った綺麗な子なんだぜ
禁書,それ耳にタコが出来るぐらい聞いてるんだよ。あまりにもしつこいから噛むのも面倒くさくなったんだよ。てかとうまってそんなにふれんだって言う子が好きなの？
上条,え？好き？。あーいや、俺は別にフレンダの事はそのー憧れと言うか///。......
禁書,とうま？
上条,あ、いや別になんでもない。(...本当に憧れの対象だけなんだろうか......もしかしたらもう一つ何かしらの感情が俺の心の中に秘めているのかね？)。(......まったく分からん)。......。......。寝れない...。さっきからフレンダの事ばっか考えてるから全然落ち着かね。それにさっきから運動なんかしてもいないのに胸がドキドキしやがる。何でせうかね？。......フレンダ...。あーフレンダの事考えてたら声が聞きたくなったわ。電話してみるか...。いやいや、時間的に遅いからマズイかぁ...。......えい、掛けちゃえ。......。(出るの早やっ！)。あーもしもし、フレンダか？。そ、そうだよなー。あーえっと...その何と言いましょうか...。別に用がある訳じゃあありませんが...なんだか急にフレンダの声が聞きたくなっちゃって電話しましたー。もしもし？。もしもし？あーやっぱり何も用がないのに電話したのは迷惑だよな。ごめん。今切るな。うぉ！？。怒ってない？。そっか。オーケー。では今してたんだ？。風呂上がりか...。し、してねーよ！何言ってんだよ！///。だからしてないつーの！。話を聞けぇ！。やっぱ切る。話を聞かないフレンダが悪いんだ...まったく...。フレンダまで俺を弄らないでくれよ。よくクラスメートにな。弄られ者同士ね...。うーんフレンダと一緒ならいいかな。何だろうな、なんかフレンダと共通点がある所が嬉しくてな。そっか。それじゃあそろそろ寝るからこの辺で。用もないのに電話掛けたのはごめんな。フレンダがそう言うならまた掛けるよ。お休み、フレンダ。......フレンダの声聞いたらなんか安心しちゃったな。うん。これならグッスリ寝れそう。それに、もう少ししたらこの感情の答えが出そうな気がする。何だがそんな気がするわ
フレンダ,珍しいわね、上条から電話掛けてくるなんてね。私の声が聞きたくて掛けちゃうなんて可愛い所がある訳よ。...にへへ。やっべぇ。あまりにも嬉しい過ぎて顔のニヤケが止まらない訳よ！。まだ付き合ってもいないのに私ったら工口いなー...ハハハ。......。そろそろ告白しとこうかしらね。結局、日々積もっていくこの想いをいつまでも抑えている訳にはいかない訳よ。温泉旅行？
浜面,ああ。滝壺が商店街でやってたくじ引きで一等当てたんだよ。その一等が一泊二日の豪華温泉旅行な訳だ
滝壺,今年の私はかなり付いてる。ブイッ
フレンダ,凄いじゃん滝壺
浜面,んで、人数が四人まで行けるそうだから
フレンダ,私と麦野と絹旗と滝壺で行く訳ね？オーケー
浜面,俺をハブくな！
滝壺,残念ながらむぎのときぬはたは辞退するって
フレンダ,えーあの2人は行かないのね...
浜面,だから俺が行くんだよ。俺と滝壺とフレンダで後一人余る。つまりだ
滝壺,この意味がなんだが分かるよね？
フレンダ,えっと、フレメアを誘えって事？
滝壺,違うよ。かみじょうを呼ぶの
フレンダ,か、上条！？上条と温泉旅行に行けって訳！？///
浜面,もうさ、このイベントで一気に進展しろよ。これはお前のためにでもあるんだぞ
滝壺,うんうん
フレンダ,...た、確かに上条との距離を縮めるにはもって来いなシチュエーションな訳よね///
浜面,そうそう
滝壺,クソガkこほんこほん。ふれめあの事ならむぎのときぬはたに預かってもらうから安心して
フレンダ,オーケー早速上条を誘ってみるから少し席外すね
滝壺,これでかみじょうが参加出来たら念願のダブルデートが実現する
浜面,上条なら絶対来るから大丈夫だって
滝壺,でもかみじょうって不幸体質があるからもしかすると...
浜面,それも心配ないさ。その不幸もフレンダが打ち消してくれるからな
滝壺,そうなの？
浜面,前に上条と会った時にこう言ってたんだよ
滝壺,ふれんだが幸福の女神？かみじょうには申し訳ないけど、その異名はふれんだには全然似合わない
浜面,まぁー俺も同感だがな...
フレンダ,2人共聞いて、上条来れるって！
浜面,おう良かったじゃんか
滝壺,やったね
フレンダ,(上条と温泉旅行かぁ...ウフフ。超楽しみな訳よ)。遅い！約束の時間はとっくに過ぎてるのに上条は現れないじゃん！どうなってんのよ浜面？
浜面,今こっちに向かってるって。どうやら寝坊したみたいだ
フレンダ,はぁー！？こんな大事な日に寝坊するなんてあり得ない訳よ！
滝壺,まぁ出発まで充分時間あるから間に合うよ
フレンダ,まったく！着いたら説教だからね
上条,悪っりぃ、寝坊しちゃったわ
フレンダ,遅い！レディーを待たせるなんて失礼にも程がある訳よ！
上条,ごめんごめん
フレンダ,いい？上条は普段から
浜面,はいはい、説教なら電車に乗ってからにしろ
滝壺,弁当とお茶は買ってあるから早く乗車しよ？
フレンダ,まぁいいや。次から気を付けなさいよ
上条,善処します...
フレンダ,なんで遅れた訳？
上条,いやーそれがな、目覚まし時計がぶっ壊れちまって...
浜面,あらまぁ
滝壺,どんまい
上条,これがフレンダたんのモーニングコールだったら遅れずに済んだかなーって、なんちゃってな
フレンダ,ば、馬鹿！何で私がモーニングコールする訳よ？で、でもまぁ、上条がそう言うならしてあげるけどさ、なんなら毎日掛けてもいい訳よ///
滝壺,つんでれんだ乙
上条,あー腹減ったわ。急いで来たから何も食ってないんだよな
滝壺,駅弁食べる？
上条,食べる食べる！
浜面,そういや何の弁当買って来たんだ？
滝壺,幕の内に焼肉弁当に唐揚げ弁当にシャケ弁
上条,焼肉弁当もーらい
浜面,あーそれ俺が狙ってたんだぞ？
上条,早い者勝ちなんですぅ。たまには上条さんに肉食わせろってんだ
滝壺,ごめんかみじょう。それは浜面のだから
上条,あーそうでしたか...
浜面,ざまー(笑)
フレンダ,フンッ!
浜面,痛ぁ！何すんだよ？
フレンダ,なんかイラッと来た訳よ
滝壺,ごめんねかみじょう。焼肉弁当一つしかなかったから唐揚げ弁当にしたんだけど、それで我慢してくれるかな？
上条,弁に滝壺が謝る事じゃないからいいよ。上条さん、唐揚げ弁当も好きですから
滝壺,ふれんだは幕の内で良い？私シャケ弁食べてみたいから
フレンダ,全然構わない訳よ
浜面,焼肉旨え
上条,唐揚げ最高っす
フレンダ,さてと
浜面,出たよ。ここでもサバ缶かよ...
フレンダ,別にいいじゃない。好きなんだからさ
滝壺,今回も限定モノ？
フレンダ,うん。これはね、ネット注文でしか手に入らない超レア品な訳よ
浜面,美味いのかよそれ？
フレンダ,当たり前じゃない
上条,へぇー食べたいみたいな
フレンダ,上条の分もあるわよ
上条,マジ！？
フレンダ,うん。上条の為に二缶取り寄せた訳よ。一緒に食べたいからさ
上条,やった、ありがとうフレンダ。俺の為に用意してくれるなんて感謝感激ですよ！
フレンダ,///
浜面,(今度はデレンダモードになったな)
滝壺,(あれー？ふれんだってこんなに可愛いかったっけ？)。はまづら、顔にタレが付いてる
浜面,ああ、悪いな
上条,......
フレンダ,サッバ♪サッバ♪
滝壺,はまづら、私の弁当食べてみる？
浜面,うん。食べてみたいな
滝壺,それじゃあ、アーン
浜面,アーン
滝壺,美味しい？
浜面,滝壺に食べさせてもらうと何倍も美味いぜ！
滝壺,それは大袈裟過ぎ///
フレンダ,(よくまぁ見せ付けてくれる訳よね。でもいいなー私もやった方がいいかな？上条はどう思って......上条？)
上条,(浜面爆発しろ浜面爆発しろ浜面爆発しろ浜面爆発しろ浜面爆発しろ浜面爆発しろ浜面爆発しろ浜面爆発しろ浜面爆発しろ浜面爆発しろ浜面爆発しろ浜面爆発しろ)
フレンダ,(怖い怖い！！麦野以上に病んでるって！！)。......。...あのー上条？
上条,ん？何だ？
フレンダ,はい
上条,え？
フレンダ,良かったら私の幕の内食べてさせてあげる訳よ///
上条,...良いのか？
フレンダ,だから差し出してるじゃない。ほらアーン///
上条,ア、アーン///
フレンダ,ど、どう？
上条,うむ。美味いな
フレンダ,そ、そう。ならもう一口...
上条,いいよ。一口だけで充分だから
フレンダ,
上条,や、やっぱもらおうかなー
フレンダ,
上条,(そんな顔されたら断るに断れーな)
フレンダ,はい。お口開けてね
上条,アーン
隣の客,(コイツ達爆発しろー！)
フレンダ,結局、今回も上条の全敗って訳よ
上条,一回ぐらい勝利の女神が微笑んでもいいんじゃないかと思うんだけどな...
浜面,大将が居ると全然負ける気がしないよな
滝壺,ババ抜きはかみじょうにとっては鬼門だね
フレンダ,まぁおかげさまで全員分の荷物持ちを任した訳だから手ぶらになった私と滝壺と浜面は楽だわね
上条,罰ゲームとは言えこれはキツイわ。特にフレンダと浜面！どんだけ荷物持って来てんだよ！？多すぎだろう
フレンダ,レディーにはいろいろと必要な物がある訳よ。化粧品とか着替えとかサバ缶とかその他いっぱい
上条,待て。サバ缶は必要ねーよな？てかまだサバ缶あんのかよ！？
浜面,負け犬がギャーギャーうるさいぞ
上条,浜面テメェ、調子乗るのも大概にしとけよコラ！
浜面,あー聞こえない聞こえない
上条,チキショー、後で覚えとけよ
滝壺,大丈夫。みんなの荷物持ちをしてるかみじょうを応援してる
フレンダ,浜面、この後どうすんの？このまま直接旅館に行く訳？
浜面,そうだな...時間もたっぷりあるし、海でも行くか？
フレンダ,うーん...冬に海行ってもね...
滝壺,私は行きたいな
上条,上条さんも行きたいぜ
浜面,オッケー多数決の結果、三対一で海に行く事に決定
フレンダ,マジでっ！？てゆうか多数決だったのコレ？。うっひょー！！壮大な絶景な訳よ！
浜面,行きたくない派のアンタが一番喜んでるじゃねぇか
フレンダ,別に行きたくないとは言ってない訳よ。海と言ったら夏に行って水着着着て泳ぐのが当たり前なイメージじゃん
滝壺,海でプカプカ浮いてみたい
フレンダ,どれどれ、冬の海はどれくらい冷たい訳かな。冷たっ！？これはかなり冷たい訳よ
上条,それはそうだろうよ。冬なんだし
フレンダ,ソレッ！
上条,冷たっ！？コラ！何しやがる？
フレンダ,にへへ、一度は掛けみたかったんだ訳よ。やーい掛かってやがんの
上条,やりやがったな。倍返しだ
フレンダ,おっと当たらないわよ
上条,さらに追撃
フレンダ,ちょ！？それはズルいっしょ！？一時撤退！
上条,逃がさねぇぞ
フレンダ,やーい鬼さんコッチ
上条,待ちやがれ
浜面,何やってんだあの二人は？
滝壺,青春を謳歌してるね
フレンダ,結局、私の体力ライフがゼロな訳よ。あー疲れたー
上条,フレンダって意外と逃げ足早いな。あーこれはしばらく動けねーわ
浜面,アンタら馬鹿か？何で一時間近くも鬼ごっこしてるんだよ...
上フレ,フレンダ(上条)が悪い！
フレンダ,はぁ？元はと言えば上条が追いかけて来るから悪いんじゃない
上条,フレンダが先に掛けて来るのが悪いじゃねぇか
フレンダ,何を！
滝壺,コラコラ、旅行に来てるんだから喧嘩しないの。めっ
上フレ,ごめん...
浜面,(息ピッタリだな)
滝壺,罰として2人は旅館に着くまで手を繋いで歩く事
フレンダ,え？罰？
上条,それ罰なのか？
滝壺,文句ある？
上フレ,いえ、なんでもありません！
上条,おっかねー。滝壺って怒らせるとあんなに怖いんだな
フレンダ,あーゆう子が1番危険なタイプなのよ。ちなみに滝壺が怒ると握力が普段の10倍以上になるらしいわよ
上条,アイアンクローされたら一巻の終わりじゃん
フレンダ,普段は優しい子なんだけどねー
浜面,さて、そろそろ旅館にチェックインしないとね
滝壺,はまづら
浜面,ああ
フレンダ,あーえっと上条
上条,ん？
フレンダ,罰が下されたんだから手を繋がないと
上条,あーそうだったな。ホイッ
フレンダ,///
上条,(前も手を繋いたけど、やっぱドキドキすんな///)
フレンダ,(あー凄く心地良い訳よ///)
浜面,では俺と滝壺が201号室で上条とフレンダが202号室な
上条,了解
浜面,そんじゃあこっからは自由時間だ。部屋でゆっくりするなり温泉行くなりお好きにどうぞ
フレンダ,あいよー
滝壺,また後で
上条,行こ、フレンダ
フレンダ,うん。オー！これはなかなか豪華な部屋な訳よ！
上条,凄いな。旅館雑誌で一度は止まってみたい旅館ベスト5以内は入ってそうなぐらいだな
フレンダ,見て見て上条！目の前に海があるよ！
上条,本当だ。いやー絶景も素晴らしいなこの旅館
フレンダ,当てた滝壺には感謝しないとね
上条,とりあえずお茶入れるわ
フレンダ,(よし。頑張るのよフレンダ・セイヴェルン)。(私はこの旅行で上条に告白する訳よ！)。あーお茶が美味い訳よ
上条,そうだなーフレンダさんよ
フレンダ,ジジくさいわよ
上条,テヘッ
フレンダ,男がテヘッとやっても可愛くない訳よ
上条,すんまそん
フレンダ,ねぇ上条、この後どうする？
上条,うーん夕食までまだだしなー。浜面の部屋に突撃するのはどうだ？
フレンダ,良いねそれ
上条,どうせあの浜面の事だから滝壺といちゃラブしてるに違いない。だから俺としてはそんな甘い幻想をブチ殺してやりたいのさ！
フレンダ,みっともないわよ。まぁ部下が先に幸せになるのは私も許せない訳よ。滝壺には悪いけど
上条,そういう訳で201号室に乗り込もうや
フレンダ,お主も悪よのぅ
上条,フレンダには負けるよ
フレンダ,何をー(笑)
上フレ,ハハハハハ！
上条,んじゃあ行くか
フレンダ,イエッサー
上条,はい、こちらは201号室の前に来ております
フレンダ,中ではおそらく2人だけの世界に浸っているに違いありませんね
上条,そんな世界をブチ殺しに俺達は来ています
フレンダ,全世界の非リア充達は必見な訳よ
上条,ではフレンダさん
フレンダ,ええ
上フレ,突撃じゃあああ！！
浜面,滝壺...
滝壺,はまづら...
上フレ,え？
浜滝,あっ...
上条,......
フレンダ,......
浜面,......
滝壺,......
上フレ,し、失礼しましたぁ！！
上条,さ、さすがにあの光景は気まずいな...
フレンダ,結局、タイミングが悪かった訳よ...
上条,なんか邪魔しちゃ悪いし
フレンダ,戻ろっか。滝壺様のお怒りが怖いし
上条,だな
上フレ,あれ？
滝壺,させると思う？
上条,た、滝壺さん？これはちょっとしたドッキリな訳でありましてね...
フレンダ,そ、そうよ。つか滝壺、目が！？目が病んでる訳よ！怖いって！
滝壺,折角、はまづらといい雰囲気だったのに...2人共正座
上フレ,はい...
滝壺,まったく、ふれんだもふれんだだけど、かみじょうもだよ？分かってる？
上フレ,すみませんでした...
浜面,何やってんだがな
上条,ウルセェ。浜面だけ幸せになりのがムカつくんだよ！
フレンダ,そうよそうよ
浜面,逆ギレかよ！？
滝壺,そんなにイチャイチャが羨ましいなら2人もすればいいんじゃない？
フレンダ,ふぇ？な、何言ってる訳かな？私と上条がイチャイチャだなんて...そ、そんなの無理だって///。ムッ
上条,何だよフレンダ？
フレンダ,別に...
上条,？
滝壺,かみじょうはもう少し女の子の気持ち考えよう。でないといつか刺されるよ？
上条,ハハハ...冗談がキツイですな
滝壺,いや、冗談抜きでアドバイスしてるの
上条,......
浜面,(上条ならマジであり得そうだからな...)
フレンダ,はぁ...。いやー海を見ながらのお風呂は最高って訳よ！
滝壺,ハラショー、その通りだね
フレンダ,数時間前に上条に追いかけられた疲れが一気に吹っ飛ぶ気がするわ
滝壺,かみじょうに追いかけられてたふれんだは実に楽しそうだったよ
フレンダ,え？そう見えた訳？
滝壺,まるでお花畑で捕まえてご覧なさいウフフ的なイメージで
フレンダ,いやいや、今時そんな漫画かアニメみたいなシチュエーションなんか古い訳よ...
滝壺,私もはまづらに追いかけられてみたいな
フレンダ,追いかけられたいんだ...
滝壺,なのです
フレンダ,
滝壺,どうしたの？
フレンダ,滝壺って結構着痩せするタイプな訳ね
滝壺,羨ましい？
フレンダ,う、羨ましくないと言ったら嘘になるし、同じ女子高校生としては納得が出来ない訳よ。特に胸が...
滝壺,胸を大きくしたいならかみじょうに揉んであげればいいよ
フレンダ,な、なぁ！？何言う訳よ！？か、上条に揉んでもらうだなんてそんな事出来る訳ない訳よ！！破廉恥よ！///
滝壺,シッ。男湯まで聞こえちゃうよ
フレンダ,ごめん...。だからってそんな工ッチな事は無理だってば///
滝壺,ビッチなふれんだがそれを言う？
フレンダ,だから私はビッチじゃないつーの！私は清純派の乙女な訳で
滝壺,えー
フレンダ,えーじゃないの！信じてよ！
滝壺,話を戻すけど、私ははまづらに胸揉んで欲しい願望はあるよ
フレンダ,え？マ、マジで！？
滝壺,
フレンダ,えーと、ちなみに浜面に揉まれた事は？
滝壺,ない。前にお願いした事があるんだけど、はまづらは節度ある付き合いがしたいからと断られた
フレンダ,へーあの発情猿の事だから喜んで手を出すかと思ってた訳よ
滝壺,はまづらだって本当はしたくて堪らないはず。へんに意地を張らなくても心の準備はとっくに出来てるのに...
フレンダ,なんかそれだとそれ以上の行為もOK的に聞こえる訳よ
滝壺,それ以上の行為って？
フレンダ,だ、だから！そのSから始まってXで終わる言葉よ///
滝壺,SOＸ？
フレンダ,ここでボケるのやめてくれる？
滝壺,冗談冗談、ふれんだが言いたいのはアレでしょ？あながち間違いでもない
フレンダ,滝壺って結構工ッチな事に興味津々な訳？
滝壺,勿論。一人前のレディーたるものそういう事にも興味津々
フレンダ,そう...
滝壺,ふれんだだって工ッチな事は興味あるでしょ？
フレンダ,そ、それはそのー...///
滝壺,むぎのときぬはたには内緒にしとくから正直に言って
フレンダ,......ま、まぁ興味ある訳よ///
滝壺,ふれんだ可愛い
フレンダ,ちょ！？何で抱きつくの？
滝壺,ふれんだが可愛いから
フレンダ,だからといって同性に抱き付けられるのはちょっとね...
滝壺,前まではむぎのに抱きついてた癖に
フレンダ,あ、あれは私なりのスキンシップな訳で...
滝壺,そのスキンシップをかみじょうにやってあげればいいじゃん
フレンダ,は、恥ずかしいわよ。そもそも手を繋ぐ事すら結構恥ずいのに...///
