子供たちは口をそろえて言う。,将来は、あの組に入るんだ
藤波,はぁー、なるほど。……じゃ、浜ちん帰ろっか
浜波,う、うん……
親潮,……綾波組もこの件に？それにしても、今の会話は……――。――ってことがあったの
磯風,……なるほど。……しかし、何故それを私に？
親潮,磯風が捕まっていなかったら、私たちが捕まっていたはず……。……だから、あまり落ち込まないで。組長も言っていましたが、どちらにしろ結果は変わらなかったでしょうし……
磯風,親潮の姉貴……、わざわざ励ますために……。――ふふっ、わかっています。……次は必ず、この磯風が結果を出して見せましょう
親潮,えぇ、期待してますよ……――
暁,――えっ？？秋雲と照月が居ないの？？
涼月,えぇ……。暁さんは知っているとばかり思ってましたけど……
暁,え？なんで私が知ってるのよ？
初月,えぇっと……
暁,…………？？――まぁいいわ。とにかく、留守は頼んだわね
雷,――えぇっ？？吹雪と白雪が出かけてるの？
浦波,はい。夕雲組のところに行くって……
電,吹雪ちゃんたちもお呼ばれしてたのですね
雷,なるほどね……。――まぁわかったわ。それじゃ留守の間、お願いね
深雪,りょーかい！
暁,――わぁー……夕雲組の本部って大きいのね
雷,すごいわね……
電,でも、これなら確かにパーティ出来そうなのです！
響,ハラショー
風雲,――あぁ、暁組のみなさん。待ってたわ……さぁ、こっちへ……
暁,お、お邪魔しまーす……
雷,風雲、みんな来てるのよね？
風雲,えぇ。すでに夕雲組長と睦月組・吹雪組・綾波組・秋月組の組長たちが集まっているわ
電,はわわ……。どんなパーティなのです？
風雲,えっ？
暁,えっ？
風雲,……えぇっと？……とりあえず、大広間に着いたわ――
陽炎,――さて、全員集まったわね。みんな……今日はわざわざ集まってくれて、感謝するわ
白露,へぇー、ここが陽炎組の本部かー。……白露組の本部より大きい？一番じゃない？
時雨,いえ、ほら……。白露組は庭が広いですから……
朝潮,私たちも、入るのは初めてですね
大潮,き、緊張するー……
神風,ふぅん……。まぁまぁってことかしら
朝風,あれが白露組……
初春,ふっふっふ。わらわたちも呼んでもらえるとはのう……
子日,………………
暁,……えっ？？
雷,……あれっ？？
電,はわわ……
響,ハラショー
夕雲,あぁ、やっと主役オブ主役の登場ですね
巻雲,いよー、待ってましたー
睦月,わぁー！ぱちぱちぱちー！
如月,く、組長……。すこし落ち着いて……
吹雪,………………あ、あはは……
白雪,……組長。いつまで緊張してるんですか……
綾波,……あれが暁組……ですね
敷波,ふぅーん？なんかあんまり……
秋月,わ、私たちまでここに居ていいのかな……
照月,ど、堂々としてないと……
暁,…………あれ……全然パーティの雰囲気じゃない……かしら……
雷,ど、どういうこと……
電,はわわ……。はわわわわ……
響,ふふっ……ハラショー
ウォースパイト,――Hello,everyone！３分Cookingの時間よっ。さて、今日は我が英国の伝統料理であるパイを作ろうと思うわ。――……と、その前に。大事なGuestperformerを紹介しなくちゃね！。Comeon！Arkよ、みなさん拍手を！
アークロイヤル,やぁWarspite、今日は呼んでくれて感謝する。Thankyouverymuchindeed
ウォースパイト,いいえ、こちらこそ。――それじゃさっそく、まずは材料の紹介からね
ウォースパイﾄ,…………えぇっと、これは日本の言葉だと……難しいわね。――大淀、頼んでもいいかしら？
＜材料＞,４人前
ウォースパイト,――そして、これを黄金色になるまで焼き上げるわ
アークロイヤル,……ん？これって、３分じゃ無理じゃないか？
ウォースパイト,Don’tworry！――これが焼き上がったパイよ！
アークロイヤル,あぁなるほど……
ウォースパイト,今日は、Japanにも馴染み深いサンマを使ったわ。その名もStargazypieよ！
アークロイヤル,日本語にすると星を見上げるパイになるのだろうか
ウォースパイト,そう、素敵な名前よね。……これの起源は、飢えに苦しむ村を救ったある勇敢な漁師を称えて、fishがちゃんと中に入っているということを示すために頭が出てるの
アークロイヤル,ふむ。……では、さっそく頂くとしよう。――おぉ……美味しいじゃないか、腕を上げたな
ウォースパイト,Thankyouverymuch。……ちなみに、このパイはJapanの有名なアニメ映画にも出ているらしいわ。興味があったら調べてみて。――あら、もう時間？……そうね、来週はウナギを使った料理を紹介しようかしら。それじゃ、Seeyounextweek！Cheerio！
暁,――ゆ、夕雲っ？これはどういうことかしら……？？？
夕雲,まぁまぁ、まずは上座へお座りください
雷,え、えぇ……わかったわ
電,はわわ……
夕雲,――ごほんっ。……それでは、皆さんもう見知った仲とは思いますが……簡単な挨拶から始めましょうか。……では私から。夕雲組をまとめております、夕雲です。私も含めて、構成員は11名。主力オブ主力の働きをすることを約束しましょう
巻雲,夕雲組の若頭、巻雲といいます！お力になれるよう、がんばりますっ！
睦月,睦月ですっ！睦月組の構成員も11名にゃしぃ！ぜーったい、お役に立てるはずにゃあ
如月,睦月組若頭、如月です。……よろしくお願いしますね
吹雪,ふ、吹雪組の組長をやっています！吹雪です！構成員は……えっと……――7名です！が、頑張ります！
白雪,若頭の白雪です。暁組への御恩、少しでも返すことが出来ればと思います
綾波,初めまして……ですね。綾波組組長、綾波と申します。構成員は8名。……先日の暁組の任侠、しかと見届けさせていただきました
敷波,綾波組若頭、敷波。……以後、よろしく
秋月,秋月組の組長をしています、秋月ですっ！秋月組は4名と少ないかもしれませんが、主力級の活躍をご期待ください！
照月,て、照月です！練度はバッチリ……だと思います！
暁,あ……えっと…………
夕雲,……さ、暁さんの番ですよ
暁,えぇっ！？――……あ、暁よ。わ、私も一人前の組長として扱ってよね！。え、えっと……夕雲？これはいったい……
夕雲,――あぁ、そうです。……実はもう一人いるんですよ
暁,えっ？？
タシュケント,――……Здравствуйте！……タシュケントだ。ホテル・ガングートに所属している者さ
暁,す、すとら……？？えっと……た、タシュケントね
タシュケント,……Привет。ヴェー……――おっと、響……だったね
響,やぁ、よく来てくれたね
雷,ひ、響の知り合いなの？
響,まぁ、ちょっとね
電,はわわ……。か、海外の方なのです……！
タシュケント,まぁ、あたし達にも色々とあってね。とにかく、よろしく頼むよ
暁,え、えぇ……わかった――
タシュケント,――っと、その前に忠告だけしておこう。……あたしがこの世で我慢ならないものが二つある。一つは冷えたブリヌイ、もう一つは仁義を欠く輩さ。……覚えておいてくれ
暁,………………。――……ひ、響っ、ブリヌイってなに……？
響,え？うーん、そうだね……。まぁ、クレープみたいなものだよ
暁,ふーん……？。――私は冷えてるのも好きだわ！……よろしく！
タシュケント,あ、いや……。…………うん、よろしく
暁,…………って、待ってよ！夕雲、私はまだよくわかってないんだけど……
夕雲,今日、皆さんに集まってもらったのは他でもありません。ここに居る暁組を頭として、一つの組織を作るためです！
暁,そ、それって……
夕雲,失礼ながら、この夕雲が名前の方を考えさせていただきました。その名も――。――暁水会。……どうでしょうか、暁さん。……いえ、暁会長？
暁,な、名前はいいけど……。か、会長って――
夕雲,決まりました！今、この時を持ちまして暁水会の結成です！
睦月,おーっ！暁かいちょー！
吹雪,お、おめでとうございます！
綾波,ふふっ、おめでたいですね
秋月,わぁー！おめでとうございます！
タシュケント,ふふっ、ハラショー
暁,あ……えっと……
夕雲,さ、会長。……さっそく皆さんにお言葉を
暁,えっ？。え、えっと……
夕雲,会長……
巻雲,はわぁ……
睦月,むむぅ……
如月,うふふ……
吹雪,…………っ！
白雪,ふふ……
暁,あの……えぇっと……
綾波,…………
敷波,…………
秋月,わ、わー……
照月,わぁ……
暁,――が、がんばりましょう！
夕雲,――暁水会、全員合わせて46名……。これなら……――
陽炎,――さて、これで簡単な挨拶は済んだわね
時雨,合わせて、42名……になるのかな
陽炎,いえ、実はまだ居るのよ。……入ってきて
レーベ,――GutenTag。……ビスマルクファミリーから来た、レーベレヒト・マース。……レーベでいいよ、よろしく
マックス,同じく、マックス・シュルツ。……よろしく
神風,へぇ……
朝潮,海外の……
陽炎,この場にいる六組を、形式的にだけど陽炎組が仕切らせてもらうわ。陽炎連合……ってとこかしら
時雨,……このまえ、あれだけの失態を演じた陽炎組から名前をとるのかい？
不知火,――ッ！
陽炎,不知火、やめなさい。……ただの名前よ。なんなら白露連合でもいいわ
時雨,――いいや、実のところどうでもいいよ。……でもね、勘違いしないでほしいのだけど、何もキミ達を馬鹿にしているわけじゃないんだ。それよりも、陽炎組に一杯食わせた向こうの事が気になってね
初春,たしか、暁組……とかいったかのう？
レーベ,へぇ……、少し興味があるね。強いのかい？
陽炎,えぇ。でも、向こうも一組だけではないわ。暁組・夕雲組・睦月組・吹雪組・綾波組・秋月組……。調べによると、合わせて40～50名ってとこかしら
朝潮,なるほど、数だけで見ればほぼ互角……というところなのですね
陽炎,そうね。この前はさすがにしてやられたわ
神風,――それで。……私たちとしてはどうするつもりなのかしら？相手の動きがあるまで待つの？
陽炎,……いいえ。――今回は私たちから攻めるわ。……でも、仁義は通す。正面から、正々堂々と叩き潰すわ
不知火,…………っ！？
神風,……えらく好戦的じゃない
時雨,いや、いいじゃないかシンプルで。僕たちからすれば、早期決着するのは歓迎だ
朝潮,……陽炎さんがそう望むのであれば……
初春,ま、まぁ、わらわの力があれば……
レーベ,ふぅん？そうそうにやるのかい？
陽炎,実はね、もう手紙は送ってあるの。そろそろ届いてる頃じゃないかしら
神風,はぁ……、まぁいいわ。……場所は？
陽炎,今はもう誰も使っていない、宿毛湾泊地の鎮守府。……あそこなら誰にも迷惑もかからないでしょ
朝潮,また随分と……、懐かしいですね……
時雨,ふふっ……。そうか……楽しみだね
陽炎,あとはどう返事が来るか、よ。……そんなところで、今日の所は一旦解散にしましょう。……各々、覚悟は決めておいてね――
不知火,………………
陽炎,……不満かしら、不知火？
不知火,…………いえ
陽炎,じゃあ、どうしてそんなに機嫌が悪いの？
不知火,…………組長らしくありません
陽炎,……そうかもね
不知火,……それでも――
陽炎,――ねぇ不知火。……最後まで私に、付いてきてくれる？
不知火,はい、もちろんです
陽炎,……ありがとう――
夕雲,――会長。……さっそく、陽炎組から手紙が来たようです
暁,て、手紙？
夕雲,えぇ……。決着の時……みたいですね
雷,……場所は……宿毛湾鎮守府。……確かに、決着をつけるのにはいい場所ね
電,また……あの場所に行くのですか
響,…………懐かしいね
暁,……もう、引き下がることはできないのね。……私も、覚悟を決めなきゃ……。――みんな、よーく聞いて。私たち暁水会は、早くも陽炎組率いる陽炎連合との決着をつけることになってしまったわ。本当のことを言えば、戦いたくなんかないのよ。いつもの私なら逃げてたかもしれない。……でもね。いま、ここに立ってなんとなくわかった気がするの。私が背負っているものと、陽炎組の覚悟の大きさがね。応える為にも、行かなくちゃいけない。とても怖くて、足がすくむわ。……だから――。だからお願い。みんなの力を貸してちょうだい
夕雲,……えぇ、もちろんです！ねぇ、巻雲さん？
巻雲,はいっ！本領発揮しますよぉー！
睦月,まかせてよっ！暁ちゃんは、絶対に睦月が守るにゃしい！
如月,組長だけではありませんよ。睦月組のみんなが、暁組に感謝してるんですから
吹雪,はいっ！私も、暁組への恩を忘れてはいません！
白雪,吹雪組一同。会長のために尽力いたします
綾波,お任せを。綾波組が、守ります
敷波,へぇ、なかなか良い眼するじゃん
秋月,やらせはしません。秋月組が健在な限り！
照月,もちろんです！
タシュケント,同志よ。空色の巡洋艦の力、お見せしよう
暁,――ありがとう！。……みんな
雷,大丈夫よ、組長。私が居るじゃない
電,電もいるのです！
響,私もいる。組長は前だけを見てればいい
暁,……えぇ、わかってる。もう、怖くなんかないわ――！。暁水会会長、暁っ！
雷,雷よっ！
電,電なのです！
響,響だよ
暁,ついにこの時が来てしまったわね
雷,私たち、どうなるのかしら……
電,怖いのです……
響,……でも、私たちには仲間がいる
暁,えぇ、そうね。心強い仲間が、いっぱいできたわ
雷,きっと私たちなら……
電,大丈夫に違いないのです
響,ハラショー
暁,……さぁ、行きましょうか。……決着の場所へ。――次回暁が如く！
雷,最終回よっ！
電,1時間すぺしゃるなのです！
響,暁の水平線に
暁,……それでも本当は、戦いたくなんかないわ……
秋雲,………………っ
萩風,秋雲？……少し落ち着いたらどう？
秋雲,う、うん。わかってはいるんだけどさ……。……でもやっぱり、ここで待ってろっていうのは落ち着かないもんだねぇ。元々の原因は秋雲にあるのに……
萩風,夕雲さんも私たちの事を考えてくれたのでしょう。私たちが付いていくということは、陽炎組を相手にするということ。……かつての仲間に武器を向けるというのは、簡単な事ではありませんしね
秋雲,………………。――……でも、だからこそ……っていうのもあるんじゃないかな？
萩風,どういうこと？
秋雲,……発端はこの秋雲にあるんだ。逃げて一人だけ安全地帯に居るなんて、やっぱり考えられない
萩風,で、でも、そしたら陽炎組と戦うってことっ？？
秋雲,……いいや、戦わない。でも、見届けることはできる。……どんな結果になっても、秋雲はもう逃げない
萩風,秋雲……
秋雲,……萩風の姉貴はここに居なよ。秋雲の問題に巻き込まれただけなんだから、萩風の姉貴には安全なところに居てほしいんだ
萩風,……馬鹿言わないで。妹分がそこまで言っているのに、今度は私だけなんて……。そんなこと出来るわけないわ。萩風だって、陽炎組の端くれ。……通す仁義は持っています
秋雲,……わかった。それじゃ行こう……決戦の鎮守府へ！
陽炎,――ちゃんと来たわね。……暁水会、っていうのかしら？
暁,…………そ……そうよっ！
陽炎,正直、あなたを見くびっていたわ。……まさか、ここまでの勢力を持つとはね
暁,……私もびっくりよ……
陽炎,…………？
電,声が小さいのです！
雷,それじゃ聞こえないわよ！
暁,あぁもう、うるさいわねっ！ちょっと静かにしててっ！
陽炎,……ところで、秋雲と萩風はいないのかしら？
夕雲,二人は私たちの本部に居ますよ。ご心配なさらず
黒潮,へぇ、場所を教えてくれるなんて親切やなぁ
夕雲,えぇ……。まさか、この状況で陽炎組が組員を向かわせる……なんてことはないでしょうしね
陽炎,安心して、仁義は通すわ。――暁水会を壊滅させてから、ゆっくりと迎えに行くことにしましょう
睦月,むむっ……！
綾波,大した自信ですね
吹雪,か、陽炎連合……。ちょ、ちょっと怖いかな……
タシュケント,へぇ、これは面白い……
時雨,……あの中で手ごたえがありそうなのは、夕雲組か綾波組かな。一応、暁組は陽炎組に譲ろうか
白露,時雨ー、これに勝てば一番になれるの？
時雨,いいえ、まだ……。ですが、一気に近づくことでしょう
朝潮,これは、陽炎組のため……。でも、本当に……
神風,平和のために戦う……。いつの時代も変わらないものね
レーベ,あれはソ連の……？ややこしいことになってきたかな……
暁,……本当に、やるのね
陽炎,何を今さら……。まさか、まだ覚悟が出来ていないのかしら？
暁,………………
陽炎,へぇ、会長が聞いてあきれるわね。……暁水会の事は評価するけど、暁組については過大評価だったみたい
暁,…………っ！
夕雲,会長、耳を貸してはいけません。……安心してください、ここに居る皆さんは暁さんの人柄に着いてきているのですから
暁,……えぇ、そう……よね。……そうよ、覚悟を決めたはずでしょう？私は……。私がやらなくちゃいけないことは、もう決まってるんだから……！。陽炎……！私たち暁水会は――。――絶対に……。……え？
夕雲,あ、秋雲と萩風……？？ど、どうしてここにっ？
秋雲,この勝負、ちょっと待ってくれ！
陽炎,……どうしたの秋雲。……もし、今さら落とし前つけに来たとしても、もう止められないわよ？
萩風,く、組長！わかっています……。――でも、違うんです！
秋雲,いま、ここの周りを人間の極道達が――
暁,――えっ？
モブ山,おうおう……。久しぶりじゃねぇか……暁組の皆さんよぉ
雷,あ、あんた達は……っ！！
電,はわ、はわわわ……！
響,へぇ……
暁,誰だっけ？
雷,誰だったかしら？
電,覚えてないのです
響,ハラショー
モブ山,いい加減にしやがれッ！！お前らがいま使ってる事務所は、元々誰のだと思ってやがるっ！！？
暁,えっ？……あぁ、そういえば……
雷,あっ、思いだしたわ
電,たしか、モブ山組……とかだった気がするのです
響,――で、こんなところでどうしたんだい？
モブ山,ふっ！そんな余裕ぶっていられるのも今のうちだぜ？――おい、全員出て来い！
陽炎,……あら、アンタは確か……
モブ田,よぉ、今度こそ潰しに来てやったぜ、陽炎さんよぉ！
モブ藤,いけませんなぁ。我々の事を忘れてもらっちゃあ……
モブ間,俺たちは……！お前らに復讐するために牙を磨いてきたんだ……！
モブ口,叩き潰してやるぜぇ……！
時雨,あぁ……。そう言えば居たね……
朝潮,あなた達は……ッ！！
モブ本,おうおう、俺たちのシマ……返してもらうぜ
モブ木,へへへ……っ！
モブ村,洗脳できてると思ってたのか？おめでたいぜ！
睦月,また来たのね……！
モブ辺,あの遊園地はなぁ、金の生る木なんだよ。簡単に諦められるわけがねぇ！
暁,こ、この数は……！
モブ山,へへへ……！同盟を組んでるのがお前ら艦娘だけだとでも思ってたのか？
陽炎,あぁ、確か徒党を組んでるって噂があったような……
モブ山,本来だったら、お前たちが争って疲弊しきってるところを叩きのめす作戦だったが……。まぁいい。――お前らの数は何人だ？合わせても百もいかないだろう？……俺たちは極道という極道を集めて、もはや何千人という勢力になった！！
陽炎,くっ……！
モブ山,周りは全部固めてる。もうお前たちに逃げ場なんかないぜ？
暁,なんて数なの……！
モブ山,ハァーハッハァ！全員で土下座するなら、許してやってもいいぜぇ
陽炎,…………暁会長？
暁,な、なによ……
陽炎,少しだけ、協力しないかしら？……それとも土下座する？
暁,ふ、ふざけないでっ！わかったわ、協力しましょう……！
陽炎,――みんなっ、一時休戦よ！やることはわかってるわね？
暁,――さぁ、みんな準備して！
モブ山,土下座するつもりはねぇみてぇだな……！。――よぉしっ！！俺たち全員で、こいつ等を叩き潰してやれッ！！！
天城,――助けてくださいっ！クウボレンジャーの皆さん！
雲龍,………………
蒼龍,うわっ！……天城じゃない、どうしたの？
天城,葛城が……。葛城が、悪の軍団タイホーンに捕まってしまったんですっ！！
瑞鶴,葛城が……そんなっ！？
天城,雲龍姉様も、ショックで喋れなくなってしまって……！
雲龍,………………
飛龍,なんてヒドイことを……！
赤城,――みんな、すぐに準備して！出動よ！。――リュウジョーン！葛城を今すぐに返しなさいっ！！
リュウジョーン,はっ！そう言われて素直に返すわけないやろ！返してほしかったら力づくでやってみぃ！
飛龍,ぐっ、行きますっ！
蒼龍,全艦載機、発進！
赤城,翔鶴ホワイト、瑞鶴ブラック！あなた達は葛城の元へ！
翔鶴,はいっ！
瑞鶴,わかりました！
ズイホーン,ここは通しませんっ！攻撃隊っ！
翔鶴,ぐっ……！――瑞鶴、ここは私が止めるわ！だから先に行って！
瑞鶴,――っ！……わかった！
葛城,……待ってましたよ？瑞鶴先輩……
瑞鶴,えっ……？
モブ山,――いや……あの……
暁,……で、どうするのかしら？
モブ山,ほ、本当に……、調子に乗ってすいませんでしたぁっ！！
陽炎,これだけの数を揃えたのはよくやったと思うけど、私たちに勝てるわけがないじゃない……
神風,ま、準備運動にはなったわ
夕雲,みんな大丈夫ですか？怪我人は……
長波,んーと、巻雲の姉貴が転んだぐらいかなぁ
巻雲,うわーんっ！こんな時にぃ！
暁,と、とりあえず、大きな怪我をした人はいないみたいね……
秋月,……それで、アナタはどうするんです？他の皆さんはほとんど逃げちゃいましたけど
モブ山,あ、あの……、もう手出ししないと約束しますんで、ここはどうか……！
陽炎,……私はどうでもいいし、判断は任せるわ
暁,……わかったわ。今回の事で懲りたでしょうし、もうしないのなら――
時雨,――ちょっと待った
朝潮,時雨さん……？いったい何をしようと……
時雨,いや、別に海に沈めるとかそんな物騒な話じゃないよ。……ただ、気になることがあるんだ。――……ねぇ？
モブ山,ひぃっ！
時雨,聞きたいんだけどさ、どうやってこの場所を知ったの？。これだけの大人数を僕たちにバレないように取り囲めた……ってことは、暁水会と陽炎連合がこの場で戦争するのを知っていたってことだよね？
モブ山,そ、それは……
時雨,……話してもらおうか？
綾波,……時雨さん？貴女は、私たちの中にそれを教えた艦娘が居る……と、そう言いたいのですか？
時雨,あぁ、その通りさ
吹雪,で、でも……？そんなことをしても、誰も得をしないような……？
時雨,そう、それが不思議なんだ。……だから、知りたい。――ねぇ、誰からこの場所を聞いたの？
モブ山,あ……て、手紙が、届いたんだ……
レーベ,手紙……ね。差出人と内容は？
モブ山,差出人は無かった……。で、でも内容は――。忌まわしき艦娘共が戦争をするらしい。お互いが消耗する時を狙って、今こそ俺たちの力を合わせて潰してやろう。――っていう内容と、場所と時間が……。他の組長たちに聞いたら、そいつらにも同じ手紙が届いていたようだったから、急いで兵を集めたんだ……
睦月,んんっ？？それじゃ、誰が手紙を送ったのか疑問に思わなかったにゃしぃ？
モブ山,あ、あぁ……。た、たぶん、俺たちの内の誰かが突き止めたんだろうって思って……
タシュケント,ははっ。なんともお粗末だね、日本の極道というのは
モブ山,ぐっ……！
陽炎,――まぁ、まだ疑問は残るけど……。人間の極道と仲良くしてた組もあったみたいだし……
初春,うぐっ……。で、でも待つのじゃ！わらわ達は教えたりなんか……っ
陽炎,わかってるわよ。……ただ、何処から漏れてもおかしくないってこと。こいつはこれ以上叩いてもホコリは出なさそうだし……。もういいんじゃない？
時雨,…………まぁ、しょうがないね
モブ山,そ、それじゃあ……！
陽炎,――でも言っておくわ、もうこの街から去りなさい。次に見かけたら……言わなくてもいいわよね？
モブ山,す、すすす、すいませんでしたぁああああ――
神風,……さて。とんだ邪魔が入ったものだけど、これで仕切り直しかしら？
暁,………………っ
陽炎,そうね。もう邪魔も入らないでしょうし……。――まさか、疲れたとか言わないでしょうね？
暁,………………
雷,……組長？
電,ど、どうしたのです？
響,………………
暁,――……もう、やめましょう
陽炎,…………いま、なんて？
暁,やめましょうって言ったのよ。……こんな戦い、なんの意味もないわ
夕雲,か、会長！？こ、ここに来て何を……っ！！
時雨,ははっ！急に何を言い出すのかと思えば……。――ふざけてるのかい？
暁,ふざけてなんかないわっ！！
時雨,…………っ
暁,私はいま、会長だなんて言われてるけどね……！正直、こんなのやってられないのよっ！！
睦月,あ、暁ちゃん……
暁,……なんで、なんで仲良くできないのっ？最初から争いなんかしたくなかった！だって、私たち……同じ艦娘じゃない……！！
神風,……言いたいことは、まぁわからなくもないわ。それでも、覚悟をもってここに来たんじゃないの？どうして今さら……
暁,今さらじゃないわ。……たった今、気付いたのよ
綾波,………………
暁,だって……。だって、いま私たち……一緒に戦えたじゃない
朝潮,……それは……
暁,……争う必要なんてないのよ。私たちは……みんなで、手を取り合える――
陽炎,――それで終わりかしら？……そんなの、理想でしかないのよ。貴女も組を背負っている身でしょ？
暁,なんでそう決めつけるのよっ！組同士の上下関係なんて無くせばいいわっ！みんなで……一緒に。それが一番よ！
陽炎,…………そう
暁,え……笑った？
陽炎,――それもそうねっ
時雨,…………ッ！？な、何を言って……！
陽炎,…………暁水会会長、暁
暁,えっ？？は、はい……
陽炎,――私たち陽炎組を、暁水会に入れてもらえないかしら？
暁,えっ
時雨,なっ…………！！
黒潮,く、組長っ！！？
不知火,………………。――……不知火も、賛成です
黒潮,不知火姉さんまで……！
陽炎,いやかしら、黒潮？
黒潮,い、いやというか……。――ま、まさか、最初からこれを……？
陽炎,………………
黒潮,……はぁ、まったく……。ええよ、ウチは組長に着いていく
陽炎,他のみんなも……――。――いいみたいね。……それで、大丈夫かしら？
暁,えっ、あ、あぁ……。だ、大丈夫……よ
陽炎,……それじゃ、陽炎連合は今を持って解散よ
吹雪,あ、あの……？？い、いったい何が……
白雪,わ、私も……よくわかりません……
陽炎,――朝潮。……あなたはどうする？
朝潮,陽炎さん……。ふふっ、争いのない……。そういうのであれば、私たちの答えは決まっています。――暁さん、朝潮組もお世話になってよろしいでしょうか？
暁,え、えぇ……
陽炎,神風組は？
神風,はぁ……。なにか変だと思ってたけど……。――いいわ、神風組も暁水会に入りましょう。……もともと、私たちは平穏に暮らせればそれでいいのよ
初春,――そ、それなら！わらわ達も入ってやってもいいぞ
夕雲,……これは……
巻雲,はわわわ……
レーベ,……正直、僕たちにはどうなっているのかよくわからないけど……。そちら側に付いた方が、色々と動きやすそうだね。……僕たちもいいかな？
暁,も、もちろんよっ！
時雨,………………ッ
陽炎,……さて、白露組はどうするのかしら？
時雨,……やっとわかったよ。人間の極道達に手紙を送ったのはキミだったんだね……！
陽炎,……さぁ？なんのことかしら――
島風,――わかった！それじゃ、この手紙を暁組に持ってけばいいのね！
陽炎,あーいや、夕雲組に持って行ってくれる？向こうも集まるとしたら夕雲組の本部で集まるでしょうし
島風,ふんふん！それじゃ、今度こそ――
陽炎,待って待って！……実はね、この手紙を人間の極道の組長たちに送ってほしいの。……あなたならどこにいるかわかるでしょ？
島風,えーっ！
陽炎,……あー、届けてくれたら天津風に話しつけてあげようと思ったんだけど……
島風,うぐっ……。――わかった、もう無いよねっ？
陽炎,えぇ、無いわ
島風,それじゃ、行ってきまーっす！
陽炎,……さて、後はどうなるか。ちょっとした賭けね……――。――で、どうするの？……戦うの？
時雨,………………
夕立,ど、どうなるっぽい……？
村雨,私はいいけど……。組長は守り切れないかしらねぇ……
時雨,――はぁ……、キミも意地悪だね……。ここに居る全部の組を、白露組だけで相手にしろと言うのかい？。……組長
白露,時雨ー？どうなってるの？
時雨,え、えっと……説明し辛いのですが……
白露,……白露組は一番になったの？
時雨,………………。――暁さん
暁,な、なによ……？
時雨,組同士の上下関係を無くす……。それは本当かな？
暁,……えぇ！レディは一度言ったことは曲げないわ！
時雨,……そうか。――組長、白露組は一番になれたかもしれません
白露,本当っ？
時雨,えぇ。……ただ、二番はいない。不思議な一番かもしれませんが
白露,二番が居ない？。……そっか。そういうのも、いいかもね
時雨,……はいっ。――暁さん……。僕たち白露組も、暁水会に入れてもらえるだろうか？
暁,……もちろんよ！
秋月,そ、それじゃあ、戦わなくていいんですねっ！
綾波,……なるほど、暁さんはそのような方でしたか
敷波,なんだ、見た目よりやるじゃん
夕雲,暁さん、あなたの器の大きさはこの夕雲には計り知れません……
巻雲,わぁー！みんなで仲良くできるんですね！
暁,――それじゃ、みんなで手を繋ぎましょ！
神風,はぁ？なんでそんなこと……
雷,まぁまぁ、いいじゃない！
電,そうなのです！
秋雲,ははっ……。まさか、みんな仲間にしちまうなんて……
萩風,……そうね
陽炎,――秋雲、萩風
秋雲,……っ！く、組長……
陽炎,………………
萩風,あ、あの……――
陽炎,――苦労をかけたわ。不甲斐ない組長でごめんなさい。……よかったら、私の手を繋いでくれるかしら？
秋雲,組長……っ！！
萩風,……もちろんです！
タシュケント,……良い組長だね、響
響,……ふふっ。当然じゃないか
暁,――さぁっ！みんなで帰りましょう！。私たちの――――
翔鶴,――どうして……ッ！！どうしてなの……瑞鶴っ！！
瑞鶴,…………翔鶴姉ぇにはわからないよ
蒼龍,ぐっ……！きっと卑怯な事をしたに違いないわっ！
加賀,僥倖ね
飛龍,か、加賀さん！台詞がちが――
赤城,うぐっ……！
リュウジョーン,なーはっはっは！仲間一人居ないとこんなに脆いんかクウボレンジャーはっ！
ズイホーン,口ほどにもないわねっ！お、おーほっほっほ……
瑞鶴,………………っ
赤城,あ、あなたは……っ！！
リュウジョーン,はっ……。今さら何しに来たんや……。――鳳翔ッ！！
鳳翔,……あの日の誓いを果たしに――
飛龍,――そして、私たちの映画を見に来てくれた人には、入場者特典として私たちの飛行甲板ストラップがもらえるよっ！
蒼龍,だから、絶対に見に来てねっ！
暁,私たちの――――
響,――っ！……この音はっ！
不知火,…………組長ッ！
吹雪,きゃあ――ッ！！
神風,う……ぐっ……！
タシュケント,い、今のは砲撃……！？
朝潮,こ、これはいったい……！？
夕雲,誰かっ、怪我をした人はっ？
雷,……砂ぼこりが晴れてきたわ……
電,…………っ！あ、あれって……もしかして…………
響,……間違いない
暁,レ、レキュウダーよっ！！
レキュウダー,………………
陽炎,――みんな立ちなさいっ！！立って武器を取るのよっ！。たった今、私たちは一つになったじゃない！これぐらいの相手がなんだっていうの！？――そうでしょう、暁！
暁,……そうね。私たちはもう……ッ！！――さぁ、みんなで立ち向かいましょう！私たち暁水会の力を見せてやるのよ！
雷,そうだわっ！！私たちがレキュウダーなんかに負けるわけないわ！
電,はわわっ！倒しちゃうのですっ！
響,…………っ
時雨,……ちょうどいいじゃないか。僕たちはもともと戦う気で来たんだから！――砲撃用意っ！
レーベ,さぁ、行くよ！
マックス,えぇ……！
レキュウダー,………………っ！
綾波,――あれは艦載機っ！？対空射撃をっ！
秋月,私たちにお任せくださいっ！！
初春,先ほどの威力……。当たったらただではすまんのぅ
睦月,そんなのわかってるにゃしぃ！絶対に当たったらダメだよっ！
風雲,はぁ……はぁ……！
長月,くっ……。もう弾が……！
朝風,そんな……っ
レキュウダー,………………
文月,もう……動けないよぉ……
