本田未央,しまむー！！なんで……なんでこんな事に……！
凛,……ありがとう。でも、大丈夫だから。ちょっと過去と向き合って折り合いをつけようとしてるだけだから
未央,だから、それが心配なのに……
奈緒,大丈夫大丈夫。二人のおかげでなんか気が楽になったし
加蓮,うん。笑顔にもなれたよ。だから心配しないで？
未央,……やだ。心配はする。それに、しぶりん達がやろうとしてる事はやっぱり反対。けど、もう止めれないんだよね？だから……精一杯抱きしめる！
卯月,三人まとめてっ！！
未央・卯月,ん～！！
トライアド,ひゃあ！……あははは！！
未央,……何があっても私達は味方だからね
卯月,無理はしないでね……
トライアド,うん……
黒井,やあ、待たせたね
モバＰ,……どうも
黒井,色々手を回していたようだから来ないかと思ったが……いやいやどうして私も君を過小評価してたみたいだ。並の奴らとは違った選択が出来るその視野の広さ……実に素晴らしい！
モバＰ,こんなとこでまで不自然に持ち上げないでください。あなたの望んでる答えを言いに来た訳じゃありませんから
黒井,ほう？まあ、とにかく座りたまえ。君も割と有名人だ。目立ちたくはあるまい？
モバＰ,……じゃあ、オープンテラスに呼び出さないでくださいよ。顔写真まで使われたおかげで、好奇の視線に晒されることも最近じゃ珍しくないんですから
黒井,こんなにいい天気なんだ。解放的にいきたいじゃないか
モバＰ,……いいですけど
黒井,では……早速だが君の考えを聞かせてもらおうか？
モバＰ,俺はあいつらを……凛、奈緒、加蓮を守る為だったら何でもするつもりでいます
黒井,んふふ……いきなり核心をつくか。ならば、私が出すカードとそれを破棄する為の条件も想定しているのだろう？
モバＰ,ええ。それを踏まえて、これからもあいつらを傍でフォローしていく所存です
黒井,……分からんな。守る為だったら何でもすると言いながら、うちには来る気が無いと
モバＰ,はい
黒井,……私は容赦しないぞ。メディアを抑えて安心してるようだが、やりようはいくらでもある
モバＰ,そうですね。例えば
先輩Ｐ,生会見にフリーの記者を送り込んだりとかな
黒井,……
モバＰ,……ビックリした。先輩も来たんですね
先輩Ｐ,私だってあいつらの事はかわいいんだ。文句の一つや二つ言いたくなる
モバＰ,ですか
先輩Ｐ,黒井社長。私達もこのくらいは想定してたんですよ。このフリー記者……あなたが差し向けた者ですね？今回の会見、フリーは入れないようにしてたんで、見つけ出すのは簡単でしたよ
フリー記者,すいません社長。捕まったッス。このお姉さんめっちゃ強いッス、怖いッス！全部ゲロっちまったッス！！
黒井,……
モバＰ,……先輩、何したんですか
先輩Ｐ,投げた
モバＰ,えぇ……
先輩Ｐ,あいつらを傷つける奴は許さん。……許さないんですよ、黒井社長？
黒井,……ｸｸ
先輩Ｐ,……何がおかしいんですか？大企業の社長だからって、私が尻込みするとでも？
黒井,いやいや。君みたいな小娘に社会的権威を振りかざすような恥ずかしい真似はせんよ
先輩Ｐ,……ﾁｯ
黒井,ただ、もう会見始まってるなぁと思ってな？
モバＰ,それの何が……
黒井,……おい
フリー記者,うっす。てけてけてんっ！ポータ゛フ゛ル゛テ゛レ゛ビ～
先輩Ｐ,あ゛？
フリー記者,あ、ホンマスンマセン。……っと、セット完了
先輩Ｐ,な……
モバＰ,○○社……どうして……
黒井,この○○社の記者はうちに転職することが決まっていてねぇ
先輩Ｐ,クソがっ！こいつは囮かっ！
フリー記者,うえーい
先輩Ｐ,あぁ！？
フリー記者,サーセン。俺も知らなかったんです
先輩Ｐ,尋問されることも見越してやがったのか……！
黒井,ウィ。そのくらいは当然だ。小娘
先輩Ｐ,っなろぉ……！
モバＰ,その様子だと、あの記者は退席したけど……
黒井,ウィ～。あそこにはもう一人うちに転職してくる奴がいるなぁ
モバＰ,っ！
黒井,ここからホールまで、どんなに急いでも十分はかかるなぁ。さてさて間に合うかな？
モバＰ,うくっ……！あ、部長に！
黒井,そう言えばあのホール、トイレの鍵が壊れているらしいぞ？一旦入ると中々開かなくなるとか。具体的には成人男性二人が押さえつけてるみたいに
先輩Ｐ,クズが……っ！
黒井,では、交渉といこうか。私がこのケイタイでコールすると、記者は何も質問せずに帰ってくる。その為にはこの契約書に
モバＰ,サインですか……
黒井,ウィ。あと拇印もな
モバＰ,わかりました
先輩Ｐ,おまえ……
モバＰ,時間がありません。今はクラリスさんが時間稼ぎをしてくれてますが、いつまでもつか……これでいいですか？
黒井,ん～……いいだろう。ようこそ961プロへ。歓迎するよ
モバＰ,……早くコールして下さい
黒井,そ～だな～、早くこのケイタイで、あ、手が滑った
モバＰ,なっ！？
黒井,あ～、コーヒーに浸かって壊れてしまったなぁ。困ったなぁ
先輩Ｐ,てめぇ！！
モバＰ,ふ、ふざけないでくださいっ！！
黒井,ふざけてなどないよ。わざわざライバルを助けることなんてないだろう？君も961の人間なら割り切りたまえ
モバＰ,ぐっ……この……！…………！？……ﾊﾊ
黒井,ただ渋谷凛の恋慕が公にされたのはいいが、相手は君だというのは悩みどころだな。我が社のイメージが悪くならないように、上手く話題にならないものか……う～む
先輩Ｐ,それは未央達がフォローしただろうが！
黒井,あれで解決できると本気で思ってるのか？まぁ、私としてはどっちでもいいがな
先輩Ｐ,こ、このゲスがぁ！！
モバＰ,先輩、もういいです。こんなクソ野郎に構うことなんかないです
黒井,……おい。おまえはもう私の部下だぞ。口の利き方には気をつけろ
モバＰ,部下？いつから俺があんたの部下に？
黒井,契約書にサインした時点でだっ！！
モバＰ,契約書？どこに？
黒井,ここに……あ？
ブリッツェン,……
黒井,なんだコイツはぁ！！吐き出せっ！！
ブリッツェン,……
黒井,っ……まあいい。おい、もう一度……
モバＰ,黒井さん……俺ね、うちの子らを守る為なら何だって出来るって常々言ってるんですよ
黒井,さっきも同じ様なこと言ってたが、だからなんだ。もう手遅れだ
モバＰ,信念を曲げず、有言実行してこそ漢。なぁ、ブリッツェン
ブリッツェン,ぶふぇ
黒井,……何を言ってる？
モバＰ,全部まだ間に合うって言ってるんだよ！オープンテラスが仇になったなぁ！ボケェ！！
黒井,ちょっ……ん！？
モバＰ,はむん……んん
黒井,んん～！！
モバＰ,んまっ！！愛してるぜ黒井社長！！行くぞ、ブリッツェン！！
ブリッツェン,ぶふぇ！！
先輩Ｐ,……は？
フリー記者,クソ速ぇ……何あの生き物……そしてなんであれに乗れんの？
先輩Ｐ,は、はは……
黒井,
フリー記者,うわぁ……白目向いてる……。にしても、あの人こんなに有名人だったんスね
先輩Ｐ,ははは！んはははっ！！はーはっはっ！！なんだあいつ！くははっ！
フリー記者,……SNSって怖いですよぉ。今日からあの人、ホモデューサーって呼ばれるかもしれないですね……
先輩Ｐ,ははっ……なるほどね。ふふふ……
凛,……ﾌｩ。……ﾖｼ
加蓮,……ここ？
凛,うん……。この話題を利用する
奈緒,……大丈夫か？
凛,襲われたのをプロデューサーが助けてくれたから、ご両親にもお礼が言いたくて……こんな感じで
奈緒,……そうじゃない。手……震えてるぞ
凛,……え？やだ、なんで……
加蓮,心に嘘は吐けないんだよ。ほら……私も
奈緒,落ち着いているつもりでも体は反応するんだな……でも
加蓮,うん。三人一緒なら乗り越えられるよ
凛,そう……だね。ふふ……二人の手暖かい
奈緒,震え……止まったな
加蓮,それじゃ……覚悟を決めて
奈緒,Ｐさんと、あたし達のこれからの為
凛,この忌まわしい呪縛から解放されよう！！
加蓮・奈緒,ちょっ……
会見場,……は？
凛,……ぁ
クラリス,……
凛,加蓮っ、奈緒っ……！
加蓮,いやいやいや
奈緒,むりむりむり
凛,さ、三人一緒なら乗り越えられるって……！
加蓮,なんで叫びながら立ち上がるかなぁ……
奈緒,この恥ずかしさは共有できない……してはいけないと思うんだ……
凛,だってだって……！
クラリス,……私の愛は忌まわしい呪縛でしたか
凛,え！？なんか飛び火してるっ！
クラリス,良かれと思って……申し訳ございません。長々と話過ぎました……
凛,いや、違っ！忌まわしい呪縛っていうのは闇に飲まれよ的な表現でっ
クラリス,闇……ぐす
凛,あぁ！そういう事じゃなくて！私の中の蘭子が溢れ出ちゃって、闇に飲まれた私の話をしようと……！
未央,……らんらんはこの中継を見て何を思うだろう
凛,ぅぅ～みお～……
未央,……正直、私はこのままうやむやにしたいんだけど……
加蓮,……ごめん、未央。そういう訳にもいかないよ
奈緒,うん。もう決めたことだから
未央,二人共切り替え早いね……。仕方ない……マスコミのみなさ～ん！すいません、お騒がせしました！あと、ワイドショーで生中継してる○○テレビさん！放送事故ギリギリですが、コメンテーターの天海春香さんが美味しく料理してくれるだろうから、何卒ご容赦を！そして……みなさんにトライアドプリムスから言いたいことがあるみたいなんで、聞いて……あげてください
凛,ふぅ……。っん！ありがとう、未央
卯月,凛ちゃん……
凛,大丈夫だよ、卯月。……えっと、突然すいません。先ほどのプロデューサーの実家に行った事について、話させてください。私達はみんなと違い、遊びに行っていた訳じゃありません
スタッフ,ちょっ！？
悪徳２,……本当に愛を育んでいたと？
加蓮,まずは理由を聞いてください
悪徳２,否定はしないんですねぇ
奈緒,……理由を聞きたくないんですか？
悪徳２,……失礼。どうぞ
スタッフ,いやいや！何を……！
凛,ごめんなさい、喋らせてください。……大した事ではないんですが、二年前……ある仕事の打ち合わせで、ちょっと事件がありまして……
悪徳２,……！それはどういった？
加蓮,私達だけ別室に呼び出されて……その……
奈緒,閉じ込められて……
トライアド,……
悪徳２,……どうしました？だんまりされても困るんですが？
加蓮,……ぅぅ
奈緒,ぁ……ぅ
凛,…………っ！そこで私達は
未央・卯月,やっぱりダメっ！！
ブリッツェン,ぶふぇ！！
モバＰ,おまっ！蹴破るのはどうかとっ！！
ブリッツェン,……
モバＰ,だからってその急制動はっ！ぬあぁ！！デジャヴっ！！
悪徳２,な、なんだぁ！？ぐあぁ！！
モバＰ,っっ！～～～っ！！
会見場,……
未央・卯月,ヨッシャっ！！
会見場,！？
モバＰ,こひゅ～こひゅ～
記者,だ、大丈夫ですか？
モバＰ,は、はい……背中強打すると空気持ってかれますよね……
記者,は、はあ……
イヴ,ブ、ブリッツェン！何してるんですかぁ！？居ないと思ったらドアを破壊して戻ってくるなんて……私まだお金ないんですよぉ！？
ブリッツェン,ぶふぇ
イヴ,何笑ってるんですかぁ！！もぉ～！ブリッツェン！！ブリッツェンのもぉ～！！
キャシー,……ブリッツェンは牛だった？
志希,～～～！！っ！っ！！
周子,痛い痛い。声が出なくなるほどの爆笑って……
メアリー,なんかめちゃくちゃネ……
舞,うん。でも……良かった……
メアリー,そうネ。さっきまでの嫌な空気が無くなったワ
クラリス,大丈夫ですかっ。Ｐ様
モバＰ,うっす！……時間稼ぎありがとうございました。ホント助かりました
クラリス,……いえ。お役に立てて何よりですわ
モバＰ,さて……誠に申し訳ないのですが、会見はここで終了とさせて頂きます
悪徳２,ごふっ……何を勝手に……あ、あんた！モバＰじゃないか！なんでここに……じゃなくて、やましい事があるからって強制的に終了させるなんて横暴だぞ！
モバＰ,やましい事？違いますよ。ファンの皆さまに、誤解を与えるような質問をされると、こちらとしても対処せざるを得ないんですよ
悪徳２,何が誤解だ！トライアドプリムスは認めたぞ！お前の実家に行ったこと！！
モバＰ,……
トライアド,っ！
悪徳２,その理由も話していたんだ！ふふ……二年前に事件があったんだろ？
モバＰ,こいつかっ！でもなんで、実家に来たことと繋がってるんだ？
未央,……ほら、プロデューサー！二年前の無茶なドッキリの件だよ！そのお詫びにしぶりん達が……！。伝わって……！
モバＰ,……あぁ！ハイハイ！乗り気じゃない凛達にドッキリが強行されて、まだプロデューサーでもなかったのに俺が猛抗議して、会社から採用を見送られそうになったやつね！
トライアド・悪徳２,え！？
未央,……ﾖｼ!
モバＰ,俺が悪いんだし、結局採用されたんだから、親にまで気を使わなくてもいいのになぁ。……あの事でお前達が傷つくことは無いって言ったろ？気にすることないんだ。これからもずっとな
トライアド,……
記者団,……
モバＰ,お？なんか上手い事誤解が解けた気がする。ということで、このまま会見を……
悪徳２,待て待て！そんな馬鹿なことがあるか！
モバＰ,わかりました、わかりました。あなたが満足する答えを言いましょう。……俺はあの子達を愛してますよ
アイドル達,！？
記者団,おぉ！！
悪徳２,言ったな！？今はっきりと言ったな！？しかも、一人だけじゃないんだな！？
モバＰ,ええ。でも愛には色々あるんです。親愛、友愛、恋愛みたいなね。俺はあの子達を家族も同然だと思ってますから、親愛ですかね。家族愛ですよ家族愛
悪徳２,そんなものがまかり通ってたまるかっ！苦しい言い訳は止めろ！
モバＰ,それがまかり通るんですよ。だって、俺、ゲイですから
アイドル達,！？
記者団,おぉ！？
悪徳２,て、適当なこと言うな！そんな嘘、誰が信じるか！！
モバＰ,嘘じゃないですよ。なんか最近、変に有名になっちゃってますからね。どっかから漏れてくるんじゃないんですか？
悪徳２,な、な……
モバＰ,予想外にカミングアウトしてしまったなぁ。ま、いっか！ということで、会見は終了でーす！コメンテーターの天海さん、申し訳ないんですがそちらの方はお任せしますね！
悪徳２,……あ！待て！二年前の事件の方が重要なんだ！
スタッフ,あなた、調子乗り過ぎです。退場
悪徳２,は、離せぇぇ……
先輩Ｐ,ふぅ～……間に合ったか……良かった……765さんには菓子折り持って行かないとな……
フリー記者,……あれ？手帳がない……。投げられたとき落としたかな
先輩Ｐ,でも、なんで凛達は自ら暴露しようとしたんだ？う～ん……
フリー記者,あ、それ。俺の手帳見たからだったりして。どうやら、あの時落としたみたいで
先輩Ｐ,……あ？
フリー記者,レイｐ被害の質問は、モバＰが降伏したらしない……みたいな事書いてたんスよ。それ見て、じゃあ先に言っちゃえばモバＰは降伏しないんじゃね？って思ったんじゃないスか？
先輩Ｐ,……おい
フリー記者,いや、いやいやいや！あくまで仮定ッス！それにこの通りだったとしても、俺を投げて手帳をもぶっ飛ばしたあんたの責任でもあるッス！！
先輩Ｐ,……くっ。まあいい。トライアドプリムスの件はもう忘れろよ。今まで以上にメディアに圧……根回しをするから、どうこう出来るとは思わんけど、この世界で働きたいならいらんことするなよ
フリー記者,……346怖ぇ……業界最大手、ハンパねぇ……
先輩Ｐ,普段はこんな事しねーよ……。あぁ……私もまだまだだなぁ。今回は完全に振り回された……
フリー記者,小娘なんだから仕方ないッス！
先輩Ｐ,あぁ！？
フリー記者,サーセン
モバＰ,……ライブ前にそんな様子じゃ新人に示しがつかないぞ？
トライアド,……
モバＰ,ふぅ……それで、二年前の事自分達で言おうとしたってホントか？
凛,……これ
モバＰ,手帳？
凛,……プロデューサー、私達の事で脅されてるんでしょ？
モバＰ,……
奈緒,Ｐさん優しいから……このままだと従っちゃうだろ？
加蓮,それだったらさ……ネタそのものを無くしたほうがいいと思うんだ。そしたらＰさん悩まないでしょ？
凛,相手の要求は分からないけどさ、このままだと、プロデューサー遠くに行っちゃいそうで……
加蓮,ていうか、引き抜きでしょ？先輩Ｐが黒井社長と会ってるって言ってたし
モバＰ,……正解
奈緒,あたしは嫌だからな。Ｐさんと離ればなれなんて、考えただけで……悲しくなるんだから……
モバＰ,……どこにも行かんって
奈緒,でも……この衣装……最初で最後って……
モバＰ,あのな？衣装ってすんごい高いんだぞ？担当の子達は経費がでるけど、お前達については完全に自腹なの
加蓮,じゃあ、これ……本当に特別なんだ。嬉しい……嬉しいなっ！
モバＰ,……まあ、アメリカに来る前まで、凄い忙しかったみたいだから。そのご褒美みたいなもんだよ
凛,そっか。そう言えば、まだお礼言ってなかったね。ありがとうプロデューサー、大好き
モバＰ,お、おう……。ストレートに来られると照れるな……
奈緒,あ！ズルいぞ、凛！Ｐさん！あたしも、だ……大好きだからな！衣装ありがとう！！
モバＰ,ははっ。どういたしまして
加蓮,Ｐさん……愛してるよ……この衣装、一生大事にするね
モバＰ,……加蓮。さっきの会見で大変な目にあったばかりだろ。やめなさい
凛,そうだよ。それはズルいを通り越した卑怯な抜け駆けだよ
奈緒,姑息でもあるなっ！
加蓮,や～だ～、止めて～。Ｐさん、二人がいじめる～
モバＰ,……やっぱり、空元気だな
加蓮,……Ｐさん？
モバＰ,うん……加蓮、離れて。ちょっと真面目な話をしたい。ほら二人も
トライアド,っ……
モバＰ,ふぅ……
トライアド,……ぅぅ
モバＰ,……すまん！いらん心配かけた！
トライアド,……え？
モバＰ,お前達に辛い選択をさせてしまったっ。あんだけ気をつけてたのに……
加蓮,怒られるかと思ったのに……なんで……
モバＰ,俺の所為でお前達が傷つくとこだったんだ……。自分に腹が立つよ
凛,そ、そんなに気にする事じゃないでしょ！大体、みんな大袈裟なんだよ！レイｐ被害って、ただの未遂じゃん！ちょっと押し倒されたくらいで騒ぎ過ぎ……！
モバＰ,……連絡もとれないようなとこに閉じ込められて、力じゃ到底敵わない男に迫られたんだ。大袈裟なんかじゃないよ
凛,で、でも……やっぱり未遂だし……この際、言ってしまったほうが……
モバＰ,絶対だめだ。お前達が感じた恐怖は嘘じゃないんだ。それは否定出来ないし、してはいけない。それに、経緯を語ったところで、世間は額面通りに受け取ってはくれないよ。閉じ込められて押し倒されて、何も無かった訳がないってな
加蓮,ぅぅ……
奈緒,それでも……Ｐさんの弱みになりたくない……離れたくない……
モバＰ,それはもう大丈夫だから。引き抜きの話は絶対持ち掛けられないようにしたから。だから……今回のようなことは二度としないでくれ。お前達が壊れていくのを見るなんて、絶対……耐えられない
凛,……そんなに弱くない……よ。壊れることなんて……
モバＰ,……自分に言い聞かせて、理性で抑え付けようとも、どうにもならない事だってあるんだ。なのに、無理すると……。トラウマって思ってる以上に怖いものなんだよ
トライアド,……
モバＰ,俺のこと思ってくれるなら、自分のことを大切にしてくれ。それが何より嬉しい
凛,……うん。ごめん……ごめんなさい……。ホントはあの事件を口にしようとしたら、あの時の光景がフラッシュバックして……凄く……凄く凄く怖くて、辛くて……。もう平気だと思ってたのにな……
モバＰ,……しんどくなったら何時でも言ってくれ。あと、改めて俺の所為で辛い思いさせて悪かった
奈緒,謝んなよ……あたし達が勝手にした事なんだから……。でも、Ｐさんの言葉で少し楽になった気がするよ。……ありがと
加蓮,うん……うん……ぅぅ……ぁぅ……涙が、勝手に……ぅぅぅ……
モバＰ,……いつか乗り越えられる時がくるまで一緒に頑張ろうな
加蓮,ふぐぅ……すん……うん……ずっと一緒だよ？
奈緒,あ！またっ！
凛,最近、加蓮の甘えが目に余る！
加蓮,ふふ……もう遠慮なんてしないから……
凛,そう……じゃあ私も……
奈緒,あたしだって……！
モバＰ,今まで遠慮があったのか……
凛,でも、良かった……
モバＰ,……？何が？
凛,ある意味プロデューサーを裏切るような行為だった訳だからさ。私達がしようとした事って
加蓮,そうそう。Ｐさんに怒られる覚悟してたんだよ
奈緒,怒られるっていうか、嫌われるかもって……。でも、Ｐさん逆に謝ってくるから……ふふ
モバＰ,確かにそうだよなぁ
加蓮,あ、もう嫌っちゃうのは駄目だからね？駄目なんだよ？ね？ね？
モバＰ,そんな切羽つまらんでも嫌わんって。ただなぁ……
凛,……何？
モバＰ,先輩はどうかな……？
トライアド,ぁ……そうだった……
モバＰ,あの人……お前らがあの事で傷つかないように、滅茶苦茶尽力してたんだぞ？思い出させることもないようにって
トライアド,……
モバＰ,それを知らんかったとはいえ、結果的に先輩の想いを裏切るようなことをやりそうだった訳だから……
トライアド,……どうしよう
モバＰ,とりあえず、女同士で語らうのがいいんじゃないの？……どうです？先輩
先輩Ｐ,そうだな。女だけにしか伝わらない事もあるだろ。……な？
トライアド,っ！！
モバＰ,うおっ。跳ねた
先輩Ｐ,それじゃ、ライブまで楽屋で楽しもうぜぇ？
トライアド,……はい
モバＰ,……ま、わだかまりは無くなるだろう。よっしゃ！俺は新人の様子でも見に行きましょうかねっ。ぬあぁぁ……狙い通りだったとはいえ……結構キやがるぜぇ……うぅぅ……
ちひろ,……どうしたんですか。そんな呻いちゃって
先輩Ｐ,ほら、アレですよアレ。拡散された、きったない画像の件です
ちひろ,……あぁ。でも、あのお陰で黒井社長も引き抜きを諦めたんだからいいじゃないですか
先輩Ｐ,くくっ……これで引き抜いたら、完全に恋人認定されますもんね
ちひろ,そうそう。しかも、凛ちゃん達の熱愛疑惑も堂々と否定できるナイスな物証！……なのに、不満なんですか？自分で仕掛けといて
モバＰ,……最高の結果だとは思っていますよ。でも……割り切れない事だってあるんですよぉ……
先輩Ｐ,覚悟の上だろ？信念を曲げず、有言実行してこそ漢とか、なんかカッコイイこと言ってたじゃん。くふふ
モバＰ,そうですけど……腹立つなぁ。次々とあだ名を付けられる気持ちにもなってくださいよぉ……。すんげぇ、やるせないんですよ……
ちひろ,あだ名ですか？
先輩Ｐ,ゲイ脳プロデューサーとか、おっさんハンターとか、珍獣に乗ったチンＰとか……ネット上でプチ祭り
モバＰ,なんでこうもホモネタが好きなんですかね……。二丁目の346プロとか、もはや意味がわかんないッスよ……
ちひろ,……なんかジワジワきますね。んふふ……
モバＰ,笑えないですよ……。俺、結婚出来んのかな……。ちひろさん、貰ってくれます？
ちひろ,いらないです
モバＰ,ひど
ちひろ,私を貰ってくれるなら一考します
モバＰ,……じゃあそれで
ちひろ,軽いですね……ふふ
先輩Ｐ,……この流れでイチャつかれるとは思わんかったわ
モバＰ,別にイチャついてないですって。ただのネタじゃないッスか
ちひろ,っ！
モバＰ,いって！
先輩Ｐ,だからイチャつくなって……。大体、お前、ルキトレちゃんと付き合ってんじゃねぇの？
ちひろ,……は？
モバＰ,……なんそれ
先輩Ｐ,いや、お前達しょっちゅう連絡取り合ってるだろ？アメリカに行ってた時でさえ
モバＰ,そりゃ、この業界に入った時期が一緒ですからね。色々相談に乗ったり、乗ってもらったりしてますよ。アメリカに居た時もレッスンの違いとかを……って、なんで知ってるんですか
先輩Ｐ,なんでって……私もあの子から相談されてたから。一日一回は連絡取り合う仲って付き合ってると思っていいんでしょうか……って
モバＰ,……それであんたはなんて？
先輩Ｐ,いいんじゃね？って
モバＰ,馬鹿じゃねぇの！？適当すぎるでしょ！？
先輩Ｐ,適当じゃないって。あんだけ仲良かったら誰でもそう思うって。ね？ちひろさん
ちひろ,そうですね～……
モバＰ,……何してるんですか
ちひろ,プロデューサーさん好き好きっ子達に報告を
モバＰ,……なんて？
ちひろ,プロデューサーさん、ルキトレちゃんと隠れて付き合っていた！って
モバＰ,なんてことしやがる！！今すぐやめろっ！！
ちひろ,ふんっ！お断りですっ！
モバＰ,何怒ってるんですか！
ちひろ,なんか腹立つんですよ！
モバＰ,理不尽なっ！とにかく、そのスマホをこっちに渡すんだ！
ちひろ,嫌ですっ！あっ！今、おᘄぱい触った！！セクハラ！！慰謝料を請求します！！
モバＰ,平気な顔して嘘吐かないでくださいー！そんな感触、一切無かったですー！！
ちひろ,嘘じゃありませんー！チップしましたー！
モバＰ,こ、この……
ちひろ,なんですかっ
先輩Ｐ,……隙あらばイチャつくな。この二人は……
モバ・ちひ,……
ちひろ,……んん゛！プロデューサーさん、一時休戦しましょう
モバＰ,……そうですね。はぁ、もう……ルキトレちゃんに誤解を解いとかないと……
ちひろ,……気を取り直して……。これ、オーディションのエントリーシートです
先輩Ｐ,……ん？こんなもんですか？こいつの影響で今回の応募、駆け込みで結構来たって聞いてたんですけど
ちひろ,そうなんですよ。若い子の保護者からしたらゲイって安心出来るみたいですね。娘に手は出さんだろうし、何かあっても会見の時みたいに、矢面に立って守ってくれそうって
モバＰ,複雑な想いに駆られますね……。それで、これ、何人いるんです？
ちひろ,139人だったと思います
モバＰ,ほうほう……。さて、ここから何人の子がアイドルになれるのか
先輩Ｐ,それよりも、プロデューサーを増やす方が先だと思うんだよ……
モバＰ,ですよね……
ちひろ,……それでこのオーディションについてですが……
先輩Ｐ,あぁ、はい。そう言えば、審査の日まだ聞いてなかったですね。何時になったんです？
ちひろ,……終わりました
先輩Ｐ,……は？
ちひろ,このオーディションは、すでに終わってます……
モバＰ,マジっすか。じゃあ、この子達みんな落ちたのか……。魅力的な子、一杯いるのに
ちひろ,……合格です
モバＰ,……え？
ちひろ,その子達、部長がみんな合格にしました……
モバＰ,
ちひろ,……部長からの伝言です。ティンときたんだから仕方ないだろ！？……謎の逆ギレで逃げていきました
先輩Ｐ,……なあ、モバＰ
モバＰ,……はい
先輩Ｐ,私達で独立しようか
モバＰ,……いいですね、それ。みんなも、ついて来てくれるでしょう
ちひろ,ちょ！？待って待って！そんな事しても潰されるだけですって！！
先輩Ｐ,けど……これはねぇよ……139人って……
モバＰ,ちょっと考えられないですね……どうすんだろ……
ちひろ,それがですね……
留美,私から言うわ、ちひろさん
モバＰ,え？留美さん？
美優,お疲れさまです……
モバＰ,あ、お疲れ様です……美優さんまで……今日オフでは？
留美,部長からあとは頼むって連絡があってね
モバＰ,あのジジイ……。でも、なんで留美さんと美優さんが？
留美,そうね……順序立てて説明したほうがいいわね。まずは……先輩Ｐさんには伝えてたんだけど、私達、事務所の所属契約を更新しないのよ
モバＰ,え！？先輩！？
先輩Ｐ,……二年前から言われててな。どうしようもなかったよ
留美,ごめんなさい。元々Ｐ君の傍に居る為にした契約だったから、きっぱり二年で辞めて、次の段階に進むって決めてたの
モバＰ,次の段階……？
美優,アイドルをしている間にこの業界を勉強して……引退した後はＰさんを傍で支えたいなって……
留美,その事を部長に知られちゃってね。それじゃ、社員になってマネージャーとして支えればいいじゃないって言われたのよ
美優,本当はＰさんが独立を考えるまでは、家庭的な意味で支えようと思ってたんですけど……
留美,……美優。ドサクサでプロポーズするのはどうなの？
美優,ぁぅ……だって、ちひろさんがラインで……Ｐさんが、ルキトレさんと……そんなの、焦っちゃう……
モバＰ,え、えーと！？それじゃ、留美さんと美優さんが補佐してくれる事になったから、あのくそジジイ、あんなに採用したってことですか！？
留美,……そうね。ルキトレちゃんの事を詰めないといけなかったわね……
モバＰ,き、聞いちゃいねぇ……あれは、先輩とちひろさんの捏造なのに……
留美,冗談よ。Ｐ君が言ったことであってるわ
先輩Ｐ,にしても、139人は多過ぎだろ……
留美,使えそうな子を他の部署から何人か引っ張ってきたから、何とかなるんじゃないかしら。いえ、何とかしましょう
モバＰ,……有能過ぎる
先輩Ｐ,……お前、立場変わったほうがいいんじゃね？
モバＰ,ですね……。美優さん、二人で頑張って補佐しましょうね
美優,は、はい！二人でっ！！
留美,駄目よ
モバＰ,いや、冗談で……
留美,駄目よ
モバＰ,……はい
美優,ぅぅ……Ｐさん……
モバＰ,まぁ、何にせよ見通しはつきましたね！二人の引退は残念だけど……
先輩Ｐ,だよな？二人共イベントにちょっと顔出すくらいは……
留美,……ふぅ。考えときます
美優,そう……ですね。ふふ……
先輩Ｐ,よっしゃ……なし崩し的にいつか復帰させてやる……
ちひろ,仕事に差し支えないようにしてくださいね。……さて、プロデューサーさん。そろそろじゃないですか？
モバＰ,……？何がです？
ちひろ,プロデューサーさん好き好き団の到着
モバＰ,……は？
トライアド,ルキトレさんと隠れて付き合ってるってどういうこと！？
美嘉・莉嘉,嘘だよね！？そんな事ないよね！？
卯月,遅れをとっちゃった！未央ちゃん、中途半端なタイミングで私達の登場だよ！
未央,しまむーの目的が分からない……
まゆ,まゆは、もう……うろたえたりは……しないんです……けどぉ！Ｐさん、説明はしてくださいっ！
菜々,プロデューサー！ナナを本気にさせといてそれは無いんじゃ！？
みく,Ｐチャン！みくのことは、すぐほったらかすくせに！ルキトレチャンには構うなんてどういう了見にゃ！？
芳乃,そなたー？……………………………………………………そなたー？
クラリス,Ｐ様……一度、罪と罰を一緒に考えましょう。それがＰ様の為になりますから……
奏,……Ｐさんにも困ったものね。ね、周子？
周子,……しらなーい
モバＰ,うわぁ……なんかいっぱい来たぁ……
先輩Ｐ,……ホントなんなのコイツ。どっかの主人公なの？
ちひろ,なんか765さんも似たような状況だって同志から聞いたんですが、プロデューサーってそういう気質があるんですかね？
先輩Ｐ,……それだと、315プロに移籍したら私もハーレムを満喫できるのか……よしっ！
ちひろ,よしっ！じゃないですよ。移籍は駄目です
先輩Ｐ,えぇ……私だってちやほやされたい……チャオ☆って言われたい……
ちひろ,プロデューサーさんが言ってくれますって
先輩Ｐ,それはないわぁ……
モバＰ,しょーもないこと言ってないで、何とかしてくださいよ！二人の所為でこんな事になってるんですから！！
先輩Ｐ,あー……じゃあ、もうめんどくせぇから一人を選んじゃえよ。そしたら多少静かになんだろ
アイドル達,！？
