それでは、第五章,深夜・前
教授,はい。き○こたけ○こ大戦を止めるのは、いつの時代も“最強の兵器”、というコトなのでしょう。き○こたけ○こ戦争に勝利する、のではなく、終わらせる。私はそう依頼を受けました。そして、私には。その“最強の兵器”の、具体的なプランがあります！！
キノコ頭,なんだと！それは本当か！？
族長,明日の、いや、日付で言えば今日。オーサカで、発表されるという……
執事,ああ、また大ボラを……。“最強の兵器仮
教授,…………
執事,……？。あれ、ちょっと待て。さっきから仰っているのは、“最強の兵器仮。というコトは、まさかお嬢様、本当に“最強の兵器”のプランが組み上がっている！？
教授,ええ、その通り。この発明は、き○こたけ○こ戦争を止め……。き○こたけ○こ大戦の勃発を阻止する、神の一手。今日の昼のオーサカでの発表会で、私は、現代の“最強の兵器”を公開する。その内容は、き○こ派、たけ○こ派の双方がナットクできるモノであり……。かつ、き○こたけ○こ戦争をココで終わらせるモノだと、私は約束しましょう！
キノコ頭,…………。……信じていいんだな？
教授,ええ。誓えるモノは無いけど、この私を信じなさい
キノコ頭,…………。……わかった。その言葉、信じよう。教授
テロリストA,いいんですか？リーダー
キノコ頭,ああ。あの小娘が今日の昼、何を発表するのか。それを見届けてからも遅くはあるまい
革ジャン,あ、先に言っとくけど、俺はたけ○こ派をそこまで強硬に主張する気は無いからなー
黒コート,誰も聞いてないぞ。ハナシがこじれるようなコトを言うな
族長,そうか……。俺のアル○ォートへの思いは変わらぬ。だが俺もその発表会、馳せ参じよう。貴様が何を発表するのか、小娘
教授,人間でも魔族でも、誰でも来なさい。目にモノ見せてあげる
族長,ああ。だがそれは今は関係の無いコト。魔王様、ハナシを続けてください
魔王,わかった。この列車におけるき○こたけ○こ戦争は、一旦和解、というコトでいいな？。なら、古の“最強の兵器”の封印は、徐々に復活するハズだ。放っておけば問題ない。だが……。現在、既にアポ○富士山は噴火を始めている。それも止める必要がある
ウェイター,たしかに、アポ○富士山の山頂から、煙が出ていたなあ。悪化するとどうなる？
魔王,おそらく、火砕流、土石流、火山弾が世界を覆い尽くす
副運転士,……！それは、もしかして……
冥王,―――エンマ帳に書かれている死亡理由と、同じこと。ですなあ
運転士長,……！何者だ！？
副運転士,士長！あの男のヒトが、私の会った、冥王さんです！
運転士長,何、彼が……！？
冥王,乗務員さん、さっきぶりですなあ。皆さん、冥界を管理してる冥王です。よろしゅう
魔王,冥王。何かあったか？どうして出張ってきた？
冥王,そら、魔王はん。あのアポ○富士山がやっぱり噴火したて、聞いたさかい。わてもアポ○富士山の封印に立ち会った一人やからなあ。気にならへん言うたら嘘になる
魔王,なるほど……。そうか、ならチカラを貸してくれ
冥王,情報の共有はどこまで？
魔王,アポ○富士山の噴火の原因が、き○こたけ○こ戦争であるコト。最終的に、アポ○富士山を物理で止める必要がある、というコトまでだ
冥王,なるほど。ほぼ全部ですか。エンマ帳に書かれていることが現実になってもうたら、困るやろなあ
副運転士,その、エンマ帳に書かれているコトは……。覆せるんですか？
冥王,基本的には無理や。せやけど、発行者が内容を改変するなら、その限りやない
副運転士,……！それはつまり？
冥王,天界のもんに内容を書き換えさせる、いうことやなあ
魔王,さて。この中で天界の者、というと……
白ドレス,げ！私ぃ？
魔王,そうだ。アポ○富士山を物理で止めるコト。お前も協力してもらうぜぇ……
白ドレス,ひーん。私はただ、年末年始の旅行を楽しみに来ただけなのになあ……
革ジャン,けっ、本当かよ
黒コート,それはいちおう、本当だ。私が保障できる
革ジャン,なんでお前が保障するんだよ……
魔王,さて。天界の者がエンマ帳に書かれているコトを打ち消す行動をすれば、エンマ帳は効力を失う。つまり、このドライ・ブラー号の乗員乗客は、誰も死なずに済むというワケだ！！
ウェイトレス,ひゃっほーう。生きれるのバンザーイ
冥王,ただし、一つだけ注意点があります。エンマ帳に書かれているコトは、内容が消えるまでは、絶対。効力を失いまへん。そして、このエンマ帳の今日の分の有効期限は、当然今日まで……。冥界の基準で言うたら、次の朝日が昇るまで、いうことになります
副運転士,というコトは……？
魔王,ああ。エンマ帳の書き換えが有効なのは、次の朝日まで。つまり、初日の出までに、すべての決着をつける必要がある！！
ヒーロー,なるほど。わかりやすくなってきたな
小型メカ,つまり、き○こたけ○こ大戦の勃発を止めるには……。あとは、朝までにアポ○富士山の噴火を止めればいいと
桜色の女,ここまで理解しやすくなれば、拙者にもわかるでござるよ
仮面の男,ああ。アポ○富士山の噴火を物理で止める……。それだけだ
副運転士,しかし、物理で止める、と言っても、どうやって？。やっぱりアポ○富士山に向かってビームでも撃ちますか？
魔王,ううん。俺一人がビーム撃っても、たかが知れてるしなあ……
冥王,…………。……これは、“あの機能”を使う時が来たようですなあ
副運転士,“あの機能”？それはいったい……
冥王,きたるべき、再決戦の日に備え、大術士たちが遺した、最後の遺産。―――“最終決戦艦ドライ・ブラーモード”の起動です
運転士長,さ。最終決戦艦……
車掌,ドライ・ブラーモード！！？
副運転士,な、なんですか？そのいかにも、変形しそうなカンジの名前は！！
冥王,なんでもなにも、文字通りの意味です。かつて、古の“最強の兵器”を作った大術士は、あることを恐れました。き○こたけ○こ大戦の再びの勃発です。もしまたアポ○富士山が噴火したら、自分たちのおらんそん時は、始末がつけられへん……。せやから、自分たちの代わりにと、ある列車をこの世界に遺しました。それが、このドライ・ブラー号。そして“最終決戦艦ドライ・ブラーモード”いうわけです
副運転士,は、はんなりした言い方で、何ロボティクスなコト言ってるんですか
冥王,おや、興味あらへん？おもろいよ？ロボット
車掌,もしやその最終決戦艦ドライ・ブラーモードとかいうの、最初に言い出したの、このヒトじゃ……
運転士長,ううむ……。私はドライ・ブラー号の運転を開始から見てきたが。とすると、その古の大戦とは、案外最近のコトなのか……？
魔王,まあ、き○この山やたけ○この里が既にあるくらいだからな。人間の時間感覚は、俺たち魔族には正直よくわからんが
副運転士,と、ともかく……。そのモードを起動できれば、アポ○富士山を止められると？。だったら、さっさと起動しちゃいましょう！そしてアポ○富士山をやっつけましょう！
冥王,血が騒ぐなあ。でも、その前にやらなあかんことが一つある
副運転士,やらなければいけないコト？
冥王,そう。最終決戦艦となったドライ・ブラー号を操縦する、艦長の存在を探すことや
運転士長,艦長か……。このドライ・ブラー号の責任者は私だが、あいにく戦艦の操縦経験はな
マスター,そのような機能があると知っていれば、ワタクシが勉強しておいたのですが……
車掌,これは、困りましたねえ。一介の一般人である私たちには、どうにも
副運転士,むむ……。艦長、戦艦……。そういえば一連のどこかで、誰が言及してませんでしたっけ？
桜色の女,……？。ああ、それなら。拙者のコトではござらんか？
副運転士,え？剣士さん、もしや戦艦の操縦経験が？
桜色の女,あいや、操縦したのが拙者、というコトではなく。言及したのが、というコトでござる。たしかに拙者は言ったでござる。あの男を戦艦ごと落としたコトがある、と
仮面の男,……待ちたまえ、君。それは、もしかすると。いや。もしかしなくても……
桜色の女,そう！このムッツリ仮面のコトでござる！
仮面の男,君に言われたくはないのだがね！？
副運転士,ええっ！仮面さんが……、戦艦を……？
仮面の男,ああ……。実は、ちょいと戦艦を調達して、小さな国を征服に乗り出したコトがある。その時は彼女に嗅ぎつけられて、出航少しした後に戦艦ごと爆散、となったがね
桜色の女,へへへ。やりすぎちゃったでござる
副運転士,やりすぎちゃったって規模ですか……？いや、ともかく！。仮面さん！お願いします、ナントカモードの操縦をお願いできませんか！？
仮面の男,おお……。麗しき女性の頼みは、断りがたい……。いや、しかし……。僕は決闘の直後。満身創痍でね。体力の使う戦艦の操縦などは……
教授,変態仮面。私からもお願いしたい
仮面の男,喜んでぇっそれでも呼びたければ教授さん！！！
教授,ああもう、その名前でいいよ……
桜色の女,現金な奴でござるなあ
副運転士,良かった……！ありがとうございます、仮面さん！
運転士長,しかし、そのモードの起動は、いったいどうやって……？
冥王,もうええの？それやったら、運転室に赤い自爆スイッチがあるやろ？それを、ポチっとな
運転士長,じば……？あの、謎の赤い！？
冥王,ああ、安心してええで。間違って押さんよう、自爆スイッチとか言うてるだけやし。そんなん、ほんまに自爆するためだけのスイッチなんかつけるわけないやん！あっはっは
運転士長,た、たしかにそうだな……。それでは、さっそく起動してくるとしよう
副運転士,運転室は、無事でしたか……。展望室に大穴開いたし、もうダメかと
運転士長,ここまで侵入されたコトも、たびたびあったがな……。おっと、コレだな
副運転士,うわ、胡散くさ……。コレ、本当に押すんですか？
運転士長,う、うむ……。だが、それも安易に押さないための対策というコトらしい。まあ、イチかバチかだ！
副運転士,…………
運転士長,…………
副運転士,何も、起きませんね……
運転士長,ああ、そうだな……
副運転士,え？今――――
運転士長,く……？いったい、何が……
副運転士,あ、士長！窓の外見てください、窓の外！
運転士長,……な―――に？まさか、そんな―――！
副運転士,ド、ドライ・ブラー号が……
運転士長,飛んだぁぁぁぁぁぁっ！！？
冥王,いや、それだけやあらへん
副運転士,冥王さん！
冥王,最終決戦艦モードとなったドライ・ブラー号は、並外れた戦闘能力も有しとる。たいていの障害物は撃ち落とす主砲を始め、小うるさいハエを叩き落すアーム。機関砲、光線砲、数十門……。極めつけは、一日一発だけの、とっておきの切り札や
副運転士,とっておきの切り札や、じゃありませんよいったい何言ってるんですか！？
冥王,でも、この艦なら、アポ○富士山を倒すことが出来る。もはや最終決戦艦ドライ・ブラーモードを使う以外に道はない、いうことやな
副運転士,そんな～
白ドレス,ところで――そんな装備で大丈夫かな？
副運転士,え……？
運転士長,白ドレスの女！
白ドレス,さて、エンマ帳の打破には、天界のチカラが必要と言ったかな？ならば私もチカラを貸そう。戦艦に翼！なかなか良いシュミしてるね！だから今、私は、戦艦の翼に加護を与えた！。それは、不沈の加護！墜落するという運命を覆す、“再び羽ばたく”ための翼！
副運転士,え？いったいどういうコトなんですか！
白ドレス,人が持つ唯一絶対の力――それは自らの意思で進むべき道を選択する事だ。ほぼ全知の私だからこそ知り得るコトだけど、ある世界の堕天使は言った。君は常に人にとって最良の未来を思い、自由に選択していけ。さあ！キザハシの向こう側の世界はすぐそこに！クズカゴだってカっ飛ばしていけ！。神じゃなくとも私が言おう―――！全てを救え、と―――！！
副運転士,だからどういうコトなんですか――――――ッ！！！
第八章,未明・後
ドライ・ブラーのスペルは,DRIBLAH
魔王,アポ○といえば、き○この山や、たけ○この里の製造方法の元となったというお菓子
それでは、最終章,薄明
副運転士,発進してから、かれこれ二時間は撃ち合っていますが……
運転士長,一向にラチが開かないな
黒コート,一気に突撃してアポ○富士山を沈黙させるコトは出来ないのか？
仮面の男,不可能だね。叩くとすれば、火山弾やら一切合切を放っている火口だが……。あまり火口に近づきすぎると、艦全体を覆うシールドが破壊される。だからこうして中距離からチマチマと砲撃せざるを得ないんだ
冥王,さすがに火砕流や土石流は空中に飛んでこおへんやろうし。エンマ帳に書かれとることが実行されるとしたら、原因は十中八九、火山弾やろうからなあ
車掌,防護シールドを放棄して、特攻に転じるコトは……。アポ○富士山にみすみす弱点を晒すも同じ……
黒コート,それで決め手に欠ける攻撃を続けざるを得ない、というワケか
革ジャン,くそっ。しゃらくせえな
運転士長,……だが、そう悠長なコトを言っていられる状況でもなくなったようだぞ
副運転士,え？
運転士長,窓の外を見てみなさい
副運転士,あれは、アポ○富士山の向こうに見えるのは……
車掌,朝日……！！
魔王,くそっ、タイムリミットが迫ってるってコトかよ！
冥王,さっきも言うたとおり、朝日が昇りきれば、冥界での一日は終わりです。となれば、今日の分のエンマ帳の事項は確定。わてらの敗北や
魔王,そういうワケにはいかねえだろうがぁッ！この列車の乗員乗客の命がかかってんだぞ！？
副運転士,魔王さん……
白ドレス,ふむ……
副運転士,っ……？
運転士長,こ、今度はなんだ！？
仮面の男,警報アラーム……？この反応は甲板からか。今の音は、この艦の甲板に火山弾が直撃した衝撃音らしいが。どうやらそれだけではないらしい
副運転士,それだけではない？とは……
車掌,直接甲板に出て確認したほうが早いでしょう。皆さん、ついてきていただけますか？
桜色の女,承ったでござるよ
冥王,甲板は元の１号車の屋根の部分。つまり、この上の大穴を抜けた先や
仮面の男,ああ、ただし運転士長と副運転士くんはココに残ってくれ。オペレーターが必要だ
車掌,っ……。何だ、コイツら……！？
アポ○モンスターたち,アポ○、ポ○ポ○ポ○―――！！！
執事,甲板に着弾したアポ○型の火山弾が意思を持って動き出している！？
教授,きもちわるっ！
剣使い,だが……。コイツらがアポ○富士山の子機だってのなら、放置するのはマズいんじゃねぇか？
弓使い,そうだね。今にも、襲いかかってきそうな感じだし
銃使い,敵？なら、倒す
桜色の女,この列車には一飯の恩義もある。その借り、ここで返すでござるかな
キノコ頭,おい！お前たちが持っている余りの弾薬はあるか？あるなら貸せ！
車掌,仕方がありませんね。格納庫から持ってきた予備の弾薬ですが、良ければ
族長,チョコなど炎で溶かせば消える。何、造作もあるまいよ
ヒーロー,元来ヒーローとは孤独に戦うモノなのだがなっ！とうっ！
アポ○モンスター,ポ○ポ○ポ○―――！
革ジャン,ちっ、数が多いのが面倒だな。センパイ、バイクで轢き殺せねえか！？
黒コート,バイクならさっき１号車に激突してオシャカだ
小型メカ,何か奴らを一掃できる手段でもあればいいのですが……
料理長,この一戦に乗客の命が懸かっている、か……。責任重大だね
マスター,―――我が腕よ。お前は、この時のために、俺と共にいたのか？
フロント,では、私は使い慣れたハルバードで……。ふふ、この子もうずいています
魔族A,あれ……？そういえば、魔王さまはどこに？
テロリストA,冥王や、白の大天使とかいうのもいないな
ウェイター,冥王さんなら、１号車に残って士長たちと話してるのを見たぞ？
ウェイトレス,待って……。なんだろう、アレ。空の上
車掌,……っ！あ、アレは――――――！？
副運転士,―――“ドライ・ブラー砲”？
冥王,ああ。言うたやろ？―――この艦の、とっておきの切り札。１２号車の“最強の兵器”こと魔力塊のエネルギーを利用した、特大ビーム砲や
運転士長,魔力塊のチカラを使えば、そんなコトが……
冥王,発射位置は船首から。火山の火口かて吹き飛ばせる、文字通りの必殺の一撃や。せやけど、撃てるのは、一日一回。魔力塊の魔力供給量から言うて、それ以上は無理。溜めの時間も大量に食う、つまりイチかバチかの秘蔵っ子いうわけや。どや、使ってみるか？
白ドレス,使ってみるも、何も。やるしかないでしょう！
副運転士,本気ですか！？
仮面の男,キマリだね
白ドレス,そうと決まれば、まおーちゃん、冥王くん！行くよ！
魔王,は？行くってどこに！？
白ドレス,アポ○富士山の上空だよ。私たちで、ドライ・ブラー砲を撃つための隙を作る必要がある！
冥王,我ら三界の力を以てすれば、不可能ではありまへんか。さて、わても本気出しますかな
仮面の男,役者は揃った！これよりドライ・ブラー砲でアポ○富士山を沈黙させる！最後の戦いだ！
副運転士,えぇ……。どうなっても知りませんよーっ！！？
魔王,よ……っと！。ひゅう、いい眺め！これが富士山頂から見るご来光ってやつか！
冥王,そのご来光を、山頂で待っていた人々は……。すべて避難を終えたはりますか。ならば、わても本気を出せるいうもんです
魔王,あれ？そういや、お前が戦ってるところは見たコト無いな。どうやって戦うんだ？
冥王,ふふ……。冥界の王とは、死の管理者。決定権は無くとも、裁決は絶対です。で、あれば。飛んでくる火山弾を“殺す”ことくらい、造作もありまへんよ
白ドレス,おおーっと！私もいるよー
魔王,おうおう。見事に翼もがれてんなあ。ラウンジのマスターは強かったろ？
白ドレス,なに、彼、まおーちゃんの知り合い？どーりで殺意むき出しだと思った！。だったら君から言っておいてよ！天界の神々や天使は、もっと敬えって！
魔王,ははは。俺たちは、その恩恵以上に、メイワクかけられてるコトのほうが多いからな
白ドレス,むう！じゃあちょっと、大天使っぽいとこ、見せちゃおっかな！。しっかし、ラウンジの彼。この事態を見越して乗せるとは。まおーちゃんも抜け目が無いなあ
魔王,何……？
白ドレス,じゃあ、おしゃべりはこのへんで！さっそく攻撃を仕掛けるとしますか！。いと高き天界の神々よ！この白の大天使の声に応え、天雷を授けたまえ！。え？自分たちの山に雷落としたくないって？知らなーい！そーれっ、自業自得だー♪
魔王,うおっ、始まったか……。じゃあ、俺も負けていられねえな！。碧夕の名の下に命じる！光よ此処に、舞い戻れ！以下略！おらあっ！！
冥王,やれやれ……。お二人さん、やることが派手ですなあ……
車掌,魔王と冥王と大天使の、お三方が上空で火山弾を迎撃している！？
教授,あれが神々に準ずる者たちの本当のチカラってワケか……！
アポ○モンスターたち,アポ○、ポ○ポ○ポ○―――！！！
剣使い,よっと！コッチの戦いも、大変なんだけどなっ！
弓使い,ちょっと目ざわりだよ！そらっ、一斉掃射！！
アポ○モンスターたち,ポ○ポ○ポ○ポ○ポ○ポ○ポ○！！？
執事,チャンスだ、アポ○たちの動きが止まりました！仕留めるなら今です！
銃使い,ありったけの爆弾！食らえ！
キノコ頭,全弾、撃ち尽くせ！！
革ジャン,集中砲火だああああああ！！！
族長,食らえ、炎！燃えて溶けて弾けて吹き飛べ！！！
アポ○モンスターたち,ポ○ポ○ポ○ポ○ポポ○ポ○―――！！！
小型メカ,アポ○たちが、熱にやられて、溶けて消えていきます……！
ヒーロー,まだ終わらんよ！今、この列車の魔力を借りて、必殺の！！
黒コート,なんで不死鳥のオーラをまとってるんだ、ちょっと、お前！
ヒーロー,ドライ・ブラー・フェニックス―――！！！
アポ○モンスターたち,ポ○、ポ○、ポ○、ポ○……ポ――――――
桜色の女,あ、消えていったでござる
料理長,でも、今のフェニックスの余波が、上空にまで……！
フロント,それだけじゃありません！列車の魔力に反応したのか、アポ○富士山から火柱が……！
車掌,なんだって！？
マスター,…………
魔王,うおっ、アチチッ！不死鳥！？それになんだ、アポ○富士山から火柱が！？
冥王,あかん！ドライ・ブラー号が、呑み込まれるでぇ！！
魔王,ふざけるな……、ここまで来て……。させるかよォォッ！！！。火柱がなんだっ！異次元に飛びやがれぇぇぇ！！！
冥王,アポ○富士山上空に空間の穴を作って、火柱を異次元に！？。どんな修行積んだら、一介の魔族がこんな大技使えるんや……！？。おっといかん、魔王の魔法陣が無くなった今、火山弾は元気に飛んできよる……。せやったらわてが、魔王の代わりせな、なあ！！
魔王,くそっ、だが火柱が立ったままじゃあ、ドライ・ブラー号がアポ○富士山に近づけねえ……！！
白ドレス,……ふむ。―――ドライ・ブラー号の主砲による砲撃。歴戦の戦士たちによる迎撃。加えて冥王の呪詛。これらによって、アポ○富士山が放つ火山弾はかき消える
冥王,な……！？
白ドレス,そして、突如アポ○富士山から立ち昇った火柱。神々が遺した、最後の防衛装置か。しかしこれも魔王が全魔力を投じた異次元転送によって、目下の危機は見送られる
魔王,なん……
白ドレス,―――だが、まだ足りない。アポ○富士山は、まだその機能を停止していない。機能を停止させるには、すべてを無に帰す絶対破壊の一撃が必要。しかし、その一撃を放つには、機能の停止した隙が必要
魔王,お前、何を……
白ドレス,そう。ムジュンだ。アポ○富士山を止めるのに必要な攻撃には、アポ○富士山が止まるほどの隙が必要。これでは道理に沿わない。能わない。なら、何故このようなムジュンが発生するのか？。それは、アポ○富士山のチカラが、神々の権能であるからだ。人間や魔族たちと神々の間には、絶対的なチカラの差が存在する。ゆえに、外界の者たちは、甘んじてそのムジュンを受け入れるしかない……。だが、そんなムジュンを、果たして生きとし生ける者たちが許容するか？。少なくとも私は知らない。神々に屈しおもねる外界の者たちなど、私は知らない。では、小さき者たちはどうしたか？。答えはカンタンだ。―――神をも殺し得る武器を、自らの手で鋳造した
魔王,……！！。おい、まさか、ソイツは―――！
白ドレス,カンの良い観客なら、もうわかったかもしれない。そう。今回の登場人物に、“神殺し”を為し得る人物が、一人だけいる。まるで、あたかも、そのためにいたような。そのためだけに配置されたような人物が
冥王,神殺し……！たしかに先刻、１号車で……
白ドレス,―――さあ！そのチカラを振るうがいい、大英雄！！。ドライ・ブラー号最強の戦士、ラウンジカーの守護者よ！！。そのチカラは君たちのモノだ！アポ○富士山が大口をひらけて待っているぞ！！
マスター,――――――
フロント,マスターさん……、まさかアレを使うのですか！？
料理長,今までのドライ・ブラー号の戦いでも、ついに完全開放はしなかった……！
マスター,―――ああ。―――俺は前半生を、戦いに費やした。―――戦って、戦って、戦って。魔界の争いに関わり、多くの魔族を屠った。その過程で、多くのモノを失った……。あるハズだった幸福。日常。この右腕も、その一つだ。―――だが、同時に得たモノもある。―――それは得難き、友の存在であり……
魔王,…………
マスター,―――神をも殺し得る、我が右腕の存在だ。ドライ・ブラーは争いには巻き込まれても、天界が関わるコトはなかった……。俺もこの右腕は、役目を果たすことなく、我が身と共に朽ちるのだと思っていた……。―――だが、今思えば。―――我が右腕は、今この時のためにあったのだろう。アポ○富士山が、神々の怒りであるならば。それすなわち、我が断じるべき宿業なり。ドライ・ブラーが、外界の希望であるならば。それすなわち、我が護るべき至宝なり。ならば此処に示そう、最強の証を！砕いてみせよう、神々の怒り―――！
運転士長,ぐぅッ……！
副運転士,空が光って……！いったい、何が！？
仮面の男,……！？。あ、アレを見ろ！！
副運転士,……？。……！
運転士長,あ、あれは……。火柱が消えた……！？
副運転士,か、火山弾もです！勝ったんですか！？
仮面の男,いや、まだだ！１２号車の魔力反応は異常な数値のままだ！。これは、アポ○富士山が、まだ活動を停止していないという証左……。今の光を受けても、魔力塊はまだ、アポ○富士山と共鳴している！
副運転士,くっ……。では、どうすれば！？
仮面の男,決まっているだろう！。―――今こそ、ドライ・ブラー砲を撃つ！！
副運転士,……！
運転士長,たしかに、やるなら今しかない……。起動するぞ！
副運転士,ああもう、どうにでもなれ―――！！
仮面の男,ドライ・ブラー号、回頭！アポ○富士山の火口の上空へ接近せよ！！。ドライ・ブラー砲、発射用意！
運転士長,エネルギー弁閉鎖！エネルギー充填開始！セイフティーロック、解除！。ターゲットスコープ、オープン！電影クロスゲージ明度２０！エネルギー充填１２０％！。対ショック、対閃光防御！最終セイフティー、解除！。……さあ、最後の合図は、君がするといい
副運転士,え？私ですか！？ああもう、ワケわかんないですけど、やればいいんでしょう！。ドライ・ブラー砲、発射―――！！！。う……
運転士長,やった……、のか？
車掌,お二人とも！！
副運転士,車掌さん！
運転士長,他の皆も……。その顔は……、終わったのか。すべて
車掌,ええ！ドライ・ブラー砲は、見事にアポ○富士山の火口を撃ち抜きました！。その結果、アポ○富士山は火山活動を停止！。もはや噴火の兆候はありません。……我々の勝利です！
運転士長,そうか……。なら、良かった
副運転士,はぁ～～～。肩の荷が、下りましたぁ……
マスター,……ふふ。年甲斐もなく、張り切ってしまったよ
フロント,大丈夫ですか？マスター。肩をお貸しします
副運転士,皆さんも！本当に、本当に、お疲れ様でしたっ！！
料理長,ああ。だが僕たちのシゴトは、まだ終わっちゃいない。今日のドライ・ブラー号の運行は、午後８時、オーサカに到着するまで……。少し、遅めになるが。乗客の皆さんのための、朝食をお作りしないとね
副運転士,―――。はいっ！！
フロント,私も、ロビーの修繕をしないと。吹きさらしですが、一時間もあれば何とかなるでしょう
ウェイター,え？吹きさらしなんだよね、ホンキで言ってる？
フロント,ええ。ウェイターさん、ウェイトレスさん。掃除屋として、ご協力お願いします
ウェイトレス,ひえ～、重労働だぁ～
マスター,では、ワタクシも、ラウンジに戻りますかな。本来のワタクシは、しがないラウンジの老マスターですので
副運転士,士長……。長い、長い。本当に長い、夜でしたね
運転士長,ああ。―――だが、明けない夜はない。新たな陽の昇らない日は無く、新たな日出づらぬ年は無い。古い一年が終われば、新たな一年がやってくる。それは、この世界も、ドライ・ブラー号も同じコトだ
車掌,ええ。この年末年始運行は、もうすぐ終わります。ですが、次の運行も、早晩訪れる。私たちに出来るコトは、その運行も良きモノとするコトです
副運転士,……そうですね。次も頑張りましょう、皆さん！！
ウェイター,いやー、刺激的な年末年始だったなー
ウェイトレス,でもやっぱり、ドライ・ブラー号はこうでなくちゃねー
副運転士,あれ……。そういえば、仮面さんは？
運転士長,おや。艦長席が、カラになっている……。あの男め。自分の役割は終わったと見て、早々に去ったか
副運転士,ふふ。あのヒトらしいですね。……でも、仮面さんって、たしかタイムパトロールさんたちが追ってるヒトなんじゃ？
運転士長,それは赤色の仮面のほうじゃなかったか？。まあ……。ここから先は未来の領分だ。彼女らが何とかするだろうよ
副運転士,そうでしょうか？まあ、そうですね！
執事,朝日……、ですね
教授,うん……。空の上から見る太陽は、こんなにもまぶしい
執事,お嬢様……。俺は、貴女が無事で、本当に良かった
教授,ふふ。いつもありがとうね、バカ執事
執事,お褒めにあずかり光栄でございます、バカお嬢様。そういえば……。例の、“最強の兵器仮
教授,おうとも。もう、“最強の兵器仮。それに、作るのに必要なモノは、カンタンだ。有り合わせのモノが、二つあればいい
執事,そうですか……。では、今日の発表会。期待していますよ
教授,ええ。私の名演説に、期待しときなって。古の大術士たちが作ったという、古の“最強の兵器”。それにも負けないモノをね
弓使い,教授～！執事さ～ん！
銃使い,生きてる？
桜色の女,とほほ。今日はヒドい目に遭ったでござるなあ～
執事,お二人と、桜色の剣士さん……
教授,無事で何より。全部終わったね。皆は、これからどうするの？
銃使い,オーサカの観光
執事,皆さんもオーサカに留まるのですか？では、ぜひお嬢様の発表会を見ていってください
教授,今回の事件を真の意味で終わらせる、“最強の兵器”。目にモノ見せてあげるよ
弓使い,本当？発表会に誘ってくれるの！？嬉しいな～。でも、その前に……
剣使い,……ようやく、決着がついたみたいだな
族長,ああ。―――では、我らの決着も、ココでつけるとしよう
剣使い,そうだな……
魔族A＆B,族長、がんばれー！！
魔族C＆D,剣使いの人間も、良い戦い、期待してるぞー！！
剣使い,……いざ
剣使い＆族長,勝負ッ！！
弓使い,おー。やってる、やってる
教授,もう戦いは終わったのに、まだやってるの？男どもは飽きないなあ
執事,男というイキモノは、たいてい譲れないモノの一つか二つを持っているのですよ
銃使い,…………
桜色の女,うーん。いい戦いでござるなあ。……いや、しかし。……？
仮面の男,…………
桜色の女,おーい！鉄仮面卿ー！
仮面の男,おや……。春風の剣士か
桜色の女,鉄仮面卿ー、なーんで艦橋のテッペンに立ってるでござるかー？。上空は風が強いから落ちるでござるよー
仮面の男,ふふ……。僕は、高いところというのが、好きでね。低いところというのは、どうも気に入らない。君と戦ったのも、戦艦や空中庭園だったろう？
桜色の女,意味も無く高いところに登るのは、ただのばかでござるよー
仮面の男,ははは。これは手厳しい。それに、ただの趣味で高いところに登っているワケじゃないさ。ここがいちばん、この戦艦で逃げやすい場所なのでね
桜色の女,ああ……。そういえばおぬし、歴史改変の罪で、追われていたのでござるな
仮面の男,そうだ。き○こ派の諸君には、たけ○こ派に加担して、本当に悪いコトをした……。だが、今回の戦艦の指揮でチャラ、というコトにはならないかな？
桜色の女,それは本人たちに訊いてみないとわからないでござるなー。まあ十中八九、なます斬りにされるでござろうが！
仮面の男,ははは。これはまたも手厳しい。だが。この列車に乗り込んで良かった……。刺激的な年末年始を楽しめた。そして、君という好敵手とも、再戦するコトが出来た！
桜色の女,…………。次、会った時が。貴様の命日だな、鉄仮面卿
仮面の男,ふふはははは。それはカンベンしてほしい。僕は君を愛おしく思っている。今までに会った、どの女性よりも。その君の美しい姿を見るのが、次限りというのは、いただけない
桜色の女,減らず口を叩きおって。ならば今回は、とっとと失せるがいいでござる
仮面の男,そうだな。まあココなら時空環境整備課も気付かないだろうが……。君との立ち合いの後逃げないという約束は守った。なので、そろそろオイトマするとしよう！。それでも呼びたければ教授さんにヨロシクと伝えておいてくれ！。さらばだ、ドライ・ブラー号のユカイな仲間たち！。君たちとの年末年始はとても魅力的なモノだった！。願わくば、そのユカイな営みを続けたまえ！ならば、僕はいつでも現れよう！。とうっ！！
桜色の女,おぬしは厄介事を持ち込むのだから、もう来なくていいでござるよー。…………。あやつとの立ち会い、久方ぶりに血のうずくモノだった。やはり私は、あいつでなければ……。いや、そんなことはあるまい。これは私の経験不足。人を斬りたいのではなく、刀を斬りたいのだというもの。さて、この感情。真に好敵手を求めるがゆえのものか、否か……。今は奥底に閉じ込めて。オーサカ観光を楽しむでござる
キノコ頭,……終わったか
テロリストA,そうですね……
キノコ頭,大量の装備を揃えて、無防備な列車をハイジャックするのだから。カンタンなシゴトだと思ったのだがな……
テロリストB,ええ。世界は、存外広いというモノです
テロリストC,ですが、その広い世界で、“最強の兵器”なるモノの存在とも出会いました
テロリストD,……オーサカに行きましょう。教授の発表会、見届けようではありませんか
キノコ頭,そうだな……。―――よし、行くぞ！！
